A Goblin standard;Uno standard dei Goblin
Pirate Flag;Bandiera pirata
Partially broken bridge;Ponte parzialmente rotto
Pedestal space;Spazio sul piedistallo
Pickaxe;Piccone
Pile of rocks;Mucchio di rocce
Pineapple plant;Pianta di ananas
Pitcher plant;Pianta carnivora
Penance Runner statue;Statua del corridore della penitenza
Pet house space;Spazio per animali domestici
Platform support;Supporto della piattaforma
Pear tree;Pero
Pet feeder space;Spazio per la mangiatoia per animali domestici
Pirate Sign;Segno del pirata
Plant door;Porta delle piante
Plaque;Placca
Play blocks;Gioca a blocchi
Petrified Large Mushroom;Grande fungo pietrificato
Petrified Pufferfish;Pesce palla pietrificato
Picket fence;Staccionata
Pile of skulls;Mucchio di teschi
Pipes;Tubi
Piscarilius statue;Statua di Piscarilio
Plant Fossil Display;Esposizione di fossili vegetali
Planter;Fioriera
Parasol;Parasole
Pedals;Pedali
Petrified Pitcher;Brocca pietrificata
Phren Roots (Depleted);Radici Phren (esaurite)
Picture;Immagine
Pile of rope;Mucchio di corda
Pineapple Plant;Pianta di ananas
Pink rose bush patch;Patch di cespuglio di rose rosa
Pitfall;Insidia
Parchment;Pergamena
Patched wall;Muro rattoppato
Path;Sentiero
Piano;Pianoforte
Picnic table;Tavolo da picnic
Pineapple plant stump;Ceppo di pianta di ananas
Pipe;Tubo
Platform;Piattaforma
Party Balloon;Palloncino per feste
Pen Door;Porta della penna
Penance cave;Grotta della Penitenza
Pet basket;Cestino per animali domestici
Pet blanket;Coperta per animali domestici
Petrified mushroom;Fungo pietrificato
Pendant;Pendente
Picture wall;Parete fotografica
Pile of Ancient Books;Pila di libri antichi
Pinball Post;Posta di flipper
Plank;Plancia
Pool space;Spazio piscina
Portal Home;Portale domestico
Potatoes;Patate
Preparation Table;Tabella di preparazione
Private bank booth;Cabina bancaria privata
Protruding rocks;Rocce sporgenti
Pyramid entrance;Ingresso della piramide
Polluted water;Acqua inquinata
Pool of Rejuvenation;Piscina di ringiovanimento
Pool of Slime;Piscina di melma
Portrait space;Spazio ritratto
Post;Inviare
Potato;Patata
Potion of power table;Pozione del tavolo del potere
Prison Door;Porta della prigione
Plough;Aratro
Portal Nexus space;Spazio del portale Nexus
Portrait;Ritratto
Potion shelf;Scaffale per pozioni
Potion shelves;Scaffali per pozioni
Press support;Supporto stampa
Pressure Barrel;Barile di pressione
Private portal;Portale privato
Points settings;Impostazioni dei punti
Pot of dynamite;Vaso di dinamite
Potato seed;Seme di patate
Pump;Pompa
Poison Ivy bush;Cespuglio di edera velenosa
Pokers;Poker
Pole;Polo
Portal of Heroes;Portale degli Eroi
Pot of Gold;Pentola d'oro
Potato basket;Cestino di patate
Professor's table;Il tavolo del professore
Pylon;Pilone
Pool of blood;Pozza di sangue
Portal frame;Cornice del portale
Potential fire;Potenziale incendio
Pots;Pentole
Powder Barrel;Barile di polvere
Power saw;Sega elettrica
Pool of Dreams;Piscina dei sogni
Pool of Revitalisation;Piscina di rivitalizzazione
Portcullis;Saracinesca
Potions;Pozioni
Priest Statue;Statua del sacerdote
Pyre site;Sito della pira
Poll booth;Cabina elettorale
Pressure machine;Macchina a pressione
Prize chest space;Spazio sul petto del premio
Pyre boat;Barca a pira
Rachel (Well);Rachel (Bene)
Pool of Refreshment;Piscina di ristoro
Pyromancer;Piromante
Quiescent Snow Storm;Tempesta di neve quiescente
Portal;Portale
Portal of Champions;Portale dei Campioni
Portal of Legends;Portale delle leggende
Posh bell-pull;Elegante campanello
Potted plant;Pianta in vaso
Protest Banners;Striscioni di protesta
Quest list space;Spazio dell'elenco delle missioni
Pool of Restoration;Piscina di Restaurazione
Posts;Messaggi
Potato plants;Piante di patate
Precarious bridge;Ponte precario
Pump and drain;Pompare e scaricare
Plinth;Zoccolo
Portal Nexus;Nesso del portale
Portal machine;Macchina del portale
Pot-boiler;Caldaia
Potter's Wheel;Il tornio del vasaio
Power Grid;Rete elettrica
Prison door;Porta della prigione
Rabbitless hole;Buco senza coniglio
Pond;Stagno
Portal space;Spazio del portale
Potted flower;Fiore in vaso
Potter's wheel;Il tornio del vasaio
Prison space;Spazio carcerario
Rabbit hole;Tana del coniglio
Pool of Nightmares;Piscina degli incubi
Poster;Poster
Pot;Pentola
Potato cactus;Cactus di patate
Potato plant;Pianta di patate
Pressure Lever;Leva di pressione
Plunder Storage;Deposito di saccheggi
Pole-vault;Salto con l'asta
Portal of Death;Portale della Morte
Potted fern;Felce in vaso
Pottery Oven;Forno in ceramica
Pressure pad;Cuscinetto a pressione
Pump and tub;Pompa e vasca
Quest List;Elenco delle missioni
Rabbit snare;Laccio per coniglio
Poison crater;Cratere velenoso
Poor Bed;Letto povero
Protest Poster;Manifesto di protesta
Rachel (ghastly!);Rachel (orribile!)
Red flowers;Fiori rossi
Redberry bush;Cespuglio di mirtilli rossi
Reinitialisation Panel;Pannello di reinizializzazione
Restraint Table;Tabella di ritenuta
Rickety door;Porta sgangherata
Rock Chair;Sedia di roccia
Rock pile;Mucchio di rocce
Rocking unicorn;Unicorno a dondolo
Red rose bush patch;Toppa con cespuglio di rose rosse
Redwood birdhouse;Casetta per gli uccelli in sequoia
Redwood tree;Albero di sequoia
Repaired furnace;Forno riparato
Reward Chest;Cassa delle ricompense
Right side of a fireplace;Lato destro di un camino
Rockslide;Frana
Rack of barrels;Rastrelliera di botti
Ray of Light;Raggio di luce
Recess;Recesso
Red chemical;Prodotto chimico rosso
Reeds;Canne
Rock Formation (Glowing);Formazione rocciosa (luminosa)
Rack;Cremagliera
Ranging game space;Spazio di gioco variabile
Rat barn;Granaio dei topi
Red Flowers;Fiori rossi
Repaired Roof;Tetto riparato
Red Banana Tree;Banano rosso
Rachel (sick);Rachel (malata)
Ranis Drakan;Ranis Drakan
Red fungi;Funghi rossi
Redwood;Sequoia
Repair Locker;Armadietto per riparazioni
Rewards Chest;Forziere delle ricompense
Rewards chest;Forziere delle ricompense
River;Fiume
Rock debris;Detriti rocciosi
Rock of Dalgroth;Roccia di Dalgroth
Rocks;Rocce
Rocky ledge;Sporgenza rocciosa
Rat;Ratto
Red Water Sign;Segno dell'acqua rossa
Refinery;Raffineria
Repaired leak;Perdita riparata
Reset Lever;Leva di ripristino
Reward chest;Forziere della ricompensa
Rinsing pool;Piscina di risciacquo
Rock Formation;Formazione rocciosa
Raised coffin;Bara rialzata
Range chimney;Camino della gamma
Rare Flowers;Fiori rari
Red Barrier;Barriera Rossa
Redwood fence post;Palo di recinzione in sequoia
Repair space;Spazio di riparazione
Rock Pile;Mucchio di rocce
Rock slide;Scivolo di roccia
Rocking chair;Sedia a dondolo
Raft;Zattera
Ramp;Rampa
Redwood fence;Recinzione in sequoia
Repaired wall;Muro riparato
Restraining Table;Tavolo di contenimento
Retorts;Ribatte
Reward pool;Gruppo di ricompense
Rail;Sbarra
Rat barrel;Barile di ratto
Recruiting board;Consiglio di reclutamento
Rocky Ledge;Sporgenza rocciosa
Rat Wall;Muro dei topi
Red door;Porta rossa
Redwood tree patch;Patch di albero di sequoia
Rock;Roccia
Rock and string;Roccia e corda
Rocky handholds;Appigli rocciosi
Rocky outcrop;Affioramento roccioso
Rat wall;Muro di ratti
Reinforced crate;Cassa rinforzata
Ranging spot;Posto che va
Range;Allineare
Rat hole;Buco del topo
Red banner;Stendardo rosso
Redwood birdhouse (empty);Casetta per gli uccelli in sequoia (vuota)
Repair bench;Banco di riparazione
Rock wall;Parete di roccia
Rockery;Giardino roccioso
Rocky shore;Costa rocciosa
Rachel (very sick);Rachel (molto malata)
Railing;Ringhiera
Rat trap;Trappola per topi
Rat wheel;Ruota del topo
Red Star Fungi;Funghi della stella rossa
Return Orb;Ritorna la sfera
Ripples;Increspature
Rockfall;Caduta di massi
Rat lever;Leva del ratto
Rat-hole;Buco dei topi
Red Castlewars armour;Armatura rossa di Castlewars
Rift;Spaccatura
Ring of Stones;Anello di pietre
Rock Formation (Depleted);Formazione rocciosa (esaurita)
Rockpile;Mucchio di rocce
Round shield;Scudo rotondo
Ruined Pillar;Pilastro in rovina
STASH (master);DEPOSITO (principale)
Sacred Bone Burner;Bruciatore di ossa sacre
Sacred Forge;Forgia Sacra
Sacrificial boat;Barca sacrificale
Rope Ladder;Scala di corda
Roped tree;Albero legato a una corda
Rough hewn steps;Gradini sbozzati
Rowboat;Barca a remi
Ruined Stall;Stalla in rovina
Rocky surface;Superficie rocciosa
Rolling pin;Mattarello
Roof Entrance;Ingresso sul tetto
Rose bush;Cespuglio di rose
Rotten sapling;Alberello marcio
Rotten stump;Ceppo marcio
Ruined stall;Stalla rovinata
Rune essence;Essenza runica
Ruptured cavern;Caverna rotta
Rocnar;Rocnar
Rotten food;Cibo marcio
Rotting branch;Ramo marcio
Rubble;Macerie
Rug;Tappeto
Ruins Exit;Uscita delle rovine
Rupert;Ruperto
STASH (beginner);STASH (principiante)
Sack;Sacco
Sack pile;Mucchio di sacchi
Rotten Yommi tree;Albero Yommi marcio
Rotting log;Tronco in decomposizione
Sabertooth Squirrel;Scoiattolo dai denti a sciabola
Salve Graveyard Portal;Portale del cimitero di Salve
Roof edge;Bordo del tetto
Rope ladder;Scala di corda
Rope swing;Altalena in corda
Row boat;Barca a remi
Rubber cap mushroom;Fungo con cappuccio in gomma
Rune armour;Armatura runica
Rusted anvil;Incudine arrugginita
Rotten carpet;Moquette marcia
Rune pouches;Sacchetti di rune
Rocky support;Supporto roccioso
Ropes;Corde
Rotten Yommi;Yommi marcio
Rowboat space;Spazio per la barca a remi
Ruins Entrance;Ingresso alle rovine
Rune case space;Spazio della custodia delle rune
Rune dragon;Drago runico
Sailfish;Pesce vela
Roots;Radici
Ropeswing;Oscillazione della corda
Rum Crate;Cassa di rum
Runner trap(1);Trappola per corridori(1)
Rusty key;Chiave arrugginita
STASH (hard);STASH (difficile)
Sack Pile;Mucchio di sacchi
Roof;Tetto
Rope bell-pull;Campanello con corda
Ruins;Rovine
Sacred water;Acqua sacra
Rooftop Agility display;Display Agilità sul tetto
Rope anchor;Ancoraggio in corda
Roses;Rose
Rubble Pile;Mucchio di macerie
Runic Altar;Altare runico
S.T.A.S.H chart;Grafico S.T.A.S.H
Sacks;Sacchi
Roof top beams;Travi del tetto
Rope bridge;Ponte di corda
Rotten Apple Pile;Mucchio di mele marce
Rune display case;Vetrina delle rune
STASH (elite);STASH (elite)
Sacrificial Pyre;Pira sacrificale
Rolled up rug;Tappeto arrotolato
Roof Exit;Uscita sul tetto
Rope;Corda
Rosebush;Cespuglio di rose
Rotting tree;Albero in decomposizione
Sail;Vela
Rolled up rugs;Tappeti arrotolati
Root;Radice
Rosemary;Rosmarino
Rune Essence;Essenza runica
Runite Minor;Runite Minore
STASH (medium);SCORTA (media)
Rope bridge support;Supporto per ponte di corda
Rotten village fence;Recinto marcio del villaggio
Rough wall;Muro grezzo
Rune temple sign;Segno del tempio delle rune
Runecrafting altar;Altare per la creazione di rune
Sails;Vele
Rotten Totem pole;Totem marcio
Royal Wedding Invitation;Invito al matrimonio reale
Rug space;Spazio sul tappeto
Runner trap(2);Trappola per corridori(2)
STASH (easy);SCORTA (facile)
Safe;Sicuro
Saltpetre;Salnitro
Scarecrow;Spaventapasseri
Seating space;Spazio per sedersi
Seers weathervane;Banderuola dei veggenti
Seers' Village Portal;Portale del Villaggio dei Veggenti
Shelves space;Spazio sugli scaffali
Scorched earth;Terra bruciata
Scrapey Tree;Albero di Scrapey
Scratching post space;Spazio per tiragraffi
Scroll rack;Cremagliera di scorrimento
Secure chest;Petto sicuro
Seed vault;Deposito di semi
Shadow root;Radice d'ombra
Shaking box;Scatola tremante
Sand;Sabbia
Sarachnis display;Esposizione di Sarachnis
Saucepan;Casseruola
Scrying pool;Piscina divinatoria
Secret Door;Porta segreta
Sewer valve;Valvola per fognatura
Shattered rockface;Parete rocciosa frantumata
Sapling;Alberello
Scimitar Stall;Stallo della Scimitarra
Seal of Hefin;Sigillo di Hefin
Shape puzzle;Puzzle di forme
Shark Beast;Bestia squalo
Shining pool;Piscina splendente
Sandpit;Sabbiera
Saradomin Portal;Portale Saradomin
Sarcophagus;Sarcofago
Scaffolding;Impalcature
Sculpture;Scultura
Seaweed;Alghe
Seven;Sette
Shayzien statue;Statua di Shayzien
Shelves;Scaffali
Shield display;Visualizzazione dello scudo
Shimmering field;Campo scintillante
Sample table;Tabella campione
Sandy's Desk;La scrivania di Sandy
Score board;Tabellone dei punteggi
Screen;Schermo
Seal of Cadarn;Sigillo di Cadarn
Seal of Crwys;Sigillo di Crwys
Seal of Meilyr;Sigillo di Meilyr
Seed table;Tavola dei semi
Ship hull;Scafo della nave
Sarah (Well);Sarah (bene)
Sarah (sick!);Sarah (malata!)
Scrolls;Pergamene
Scuttle;Scutter
Sewing machine;Macchina da cucire
Shayzien snapped banner;Shayzien scattò lo striscione
Shield Display;Visualizzazione dello scudo
Seaweed Pile;Mucchio di alghe
Secret entrance;Ingresso segreto
Shantay pass;Passaggio Shantay
Saradomin Standard;Standard di Saradomin
Shadow crystal;Cristallo d'ombra
Shaving stand;Supporto per rasatura
Shelf of thread;Scaffale di filo
Scoreboard;Tabellone segnapunti
Scrawled note;Nota scarabocchiata
Seaweed patch;Cerotto alle alghe
Septic tendrils;Viticci settici
Shark head;Testa di squalo
Sand pile;Mucchio di sabbia
Saradomin star;Stella Saradomin
Scrapey Bark Sign;Segno della corteccia di Scrapey
Scrying orb;Sfera divinatoria
Seal of Amlodd;Sigillo di Amlodd
Security Barrier;Barriera di sicurezza
Sandy's Coffee Mug;La tazza da caffè di Sandy
Saradomin staff;Personale di Saradomin
Sarah (ghastly!);Sarah (orribile!)
Seal of Ithell;Sigillo di Ithell
Sewer pipe;Tubo per fognatura
Sandworm castings;Getti di vermi della sabbia
Saradomin altar;Altare di Saradomin
Sarah (very sick!);Sarah (molto malata!)
Scaregull;Spaventapasseri
Scroll;Scorri
Seal of Iorwerth;Sigillo di Iorwerth
Shayzien banner;Stendardo di Shayzien
Shelf space;Spazio sugli scaffali
Shield;Scudo
Ship;Nave
Sand pit;Cava di sabbia
Scaffold;Impalcatura
Seal of Trahaearn;Sigillo di Trahaearn
Seal of the Forgotten;Sigillo dei Dimenticati
Seed Stall;Stalla dei semi
Shimmering barrier;Barriera scintillante
Saradomin Brazier;Braciere Saradomin
Schematic crate;Cassa schematica
Scroll table;Tabella di scorrimento
Senntisten Portal;Portale Senntisten
Servant's moneybag;Il sacco dei soldi del servo
Shackle table;Tavolo con grilli
Shelf;Mensola
Shell;Conchiglia
Shop counter;Bancone del negozio
Silver stall;Bancarella d'argento
Singing Bowl;Ciotola tibetana
Sir Lucan;Signor Lucano
Slave;Schiavo
Small plant;Piccola pianta
Ship's wheel;Timone della nave
Shooting Star Noticeboard;Bacheca delle stelle cadenti
Skroom;Skroom
Skull;Cranio
Skullshield;Scudo del teschio
Small Plant space 2;Spazio per piante piccole 2
Small orrery;Piccolo planetario
Smelly hole;Buco puzzolente
Signpost;Segnaletica
Silverlight;Silverlight
Sinclair family crest;Stemma della famiglia Sinclair
Sinclair family fountain;Fontana della famiglia Sinclair
Slayer's Respite;La tregua dell'uccisore
Small Oven;Piccolo Forno
Small bush;Piccolo cespuglio
Small furnace;Piccola fornace
Small vase;Piccolo vaso
Short fence;Recinzione corta
Shrivelled plant;Pianta avvizzita
Shuttered window;Finestra con persiane
Sink space;Spazio lavandino
Small plant 2;Piccola pianta 2
Ship's ladder;Scaletta della nave
Shop Counter;Bancone del negozio
Sir Tristram;Sir Tristram
Short Plant;Pianta corta
Shot;Sparo
Shrine;Santuario
Sign post;Segnaletica stradale
Simple lockbox;Cassetta di sicurezza semplice
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Slab;Lastra
Slashed Bush;Bush tagliato
Slope end;Fine della pendenza
Small fern;Piccola felce
Sinclair mansion drain;Drenaggio della villa Sinclair
Skull slope;Pendenza del cranio
Simple stove;Stufa semplice
Slashed web;Rete tagliata
Small storage unit;Piccolo contenitore
Slayer Helmet display case;Vetrina per casco da cacciatore
Slightly broken bridge;Ponte leggermente rotto
Slightly dark crystal;Cristallo leggermente scuro
Slimy water;Acqua viscida
Small Table;Tavolino
Small table;Tavolino
Six;Sei
Slashed bush;Cespuglio tagliato
Small Plant space 1;Spazio per piante piccole 1
Small crystals;Piccoli cristalli
Smashed chair;Sedia distrutta
Singing bowl;Ciotola tibetana
Sink;Lavello
Sir Lancelot;Signor Lancillotto
Sir Palomedes;Signor Palomede
Skotizo Topiary;Topiaria da Skotizo
Skotizo display;Display Skotizo
Slashed tapestry;Arazzo tagliato
Slight indentations;Lievi rientranze
Slope;Pendenza
Small chest;Piccolo scrigno
Smelly mushroom;Fungo puzzolente
Silver Chest;Forziere d'argento
Single pillar;Pilastro unico
Skrach Uglogwee;Skrach Uglogwee
Slug goo;Lumaca appiccicosa
Small Boulder;Piccolo masso
Small Geyser;Piccolo geyser
Smashed table;Tavolo distrutto
Smashed window;Finestra rotta
Sleeping bag;Sacco a pelo
Sliced web;Rete affettata
Small gravestone;Piccola lapide
Small oven;Piccolo forno
Smashed cage;Gabbia distrutta
Sickle logo;Marchio della falce
Sinclair family beehive;Alveare della famiglia Sinclair
Sinclair family compost heap;Compostiera della famiglia Sinclair
Sithik Ints;Sithik Int
Skeleton;Scheletro
Shoe box;Scatola di scarpe
Short planks;Tavole corte
Shortcut;Scorciatoia
Sign;Cartello
Sinister barrel;Barile sinistro
Skulls;Teschi
Sluice Gate;Porta chiusa
Silk stall;Bancarella della seta
Slimy pillars;Pilastri viscidi
Slimy residue;Residuo viscido
Small Fossil Display;Piccola esposizione di fossili
Small fountain;Piccola fontana
Small rock;Piccola roccia
Spinning Wheel;Ruota che gira
Spore;Spora
Snowy bird hide;Pelle di uccello innevato
Spiders' nest;Nido di ragni
Spike defence;Difesa delle punte
Spirit Angler dock;Molo del pescatore spirituale
Standard Stand;Supporto standard
Smokey well;Affumicato bene
Smoky cave;Grotta fumosa
Snowdrops;Bucaneve
Spinning light;Luce rotante
Spirit Tree Patch;Toppa dell'albero dello spirito
Spooky picture;Immagine spettrale
Spooky stairs;Scale spettrali
Stacked crates;Casse impilate
Stagnant fish display;Esposizione di pesci stagnanti
Stalagmites;Stalagmiti
Speartrap;Trappola di lancia
Spin Blades;Lame rotanti
Spinning pipe;Tubo rotante
Spinning wheel;Ruota che gira
Spirit tree;Albero dello spirito
Sq'irk tree;Albero di Sq'irk
Square shield;Scudo quadrato
Stand;In piedi
Standard;Standard
Smoking vent;Sfiato per fumatori
Soil;Suolo
Sparkling pool;Piscina scintillante
Spikey chain;Catena appuntita
Spine mushroom;Fungo della colonna vertebrale
Spirit Angler stats;Statistiche del Pescatore spirituale
Spit roast;Arrosto allo spiedo
Stacked barrels;Botti impilate
Stalagmite;Stalagmite
Spade;Vanga
Spirit Tree Stump;Ceppo dell'albero dello spirito
Spirit tendrils;Viticci spirituali
Soil patch;Toppa di terreno
Soul Obelisk;Obelisco dell'anima
Soul Wars Portal;Portale delle guerre dell'anima
Spiderwebs;Ragnatele
Spiritual Fairy Tree;Albero delle fate spirituale
Staff barrel;Barile del personale
Stained-glass window;Vetrata
Staircase;Scala
Snape grass seedling;Piantina di erba di Snape
Snow;Nevicare
Snowfall;Nevicata
Spice stall;Bancarella delle spezie
Spider eggs;Uova di ragno
Spike hidden;Spike nascosto
Spiked pit;Fossa chiodata
Spirit Tree;Albero dello Spirito
Solid bronze door;Porta in bronzo massiccio
Spikes;Picchi
Spork;Spork
Spotlight;Riflettore
Spray;Spray
Sofa;Divano
Solid black door;Porta nera solida
Spirit pump;Pompa a spirito
Stacked Boxes;Scatole impilate
Stair Space;Spazio per le scale
Smoke;Fumo
Snape grass plant;Pianta di erba di Piton
Snow jump;Salto nella neve
Solid steel door;Porta in acciaio massiccio
Snowdrop patch;Toppa di bucaneve
Spike trap;Trappola a spillo
Sprouting Roots;Radici che germogliano
Stairs;Scale
Stalactite;Stalattite
Soul Altar;Altare dell'Anima
Soul boat;Barca dell'anima
Space;Spazio
Specimen;Campione
Spinning Machine;Filatoio
Smoke Crystal;Cristallo di fumo
Soldier;Soldato
Solid gold door;Porta in oro massiccio
Specimen tray;Vassoio per campioni
Spinning blades;Lame rotanti
Spinning pole;Polo rotante
Staff of Bob the Cat;Bastone di Bob il gatto
Solid silver door;Porta in argento massiccio
Soul Devourer;Divoratore di anime
Soul rift;Spaccatura dell'anima
Specimen table;Tabella dei campioni
Stall;Stallo
Snake;Serpente
Snow drift;Deriva della neve
Spear wall;Muro di lancia
Sphinx;Sfinge
Spice Rack;Portaspezie
Spiny bush;Cespuglio spinoso
Stagnant Lake;Lago stagnante
Stairs down;Scale giù
Stairs up;Scale su
Stairwell;Tromba delle scale
Statue of Saradomin;Statua di Saradomino
Steel dragon;Drago d'acciaio
Stepping Stone;Pietra miliare
Stone Ladder;Scala di pietra
Stone pool;Piscina in pietra
Storage space;Spazio di archiviazione
Standing Torch;Torcia permanente
Statue of a warrior;Statua di un guerriero
Stepping stones;Pietre miliari
Stone signpost;Segnavia in pietra
Stepping log;Registro dei passi
Stone chest;Cassapanca in pietra
Stone wall;Muro di pietra
Storage crate;Cassa di stoccaggio
Strange looking stone;Pietra dall'aspetto strano
Standing stone;Pietra eretta
Statuette Plinth;Plinto per statuetta
Stepping stone;Trampolino di lancio
Stone Pile;Mucchio di pietra
Stone crate;Cassa di pietra
Standing spears;Lance in piedi
Statue of a queen;Statua di una regina
Statuette in alcove;Statuetta in alcova
Stick and hoop;Bastone e cerchio
Stinking tendrils;Viticci puzzolenti
Stone Mechanism;Meccanismo di pietra
Stone Tablet;Tavoletta di pietra
Stormram;Stormram
Star chart;Mappa stellare
Statue of Zamorak;Statua di Zamorak
Statue plinth;Basamento della statua
Steel cage;Gabbia in acciaio
Stone Gate;Porta di pietra
Stone space;Spazio di pietra
Strange floor;Pavimento strano
Strange hole;Buco strano
Standing torch;Torcia fissa
Statue steps;Gradini della statua
Stone Staircase;Scala in pietra
Storeroom Door;Porta del ripostiglio
Stove space;Spazio stufa
Strange grid;Strana griglia
Statue;Statua
Statue Plinth;Plinto della statua
Steam_Pump;Vapore_Pompa
Steep roof;Tetto ripido
Stone table;Tavolo in pietra
Stop!;Fermare!
Strange Shell;Strana conchiglia
Statue of Guthix;Statua di Guthix
Steam generator;Generatore di vapore
Stone;Calcolo
Stone Pew;Banco di pietra
Stone arch;Arco in pietra
Stone crusher;Frantumatore di pietre
Strange blocks;Strani blocchi
Start;Inizio
Steam Generator;Generatore di vapore
Steeple;Campanile
Steps;Passi
Stone stand;Supporto in pietra
Stove;Stufa
Statue Space;Spazio della statua
Statue of a king;Statua di un re
Steel Chest;Cassapanca in acciaio
Stool;Sgabello
Stool hotspot;Punto caldo delle feci
Strange Bells;Strane campane
Sticks;Bastoni
Stile;Stile
Storage unit;Unità di stoccaggio
Strange Banana Tree;Strano albero di banane
Strange Tile;Strana piastrella
Statue of Baxtorian;Statua di Baxtoriano
Steam press;Pressa a vapore
Stone Plinth;Plinto in pietra
Stone ladder;Scala in pietra
Strange Egg;Strano uovo
Statue of Glarial;Statua di Glarial
Steam Pump;Pompa a vapore
Steam Vent;Sfiato del vapore
Steel range;Gamma in acciaio
Stepladder;Scaletta
Stone Door;Porta di pietra
Stone Relief;Rilievo in pietra
Stone block;Blocco di pietra
Statue space;Spazio delle statue
Stick;Bastone
Stone bridge;Ponte di pietra
Stone pedestal;Piedistallo in pietra
Stones;Pietre
Strange Machine;Strana macchina
Strange altar;Strano altare
Strange machine;Macchina strana
Statue with key;Statua con chiave
Stocks;Azioni
Stone circle wall;Muro del cerchio di pietre
Stone door;Porta in pietra
Stone tablet;Tavoletta di pietra
Storage shelves;Scaffali di stoccaggio
Sulliuscep sprout;Germoglio di Sulliuscep
Tanning line;Linea abbronzante
Tar Barrel;Barile di catrame
Tar buckets;Secchi di catrame
Strange pool;Strana piscina
Strawberry seed;Seme di fragola
Sweetcorn;Mais dolce
Sword space;Spazio della spada
Symbol;Simbolo
Symbol of Saradomin;Simbolo di Saradomin
Symbol of Zamorak;Simbolo di Zamorak
Table hotspot;Hotspot da tavolo
Suit of Armour;Armatura
Sulliuscep;Sulliuscep
Supply chest;Cassa di rifornimento
Swampy lamp;Lampada paludosa
Sweetgrub Sign;Segno di Sweetgrub
Tanning Barrel;Barile abbronzante
Tar barrel;Barile di catrame
Tchiki Monkey Nut Bush;Cespuglio di noci di scimmia Tchiki
Te salt;Ti sale
Strange plant;Pianta strana
Streak info;Informazioni sulla serie
Sturdy door;Porta robusta
Sulphur;Zolfo
Swings;Altalene
Sword in stone;Spada in pietra
Symbol of Guthix;Simbolo di Guthix
Table space;Spazio sul tavolo
Tailor's materials;Materiali del sarto
Tall mirror;Specchio alto
Sulphur Vent;Sfiato dello zolfo
Sunflower;Girasole
Table;Tavolo
Tall vine;Vite alta
Target;Bersaglio
Strange wall;Strano muro
Stump;Ceppo
Sturdy wooden gate;Cancello in legno robusto
Sweets;Dolci
Table and till;Tavolo e cassa
Tap;Rubinetto
Studded Leather;Pelle borchiata
Stuffed swordfish;Pesce spada ripieno
Tangle vine;Vite aggrovigliata
Sunflowers;Girasoli
Supermajority marker;Indicatore di maggioranza assoluta
Swamp;Pantano
Swamp tree branch;Ramo di un albero di palude
Switch;Interruttore
Swordshop Sign;Segno del negozio di spade
Tangle hidden;Groviglio nascosto
Tar Thing;Cosa del catrame
Strange stone;Strana pietra
Stronghold;Roccaforte
Study desk;Scrivania da studio
Sword case;Caso di spada
Stretcher;Barella
Support;Supporto
Swamp bubbles;Bolle di palude
Sweetcorn plant;Pianta di mais dolce
Tall tree;Albero alto
Strategy table;Tabella delle strategie
Strawberry;Fragola
Strawberry plant;Pianta di fragole
Students' art;L'arte degli studenti
Stump chair;Sedia a ceppo
Symbol of life;Simbolo della vita
Table saw;Sega da tavolo
Supporting Pillar;Pilastro di sostegno
Swords;Spade
Tall Reeds;Canne alte
Strange passage;Passaggio strano
Study Desk;Scrivania da studio
Super magic potion;Pozione super magica
Super ranging potion;Pozione super potente
Swamp paste;Pasta di palude
Swaying tree;Albero ondeggiante
Table parts;Parti della tavola
Tactical map frame;Cornice della mappa tattica
Strange shrine;Santuario strano
Strong Yew;Forte tasso
Sulphur vent;Sfiato dello zolfo
Swamp tree;Albero di palude
Swampy sink;Lavello paludoso
Sweetgrub Mound;Tumulo di Sweetgrub
Structural pillar;Pilastro strutturale
Suit of armour;Armatura
Sunken rowboat;Barca a remi affondata
Sweet;Dolce
Sweetcorn seed;Seme di mais dolce
Sword cabinet;Armadietto delle spade
Table blockade;Blocco dei tavoli
Strong Tree;Albero forte
Strut;Pavoneggiarsi
Supplies;Forniture
Suspicious footprints;Impronte sospette
Swamp Boaty;Palude Boaty
Tall Plant;Pianta alta
Tapestry;Arazzo
Tea stall;Bancarella del tè
Teak Tree;Albero in teak
Telekinetic Teleport;Teletrasporto telecinetico
The Cloister Bell;La campana del chiostro
The middle of a fireplace;Il centro di un camino
Thick vines;Viti fitte
Throne Room Door;Porta della Sala del Trono
Toadstool;Fungo velenoso
Tomato;Pomodoro
Torture Rack;Rack di tortura
Teak scratching post;Tiragraffi in teak
Teak table;Tavolo in teak
Teleport crystal;Cristallo di teletrasporto
Ticket Dispenser;Distributore di biglietti
Teak cape rack;Porta mantella in teak
Teak drawers;Cassetti in teak
Thorns;Spine
Tip jar space;Spazio nel barattolo della mancia
Tool Storage;Deposito attrezzi
Torch;Torcia
Ten;Dieci
Tent flap;Lembo della tenda
The Inferno;L'Inferno
Timber;Rivestire di legno
Tok-Xil;Tok-Xil
Tomb dolmen;Dolmen tombale
Teak birdhouse (empty);Casetta per uccelli in teak (vuota)
Telescope space;Spazio del telescopio
Temple Door;Porta del Tempio
Temple wall;Muro del tempio
Terminal;terminale
