Follow;Seguire
Add ignore prutlars47;Aggiungi ignora prutlars47
Add ignore Paladin Doop;Aggiungi ignora Paladin Doop
Add ignore Smoker_484;Aggiungi ignora Smoker_484
Add friend Saaguu;Aggiungi amico Saaguu
Add ignore NotN_MyMouth;Aggiungi ignora NotN_MyMouth
Add friend chxnoodsoup;Aggiungi amico chxnoodsoup
Add ignore BULLY xD;Aggiungi ignora BULLY xD
Add ignore DabehOfa;Aggiungi ignora DabehOfa
Add ignore p00pypie;Aggiungi ignora p00pypie
Add ignore BiSpy;Aggiungi ignora BiSpy
Add friend 3VO4;Aggiungi amico 3VO4
Add ignore Grimgrok26;Aggiungi ignora Grimgrok26
Add friend p00pypie;Aggiungi amico p00pypie
Add friend EMO POS;Aggiungi amico EMO POS
Add ignore zoublemaul;Aggiungi ignora zoublemaul
Add ignore Frantoon;Aggiungi ignora Frantoon
Add ignore Dantelieri;Aggiungi ignora Dantelieri
Add friend KingBlixky;Aggiungi amico KingBlixky
Add friend Genae;Aggiungi amico Genae
Add ignore Aged Jankem;Aggiungi ignora Aged Jankem
Add friend zoublemaul;Aggiungi amico zoublemaul
Add ignore IMATOBRO123;Aggiungi ignora IMATOBRO123
Add ignore Fouug;Aggiungi ignora Fouug
Add friend BakingCo;Aggiungi amico BakingCo
Add ignore Genae;Aggiungi ignora Genae
Add friend 3WoodLye;Aggiungi amico 3WoodLye
Add friend osrsgflv;Aggiungi amico osrsgflv
Add ignore IvorBromson;Aggiungi ignora IvorBromson
Add friend BrawnsBoi;Aggiungi amico BrawnsBoi
Add ignore Mage Truffle;Aggiungi ignora il tartufo magico
Add friend Benchouw2;Aggiungi amico Benchouw2
Add friend DabehOfa;Aggiungi amico DabehOfa
Add ignore Firefuryrose;Aggiungi ignora Firefuryrose
Add ignore jjiscool1;Aggiungi ignora jjiscool1
Add friend IMATOBRO123;Aggiungi amico IMATOBRO123
Add friend Fouug;Aggiungi amico Fouug
Add friend Ankou2389;Aggiungi amico Ankou2389
Add ignore LumenGrave;Aggiungi ignora LumenGrave
Add friend BULLY xD;Aggiungi amico BULLY xD
Add ignore Ankou2389;Aggiungi ignora Ankou2389
Add ignore rautakotkis;Aggiungi ignora rautakotkis
Add ignore chxnoodsoup;Aggiungi ignora chxnoodsoup
Add friend Env IRON;Aggiungi amico Env IRON
Add friend he who dares;Aggiungi amico chi osa
Add ignore PurejOor;Aggiungi ignora PurejOor
Add friend IvorBromson;Aggiungi amico IvorBromson
Add ignore 3VO4;Aggiungi ignora 3VO4
Add friend Aged Jankem;Aggiungi l'amico Aged Jankem
Add ignore Env IRON;Aggiungi ignora Env IRON
Add friend PurejOor;Aggiungi amico PurejOor
Add friend Firefuryrose;Aggiungi amico Firefuryrose
Add friend FlakPanzer95;Aggiungi amico FlakPanzer95
Add ignore 3WoodLye;Aggiungi ignora 3WoodLye
Add ignore EMO POS;Aggiungi ignora EMO POS
Add ignore db271;Aggiungi ignora db271
Add friend db271;Aggiungi amico db271
Add friend NotN_MyMouth;Aggiungi amico NotN_MyMouth
Add ignore KingBlixky;Aggiungi ignora KingBlixky
Add friend LumenGrave;Aggiungi amico LumenGrave
Add ignore NOBARA03;Aggiungi ignora NOBARA03
Add friend Dantelieri;Aggiungi amico Dantelieri
Add ignore osrsgflv;Aggiungi ignora osrsgflv
Add friend Jackm12;Aggiungi amico Jackm12
Add ignore Long Charm;Aggiungi Ignora fascino lungo
Add friend jjiscool1;Aggiungi amico jjiscool1
Add friend Long Charm;Aggiungi un amico a fascino lungo
Add friend NOBARA03;Aggiungi amico NOBARA03
Add friend Grimgrok26;Aggiungi amico Grimgrok26
Add ignore Jackm12;Aggiungi ignora Jackm12
Add friend BiSpy;Aggiungi amico BiSpy
Add friend rautakotkis;Aggiungi amico rautakotkis
Add ignore BakingCo;Aggiungi ignora BakingCo
Add ignore FlakPanzer95;Aggiungi ignora FlakPanzer95
Add friend Frantoon;Aggiungi amico Frantoon
Add ignore Benchouw2;Aggiungi ignora Benchouw2
Add friend Mage Truffle;Aggiungi amico Tartufo Mago
Add ignore BrawnsBoi;Aggiungi ignora BrawnsBoi
Add ignore he who dares;Aggiungi ignora chi osa
Add ignore Liddobread;Aggiungi ignora Liddobread
Add ignore myassishappy;Aggiungi ignora myassishappy
Add friend J-LO89;Aggiungi amico J-LO89
Add ignore J-LO89;Aggiungi ignora J-LO89
Add friend JibbaJabbaJo;Aggiungi amico JibbaJabbaJo
Add friend irritablevow;Aggiungi amico irritabile voto
Add ignore IronDairyMan;Aggiungi ignora IronDairyMan
Add friend IronDairyMan;Aggiungi amico IronDairyMan
Add friend PilaNosPes;Aggiungi amico PilaNosPes
Add friend Qataro;Aggiungi amico Qataro
Add friend NormalNaveed;Aggiungi amico NormalNaveed
Add ignore K1ngSlay3rr;Aggiungi ignora K1ngSlay3rr
Add friend K1ngSlay3rr;Aggiungi amico K1ngSlay3rr
Add friend i finna buss;Aggiungi amico i finna buss
Add friend Liddobread;Aggiungi amico Liddobread
Add friend jattshigh;Aggiungi amico jattshigh
Add friend JaliscoMex;Aggiungi amico JaliscoMex
Add ignore SucubusOfWar;Aggiungi ignora SucubusOfWar
Add friend naame2forget;Aggiungi amico nome2forget
Add ignore irritablevow;Aggiungi ignora irritabile voto
Add ignore JaliscoMex;Aggiungi ignora JaliscoMex
Add ignore JibbaJabbaJo;Aggiungi ignora JibbaJabbaJo
Add friend myassishappy;Aggiungi amico myassishappy
Add ignore jattshigh;Aggiungi ignora jattshigh
Add friend SucubusOfWar;Aggiungi amico SucubusOfWar
Add ignore Qataro;Aggiungi ignora Qataro
Add ignore naame2forget;Aggiungi ignora nome2dimentica
Add ignore PilaNosPes;Aggiungi ignora PilaNosPes
Add ignore i finna buss;Aggiungi ignora i finna buss
Add ignore NormalNaveed;Aggiungi ignora NormalNaveed
Dissolver;Dissolutore
Withdraw-22000000;Ritiro-22000000
Add friend whiteclaw96;Aggiungi amico whiteclaw96
Add friend wormnipples;Aggiungi i capezzoli vermi amici
Add ignore wormnipples;Aggiungi ignora i capezzoli
Add ignore whiteclaw96;Aggiungi ignora whiteclaw96
Add ignore HCIM KITAKER;Aggiungi ignora HCIM KITAKER
Add friend kkush4life;Aggiungi amico kkush4life
Add ignore Lorik337;Aggiungi ignora Lorik337
Add ignore Metalmass515;Aggiungi ignora Metalmass515
Add ignore HulesMcGules;Aggiungi ignora HulesMcGules
Add ignore Vegitto-Da;Aggiungi ignora Vegitto-Da
Add friend Tawksic91;Aggiungi amico Tawksic91
Add friend Vegitto-Da;Aggiungi amico Vegitto-Da
Add friend Falco Main;Aggiungi amico Falco Main
Add friend iBeFoxx;Aggiungi amico iBeFoxx
Add ignore Tawksic91;Aggiungi ignora Tawksic91
Add ignore kkush4life;Aggiungi ignora kkush4life
Add ignore IndolentHerr;Aggiungi ignora IndolentHerr
Add friend Lorik337;Aggiungi amico Lorik337
Add friend Fen Beid;Aggiungi l'amico Fen Beid
Add ignore Falco Main;Aggiungi ignora Falco principale
Add ignore YepGreg;Aggiungi ignora YepGreg
Add friend Fearddrkness;Aggiungi amico Fearddrkness
Add friend TwinFlames;Aggiungi amico TwinFlames
Add friend WreckeRalph;Aggiungi amico WreckeRalph
Add ignore SmartRegard;Aggiungi ignora SmartRegard
Add friend HCIM KITAKER;Aggiungi amico HCIM KITAKER
Add ignore matiainenn;Aggiungi ignora matiainenn
Add ignore Fehootie;Aggiungi ignora Fehootie
Add friend SmartRegard;Aggiungi amico SmartRegard
Add friend gennir 124;Aggiungi amico gennir 124
Add friend Ev1LShrek;Aggiungi amico Ev1LShrek
Remove friend Fayyasha;Rimuovi l'amica Fayyasha
Add friend Fell Silent;Aggiungi un amico Fell Silenzio
Add ignore Fell Silent;Aggiungi Ignora Feci silenzio
Add ignore iBeFoxx;Aggiungi ignora iBeFoxx
Add friend Metalmass515;Aggiungi amico Metalmass515
Add ignore Fearddrkness;Aggiungi ignora la Paura dell'Oscurità
Add friend HulesMcGules;Aggiungi amico HulesMcGules
Add ignore TheClawwwg;Aggiungi ignora TheClawwwg
Add friend Snook10;Aggiungi amico Snook10
Add friend Kurt Nir3;Aggiungi amico Kurt Nir3
Add ignore PhatPhlap;Aggiungi ignora PhatPhlap
Add ignore goosedrool;Aggiungi ignora la bava d'oca
Add ignore Yewdragon33;Aggiungi ignora Yewdragon33
Add friend Fayyasha;Aggiungi l'amico Fayyasha
Add ignore eyeronSkyler;Aggiungi ignora eyeronSkyler
Add friend Qualena;Aggiungi l'amico Qualena
Add ignore Jxper;Aggiungi ignora Jxper
Add ignore Qualena;Aggiungi ignora Qualena
Add friend Jxper;Aggiungi amico Jxper
Add friend FPwnJr;Aggiungi amico FPwnJr
Add friend Yewdragon33;Aggiungi amico Yewdragon33
Add friend mackatt79;Aggiungi amico mackatt79
Add friend F14SH_177;Aggiungi amico F14SH_177
Add friend EL_FASTASMAS;Aggiungi amico EL_FASTASMAS
Add ignore Snook10;Aggiungi ignora Snook10
Add friend YepGreg;Aggiungi amico SìGreg
Add friend Pregnantkbd;Aggiungi amico Pregnantkbd
Add friend robbdawgg;Aggiungi amico robbdawgg
Add ignore ix zer0 xi;Aggiungi ignora ix zer0 xi
Add friend F1ND1NGN3M0;Aggiungi amico F1ND1NGN3M0
Add friend IndolentHerr;Aggiungi amico IndolentHerr
Add ignore TSPsychotic;Aggiungi ignora TSPsycotic
Add ignore Ev1LShrek;Aggiungi ignora Ev1LShrek
Add ignore robbdawgg;Aggiungi ignora robbdawgg
Add ignore OSRSrockstar;Aggiungi ignora OSRSrockstar
Add friend ix zer0 xi;Aggiungi amico ix zer0 xi
Add friend eyeronSkyler;Aggiungi amico eyeronSkyler
Add friend MysticalGato;Aggiungi amico MysticalGato
Add ignore WreckeRalph;Aggiungi ignora WreckeRalph
Add ignore dua baji;Aggiungi ignora dua baji
Add ignore gennir 124;Aggiungi ignora gennir 124
Add friend TheClawwwg;Aggiungi amico TheClawwwg
Add friend TSPsychotic;Aggiungi amico TSPsychotic
Add ignore FPwnJr;Aggiungi ignora FPwnJr
Add ignore EL_FASTASMAS;Aggiungi ignora EL_FASTASMAS
Add ignore TwinFlames;Aggiungi ignora TwinFlames
Add friend PhatPhlap;Aggiungi amico PhatPhlap
Add friend goosedrool;Aggiungi la bava d'oca dell'amico
Add ignore Pregnantkbd;Aggiungi ignora Pregnantkbd
Add ignore Fayyasha;Aggiungi ignora Fayyasha
Add ignore mackatt79;Aggiungi ignora mackatt79
Add ignore F1ND1NGN3M0;Aggiungi ignora F1ND1NGN3M0
Add ignore F14SH_177;Aggiungi ignora F14SH_177
Add friend matiainenn;Aggiungi amico matiainenn
Add friend Fehootie;Aggiungi amico Fehootie
Add friend dua baji;Aggiungi l'amico dua baji
Add ignore Fen Beid;Aggiungi ignora Fen Beid
Add ignore MysticalGato;Aggiungi ignora MysticalGato
Add ignore Kurt Nir3;Aggiungi ignora Kurt Nir3
Add friend OSRSrockstar;Aggiungi amico OSRSrockstar
Add ignore DeRobertC;Aggiungi ignora DeRobertC
Add ignore Artemis460;Aggiungi ignora Artemis460
Add friend Berrenta;Aggiungi amico Berrenta
Add friend CCoLa1;Aggiungi amico CCoLa1
Add friend deathur5;Aggiungi amico deathur5
Add ignore MAusuiy;Aggiungi ignora MAusuiy
Add friend Creptarnk;Aggiungi amico Creptank
Add ignore MobileSafer;Aggiungi ignora MobileSafer
Add ignore Creptarnk;Aggiungi ignora Creptank
Add friend Drivemind99;Aggiungi amico Drivemind99
Add friend B J O N ES;Aggiungi l'amico B J O N ES
Add friend Ulmandur;Aggiungi amico Ulmandur
Remove friend Paladin Doop;Rimuovi l'amico Paladin Doop
Add friend soh wretched;Aggiungi un amico, che disgraziato
Add ignore Carihawk54;Aggiungi ignora Carihawk54
Add friend KatanaKatz;Aggiungi amico KatanaKatz
Add ignore basketluvr;Aggiungi ignora basketluvr
Add friend Ch1ldOfGawd;Aggiungi amico Ch1ldOfGawd
Add friend aceminion;Aggiungi aceminion amico
Add ignore NotMePlayin;Aggiungi ignora NotMePlayin
Add friend Rox R7;Aggiungi l'amico Rox R7
Add ignore Germergenmuf;Aggiungi ignora Germergenmuf
Remove friend OSRSrockstar;Rimuovi amico OSRSrockstar
Add friend sdkflhs3;Aggiungi amico sdkflhs3
Add ignore Atlasleeuwx;Aggiungi ignora Atlasleeuwx
Add friend Atlasleeuwx;Aggiungi amico Atlasleeuwx
Add ignore Abby55551;Aggiungi ignora Abby55551
Add friend LADY FOOFOO;Aggiungi amico LADY FOOFOO
Add ignore Lady_Ratmore;Aggiungi ignora Lady_Ratmore
Add friend Drexter17;Aggiungi amico Drexter17
Add ignore B J O N ES;Aggiungi ignora B J O N ES
Add ignore CodemanSlim;Aggiungi ignora CodemanSlim
Add friend Aotrosego;Aggiungi amico Aorosego
Add ignore LADY FOOFOO;Aggiungi ignora LADY FOOFOO
Add ignore Rox R7;Aggiungi ignora Rox R7
Add ignore soh wretched;Aggiungi ignora, quindi disgraziato
Add ignore meet tip;Aggiungi il suggerimento per ignorare l'incontro
Add friend MobileSafer;Aggiungi amico MobileSafer
Add ignore HighGuySly;Aggiungi ignora HighGuySly
Add ignore Phegalofi;Aggiungi ignora Phegalofi
Add friend The Scholar;Aggiungi amico The Scholar
Add ignore Riffmage;Aggiungi ignora Riffmage
Add friend MAusuiy;Aggiungi amico MAusuiy
Add ignore Ironatemunch;Aggiungi ignora Ironatemunch
Add ignore Sugmite;Aggiungi ignora suggerimento
Add friend HighGuySly;Aggiungi amico HighGuySly
Add friend RSN_DRiiiP;Aggiungi amico RSN_DRiiiP
Add ignore Dutchizm;Aggiungi ignora Dutchizm
Add ignore Drivemind99;Aggiungi ignora Drivemind99
Add friend LilSlippers;Aggiungi amico LilSlippers
Add ignore LilSlippers;Aggiungi ignora LilSlippers
Add friend basketluvr;Aggiungi amico basketluvr
Add friend Abby55551;Aggiungi amico Abby55551
Add ignore IronRyriku;Aggiungi ignora IronRyriku
Add friend CodemanSlim;Aggiungi amico CodemanSlim
Add ignore 7steelsword;Aggiungi ignora 7steelsword
Add friend Germergenmuf;Aggiungi amico Germergenmuf
Add ignore IM REDHAWK;Aggiungi ignora IM REDHAWK
Add friend Ironatemunch;Aggiungi amico Ironatemunch
Add friend 7steelsword;Aggiungi amico 7steelsword
Add ignore kinbred;Aggiungi ignora parentela
Add ignore Ulmandur;Aggiungi ignora Ulmandur
Add friend Bombtiger;Aggiungi amico Bombtiger
Add friend prenga6736;Aggiungi amico prenga6736
Add friend Sugmite;Aggiungi amico Suggerisci
Add ignore HugeJuggs5;Aggiungi ignora HugeJuggs5
Add ignore sdkflhs3;Aggiungi ignora sdkflhs3
Add friend humpndump69;Aggiungi amico humpndump69
Add ignore Berrenta;Aggiungi ignora Berrenta
Add ignore CCoLa1;Aggiungi ignora CCoLa1
Add ignore Alt 4 luck;Aggiungi ignora Alt 4 fortuna
Add ignore deathur5;Aggiungi ignora deathur5
Add ignore iw0wi;Aggiungi ignora iw0wi
Add friend H1LDRYN;Aggiungi amico H1LDRYN
Add friend iw0wi;Aggiungi amico iw0wi
Add friend NotMePlayin;Aggiungi amico NotMePlayin
Add ignore TankedHim;Aggiungi ignora TankedHim
Add friend IM REDHAWK;Aggiungi amico IM REDHAWK
Add friend Alt 4 luck;Aggiungi amico Alt 4 fortuna
Add ignore Sjse;Aggiungi ignora Sjse
Add ignore Dameblastop;Aggiungi ignora Dameblastop
Add ignore prenga6736;Aggiungi ignora prenga6736
Add friend Dutchizm;Aggiungi amico Dutchizm
Add ignore humpndump69;Aggiungi ignora humpndump69
Add friend Dameblastop;Aggiungi amico Dameblastop
Add friend wildly dan;Aggiungi un amico selvaggiamente dan
Add ignore Ch1ldOfGawd;Aggiungi ignora Ch1ldOfGawd
Add ignore The Scholar;Aggiungi ignora lo studioso
Add friend HugeJuggs5;Aggiungi amico HugeJuggs5
Add friend meet tip;Aggiungi un suggerimento per l'incontro con gli amici
Add ignore BldCardinal8;Aggiungi ignora BldCardinal8
Add friend Riffmage;Aggiungi amico Riffmage
Add friend Sjse;Aggiungi amico Sjse
Add friend BldCardinal8;Aggiungi amico BldCardinal8
Add friend Calisto0044;Aggiungi amico Calisto0044
Add friend kinbred;Aggiungi amico consanguineo
Add ignore SnakemanGIM;Aggiungi ignora SnakemanGIM
Add friend Lady_Ratmore;Aggiungi amico Lady_Ratmore
Add ignore H1LDRYN;Aggiungi ignora H1LDRYN
Add friend DmnKngCooler;Aggiungi amico DmnKngCooler
Add friend TankedHim;Aggiungi amico TankedHim
Add ignore Aotrosego;Aggiungi ignora Aotrosego
Add ignore aceminion;Aggiungi ignora aceminion
Add ignore Bombtiger;Aggiungi ignora Bombtiger
Add friend dannnit;Aggiungi amico, dannazione
Add ignore RSN_DRiiiP;Aggiungi ignora RSN_DRiiiP
Add friend IronRyriku;Aggiungi amico IronRyriku
Add ignore KatanaKatz;Aggiungi ignora KatanaKatz
Add ignore Calisto0044;Aggiungi ignora Calisto0044
Add ignore Drexter17;Aggiungi ignora Drexter17
Add ignore DmnKngCooler;Aggiungi ignora DmnKngCooler
Add friend SnakemanGIM;Aggiungi amico SnakemanGIM
Add ignore dannnit;Aggiungi ignora, dannazione
Add friend Carihawk54;Aggiungi amico Carihawk54
Add friend Artemis460;Aggiungi amico Artemis460
Add ignore wildly dan;Aggiungi ignora selvaggiamente dan
Add friend DeRobertC;Aggiungi amico DeRobertC
Add friend Phegalofi;Aggiungi amico Phegalofi
Change icon (clue);Cambia icona (indizio)
Default quantity: 22,000,000;Quantità predefinita: 22.000.000
Deposit-22000000;Deposito-22000000
Implantar;Implantare
Aparar;Aparar
Desembarcar;Sbarco
Modificar;Modificatore
Navegar;Navegar
Escapar;Fuga
Retirar;Ritirarsi
Depósito-carga;Deposito-carica
Select <col=ff9040>Ectoplasmator</col>;Seleziona <col=ff9040>Ectoplasmatore</col>
Select <col=ff9040>10 Tokens/Blighted entangle sack</col>;Seleziona <col=ff9040>10 gettoni/sacco intralciante rovinato</col>
Select <col=ff9040>Blighted entangle sack</col>;Seleziona <col=ff9040>Sacco intralciato rovinato</col>
Sacrifice-fragments;Frammenti di sacrificio
Select <col=ff9040>Blighted teleport spell sack</col>;Seleziona <col=ff9040>Sacco di incantesimo di teletrasporto rovinato</col>
Select <col=ff9040>30 Tokens/Spoils of war</col>;Seleziona <col=ff9040>30 gettoni/bottino di guerra</col>
Select <col=ff9040>Blighted ancient ice sack</col>;Seleziona <col=ff9040>Antico sacco del ghiaccio rovinato</col>
Select <col=ff9040>2500 Tokens/Soul cape</col>;Seleziona <col=ff9040>2500 gettoni/mantello dell'anima</col>
Select <col=ff9040>Spoils of war</col>;Seleziona <col=ff9040>Bottino di guerra</col>
Código de resgate;Codice di resgate
Itens de férias;Itens de ferias
Buy: 3 x Trout;Acquista: 3 trote
Switch <col=ff8040>334</col>;Cambia <col=ff8040>334</col>
Torre de Vigia;Torre di Vigia
Vez;Vez
View journal <col=ff981f>Gertrude's Cat</col>;Visualizza il diario <col=ff981f>Il gatto di Gertrude</col>
Gatinho;Gatinho
Prancha de compra;Prancha de compra
Release all placeholders (16);Rilascia tutti i segnaposto (16)
AKR;AKR
Switch <col=ff8040>370</col>;Cambia <col=ff8040>370</col>
Leave <col=ff8040>Fishing Trawler</col> channel;Lascia il canale <col=ff8040>Peschereccio</col>
Default quantity: 45;Quantità predefinita: 45
Sacrifício;Sacrificio
O Pandemônio;O Pandemonio
Pegue-barco;Pegue-barco
Ponto Musa;Ponto Musa
Dê-Espada;Dê-Espada
Campainha;Campainha
Hackear;Hackear
Casa de amigo;Casa dell'amico
Munição;Muniçao
Modo de construção;Modo di costruzione
Anel;Anel
Última visita;Ultima visita
Sonhar;Sonhar
Adicionar casa;Aggiungi casa
Página inicial;Pagina iniziale
Check Totals;Controlla i totali
Martelo;Martelo
View Log;Visualizza registro
Completo;Completo
Clues Collections;Collezioni di indizi
View Tasks Dashboard;Visualizza la dashboard delle attività
Visit;Visita
Climb-off;Salita
RuneProfile;Profilo runico
Alimentar;Alimentare
Ajuda;Ajuda
Misturas Take-5;Mistura Take-5
Mistura para tomar;Mistura para tomar
Take-10 misturas;Prendi 10 miscele
Reset time;Reimposta l'ora
Minerar;Minerario
Resumo do Personagem;Riassunto del personaggio
Abrir Ajudante de Atividades;Abrir Ajudante de Atividades
Lista de Quests;Elenco delle missioni
Alterar Corrida;Alterare la Corrida
Magias;Magia
Para o Norte;Para o Norte
Colosseum;Colosseo
Duel Arena;Arena del Duello
Negociar;Negoziare
Entrar;Entra
Rastelar;Rastello
Abrir Loja;Abrir Loja
Vasculhar;Vasculhar
Escolher Feitiço;Escolher Feitiço
Equipamentos;Attrezzature
Retirar-Tudo;Retirar-Tudo
Depositar-Tudo;Depositar-Tudo
Depositar-X;Depositario-X
Depositar-10;Depositario-10
Depositar-5;Depositario-5
Depositar-1;Depositario-1
Gerenciar Conta;Gestire Conta
Viajar;Viajar
Itens Equipados;Itens Equipados
Músicas;Musica
Quantidade padrão: Todos;Quantità di padre: Todos
Esconder Menu;Menù Esconder
Quantidade padrão: 5;Quantità di denaro: 5
Quantidade padrão: 10;Quantità di denaro: 10
Mostrar Menu;Mostra Menù
Expandir;Espanditore
Mostrar tutorial;Mostra tutorial
Depositar Invetário;Depositario dell'investimento
Ver tag;Etichetta ver
Esvaziar itens;Esvaziar itens
Esvaziar;Esvaziar
Beber de;Beber de
Charte para Porto Khazard;Carta per Porto Khazard
Seu Clã;Seu Cla
Grupo;Gruppo
Veja outro Clã;Veja outro Clà
Ofertar;Ofertar
Customizar;Personalizza
Digite a Quantidade;Digitare una quantità
Quantidade padrão: 1;Quantità di denaro: 1
Voltar;Voltar
Preço médio;Prezzo medio
Ver itens mantidos na morte;Ver itens mantidos na morte
Depositar itens Equipados;Deposita oggetti equipaggiati
Chamar Seguidor;Chamar Seguidor
Pregar;Pregare
Ver guia de preços;Vedi la guida dei prezzi
Histórico;Storico
Saltar para baixo;Saltar para baixo
Configurações de bloqueio de depósito;Configurazioni del blocco del deposito
Bater na Porta;Bater na Porta
Florescer;Florescer
Elenco Flor;Elenco Flor
Aldeia dos Videntes;Aldeia dos Videntes
Camelo;Camelo
Esconder Itens Equipados;Esconder Itens Equipados
Fechar Ajudante de Atividades;Fechar Ajudante de Atividades
Colocar dentro;Colocar dentro
Favorite;Preferito
Show more;Mostra di più
Arrombar;Arrombar
Mudar de Nome;Mudar de Nome
Retirar-1000;Ritirare-1000
Sell: 1 x Xerician hat;Vendo: 1 cappello xericiano
Orar;Orario
Oferta;Oferta
Buy: 3 x Shattered cannon ornament kit;Acquista: 3 kit di decorazioni per cannoni in frantumi
Buy: 1 x Mystic hat (light);Acquista: 1 x Cappello mistico (leggero)
Change icon (runas);Cambia icona (rune)
Change icon (teleport);Cambia icona (teletrasporto)
Change icon (seed);Cambia icona (seme)
Mos Le'Harmless;Mos Le'Harmless
Charter-to Mos Le'Harmless;Charter-to Mos Le'Harmless
Charter-to Port Tyras;Charter per il porto di Tyras
Port Tyras;Porto Tyras
Transport;Trasporto
Sew;Cucire
Toggle-warning;Attiva/disattiva avviso
Task;Compito
Set Hotkey (Not set);Imposta tasto di scelta rapida (non impostato)
Float;Galleggiante
Tosquiar;Tosquiar
Fornalha;Fornalha
Buy: 1 x Eye of newt;Acquista: 1 x Occhio di tritone
Buy: 1 x Raw herring;Acquista: 1 x Aringa cruda
Change icon (rocks);Cambia icona (rocce)
Verifique elogios;Verifica gli elogi
Default quantity: 150;Quantità predefinita: 150
Use Suggested Settings;Utilizza le impostazioni suggerite
Castle Drakan;Castello Drakan
Ponder;Riflettere
Mine-through;Mina attraverso
Pray-to;Pregate
Acknowledge;Riconoscere
Pull-lever;Tirare la leva
Take it;Prendilo
View <col=ff9040>Castle Map</col>;Visualizza la <col=ff9040>Mappa del castello</col>
Place-item;Posiziona elemento
Rotate Anticlockwise;Ruota in senso antiorario
Rotate Clockwise;Ruota in senso orario
Remove-emblem;Rimuovi emblema
Leave it;Lascialo
Drag;Lagna
Take them;Prendili
Discard-1;Scarta-1
Discard-5;Scarta-5
Discard-10;Scarta-10
Discard-50;Scarta-50
Take-supplies;Prendere rifornimenti
Harvest-from;Vendemmia da
Wrangle;Litigare
BLS;BLS
Sell: 5 x Goblin mail;Vendi: 5 x posta Goblin
Interface;Interfaccia
Rede;Rede
Trocar de mundo;Trocar de mundo
Reivindicar;Reivindicar
Take-Vial;Take-Vial
Take-Meat;Prendi carne
Enviar Mensagem;Invia messaggio
Modificar Oferta;Modificatore Oferta
Classificação;Classificazione
Espectador;Spettatore
Barbear;Barbaro
Desenterrar;Disterrare
Rezar;Rezar
Girar no sentido horário;Girar no sentido horario
Girar no sentido anti-horário;Girar no sentido anti-horário
Admirar;Ammiraglio
Sentado;Sentito
Shoot-at;Spara
Reverter;Convertitore
Menu Teleporte;Menù Teletrasporto
Modo Desafio;Modo Desafio
Metamorfose;Metamorfosi
Trabalhar em;Trabalhar em
Atualizar;Aggiornare
Lithkren;Lithkren
Remover decorações;Rimuovere le decorazioni
-6%;-6%
+6%;+6%
Buy: 30 x Saradomin brew(4);Acquista: 30 x Infuso Saradomin(4)
Buy: 1 x Amulet of strength;Acquista: 1 Amuleto della forza
Show less;Mostra meno
Pull-back;Tirarsi indietro
Give-feathers;Regala piume
Trade-teeth;Denti commerciali
Crystalise-potion;Pozione cristallizzante
Buy: 2 x Onion;Acquista: 2 x Cipolle
Sell: 1 x Bandos godsword;Vendi: 1 x spada divina Bandos
Withdraw-2,000;Prelievo-2.000
Configuração;Configurazione
Procure por armadilhas;Procurati degli armadilli
Extinguir;Estinguere
Buy: 100 x Bronze arrowtips;Acquista: 100 punte di freccia in bronzo
Withdraw-605;Ritiro-605
Default quantity: 605;Quantità predefinita: 605
Deposit-605;Deposito-605
Ofertar<col=ff9040>;Offerta<col=ff9040>
Change icon (boses);Cambia icona (bos)
Sync (Right-click Search);Sincronizzazione (cerca tramite clic con il pulsante destro del mouse)
Buy: 1 x Blighted manta ray;Acquista: 1 x Manta rovinata
Buy: 1 x Leather body;Acquista: 1 x corpo in pelle
Buy: 1 x Climbing boots;Acquista: 1 x scarponi da arrampicata
Buy: 20 x Dragon thrownaxe;Acquista: 20 asce lanciate dal drago
Buy: 300 x Amethyst arrow;Acquista: 300 frecce di ametista
Buy: 10 x Dragon knife;Acquista: 10 coltelli Dragon
Buy: 1 x Ring of wealth (5);Acquista: 1 x Anello della ricchezza (5)
Buy: 1 x Amulet of glory(6);Acquista: 1 x Amuleto della gloria(6)
Buy: 1 x Ranging potion(4);Acquista: 1 x Pozione mobile(4)
Buy: 1 x Anti-venom(4);Acquista: 1 x Anti-veleno(4)
Buy: 100 x Rune knife(p++);Acquista: 100 x Coltello runico(p++)
Buy: 1 x Red d'hide chaps;Acquista: 1 x Ghette Red d'hide
Buy: 1 x Coif;Acquista: 1 cuffia
Release all placeholders (69);Rilascia tutti i segnaposto (69)
Select <col=ff9040>Blighted vengeance sack</col>;Seleziona <col=ff9040>Sacco della vendetta rovinato</col>
Select <col=ff9040>Soul cape</col>;Seleziona <col=ff9040>Mantello dell'anima</col>
Select <col=ff9040>Blighted karambwan</col>;Seleziona <col=ff9040>Karambwan rovinato</col>
Select <col=ff9040>Blighted manta ray</col>;Seleziona <col=ff9040>Manta rovinata</col>
Deposit-9000000;Deposito-9000000
Padrão;Padrão
Wipe;Pulire
Seek;Cercare
Sign up;Iscrizione
Max/Med;Massimo/Medio
Join fight;Unisciti alla lotta
Zerker;Zeker
Deposit-124000;Deposito-124000
Withdraw-124000;Prelievo-124000
Toggle set effect;Attiva/disattiva l'effetto impostato
<col=ff0000>Delete tag tab;<col=ff0000>Elimina scheda tag
CIP;CIP
Take pages;Prendi le pagine
