 Sneaky undead fowl;Uccelli non morti subdoli
Root;Radice
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross e Ben
Rowdy Guard;Guardia turbolenta
Rowdy dwarf;Nano turbolento
Rowdy slave;Schiavo turbolento
Roy;Roy
Roy jr.;Roy Jr.
Royal Guard;Guardia Reale
Ruantun;Ruantun
Ruby harvest;Raccolto di rubini
Rufus;Rufus
Rug Merchant;Mercante di tappeti
Runa;Runa
Rune dragon;Drago runico
Runite Golem;Golem runico
Runite Minor;Runite Minore
Runite ore;Minerale di runite
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Rupert la barba
Rusty;Arrugginito
Saba;Saba
Sabeil;Sabeil
Saboteur;Sabotatore
Sabre-toothed kebbit;Kebbit dai denti a sciabola
Sabre-toothed kyatt;Kyatt dai denti a sciabola
Sabreen;Sabreen
Sacrifice;Sacrificio
Sadwrn;Triste
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Safalaan Hallow
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Marinaio
Salarin the twisted;Salarin il contorto
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalon
Sand Crab;Granchio di sabbia
Sand Snake;Serpente di sabbia
Sand Snake (hard);Serpente delle sabbie (difficile)
Sand storm;Tempesta di sabbia
Sandicrahb;Sandicrahb
Sandwich lady;Signora dei panini
Sandy;Sabbioso
Sandy Boulder;Masso sabbioso
Sandy rocks;Rocce sabbiose
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Zaffiro glaciale
Sarachnis;Sarachnis
Saradomin priest;Sacerdote Saradomin
Saradomin wizard;Mago Saradomin
Saradominist recruiter;Reclutatore saradominista
Sarah;Sara
Sarble;Sarble
Sarius Guile;Sario Guile
Saro;Saro
Sassilik;Sassilik
Savant;Sapiente
Sawmill Operator;Operatore di segheria
Sawmill operator;Operatore di segheria
Sbott;Sbott
Scabaras;Scabara
Scarab mage;Mago scarabeo
Scarab swarm;Sciame di scarabei
Scarabs;Scarabei
Scared skavid;Skavid spaventato
Scarg;Scarg
Scavenger beast;Bestia spazzina
Scavvo;Scavvo
Schoolboy;Scolaro
Schoolgirl;Studentessa
Scion;Scione
Scorpia;Scorpione
Scorpia's guardian;Il guardiano dello Scorpione
Scorpia's offspring;La progenie dello Scorpione
Scorpion;Scorpione
Scout;Esploratore
Screaming banshee;Banshee urlante
Screaming twisted banshee;Banshee contorta e urlante
Scrubfoot;Piede fregato
Sea Snake Hatchling;Cucciolo di serpente marino
Sea Snake Young;Serpente di mare giovane
Sea Troll General;Generale dei Troll del Mare
Sea Troll Queen;Regina dei troll marini
Sea slug;Lumaca di mare
Sea slugs display;Esposizione di lumache di mare
Sea troll;Troll di mare
Seagull;Gabbiano
Seaman Lorris;Il marinaio Lorris
Seaman Morris;Il marinaio Morris
Seaman Thresnor;Il marinaio Thresnor
Secretary;Segretario
Security Guard;Guardia di sicurezza
Seddu;Seddu
Sedridor;Sedridor
Seer;Veggente
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Sereno
Sergeant;Sergente
Sergeant Damien;Sergente Damiano
Sergeant Grimspike;Sergente Grimspike
Sergeant Mossfists;Sergente Pugnimuschio
Sergeant Ricardo;Sergente Ricardo
Sergeant Sambur;Sergente Sambur
Sergeant Slimetoes;Sergente Slimetoes
Sergeant Steelwill;Sergente Steelwill
Sergeant Strongstack;Sergente Strongstack
Sergiu;Sergio
Servant;Servo
Servery assistant;Assistente di servizio
Seth;Set
Seth Groats;Seth Groat
Shade;Ombra
Shade Spirit;Spirito dell'Ombra
Shadow;Ombra
Shadow Hound;Segugio dell'Ombra
Shadow Wyrm;Drago d'Ombra
Shadow spider;Ragno ombra
Shadow warrior;Guerriero dell'ombra
Shadowy figure;Figura oscura
Shady figure;Figura losca
Shaeded Beast;Bestia ombreggiata
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Guardia Shantay
Sharimika;Sharimika
Shark;Squalo
Shayda;Shayda
Shayzien Infiltrator;Infiltrato Shayzien
Sheep;Pecora
Sheepdog;Cane da pastore
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Maestro dello scudo
Shifter;Cambio
Shilop;Shilop
Shipyard worker;Operaio del cantiere navale
Shiratti the Custodian;Shiratti il ​​Custode
Shop assistant;Assistente di negozio
Shop keeper;Negoziante
Shura;Shura
Siamun;Siamun
Sian;Sian
Sid;Sid
Siegfried Erkle;Sigfrido Erkle
Sigbert the Adventurer;Sigbert l'avventuriero
Sigismund;Sigismondo
Sigli the Huntsman;Sigli il Cacciatore
Sigmund;Sigmund
Sigmund The Merchant;Sigmund il mercante
Sigmund and Zanik;Sigmund e Zanik
Signy;Signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Mercante di seta
Silk trader;Commerciante di seta
Silver Cog Director;Direttore dell'Ingranaggio d'Argento
Silver Cog Secretary;Segretario dell'Ingranaggio d'Argento
Silver merchant;Mercante d'argento
Silver ore;Minerale d'argento
Simon;Simone
Simon Templeton;Simone Templeton
Simona;Simona
Sin Seer;Veggente del peccato
Sinclair;Sinclair
Sinclair Guard dog;Cane da guardia Sinclair
Sinco Doar;Sinco Porta
Sinister Stranger;Straniero sinistro
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Carl;Signore Carlo
Sir Gawain;Sir Gawain
Sir Harry;Signore Harry
Sir Jerro;Signor Jerro
Sir Kay;Signore Kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Signor Lancillotto
Sir Leye;Signore Leye
Sir Lucan;Signor Lucano
Sir Mordred;Signore Mordred
Sir Palomedes;Signor Palomede
Sir Pelleas;Signor Pelleas
Sir Percival;Signore Percival
Sir Prysin;Signore Prysin
Sir Rebral;Signor Rebral
Sir Ren Itchood;Sir Ren Itchood
Sir Renitee;Signore Renitée
Sir Spishyus;Sir Spishyus
Sir Tiffy Cashien;Sir Tiffy Cashien
Sir Tinley;Sir Tinley
Sir Tristram;Sir Tristram
Sir Vyvin;Signore Vyvin
Sirsal Banker;Sirsal banchiere
Sister Aseret;Sorella Aseret
Sister Naoj;Sorella Naoj
Sister Salohcin;Sorella Salohcin
Sister Scarophia;Sorella Scarofia
Sister Senga;Sorella Senga
Sister Sevi;Sorella Sevi
Sister Soul Jar;Vaso dell'Anima Sorella
Sister Toen;Sorella Toen
Sister Yram;Sorella Yram
Sithik Ints;Sithik Int
Skavid;Skavid
Skeletal Mystic;Mistico scheletrico
Skeletal Wyvern;Viverna scheletrica
Skeletal miner;Minatore scheletrico
Skeleton;Scheletro
Skeleton Champion;Campione di scheletro
Skeleton Hellhound;Scheletro del segugio infernale
Skeleton Hellhound (hard);Scheletro Hellhound (difficile)
Skeleton Mage;Mago Scheletro
Skeleton brute;Bruto scheletro
Skeleton fremennik;Fremennik scheletro
Skeleton heavy;Scheletro pesante
Skeleton hero;Eroe scheletrico
Skeleton mage;Mago scheletro
Skeleton thug;Delinquente scheletrico
Skeleton warlord;Signore della guerra scheletro
Skippy;Skippy
Skogre;Skogre
Skotizo;Scotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Palla di teschio
Skullball Boss;Boss della palla di teschio
Skullball Trainer;Allenatore di palle di teschio
Slagilith;Slagilit
Slagilith (hard);Slagilith (difficile)
Slash Bash;Slash Bash
Slave;Schiavo
Sleeping Monkey;Scimmia addormentata
Sleeping guard;Guardia addormentata
Sleepwalker;Sonnambulo
Slieve;Slieve
Slim Louie;Il magro Louie
Slippers;Pantofole
Sloane;Sloane
Slug Hemligssen;Lumaca Hemligssen
Slug Prince;Il principe delle lumache
Small Lizard;Piccola lucertola
Small ninja monkey;Piccola scimmia ninja
Small zombie monkey;Piccola scimmia zombie
Smellytoes;Puzzolenti
Smiddi Ryak (hard);Smiddi Ryak (difficile)
Smith;Fabbro
Smithing apprentice;Apprendista fabbro
Smoggy;Smog
Smoke Devil;Diavolo del fumo
Smoke devil;Diavolo di fumo
Smokin' Joe;Joe che fuma
Smolcano;Smolcano
Snail display;Esposizione di lumache
Snake;Serpente
Snakeling;Serpente
Snow;Nevicare
Snowflake;Fiocco di neve
Snowy knight;Cavaliere delle nevi
Sofiya;Sofia
Soldier;Soldato
Soldier (tier 1);Soldato (livello 1)
Soldier (tier 2);Soldato (livello 2)
Soldier (tier 3);Soldato (livello 3)
Soldier (tier 4);Soldato (livello 4)
Soldier (tier 5);Soldato (livello 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Guardia Sophanem
Sophia Hughes;Sofia Hughes
Sorceress;Maga
Sorebones;Dolori
Sorin;Sorin
Sorrn;Mi dispiace
Sotetseg;Sotetseg
Soulless;Senza anima
Sourhog;Sourhog
Spang;Spang
Spawn;Generare
Spawn of Sarachnis;Progenie di Sarachnis
Spectator;Spettatore
Speedy Keith;Keith veloce
Sphinx;Sfinge
Spice seller;Venditore di spezie
Spider;Ragno
Spidine;Spidina
Spiked Turoth;Turoth chiodato
Spin Blades;Lame rotanti
Spined larupia;Larupia spinata
Spinner;Filatore
Spinolyp;Spinolipo
Spirit Angler;Pescatore di spiriti
Spirit of Scorpius;Spirito dello Scorpione
Spirit of Zadimus;Spirito di Zadimus
Spirit tree;Albero dello spirito
Spiritual mage;Mago spirituale
Spiritual ranger;Ranger spirituale
Spiritual warrior;Guerriero spirituale
Spit goblin;Folletto dello sputo
Spitting Wyvern;Viverna Sputante
Splatter;Schizzi
Spotted kebbit;Kebbit maculato
Spria;Spria
Spring Elemental;Elementale della Primavera
Squire;Scudiero
Squire (Intermediate);Scudiero (Intermedio)
Squire (Novice);Scudiero (Novizio)
Squire (Veteran);Scudiero (veterano)
Squirrel;Scoiattolo
Sraracha;Sraracha
Stag;Cervo
Stanford;Stanford
Stankers;Stanker
Star Sprite;Folletto della stella
Starflower;Fiore di stella
Starlight;Luce stellare
Steel dragon;Drago d'acciaio
Steve;Steve
Stick;Bastone
Stone Guardian;Guardiano di pietra
Stone mason;Muratore di pietra
Stonemason;Scalpellino
Storm Cloud;Nube temporalesca
Storm cloud;Nube di tempesta
Strange Old Man;Strano vecchio
Strange plant;Pianta strana
Strange watcher;Strano osservatore
Stranger;Sconosciuto
Straven;Straven
Stray dog;Cane randagio
Street urchin;Scugnizzo
Strong Ronny;Forte Ronny
Student;Studente
Stuliette;Stulietta
Stumpy;Tozzo
Stunned Hoop Snake;Serpente cerchio stordito
Stunted demonic gorilla;Gorilla demoniaco rachitico
Styrmir;Styrmir
Suit of armour;Armatura
Sulphur Lizard;Lucertola di zolfo
Summer Elemental;Elementale dell'Estate
Summoned Soul;Anima Evocata
Summoned Zombie;Zombie evocato
Sune;Sole
Superior ghostly thrall;Schiavo spettrale superiore
Superior skeletal thrall;Schiavo scheletrico superiore
Superior zombified thrall;Schiavo zombificato superiore
Supreme Commander;Comandante Supremo
Suqah;Suqah
Surgeon General Tafani;Chirurgo Generale Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Esperto di sopravvivenza
Suspect;Sospettare
Suspicious water;Acqua sospetta
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Granchio di palude
Swamp Priest;Sacerdote della palude
Swamp frog;Rana di palude
Swamp lizard;Lucertola di palude
Swamp snake;Serpente di palude
Swamp toad;Rospo di palude
Swampy log;Registro paludoso
Swan;Cigno
Swarm;Sciame
Sweeper;Spazzatrice
Swensen the Navigator;Swensen il navigatore
Swordchick;Spadaccino
Sylas;Sylas
Taiman;Taiman
Talia;Talia
Taloned Wyvern;Viverna artigliata
Tamayu;Tamayu
Tamble;Tamble
Tanglefoot;Tanglefoot
Tanglefoot (hard);Tanglefoot (difficile)
Tangleroot;Tangleroot
Tanner;Conciatore
Tanya;Tanja
Tar Bubbles;Bolle di catrame
Tar Monster;Mostro di catrame
Tarfol quo Maten;Tarfol quo Maten
Target;Bersaglio
Taria;Taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarquinio
Tassie Slipcast;Tassie Slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Tassidermista
Taylor;Taylor
Tayten;Tayten
Tea seller;Venditore di tè
Teacher;Insegnante
Teacher and pupil;Insegnante e allievo
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegido
Tektiny;Tecnologia
Tekton;Tekton
Tekton (enraged);Tekton (infuriato)
Telekinetic Guardian;Guardiano telecinetico
Temple Spider;Ragno del tempio
Temple guardian;Guardiano del tempio
Tempoross;Tempoross
Tentacle;Tentacolo
Tenzing;Tenzing
Teodor;Teodoro
Terror dog;Cane del terrore
Terror dog statue;Statua del cane del terrore
Terrorbird;Terroreuccello
Terrorbird display;Esposizione dell'uccello del terrore
Terrorchick gnome;Gnomo del terrore
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';Il 'Cuneo'
The Beast;La Bestia
The Collector;Il Collezionista
The Draugen;Il Draugen
The Everlasting;L'Eterno
The Everlasting (hard);L'Eterno (difficile)
The Face;Il Volto
The Fisher King;Il Re Pescatore
The Illusive;L'illusorio
The Inadequacy;L'inadeguatezza
The Inadequacy (hard);L'inadeguatezza (difficile)
The Jormungand;Il Jormungand
The Kendal;Il Kendal
The Kendal (hard);Il Kendal (difficile)
The Lady of the Lake;La Signora del Lago
The Maiden of Sugadinti;La fanciulla di Sugadinti
The Mimic;Il Mimico
The Monkey's Aunt;La zia della scimmia
The Monkey's Uncle;Lo zio della scimmia
The Nightmare;L'incubo
The Queen of Thieves;La regina dei ladri
The Shaikahan;Lo Shaikahan
The Untouchable;L'intoccabile
The Untouchable (hard);L'intoccabile (difficile)
Thermonuclear smoke devil;Diavolo di fumo termonucleare
Thessalia;Tessaglia
Thias Leacke;Thias Leacke
Thief;Ladro
Thing under the bed;Una cosa sotto il letto
Thingol;Thingol
Third Age Mage;Mago della Terza Era
Third Age Ranger;Ranger della terza età
Third Age Warrior;Guerriero della Terza Era
Thirus;Tiro
Thistle;Cardo
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Thora il barista
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Barbadiseta
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald il Guerriero
Thrantax the Mighty;Thrantax il Potente
Thrower Troll;Troll lanciatore
Thrower troll;Troll lanciatore
Thug;Delinquente
Thumpy;Tonfoso
Thurgo;Turgo
Thyria;Tiria
Tiadeche;Tiadeche
Ticket Merchant;Commerciante di biglietti
Ticket dwarf;Nano dei biglietti
Ticket goblin;Folletto dei biglietti
Tide;Marea
Tiles;Piastrelle
Tilt;Inclinare
Tim;Tim
Timallus;Timallo
Timble;Timble
Timfraku;Timfraku
Tin ore;Minerale di stagno
Tina;Tina
Tindar;Tindaro
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Torpe di stagno
Tiny Tempor;Piccolo Tempo
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tommaso Lawry
Tombar;Tombar
Tommy 2-times;Tommy 2 volte
Tool Leprechaun;Strumento Leprecauno
Toothy;A trentadue denti
Topsy;Sottosopra
Torag the Corrupted;Torag il Corrotto
Torbrund;Torbrund
Torcher;Torciatore
Torfinn;Torfinn
Tormented Soul;Anima Tormentata
Torrcs;Torrcs
Torrell;Torrell
Tortoise;Tartaruga
Tortured gorilla;Gorilla torturato
Tortured soul;Anima torturata
Tostig;Tostig
Tough Guy;Ragazzo duro
Tower Advisor;Consigliere della torre
Tower Archer;Arciere della torre
Tower Mage;Mago della Torre
Tower guard;Guardia della torre
Town Crier;Banditore cittadino
Town Guard;Guardia cittadina
Toy Doll;Bambola giocattolo
Toy Mouse;Topo giocattolo
Toy Soldier;Soldato giocattolo
Tracker gnome 1;Gnomo inseguitore 1
Tracker gnome 2;Gnomo inseguitore 2
Tracker gnome 3;Gnomo inseguitore 3
Trade Referee;Arbitro commerciale
Trader;Commerciante
Trader Crewmember;Membro dell'equipaggio del commerciante
Trader Stan;Il commerciante Stan
Trader Sven;Il commerciante Sven
Traiborn;Traiborn
Trainee Guard;Guardia tirocinante
Trainer Nacklepen;Allenatore Nacklepen
Tramp;Vagabondo
Trapped Soul;Anima intrappolata
Trapped Soul (hard);Anima intrappolata (difficile)
Traxi;Traxi
Treacle;Melassa
Treasure fairy;Fata del tesoro
Tree;Albero
Tree spirit;Spirito dell'albero
Tree spirit (hard);Spirito dell'albero (difficile)
Trees;Alberi
Trefaji;Trefaji
Treus Dayth;Treus Dayth
Treus Dayth (hard);Treus Dayth (difficile)
Treznor;Treznor
Tribal Weapon Salesman;Venditore di armi tribali
Tribesman;Uomo della tribù
Tristan;Tristano
Trobert;Troberto
Trogen Konungarde;Trogen Konungarde
Troll;Troll
Troll child;Troll bambino
Troll father;Padre troll
Troll general;Generale dei troll
Troll mother;Madre troll
Troll spectator;Spettatore di troll
Trolley;Carrello
Tropical wagtail;Ballerina tropicale
Trossa;Trossa
Trufitus;Trufito
Tstanon Karlak;Tstanon Karlak
Turael;Turael
Turbogroomer;Turbogroomer
Turgall;Turgal
Turgok;Turgok
Turgon;Turgone
Turoth;Turot
Tutab;Tutab
Twig;Ramoscello
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Banshee contorta
Two-pints;Due pinte
Tyke;Tyke
Tynan;Tynan
Typhor;Tiforo
Tyras Guard;Guardia di Tyra
Tyras guard;Guardia di Tyra
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Ugthanki
Ulfric;Ulfric
Ulifed;Ulifed
Ulizius;Ulizius
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Druido non morto
Undead Lumberjack;Taglialegna non morto
Undead Zealot;Zelota non morto
Undead chicken;Pollo non morto
Undead cow;Mucca non morta
Undead one;Quello non morto
Undead tree;Albero non morto
Undor;Undor
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Unicorno
Unicorn Foal;Puledro di unicorno
Unicow;Unicow
Unnamed troll child;Bambino troll senza nome
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Ur-pel
Ur-taal;Ur-taal
Ur-tag;Ur-tag
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Ombra di Urio
Urium Shadow;Ombra di Urio
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (medio)
Valentin Rasputin;Valentino Rasputin
Valentina Diaemus;Valentina Diaemus
Valeria;Valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Vampiro giovanile
Vampyre Juvinate;Juvinato del vampiro
Vampyressa van Von;Vampiressa van Von
Vampyric hound;Segugio vampirico
Vampyrus Diaemus;Vampiro Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Avanguardia
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vanna
Vannaka;Vannaka
Vanstrom Klause;Vanstrom Klause
Varrian Sobak;Varriano Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasquen
Veliaf Hurtz;Veliaf Hurtz
Velorina;Velorina
Velrak the explorer;Velrak l'esploratore
Venenatis;Venenati
Venenatis spiderling;Ragno Venenatis
Veos;Veos
Vera;Vera
Verac the Defiled;Verac il Profanato
Verak;Verak
Vermundi;Vermundi
Veronica;Veronica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Soldato Vespino
Vespula;Vespula
Vestri;Vestri
Vet'ion;Vet'ion
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion rinasce
Victor;Vincitore
Vigr;Vigr
Vigroy;Vigroy
Villager;Abitante del villaggio
Villia;Villa
Violetta Sanguine;Violetta Sanguine
Vitreous Jelly;Gelatina vitrea
Vitreous warped Jelly;Gelatina vitrea deformata
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Voce di Yama
Void Knight;Cavaliere del Vuoto
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcano Orvoros
Vulture;Avvoltoio
Vyre Orator;Oratore di Vyre
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Sentinella di Vyrewatch
Wagchin;Wagchin
Wall beast;Bestia da muro
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Vagabondo
Wandering impling;Implicazione errante
Warped Jelly;Gelatina deformata
Warrior;Guerriero
Warrior of Murahs;Guerriero di Murah
Warrior woman;Donna guerriera
Watchman;Guardiano
Watchtower Wizard;Mago della Torre di Guardia
Water elemental;Elementale dell'acqua
Water wizard;Mago dell'acqua
Waterfiend;Demone dell'acqua
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Delrith indebolito
Weaponsmaster;Maestro d'armi
Weird Old Man;Strano vecchio
Well-armed Foe;Nemico ben armato
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Lupo mannaro
Wesley;Wesley
Weve;Noi
Whirlpool;Idromassaggio
White Chisel Director;Direttore dello Scalpello Bianco
White Chisel Secretary;Segretario dello Scalpello Bianco
White Knight;Cavaliere Bianco
White golem;Golem bianco
White wolf;Lupo bianco
Wild dog;Cane selvatico
Wild kebbit;Kebbit selvatico
Will o' the wisp;Fuoco fatuo
William;Guglielmo
Willow;Salice
Wilough;Wilough
Wilson;Wilson
Wily cat;Gatto astuto
Wily hellcat;Astuto gatto infernale
Winelda;Winelda
Wingman Skree;Il gregario Skree
Wingstone;Pietra alare
Winkin;Occhiolino
Winter Elemental;Elementale invernale
Winter Soldier;Soldato d'inverno
Wintertoad;Rospo invernale
Wise Old Man;Vecchio saggio
Wise Young Man;Giovane saggio
Wiskit;Wiskit
Wistan;Wistan
Witch;Strega
Witch's cat;Il gatto della strega
Witch's experiment;L'esperimento della strega
Witch's experiment (fourth form);L'esperimento della strega (quarta forma)
Witch's experiment (fourth form) (hard);L'esperimento della strega (quarta forma) (difficile)
Witch's experiment (hard);L'esperimento della strega (difficile)
Witch's experiment (second form);L'esperimento della strega (seconda forma)
Witch's experiment (second form) (hard);L'esperimento della strega (seconda forma) (difficile)
Witch's experiment (third form);L'esperimento della strega (terza forma)
Witch's experiment (third form) (hard);L'esperimento della strega (terza forma) (difficile)
Witchaven villager;Abitante del villaggio di Witchaven
Wizard;Procedura guidata
Wizard Akutha;Mago Akutha
Wizard Cromperty;Mago Cromperty
Wizard Distentor;Mago Distentore
Wizard Frumscone;Mago Frumscone
Wizard Grayzag;Mago Grayzag
Wizard Mizgog;Mago Mizgog
Wizard Sinina;Mago Sinina
Wolf;Lupo
Wolfbone;Osso di lupo
Woman;Donna
Woman-at-arms (hard);Donna d'arme (difficile)
Wood Dryad;Driade del legno
Woodsman tutor;Tutor del boscaiolo
Workman;Operaio
Wormbrain;Verme
Wounded soldier;Soldato ferito
Wurbel;Würbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson il giardiniere
Wyvern display;Visualizzazione della viverna
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Yak
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Direttore della fortuna gialla
Yellow Fortune Secretary;Segretario della Fortuna Gialla
Yellow Sheep;Pecora Gialla
Yellow Snow;Neve gialla
Yenrab;Yenrab
Yeti;Yeti
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Giovane 'un
Young impling;Giovane innesto
Youngllef;Youngllef
Yrsa;Yrsa
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf Squeck
Yuri;Yuri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Artigiano di Zamorak
Zamorak mage;Mago Zamorak
Zamorak ranger;Ranger di Zamorak
Zamorak warrior;Guerriero Zamorak
Zamorak wizard;Mago Zamorak
Zogre;Zogre
Zoja;Zoja
Zombie;Zombie
Zombie pirate;Pirata zombi
Zombie rat;Ratto zombi
Zombie swab;Tampone zombie
Zombies Champion;Campione degli zombi
Zombified Spawn;Progenie zombificata
Zulrah;Zulrah
Zygomite;Zigomite
