Follow;Volgen
Withdraw-8902;Intrekken-8902
Deposit-8902;Borg-8902
Last-destination (ALQ);Laatste bestemming (ALQ)
View Channel;Kanaal bekijken
Default quantity: 8,902;Standaardhoeveelheid: 8.902
Tracker;Volger
Goal;Doel
Set to XP value;Stel in op XP-waarde
Set to current XP;Instellen op huidige XP
Set to level;Instellen op niveau
Étage inférieur;Etage inférieur
Activer/Désactiver;Activer/desactiver
Activer/Désactiver les avertissements;Activeer/deactiveer de waarschuwingen
Réclamer les trophées;Haal de trofeeën terug
Porter;Portier
Entrer;Enterer
Filet;Filet
Appât;Appât
Monter à bord;Monter à bord
S'agripper;S'agripper
Prier à;Prier à
Trancher;Trancher
Lire;Lire
Miner;Mijnwerker
Retirer;Gepensioneerde
Armure;pantser
Withdraw-305;Intrekken-305
Withdraw-378;Intrekken-378
Deposit-378;Borg-378
Bind;Binden
Crawl;Kruipen
Cut-foot;Snijvoet
Default quantity: 378;Standaard aantal: 378
Withdraw-911;Intrekken-911
Deposit-911;Borg-911
Deposit-200000;Borg-200000
Sand;Zand
Staves;Notenbalken
S'occuper de;S'occuper de
Se reposer;Zie reposer
Leurre;Leurre
Voir;Voir
Vider;Vider
Sell: 27 x Logs;Verkoop: 27 x boomstammen
Verrouiller;Verrouiller
Add ignore TangledHob;Voeg negeren TangledHob toe
Add ignore TSwangin;Voeg negeer TSwangin toe
Default quantity: 200,000;Standaardhoeveelheid: 200.000
Add friend TofuFlies;Vriend toevoegen TofuFlies
Add friend TSwangin;Vriend toevoegen TSwangin
Add friend Thegravywavy;Vriend toevoegen Thegravywavy
Add friend Warmtalon56;Vriend toevoegen Warmtalon56
Add ignore Warmtalon56;Voeg negeer Warmtalon56 toe
Add ignore T0x4;Voeg negeer T0x4 toe
Add friend Vixivine;Voeg vriend Vixivine toe
Leave <col=ff8040>Pest Control</col> channel;Verlaat het kanaal <col=ff8040>Ongediertebestrijding</col>
Add ignore SuGIMa Donk;Voeg negeer SuGIMa Donk toe
Add ignore SynPol;Voeg negeer SynPol toe
Add friend SynPol;Vriend toevoegen SynPol
Add ignore SW4GN4R0K;Voeg negeren SW4GN4R0K toe
Add ignore Vixivine;Voeg negeer Vixivine toe
Add ignore Tora Cipha;Voeg negeer Tora Cipha toe
Add friend T0x4;Vriend toevoegen T0x4
Add friend SW4GN4R0K;Voeg vriend SW4GN4R0K toe
Add friend Tora Cipha;Vriend Tora Cipha toevoegen
Add friend TangledHob;Vriend toevoegen TangledHob
Add friend SuGIMa Donk;Vriend toevoegen SuGIMa Donk
Add ignore Thegravywavy;Voeg negeer Thegravywavy toe
Add ignore TofuFlies;Voeg negeer TofuFlies toe
Ranged XP: 10 points;Afstands-XP: 10 punten
Hitpoints XP: 10 points;Hitpoints-XP: 10 punten
Hitpoints XP: 1 point;Levenspunten XP: 1 punt
Prayer XP: 100 points;Gebed XP: 100 punten
Ranged XP: 1 point;Afstands-XP: 1 punt
Last-destination (BKR);Laatste bestemming (BKR)
Construire;Construire
Lancer;Lancer
Caresser;Streeler
Voler à;Voler à
Chasser;Jager
Acheter;Acheter
No, don't leave.;Nee, ga niet weg.
Expel members;Leden uitsluiten
Recruitment;Rekrutering
Sell: 1 x Bronze axe;Verkoop: 1 x bronzen bijl
Check-keys;Controlesleutels
Withdraw-59;Intrekken-59
Deposit-59;Borg-59
Withdraw-82;Intrekken-82
Deposit-49;Borg-49
Withdraw-34;Intrekken-34
Withdraw-37;Intrekken-37
Withdraw-49;Intrekken-49
Default quantity: 49;Standaard aantal: 49
Attraper;Aantrekker
Cueillir;Cueillir
Interagir;Interagir
Se faufiler;Zie faufiler
Sell: 1 x Raw trout;Verkoop: 1 x rauwe forel
Supply;Levering
Escort;Escort
Objets de fêtes;Objecten van feesten
Utiliser le code;Gebruiker bestandscode
Exclaim;Uitroepen
Unmorph;Onmorf
Question;Vraag
Survey;Vragenlijst
Rejoindre;Hervoeging
Escalader;Roltrap
Leave Tomb;Verlaat het graf
Start-minigame;Start-minigame
Check for Snakes;Controleer op slangen
Quick-leave;Snel vertrekken
Push-through;Doordruk
Quick-withdraw;Snel terugtrekken
Toggle-view;Wisselweergave
Recharge-prayer;Opladen-gebed
Last-destination (DIS);Laatste bestemming (DIS)
Last-destination (BKP);Laatste bestemming (BKP)
Withdraw-51;Intrekken-51
Deposit-60;Borg-60
Deposit-51;Borg-51
Withdraw-732;Intrekken-732
Withdraw-636;Intrekken-636
Withdraw-64;Intrekken-64
Withdraw-60;Intrekken-60
Deposit-732;Borg-732
À l'extérieur;Aan de buitenkant
Couper;Coupé
Default quantity: 60;Standaardhoeveelheid: 60
Deposit-236;Borg-236
DJR;DJR
Favourites;Favorieten
AJR;AJR
CIR;CIR
CIS;GOS
Default quantity: 236;Standaard aantal: 236
View List;Lijst bekijken
DIP;DIP
Last-destination (BKS);Laatste bestemming (BKS)
BKS;BKS
Buy: 1 x Tuna;Koop: 1 x tonijn
Deposit-2787;Borg-2787
Withdraw-2787;Intrekken-2787
Default quantity: 2,787;Standaardhoeveelheid: 2.787
Tirer;Tirer
Sell: 1 x Skills necklace;Verkoop: 1 x Skills-ketting
View-game;Bekijk-spel
Cancel preview;Voorbeeld annuleren
Withdraw-856;Intrekken-856
Deposit-856;Borg-856
Last-destination (DLR);Laatste bestemming (DLR)
Default quantity: 9,000;Standaardhoeveelheid: 9.000
Click this to add coal.;Klik hierop om steenkool toe te voegen.
Turn tar valve up;Draai de teerklep omhoog
Turn pressure valve up;Draai het drukventiel omhoog
Turn tar flow valve down;Draai de teerstroomklep omlaag
Turn pressure valve down;Draai het drukventiel omlaag
Toggle Fossils;Wissel fossielen
Open/Close;Openen/sluiten
Empty basket;Lege mand
Forestry kit;Bosbouw kit
Log basket;Houten mand
