 Sneaky undead fowl;Stiekeme ondode kip
Safalaan Hallow;Safalaan Hallow
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Zeeman
Salarin the twisted;Salarin de verdraaide
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalon
Sand Crab;Zand Krab
Sand Snake;Zand slang
Sand Snake (hard);Zandslang (hard)
Sand storm;Zandstorm
Sandicrahb;Sandicrahb
Sandwich lady;Sandwichdame
Sandy;Zandig
Sandy Boulder;Zandige Boulder
Sandy rocks;Zandige rotsen
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Saffier glacialis
Sarachnis;Sarachnis
Saradomin priest;Saradomijnse priester
Saradomin wizard;Saradomijnse tovenaar
Saradominist recruiter;Saradoministische recruiter
Sarah;Sara
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;Saro
Sassilik;Sassilik
Savant;Savant
Sawmill Operator;Exploitant van een zagerij
Sawmill operator;Exploitant van een zagerij
Sbott;Sbott
Scabaras;Scabaras
Scarab mage;Scarabee magiër
Scarab swarm;Scarab-zwerm
Scarabs;Scarabeeën
Scared skavid;Bang Schavid
Scarg;Scarg
Scavenger beast;Aaseter beest
Scavvo;Scavvo
Schoolboy;Schooljongen
Schoolgirl;Schoolmeisje
Scion;Telg
Scorpia;Schorpioen
Scorpia's guardian;Scorpia's voogd
Scorpia's offspring;Scorpia's nakomelingen
Scorpion;Schorpioen
Scout;Verkenner
Screaming banshee;Schreeuwende banshee
Screaming twisted banshee;Schreeuwende, verwrongen banshee
Scrubfoot;Schrobvoet
Sea Snake Hatchling;Het uitkomen van een zeeslang
Sea Snake Young;Zeeslang jong
Sea Troll General;Zeetrol-generaal
Sea Troll Queen;Zeetrollenkoningin
Sea slug;Zeeslak
Sea slugs display;Zeeslakken worden tentoongesteld
Sea troll;Zee trol
Seagull;Zeemeeuw
Seaman Lorris;Zeeman Lorris
Seaman Morris;Zeeman Morris
Seaman Thresnor;Zeeman Thresnor
Secretary;Secretaris
Security Guard;Bewaker
Seddu;Seddu
Sedridor;Sedridor
Seer;Ziener
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Sereen
Sergeant;Sergeant
Sergeant Damien;Sergeant Damiaan
Sergeant Grimspike;Sergeant Grimspike
Sergeant Mossfists;Sergeant Mossfisten
Sergeant Ricardo;Sergeant Ricardo
Sergeant Sambur;Sergeant Sambur
Sergeant Slimetoes;Sergeant Slimetoes
Sergeant Steelwill;Sergeant Steelwill
Sergeant Strongstack;Sergeant Sterkstapel
Sergiu;Sergiu
Servant;Bediende
Servery assistant;Serveerster assistent
Seth;Seth
Seth Groats;Seth Groats
Shade;Schaduw
Shade Spirit;Schaduw geest
Shadow;Schaduw
Shadow Hound;Schaduwhond
Shadow Wyrm;Schaduw Wyrm
Shadow spider;Schaduw spin
Shadow warrior;Schaduwstrijder
Shadowy figure;Schaduwfiguur
Shady figure;Schaduwrijk figuur
Shaeded Beast;Schaduwrijk beest
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Shantay-wacht
Sharimika;Sharimika
Shark;Haai
Shayda;Shayda
Shayzien Infiltrator;Shayzien-infiltrant
Sheep;Schaap
Sheepdog;Herdershond
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Schild meester
Shifter;Versteller
Shilop;Shilop
Shipyard worker;Scheepswerfarbeider
Shiratti the Custodian;Shiratti de Bewaarder
Shop assistant;Winkelbediende
Shop keeper;Winkelier
Shura;Shura
Siamun;Siamun
Sian;Sian
Sid;Sid
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Sigbert de avonturier
Sigismund;Sigismund
Sigli the Huntsman;Sigli de jager
Sigmund;Sigmund
Sigmund The Merchant;Sigmund de koopman
Sigmund and Zanik;Sigmund en Zanik
Signy;Signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Zijdehandelaar
Silk trader;Zijdehandelaar
Silver Cog Director;Zilveren Cog-directeur
Silver Cog Secretary;Zilveren Kogge-secretaris
Silver merchant;Zilverhandelaar
Silver ore;Zilvererts
Simon;Simon
Simon Templeton;Simon Tempelton
Simona;Simona
Sin Seer;Zonde ziener
Sinclair;Sinclair
Sinclair Guard dog;Sinclair Waakhond
Sinco Doar;Sinco Doar
Sinister Stranger;Sinistere vreemdeling
Sir Amik Varze;Heer Amik Varze
Sir Bedivere;Heer Bedivere
Sir Carl;Heer Karel
Sir Gawain;Heer Gawain
Sir Harry;Heer Harry
Sir Jerro;Heer Jerro
Sir Kay;Heer Kaj
Sir Kuam Ferentse;Heer Kuam Ferentse
Sir Lancelot;Heer Lancelot
Sir Leye;Heer Ley
Sir Lucan;Heer Lucan
Sir Mordred;Heer Mordred
Sir Palomedes;Heer Palomedes
Sir Pelleas;Heer Pelleas
Sir Percival;heer Percival
Sir Prysin;Heer Prysin
Sir Rebral;Mijnheer Rebraal
Sir Ren Itchood;Sir Ren Itchood
Sir Renitee;Heer Renée
Sir Spishyus;Heer Spishyus
Sir Tiffy Cashien;Sir Tiffy Cashien
Sir Tinley;Mijnheer Tinley
Sir Tristram;Heer Tristram
Sir Vyvin;Heer Vyvin
Sirsal Banker;Sirsal bankier
Sister Aseret;Zuster Aseret
Sister Naoj;Zuster Naoj
Sister Salohcin;Zuster Salohcin
Sister Scarophia;Zuster Scarofia
Sister Senga;Zuster Senga
Sister Sevi;Zuster Sevi
Sister Soul Jar;Zuster Soul Jar
Sister Toen;Zuster Toen
Sister Yram;Zuster Yram
Sithik Ints;Sithik Int
Skavid;Skavid
Skeletal Mystic;Skeletachtige mystiek
Skeletal Wyvern;Skeletachtige Wyvern
Skeletal miner;Skeletachtige mijnwerker
Skeleton;Skelet
Skeleton Champion;Skelet kampioen
Skeleton Hellhound;Skelet Hellehond
Skeleton Hellhound (hard);Skelet Hellhound (hard)
Skeleton Mage;Skelet Magiër
Skeleton brute;Skelet bruut
Skeleton fremennik;Skelet Fremennik
Skeleton heavy;Skelet zwaar
Skeleton hero;Skelet held
Skeleton mage;Skelet magiër
Skeleton thug;Skeletachtige misdadiger
Skeleton warlord;Skelet krijgsheer
Skippy;Skippy
Skogre;Skogre
Skotizo;Skotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Schedelbal
Skullball Boss;Skullball-baas
Skullball Trainer;Skullball-trainer
Slagilith;Slagilith
Slagilith (hard);Slagilith (hard)
Slash Bash;Slash bash
Slave;Slaaf
Sleeping Monkey;Slapende aap
Sleeping guard;Slapende bewaker
Sleepwalker;Slaapwandelaar
Slieve;Slieve
Slim Louie;Slanke Louie
Slippers;Slippers
Sloane;Sloane
Slug Hemligssen;Slak Hemligssen
Slug Prince;Slak Prins
Small Lizard;Kleine Hagedis
Small ninja monkey;Kleine ninja-aap
Small zombie monkey;Kleine zombieaap
Smellytoes;Stinkende tenen
Smiddi Ryak (hard);Smiddi Ryak (hard)
Smith;Smit
Smithing apprentice;Leerling smeden
Smoggy;Smog
Smoke Devil;Rook duivel
Smoke devil;Rook duivel
Smokin' Joe;Rokende Joe
Smolcano;Smolcano
Snail display;Slak weergave
Snake;Slang
Snakeling;Slangenvogel
Snow;Sneeuw
Snowflake;Sneeuwvlok
Snowy knight;Besneeuwde ridder
Sofiya;Sofia
Soldier;Soldaat
Soldier (tier 1);Soldaat (niveau 1)
Soldier (tier 2);Soldaat (niveau 2)
Soldier (tier 3);Soldaat (niveau 3)
Soldier (tier 4);Soldaat (niveau 4)
Soldier (tier 5);Soldaat (niveau 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Sophanem-bewaker
Sophia Hughes;Sophia Hughes
Sorceress;Tovenares
Sorebones;Pijnlijke botten
Sorin;Sorin
Sorrn;Sorry
Sotetseg;Sotetseg
Soulless;Zielloos
Sourhog;Zuurzwijn
Spang;Spang
Spawn;Paaien
Spawn of Sarachnis;Broedsel van Sarachnis
Spectator;Toeschouwer
Speedy Keith;Snelle Kees
Sphinx;Sfinx
Spice seller;Kruidenverkoper
Spider;Spin
Spidine;Spinine
Spiked Turoth;Spike Turoth
Spin Blades;Draai messen
Spined larupia;Doornige larupie
Spinner;Spinner
Spinolyp;Spinolyp
Spirit Angler;Geest visser
Spirit of Scorpius;Geest van Schorpioen
Spirit of Zadimus;Geest van Zadimus
Spirit tree;Geest boom
Spiritual mage;Spirituele magiër
Spiritual ranger;Spirituele boswachter
Spiritual warrior;Spirituele strijder
Spit goblin;Spuug kobold
Spitting Wyvern;Wyvern spugen
Splatter;Splatter
Spotted kebbit;Gevlekte kebbit
Spria;Spria
Spring Elemental;Elementair voorjaar
Squire;Schildknaap
Squire (Intermediate);Schildknaap (gemiddeld)
Squire (Novice);Schildknaap (beginner)
Squire (Veteran);Squire (veteraan)
Squirrel;Eekhoorn
Sraracha;Sraracha
Stag;Hert
Stanford;Stanford
Stankers;Stankers
Star Sprite;Sterren Sprite
Starflower;Sterrenbloem
Starlight;Sterrenlicht
Steel dragon;Stalen draak
Steve;Steve
Stick;Stok
Stone Guardian;Steenbewaker
Stone mason;Steenhouwer
Stonemason;Steenhouwer
Storm Cloud;Stormwolk
Storm cloud;Onweerswolk
Strange Old Man;Vreemde oude man
Strange plant;Vreemd plantje
Strange watcher;Vreemde kijker
Stranger;Vreemdeling
Straven;Straven
Stray dog;Verdwaalde hond
Street urchin;Straatjongen
Strong Ronny;Sterk Ronny
Student;Student
Stuliette;Stuliette
Stumpy;Stomp
Stunned Hoop Snake;Verbijsterde hoepelslang
Stunted demonic gorilla;Onvolgroeide demonische gorilla
Styrmir;Styrmir
Suit of armour;Harnas
Sulphur Lizard;Zwavelhagedis
Summer Elemental;Zomer elementair
Summoned Soul;Opgeroepen ziel
Summoned Zombie;Opgeroepen zombie
Sune;Zon
Superior ghostly thrall;Superieure spookachtige slaaf
Superior skeletal thrall;Superieure skeletachtige slaaf
Superior zombified thrall;Superieure zombified slaaf
Supreme Commander;Opperbevelhebber
Suqah;Suqah
Surgeon General Tafani;Chirurg-generaal Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Survival-expert
Suspect;Verdachte
Suspicious water;Verdacht water
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Moeraskrab
Swamp Priest;Moeras Priester
Swamp frog;Moeras kikker
Swamp lizard;Moeras hagedis
Swamp snake;Moeras slang
Swamp toad;Moeras pad
Swampy log;Moerassig logboek
Swan;Zwaan
Swarm;Zwerm
Sweeper;Veger
Swensen the Navigator;Swensen de Navigator
Swordchick;Zwaardkuiken
Sylas;Sylas
Taiman;Taiman
Talia;Talia
Taloned Wyvern;Geklauwde Wyvern
Tamayu;Tamayu
Tamble;Tamble
Tanglefoot;Tanglefoot
Tanglefoot (hard);Tanglefoot (hard)
Tangleroot;Tanglewortel
Tanner;Looier
Tanya;Tanja
Tar Bubbles;Teerbellen
Tar Monster;Teermonster
Tarfol quo Maten;Tarfol quo Maten
Target;Doel
Taria;Taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarquin
Tassie Slipcast;Tassie-slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Taxidermist
Taylor;Taylor
Tayten;Tayten
Tea seller;Thee verkoper
Teacher;Docent
Teacher and pupil;Leraar en leerling
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegid
Tektiny;Tektini
Tekton;Tekton
Tekton (enraged);Tekton (woedend)
Telekinetic Guardian;Telekinetische bewaker
Temple Spider;Tempel Spin
Temple guardian;Tempelbewaker
Tempoross;Tempoross
Tentacle;Tentakel
Tenzing;Tenzing
Teodor;Teodor
Terror dog;Terreurhond
Terror dog statue;Terreurhond standbeeld
Terrorbird;Terrorvogel
Terrorbird display;Terrorbird-vertoning
Terrorchick gnome;Terrorchick-kabouter
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';De 'Wig'
The Beast;Het Beest
The Collector;De verzamelaar
The Draugen;De Draugen
The Everlasting;De eeuwige
The Everlasting (hard);Het eeuwige (moeilijk)
The Face;Het gezicht
The Fisher King;De Visserskoning
The Illusive;Het illusieve
The Inadequacy;De ontoereikendheid
The Inadequacy (hard);De ontoereikendheid (moeilijk)
The Jormungand;De Jormungand
The Kendal;De Kendal
The Kendal (hard);De Kendal (moeilijk)
The Lady of the Lake;De Vrouwe van het Meer
The Maiden of Sugadinti;Het meisje van Sugadinti
The Mimic;De Mimic
The Monkey's Aunt;De tante van de aap
The Monkey's Uncle;De oom van de aap
The Nightmare;De nachtmerrie
The Queen of Thieves;De koningin der dieven
The Shaikahan;De Shaikahan
The Untouchable;De onaantastbare
The Untouchable (hard);De onaantastbare (moeilijk)
Thermonuclear smoke devil;Thermonucleaire rookduivel
Thessalia;Thessalië
Thias Leacke;Thias Leacke
Thief;Dief
Thing under the bed;Ding onder het bed
Thingol;Dingol
Third Age Mage;Magiër uit het derde tijdperk
Third Age Ranger;Ranger uit het derde tijdperk
Third Age Warrior;Strijder uit het derde tijdperk
Thirus;Thirus
Thistle;Distel
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Thora de Barkeeper
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Zijdebaard
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald de krijger
Thrantax the Mighty;Thrantax de Machtige
Thrower Troll;Gooiende trol
Thrower troll;Gooiende trol
Thug;Misdadiger
Thumpy;Bont
Thurgo;Thurgo
Thyria;Thyrië
Tiadeche;Tiadeche
Ticket Merchant;Tickethandelaar
Ticket dwarf;Ticket dwerg
Ticket goblin;Ticket kobold
Tide;Getijde
Tiles;Tegels
Tilt;Kantelen
Tim;Tim
Timallus;Timallus
Timble;Timble
Timfraku;Timfraku
Tin ore;Tin-erts
Tina;Tine
Tindar;Tindar
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Tine Torpe
Tiny Tempor;Klein tempo
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tomas Advocaten
Tombar;Tombar
Tommy 2-times;Tommy 2 keer
Tool Leprechaun;Gereedschapskabouter
Toothy;Toothig
Topsy;Topsy
Torag the Corrupted;Torag de corrupte
Torbrund;Torbrund
Torcher;Fakkel
Torfinn;Torfinn
Tormented Soul;Gekwelde ziel
Torrcs;Torrcs
Torrell;Torrel
Tortoise;Schildpad
Tortured gorilla;Gemartelde gorilla
Tortured soul;Gemartelde ziel
Tostig;Tostig
Tough Guy;Stoere kerel
Tower Advisor;Toren adviseur
Tower Archer;Toren Boogschutter
Tower Mage;Toren Magiër
Tower guard;Torenwachter
Town Crier;Stadsomroeper
Town Guard;Stadswacht
Toy Doll;Speelgoed pop
Toy Mouse;Speelgoedmuis
Toy Soldier;Speelgoedsoldaat
Tracker gnome 1;Tracker-kabouter 1
Tracker gnome 2;Tracker-kabouter 2
Tracker gnome 3;Tracker-kabouter 3
Trade Referee;Handelsscheidsrechter
Trader;Handelaar
Trader Crewmember;Bemanningslid van een handelaar
Trader Stan;Handelaar Stan
Trader Sven;Handelaar Sven
Traiborn;Traiborn
Trainee Guard;Stagiaire bewaker
Trainer Nacklepen;Trainer Nacklepen
Tramp;Zwerver
Trapped Soul;Gevangen ziel
Trapped Soul (hard);Gevangen ziel (hard)
Traxi;Traxi
Treacle;Stroop
Treasure fairy;Schat fee
Tree;Boom
Tree spirit;Boom geest
Tree spirit (hard);Boomgeest (hard)
Trees;Bomen
Trefaji;Trefaji
Treus Dayth;Treus Dag
Treus Dayth (hard);Treus Dayth (hard)
Treznor;Treznor
Tribal Weapon Salesman;Stamwapenverkoper
Tribesman;Stamlid
Tristan;Tristan
Trobert;Trobert
Trogen Konungarde;Trogen Konungarde
Troll;Trol
Troll child;Trol kind
Troll father;Trol vader
Troll general;Trol-generaal
Troll mother;Trollen moeder
Troll spectator;Trol toeschouwer
Trolley;Karretje
Tropical wagtail;Tropische kwikstaart
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turaël
Turbogroomer;Turbogroomer
Turgall;Turgall
Turgok;Turgok
Turgon;Turgon
Turoth;Turoth
Tutab;Toetab
Twig;Takje
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Verdraaide Banshee
Two-pints;Twee pinten
Tyke;Tyke
Tynan;Tynan
Typhor;Tyfoon
Tyras Guard;Tyras-wacht
Tyras guard;Tyras-bewaker
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Oegthanki
Ulfric;Ulfrik
Ulifed;Ulifed
Ulizius;Ulizius
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Ondode druïde
Undead Lumberjack;Ondode houthakker
Undead Zealot;Ondode zeloot
Undead chicken;Ondode kip
Undead cow;Ondode koe
Undead one;Een ondode
Undead tree;Ondode boom
Undor;Ongedaan maken
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Eenhoorn
Unicorn Foal;Eenhoorn veulen
Unicow;Unicow
Unnamed troll child;Naamloze trolkind
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Ur-pel
Ur-taal;Ur-taal
Ur-tag;Ur-tag
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Urium schaduw
Urium Shadow;Urium schaduw
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (medium)
Valentin Rasputin;Valentin Raspoetin
Valentina Diaemus;Valentina Diaemus
Valeria;Valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Vampier Jeugdig
Vampyre Juvinate;Vampier Juvinaat
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Vampyrische hond
Vampyrus Diaemus;Vampyrus Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Voorhoede
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanström Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasquen
Veliaf Hurtz;Veliaf Hürtz
Velorina;Velorina
Velrak the explorer;Velrak de ontdekkingsreiziger
Venenatis;Venenatis
Venenatis spiderling;Venenatis spinnetje
Veos;Veo's
Vera;Vera
Verac the Defiled;Verac de Verontreinigde
Verak;Verak
Vermundi;Vermundi
Veronica;Veronica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Vespine-soldaat
Vespula;Vespula
Vestri;Vestri
Vet'ion;Dierenarts
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion herboren
Victor;Victor
Vigr;Vigr
Vigroy;Vigroy
Villager;Dorpeling
Villia;Villia
Violetta Sanguine;Violetta Sanguine
Vitreous Jelly;Glasachtige gelei
Vitreous warped Jelly;Glasvocht kromgetrokken gelei
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Stem van Yama
Void Knight;Leegte Ridder
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcan Orvoros
Vulture;Gier
Vyre Orator;Vyre redenaar
Vyrelady;Vylady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Vyrewatch Sentinel
Wagchin;Wagchin
Wall beast;Muur beest
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Zwerver
Wandering impling;Dwalende impling
Warped Jelly;Vervormde gelei
Warrior;Strijder
Warrior of Murahs;Strijder van Murahs
Warrior woman;Strijder vrouw
Watchman;Wachter
Watchtower Wizard;Wachttoren-tovenaar
Water elemental;Elementair water
Water wizard;Water-tovenaar
Waterfiend;Waterfiend
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Verzwakte Delrith
Weaponsmaster;Wapenmeester
Weird Old Man;Vreemde oude man
Well-armed Foe;Goed bewapende vijand
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Weerwolf
Wesley;Wesley
Weve;Wij
Whirlpool;Bubbelbad
White Chisel Director;White Chisel-regisseur
White Chisel Secretary;Witte beitelsecretaris
White Knight;Witte Ridder
White golem;Witte golem
White wolf;Witte wolf
Wild dog;Wilde hond
Wild kebbit;Wilde kebab
Will o' the wisp;Wil van het dwaallicht
William;Willem
Willow;Wilg
Wilough;Wilough
Wilson;Wilson
Wily cat;Willy kat
Wily hellcat;Willy hellcat
Winelda;Wijnelda
Wingman Skree;Wingman Skree
Wingstone;Vleugelsteen
Winkin;Winkin
Winter Elemental;Winter elementair
Winter Soldier;Wintersoldaat
Wintertoad;Winterpad
Wise Old Man;Wijze oude man
Wise Young Man;Wijze jongeman
Wiskit;Wiskit
Wistan;Wistan
Witch;Heks
Witch's cat;De kat van een heks
Witch's experiment;Heksenexperiment
Witch's experiment (fourth form);Heksenexperiment (vierde vorm)
Witch's experiment (fourth form) (hard);Heksenexperiment (vierde vorm) (moeilijk)
Witch's experiment (hard);Heksenexperiment (moeilijk)
Witch's experiment (second form);Heksenexperiment (tweede vorm)
Witch's experiment (second form) (hard);Heksenexperiment (tweede vorm) (moeilijk)
Witch's experiment (third form);Heksenexperiment (derde vorm)
Witch's experiment (third form) (hard);Heksenexperiment (derde vorm) (moeilijk)
Witchaven villager;Hekshaven dorpeling
Wizard;Tovenaar
Wizard Akutha;Tovenaar Akutha
Wizard Cromperty;Tovenaar Cromperty
Wizard Distentor;Tovenaar Distentor
Wizard Frumscone;Tovenaar Frumscone
Wizard Grayzag;Tovenaar Grayzag
Wizard Mizgog;Tovenaar Mizgog
Wizard Sinina;Tovenaar Sinina
Wolf;Wolf
Wolfbone;Wolfsbeen
Woman;Vrouw
Woman-at-arms (hard);Vrouw-at-arm (hard)
Wood Dryad;Houten dryade
Woodsman tutor;Bosman docent
Workman;Werkman
Wormbrain;Wormbrein
Wounded soldier;Gewonde soldaat
Wurbel;Wurbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson de tuinman
Wyvern display;Wyvern-vertoning
Xamphur;Xampur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Jak
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Directeur Geel Fortuin
Yellow Fortune Secretary;Secretaris van het Gele Fortuin
Yellow Sheep;Gele schapen
Yellow Snow;Gele sneeuw
Yenrab;Yenrab
Yeti;Yeti
Ymladd;Jawel
Yohnus;Yohnus
Young 'un;Jonge on
Young impling;Jonge impling
Youngllef;Jongellef
Yrsa;Ja
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf Squecks
Yuri;Joeri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Zamorak-knutselaar
Zamorak mage;Zamorak magiër
Zamorak ranger;Zamorak-ranger
Zamorak warrior;Zamorak-krijger
Zamorak wizard;Zamorak-tovenaar
Zogre;Zogre
Zoja;Zoja
Zombie;Zombie
Zombie pirate;Zombie-piraat
Zombie rat;Zombie-rat
Zombie swab;Zombie-uitstrijkje
Zombies Champion;Zombiekampioen
Zombified Spawn;Gezombificeerde spawn
Zulrah;Zulrah
Zygomite;Zygomiet
