 Sneaky undead fowl;Aves no muertas furtivas
Sergeant Strongstack;Sargento Strongstack
Sergiu;Sergio
Servant;Servidor
Servery assistant;asistente de servicio
Seth;set
Seth Groats;Seth Granos
Shade;Sombra
Shade Spirit;Espíritu de sombra
Shadow;Sombra
Shadow Hound;Sabueso de las sombras
Shadow Wyrm;Vermis de las Sombras
Shadow spider;Araña sombra
Shadow warrior;guerrero de las sombras
Shadowy figure;figura sombría
Shady figure;figura sombría
Shaeded Beast;Bestia sombreada
Shamus;Shamus
Shanomi;Shanomi
Shantay;shantay
Shantay Guard;Guardia Shantay
Sharimika;sharimika
Shark;Tiburón
Shayda;Shayda
Shayzien Infiltrator;Infiltrado Shayzien
Sheep;Oveja
Sheepdog;Perro pastor
Sherlock;sherlock
Sheryl;sheryl
Shield master;Maestro del escudo
Shifter;palanca de cambios
Shilop;Shilop
Shipyard worker;trabajador de astillero
Shiratti the Custodian;Shiratti el Custodio
Shop assistant;Asistente de tienda
Shop keeper;encargado de la tienda
Shura;Shura
Siamun;Siamón
Sian;Sian
Sid;sid
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Sigberto el Aventurero
Sigismund;Segismundo
Sigli the Huntsman;Sigli el cazador
Sigmund;Sigmund
Sigmund The Merchant;Sigmund el mercader
Sigmund and Zanik;Sigmund y Zanik
Signy;signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;comerciante de seda
Silk trader;comerciante de seda
Silver Cog Director;Director de plata
Silver Cog Secretary;Secretario de plata
Silver merchant;comerciante de plata
Silver ore;mineral de plata
Simon;Simón
Simon Templeton;Simón Templeton
Simona;simona
Sin Seer;Vidente del pecado
Sinclair;Sinclair
Sinclair Guard dog;Perro guardián Sinclair
Sinco Doar;Sinco Doar
Sinister Stranger;Extraño siniestro
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Señor Bedivere
Sir Carl;señor carl
Sir Gawain;Señor Gawain
Sir Harry;señor harry
Sir Jerro;señor jerro
Sir Kay;señor kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Señor Lanzarote
Sir Leye;señor leye
Sir Lucan;señor lucano
Sir Mordred;Señor Mordred
Sir Palomedes;señor palomedes
Sir Pelleas;Señor Pelléas
Sir Percival;señor percival
Sir Prysin;Señor Prysin
Sir Rebral;Señor Rebral
Sir Ren Itchood;Señor Ren Itchhood
Sir Renitee;Señor Renitee
Sir Spishyus;Señor Spishyus
Sir Tiffy Cashien;Señor Tiffy Cashien
Sir Tinley;señor tinley
Sir Tristram;Señor Tristram
Sir Vyvin;señor vyvin
Sirsal Banker;banquero sirsal
Sister Aseret;Hermana Aseret
Sister Naoj;hermana naoj
Sister Salohcin;Hermana Salohcin
Sister Scarophia;Hermana Scarofía
Sister Senga;Hermana Senga
Sister Sevi;Hermana Sevi
Sister Soul Jar;Tarro del alma hermana
Sister Toen;hermana toen
Sister Yram;hermana yram
Sithik Ints;Ints Sithik
Skavid;escavido
Skeletal Mystic;Místico esquelético
Skeletal Wyvern;Wyvern esquelético
Skeletal miner;minero esquelético
Skeleton;Esqueleto
Skeleton Champion;Campeón esqueleto
Skeleton Hellhound;Perro del infierno esqueleto
Skeleton Hellhound (hard);Perro del infierno esqueleto (difícil)
Skeleton Mage;Mago esqueleto
Skeleton brute;esqueleto bruto
Skeleton fremennik;esqueleto fremennik
Skeleton heavy;esqueleto pesado
Skeleton hero;Héroe esqueleto
Skeleton mage;Mago esqueleto
Skeleton thug;matón esqueleto
Skeleton warlord;señor de la guerra esqueleto
Skippy;saltarín
Skogre;skogre
Skotizo;Skotizo
Skotos;skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;bola de calavera
Skullball Boss;Jefe bola de calavera
Skullball Trainer;Entrenador de bolas de calavera
Slagilith;eslagilita
Slagilith (hard);Slagilith (duro)
Slash Bash;Golpe de barra
Slave;Esclavo
Sleeping Monkey;Mono durmiente
Sleeping guard;guardia durmiendo
Sleepwalker;Sonámbulo
Slieve;Slieve
Slim Louie;louie delgado
Slippers;Zapatillas
Sloane;sloan
Slug Hemligssen;Babosa Hemligssen
Slug Prince;Príncipe babosa
Small Lizard;pequeño lagarto
Small ninja monkey;Pequeño mono ninja
Small zombie monkey;Pequeño mono zombie
Smellytoes;Dedos malolientes
Smiddi Ryak (hard);Smiddi Ryak (duro)
Smith;Herrero
Smithing apprentice;aprendiz de herrería
Smoggy;niebla tóxica
Smoke Devil;Diablo de humo
Smoke devil;diablo de humo
Smokin' Joe;Joe fumando
Smolcano;Smolcano
Snail display;exhibición de caracol
Snake;Serpiente
Snakeling;serpiente
Snow;Nieve
Snowflake;Copo de nieve
Snowy knight;caballero nevado
Sofiya;Sofía
Soldier;Soldado
Soldier (tier 1);Soldado (nivel 1)
Soldier (tier 2);Soldado (nivel 2)
Soldier (tier 3);Soldado (nivel 3)
Soldier (tier 4);Soldado (nivel 4)
Soldier (tier 5);Soldado (nivel 5)
Solihib;solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztún
Sophanem guard;guardia sophanem
Sophia Hughes;Sofía Hughes
Sorceress;Hechicera
Sorebones;dolor de huesos
Sorin;Sorín
Sorrn;Sorrn
Sotetseg;Sotetseg
Soulless;Sin alma
Sourhog;marmota
Spang;Spang
Spawn;Desovar
Spawn of Sarachnis;Engendro de Sarachnis
Spectator;Espectador
Speedy Keith;Keith veloz
Sphinx;Esfinge
Spice seller;vendedor de especias
Spider;Araña
Spidine;espidina
Spiked Turoth;Turoth con púas
Spin Blades;Cuchillas giratorias
Spined larupia;Larupia espinosa
Spinner;Hilandero
Spinolyp;espinolipo
Spirit Angler;Espíritu pescador
Spirit of Scorpius;Espíritu de Escorpio
Spirit of Zadimus;Espíritu de Zadimo
Spirit tree;árbol espiritual
Spiritual mage;mago espiritual
Spiritual ranger;Guardabosques espiritual
Spiritual warrior;guerrero espiritual
Spit goblin;escupir duende
Spitting Wyvern;Wyvern escupiendo
Splatter;Salpicar
Spotted kebbit;Kebbit manchado
Spria;spria
Spring Elemental;Elemental de primavera
Squire;Escudero
Squire (Intermediate);Escudero (intermedio)
Squire (Novice);Escudero (novato)
Squire (Veteran);Escudero (veterano)
Squirrel;Ardilla
Sraracha;Sraracha
Stag;Ciervo
Stanford;stanford
Stankers;apestosos
Star Sprite;Duende estelar
Starflower;flor de estrella
Starlight;Luz de las estrellas
Steel dragon;dragón de acero
Steve;esteban
Stick;Palo
Stone Guardian;Guardián de piedra
Stone mason;albañil
Stonemason;Albañil
Storm Cloud;Nube de tormenta
Storm cloud;Nube de tormenta
Strange Old Man;Viejo extraño
Strange plant;Planta extraña
Strange watcher;observador extraño
Stranger;Extraño
Straven;Straven
Stray dog;perro callejero
Street urchin;pilluelo de la calle
Strong Ronny;ronny fuerte
Student;Alumno
Stuliette;estuliette
Stumpy;Achaparrado
Stunned Hoop Snake;Serpiente de aro aturdida
Stunted demonic gorilla;Gorila demoníaco atrofiado
Styrmir;Styrmir
Suit of armour;traje de armadura
Sulphur Lizard;Lagarto de azufre
Summer Elemental;Elemental de verano
Summoned Soul;Alma invocada
Summoned Zombie;Zombi invocado
Sune;sol
Superior ghostly thrall;Esclavo fantasmal superior
Superior skeletal thrall;Esclavo esquelético superior
Superior zombified thrall;Esclavo zombificado superior
Supreme Commander;Comandante Supremo
Suqah;Suqa
Surgeon General Tafani;Cirujano General Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Experto en supervivencia
Suspect;Sospechar
Suspicious water;Agua sospechosa
Svetlana;svetlana
Svidi;Svidi
Swamp Crab;Cangrejo de pantano
Swamp Priest;Sacerdote del pantano
Swamp frog;Rana de pantano
Swamp lizard;Lagarto de pantano
Swamp snake;serpiente de pantano
Swamp toad;sapo de pantano
Swampy log;tronco pantanoso
Swan;Cisne
Swarm;Enjambre
Sweeper;Barrendero
Swensen the Navigator;Swensen el navegante
Swordchick;pollito espadachín
Sylas;Sylas
Taiman;Taimán
Talia;talía
Taloned Wyvern;Wyvern con garras
Tamayu;Tamayu
Tamble;tambalear
Tanglefoot;Pie enredado
Tanglefoot (hard);Pie enredado (duro)
Tangleroot;raíz de enredo
Tanner;Curtidor
Tanya;tania
Tar Bubbles;Burbujas de alquitrán
Tar Monster;Monstruo de alquitrán
Tarfol quo Maten;Tarfol quo Maten
Target;Objetivo
Taria;taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarquín
Tassie Slipcast;Tassie Slipcast
Tati;tati
Tatie;tati
Tau;tau
Taxidermist;taxidermista
Taylor;taylor
Tayten;tayten
Tea seller;vendedor de té
Teacher;Maestro
Teacher and pupil;Maestro y alumno
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;tegid
Tektiny;Tektiny
Tekton;tektón
Tekton (enraged);Tekton (enfurecido)
Telekinetic Guardian;Guardián telequinético
Temple Spider;Araña del templo
Temple guardian;guardián del templo
Tempoross;Temporal
Tentacle;Tentáculo
Tenzing;Tenzing
Teodor;Teodoro
Terror dog;perro terror
Terror dog statue;Estatua del perro terror
Terrorbird;pájaro terrorífico
Terrorbird display;Exhibición del pájaro terror
Terrorchick gnome;gnomo terrorchick
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';La 'cuña'
The Beast;la bestia
The Collector;El coleccionista
The Draugen;El Draugen
The Everlasting;El eterno
The Everlasting (hard);El Eterno (difícil)
The Face;la cara
The Fisher King;El rey pescador
The Illusive;lo ilusorio
The Inadequacy;La insuficiencia
The Inadequacy (hard);La insuficiencia (difícil)
The Jormungand;El Jormungand
The Kendal;El Kendall
The Kendal (hard);El Kendal (duro)
The Lady of the Lake;La dama del lago
The Maiden of Sugadinti;La doncella de Sugadinti
The Mimic;La mímica
The Monkey's Aunt;La tía del mono
The Monkey's Uncle;El tío del mono
The Nightmare;La pesadilla
The Queen of Thieves;La reina de los ladrones
The Shaikahan;El Shaikahan
The Untouchable;El intocable
The Untouchable (hard);El intocable (difícil)
Thermonuclear smoke devil;Diablo de humo termonuclear
Thessalia;Tesalia
Thias Leacke;Thias Leacke
Thief;Ladrón
Thing under the bed;cosa debajo de la cama
Thingol;Thingol
Third Age Mage;Mago de la Tercera Edad
Third Age Ranger;Guardabosques de la tercera edad
Third Age Warrior;Guerrero de la Tercera Edad
Thirus;Thirus
Thistle;Cardo
Thomdril;tomdril
Thora;tóra
Thora the Barkeep;Thora la tabernera
Thordur;Tórdur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Barba de Seda
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald el guerrero
Thrantax the Mighty;Thrantax el Poderoso
Thrower Troll;Troll lanzador
Thrower troll;troll lanzador
Thug;Matón
Thumpy;Golpeador
Thurgo;Turgo
Thyria;tiria
Tiadeche;Tiadeche
Ticket Merchant;Comerciante de boletos
Ticket dwarf;billete enano
Ticket goblin;Duende del billete
Tide;Marea
Tiles;Azulejos
Tilt;Inclinación
Tim;Timo
Timallus;Timalo
Timble;Timble
Timfraku;Timfrakú
Tin ore;mineral de estaño
Tina;tina
Tindar;Tíndar
Tindel Marchant;Tindel Marchant
Tinsay;tinsay
Tinse Torpe;Torpe de hojalata
Tiny Tempor;Temporal diminuto
Tirrie;tirri
Tjorvi;Tjorvi
Toban;Toban
Toby;toby
Tok-Xil;Tok-Xil
Tolna;Tolná
Tomas Lawry;Tomás Lawry
Tombar;tumbar
Tommy 2-times;tommy 2 veces
Tool Leprechaun;Duende de herramientas
Toothy;con dientes
Topsy;revuelto
Torag the Corrupted;Torag el corrupto
Torbrund;Torbrund
Torcher;Antorcha
Torfinn;Torfinn
Tormented Soul;Alma atormentada
Torrcs;torres
Torrell;torrell
Tortoise;Tortuga
Tortured gorilla;gorila torturado
Tortured soul;alma torturada
Tostig;Tostig
Tough Guy;chico duro
Tower Advisor;Asesor de la torre
Tower Archer;Arquero de la torre
Tower Mage;Mago de la torre
Tower guard;guardia de la torre
Town Crier;Pregonero
Town Guard;Guardia de la ciudad
Toy Doll;muñeca de juguete
Toy Mouse;Ratón de juguete
Toy Soldier;Soldado de juguete
Tracker gnome 1;Gnomo rastreador 1
Tracker gnome 2;Gnomo rastreador 2
Tracker gnome 3;Gnomo rastreador 3
Trade Referee;Árbitro comercial
Trader;Comerciante
Trader Crewmember;Miembro de la tripulación comerciante
Trader Stan;Comerciante Stan
Trader Sven;Comerciante Sven
Traiborn;Traiborn
Trainee Guard;Guardia en prácticas
Trainer Nacklepen;Entrenador Nacklepen
Tramp;Vagabundo
Trapped Soul;Alma atrapada
Trapped Soul (hard);Alma atrapada (difícil)
Traxi;traxi
Treacle;Melaza
Treasure fairy;hada del tesoro
Tree;Árbol
Tree spirit;Espíritu del árbol
Tree spirit (hard);Espíritu de árbol (difícil)
Trees;Árboles
Trefaji;Trefaji
Treus Dayth;Treus Dayth
Treus Dayth (hard);Treus Dayth (difícil)
Treznor;Treznor
Tribal Weapon Salesman;Vendedor de armas tribales
Tribesman;Miembro de una tribu
Tristan;Tristán
Trobert;troberto
Trogen Konungarde;Trogen Konungarde
Troll;Gnomo
Troll child;niño troll
Troll father;padre troll
Troll general;general troll
Troll mother;madre troll
Troll spectator;Espectador troll
Trolley;Carretilla
Tropical wagtail;lavandera tropical
Trossa;Trosa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;tural
Turbogroomer;turboafilador
Turgall;Turgal
Turgok;Turgok
Turgon;Turgón
Turoth;turot
Tutab;Tutab
Twig;Ramita
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;alma en pena retorcida
Two-pints;Dos pintas
Tyke;Perro de calle
Tynan;Tynan
Typhor;tíforo
Tyras Guard;Guardia de Tyras
Tyras guard;Guardia de Tyra
Tyss;tiss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;ug
Uglug Nar;Uglug Nar
Ugthanki;ugthanki
Ulfric;Ulfrico
Ulifed;Ulifedo
Ulizius;Ulizius
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Druida no muerto
Undead Lumberjack;Leñador no muerto
Undead Zealot;Fanático no-muerto
Undead chicken;pollo no-muerto
Undead cow;vaca no muerta
Undead one;uno no-muerto
Undead tree;árbol no-muerto
Undor;Undor
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Unicornio
Unicorn Foal;Potro Unicornio
Unicow;Unicow
Unnamed troll child;Niño troll sin nombre
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Urpel
Ur-taal;Ur-taal
Ur-tag;etiqueta ur
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;urbí
Uri;uri
Urium Shade;Sombra de uranio
Urium Shadow;Sombra de uranio
Usi;usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;uwogo
Uyoro;Uyoro
Vaeringk;Väeringk
Vaire;vaire
Valaine;valaine
Valantay Eppel (medium);Valantay Eppel (mediano)
Valentin Rasputin;Valentín Rasputín
Valentina Diaemus;Valentina Diaemus
Valeria;valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallesia Dracyula
Vallessia von Pitt;Vallesia von Pitt
Vampyre Juvenile;vampiro juvenil
Vampyre Juvinate;Juvinate vampiro
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Perro vampírico
Vampyrus Diaemus;Vampiro Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;vanessa
Vanguard;Vanguardia
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vanna
Vannaka;vannaka
Vanstrom Klause;Klause Vanstrom
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasquén
Veliaf Hurtz;Velia Hurtz
Velorina;velorina
Velrak the explorer;Velrak el explorador
Venenatis;venenatis
Venenatis spiderling;Arañita Venenatis
Veos;veos
Vera;vera
Verac the Defiled;Verac el Profanado
Verak;Verak
Vermundi;vermundi
Veronica;Verónica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;vespina
Vespine soldier;soldado vespino
Vespula;vespula
Vestri;vestir
Vet'ion;Veterinaria
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion Reborn
Victor;Vencedor
Vigr;Vigr
Vigroy;Vigroy
Villager;Aldeano
Villia;villa
Violetta Sanguine;Violetta Sanguina
Vitreous Jelly;Jalea vítrea
Vitreous warped Jelly;Jalea vítrea deformada
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladímir
Voice of Yama;Voz de Yama
Void Knight;Caballero del Vacío
Volf Olafson;Volf Olafson
Von van Von;von van von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcano Orvoros
Vulture;Buitre
Vyre Orator;Orador de Vyre
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Centinela Vyrewatch
Wagchin;wagchin
Wall beast;Bestia de la pared
Wallasalki;Wallasálki
Wally;Criajo
Wanderer;Vagabundo
Wandering impling;implicación errante
Warped Jelly;Jalea deformada
Warrior;Guerrero
Warrior of Murahs;Guerrero de Murahs
Warrior woman;mujer guerrera
Watchman;Sereno
Watchtower Wizard;Asistente de la Atalaya
Water elemental;elemental de agua
Water wizard;mago del agua
Waterfiend;demonio del agua
Watson;watson
Waydar;waydar
Waymottin;waymottin
Wayne;Wayne
Weakened Delrith;Delrith debilitado
Weaponsmaster;Maestro de armas
Weird Old Man;viejo raro
Well-armed Foe;Enemigo bien armado
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Hombre-lobo
Wesley;wesley
Weve;Hemos
Whirlpool;Torbellino
White Chisel Director;Director de cincel blanco
White Chisel Secretary;Secretaria de cincel blanco
White Knight;Caballero Blanco
White golem;golem blanco
White wolf;lobo blanco
Wild dog;perro salvaje
Wild kebbit;Kebbit salvaje
Will o' the wisp;Voluntad del fuego fatuo
William;Guillermo
Willow;Sauce
Wilough;Wilough
Wilson;wilson
Wily cat;gato astuto
Wily hellcat;gato astuto
Winelda;vinilda
Wingman Skree;Wingman Skree
Wingstone;Piedra de ala
Winkin;guiño
Winter Elemental;Elemental de invierno
Winter Soldier;Soldado de invierno
Wintertoad;sapo de invierno
Wise Old Man;Viejo sabio
Wise Young Man;joven sabio
Wiskit;wiskit
Wistan;wistán
Witch;Bruja
Witch's cat;gato de bruja
Witch's experiment;El experimento de la bruja.
Witch's experiment (fourth form);Experimento de la bruja (cuarto curso)
Witch's experiment (fourth form) (hard);Experimento de la bruja (cuarta forma) (difícil)
Witch's experiment (hard);El experimento de la bruja (difícil)
Witch's experiment (second form);Experimento de la bruja (segunda forma)
Witch's experiment (second form) (hard);Experimento de la bruja (segunda forma) (difícil)
Witch's experiment (third form);Experimento de la bruja (tercera forma)
Witch's experiment (third form) (hard);Experimento de la bruja (tercera forma) (difícil)
Witchaven villager;Aldeano de Witchaven
Wizard;Mago
Wizard Akutha;Mago Akutha
Wizard Cromperty;Mago Cromperty
Wizard Distentor;Distentor mago
Wizard Frumscone;Mago Frumscone
Wizard Grayzag;Mago Grayzag
Wizard Mizgog;Mago Mizgog
Wizard Sinina;Mago Sinina
Wolf;Lobo
Wolfbone;Hueso de lobo
Woman;Mujer
Woman-at-arms (hard);Mujer de armas (duro)
Wood Dryad;Dríada de madera
Woodsman tutor;Profesor de leñador
Workman;Obrero
Wormbrain;cerebro de gusano
Wounded soldier;soldado herido
Wurbel;Wurbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson el jardinero
Wyvern display;Exhibición de wyvern
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Yak
Yanni Salika;Yanni Salika
Yarsul;yarsul
Yellow Fortune Director;Directora de la Fortuna Amarilla
Yellow Fortune Secretary;Secretario de la Fortuna Amarilla
Yellow Sheep;oveja amarilla
Yellow Snow;Nieve Amarilla
Yenrab;yenrab
Yeti;yeti
Ymladd;ymlad
Yohnus;Yohnus
Young 'un;jovencito
Young impling;joven implicado
Youngllef;jovenllef
Yrsa;yrsa
Ysbeid;Ysbeid
Ysgawyn;ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf chillidos
Yuri;yuri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Artesano zamorak
Zamorak mage;mago zamorak
Zamorak ranger;guardabosques zamorak
Zamorak warrior;guerrero zamorak
Zamorak wizard;mago zamorak
Zogre;zogre
Zoja;zoya
Zombie;Zombi
Zombie pirate;Pirata zombi
Zombie rat;rata zombi
Zombie swab;hisopo zombie
Zombies Champion;Campeón de zombis
Zombified Spawn;Engendro zombificado
Zulrah;Zulra
Zygomite;cigomita
