 Sneaky undead fowl;Ovela epäkuolleet linnut
Roachey;Roachey
Roavar;Roavar
Robert Boss;Robert Boss
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Robert Vahva
Robin;Robin
Robyn;Robyn
Rock;Rock
Rock Crab;Kivirapu
Rock Golem;Rock Golem
Rock lobster;Kivihummeri
Rock pile;Kivikasa
Rocks;Kivet
Rockslug;Rockslug
Rocky;Rocky
Rocnar;Rocnar
Rod Fishing spot;Vapakalastuspaikka
Rogue;Rogue
Rogue Guard;Rogue Vartija
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rolad
Rolayne Twickit (hard);Rolayne Twickit (kova)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Kukko
Root;Juuri
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross ja Ben
Rowdy Guard;Rohkea vartija
Rowdy dwarf;Röyhkeä kääpiö
Rowdy slave;Röyhkeä orja
Roy;Roy
Roy jr.;Roy jr.
Royal Guard;Kuninkaallinen vartija
Ruantun;Ruantun
Ruby harvest;Rubiinin sato
Rufus;Rufus
Rug Merchant;Mattojen kauppias
Runa;Runa
Rune dragon;Rune lohikäärme
Runite Golem;Runite Golem
Runite Minor;Runite Minor
Runite ore;Runiittimalmi
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Rupert parta
Rusty;Ruosteinen
Saba;Saba
Sabeil;Sabeil
Saboteur;Sabotoija
Sabre-toothed kebbit;Sarehampainen kebbit
Sabre-toothed kyatt;Sarehampainen kyatt
Sabreen;Sabreen
Sacrifice;Uhrata
Sadwrn;Sadwrn
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Safalaan Pyhä
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Merimies
Salarin the twisted;Salarin kierretty
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalon
Sand Crab;Hiekkarapu
Sand Snake;Hiekka käärme
Sand Snake (hard);Sand Snake (kova)
Sand storm;Hiekkamyrsky
Sandicrahb;Sandicrahb
Sandwich lady;Voileipänainen
Sandy;Sandy
Sandy Boulder;Sandy Boulder
Sandy rocks;Hiekkaisia ​​kiviä
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Sapphire glacialis
Sarachnis;Sarachnis
Saradomin priest;Saradomin pappi
Saradomin wizard;Saradomin velho
Saradominist recruiter;Saradoministinen rekrytoija
Sarah;Sarah
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;Saro
Sassilik;Sassilik
Savant;Savant
Sawmill Operator;Sahan operaattori
Sawmill operator;Sahan operaattori
Sbott;Sbott
Scabaras;Scabaras
Scarab mage;Scarab maagi
Scarab swarm;Scarab parvi
Scarabs;Scarabs
Scared skavid;Peloissaan skavid
Scarg;Scarg
Scavenger beast;Raiskaaja peto
Scavvo;Scavvo
Schoolboy;Koulupoika
Schoolgirl;Koulutyttö
Scion;Scion
Scorpia;Skorpia
Scorpia's guardian;Scorpian vartija
Scorpia's offspring;Scorpian jälkeläisiä
Scorpion;Skorpioni
Scout;Partiolainen
Screaming banshee;Huutava banshee
Screaming twisted banshee;Huutava kierretty banshee
Scrubfoot;Scrubfoot
Sea Snake Hatchling;Merikäärme Hatchling
Sea Snake Young;Merikäärme nuori
Sea Troll General;Meripeikkokenraali
Sea Troll Queen;Meripeikkokuningatar
Sea slug;Merietana
Sea slugs display;Merietanoiden näyttö
Sea troll;Meripeikko
Seagull;Lokki
Seaman Lorris;Merimies Lorris
Seaman Morris;Merimies Morris
Seaman Thresnor;Merimies Thresnor
Secretary;Sihteeri
Security Guard;Vartija
Seddu;Seddu
Sedridor;Sedridor
Seer;Näkijä
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Seren
Sergeant;Kersantti
Sergeant Damien;Kersantti Damien
Sergeant Grimspike;Kersantti Grimspike
Sergeant Mossfists;Kersantti Mossfistit
Sergeant Ricardo;Kersantti Ricardo
Sergeant Sambur;Kersantti Sambur
Sergeant Slimetoes;Kersantti Slimetoes
Sergeant Steelwill;Kersantti Steelwill
Sergeant Strongstack;Kersantti Strongstack
Sergiu;Sergiu
Servant;Palvelija
Servery assistant;Palveleva avustaja
Seth;Seth
Seth Groats;Seth Groats
Shade;Varjostin
Shade Spirit;Shade Spirit
Shadow;Varjo
Shadow Hound;Varjokoira
Shadow Wyrm;Shadow Wyrm
Shadow spider;Varjo hämähäkki
Shadow warrior;Varjosoturi
Shadowy figure;Varjoinen hahmo
Shady figure;Varjoisa hahmo
Shaeded Beast;Shaeded Beast
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Shantayn vartija
Sharimika;Sharimika
Shark;Hai
Shayda;Shayda
Shayzien Infiltrator;Shayzien Infiltrator
Sheep;lampaat
Sheepdog;Lammaskoira
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Kilven mestari
Shifter;Vaihde
Shilop;Shilop
Shipyard worker;Telakan työntekijä
Shiratti the Custodian;Shiratti säilyttäjä
Shop assistant;Kauppa-apulainen
Shop keeper;Kaupan pitäjä
Shura;Shura
Siamun;Siamun
Sian;Sian
Sid;Sid
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Sigbert seikkailija
Sigismund;Sigismund
Sigli the Huntsman;Sigli metsästäjä
Sigmund;Sigmund
Sigmund The Merchant;Sigmund Kauppias
Sigmund and Zanik;Sigmund ja Zanik
Signy;Signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Silkkikauppias
Silk trader;Silkkikauppias
Silver Cog Director;Silver Cog johtaja
Silver Cog Secretary;Hopeahammassihteeri
Silver merchant;Hopeakauppias
Silver ore;Hopeamalmi
Simon;Simon
Simon Templeton;Simon Templeton
Simona;Simona
Sin Seer;Syntinäkijä
Sinclair;Sinclair
Sinclair Guard dog;Sinclairin vartiokoira
Sinco Doar;Sinco Doar
Sinister Stranger;Synkkä muukalainen
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Carl;Sir Carl
Sir Gawain;Sir Gawain
Sir Harry;Sir Harry
Sir Jerro;Sir Jerro
Sir Kay;Sir Kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Sir Lancelot
Sir Leye;Sir Leye
Sir Lucan;Sir Lucan
Sir Mordred;Sir Mordred
Sir Palomedes;Sir Palomedes
Sir Pelleas;Sir Pelleas
Sir Percival;Sir Percival
Sir Prysin;Sir Prisin
Sir Rebral;Sir Rebral
Sir Ren Itchood;Sir Ren Itchood
Sir Renitee;Sir Renite
Sir Spishyus;Sir Spishyus
Sir Tiffy Cashien;Sir Tiffy Cashien
Sir Tinley;Sir Tinley
Sir Tristram;Sir Tristram
Sir Vyvin;Sir Vyvin
Sirsal Banker;Sirsal pankkiiri
Sister Aseret;Sisar Aseret
Sister Naoj;Sisar Naoj
Sister Salohcin;Sisar Salohcin
Sister Scarophia;Sisar Scarophia
Sister Senga;Sisar Senga
Sister Sevi;Sisar Sevi
Sister Soul Jar;Sisar Soul Jar
Sister Toen;Sisar Toen
Sister Yram;Sisar Yram
Sithik Ints;Sithik Ints
Skavid;Skavid
Skeletal Mystic;Skeletal Mystic
Skeletal Wyvern;Skeletal Wyvern
Skeletal miner;Luuston kaivosmies
Skeleton;Luuranko
Skeleton Champion;Skeleton mestari
Skeleton Hellhound;Luuranko Hellhound
Skeleton Hellhound (hard);Luuranko Hellhound (kova)
Skeleton Mage;Skeleton Mage
Skeleton brute;Luuranko raaka
Skeleton fremennik;Fremennik luuranko
Skeleton heavy;Luuranko raskas
Skeleton hero;Skeleton sankari
Skeleton mage;Luurankomaagi
Skeleton thug;Luuranko roisto
Skeleton warlord;Luurankojen sotapäällikkö
Skippy;Skippy
Skogre;Skogre
Skotizo;Skotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Skullball
Skullball Boss;Skullball Boss
Skullball Trainer;Skullball Trainer
Slagilith;Slagilith
Slagilith (hard);Slagilith (kova)
Slash Bash;Slash Bash
Slave;Orja
Sleeping Monkey;Nukkuva Apina
Sleeping guard;Nukkuva vartija
Sleepwalker;Unissakävelijä
Slieve;Slieve
Slim Louie;Ohut Louie
Slippers;Tossut
Sloane;Sloane
Slug Hemligssen;Slug Hemligssen
Slug Prince;Slug Prince
Small Lizard;Pieni lisko
Small ninja monkey;Pieni ninja-apina
Small zombie monkey;Pieni zombi-apina
Smellytoes;Hajuvarpaat
Smiddi Ryak (hard);Smiddi Ryak (kova)
Smith;Smith
Smithing apprentice;Smithingin oppipoika
Smoggy;Sumuinen
Smoke Devil;Smoke Devil
Smoke devil;Savu paholainen
Smokin' Joe;Tupakoiva Joe
Smolcano;Smolcano
Snail display;Etanan näyttö
Snake;Käärme
Snakeling;Snakeling
Snow;Lumi
Snowflake;Lumihiutale
Snowy knight;Luminen ritari
Sofiya;Sofiya
Soldier;Sotilas
Soldier (tier 1);Sotilas (taso 1)
Soldier (tier 2);Sotilas (taso 2)
Soldier (tier 3);Sotilas (taso 3)
Soldier (tier 4);Sotilas (taso 4)
Soldier (tier 5);Sotilas (taso 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Sophanem vartija
Sophia Hughes;Sophia Hughes
Sorceress;Noita
Sorebones;Kipuja
Sorin;Sorin
Sorrn;Anteeksi
Sotetseg;Sottseg
Soulless;Sieluton
Sourhog;Sourhog
Spang;Spang
Spawn;Spawn
Spawn of Sarachnis;Sarachniksen kutu
Spectator;Katsoja
Speedy Keith;Nopea Keith
Sphinx;Sfinksi
Spice seller;Mausteen myyjä
Spider;Hämähäkki
Spidine;Spidine
Spiked Turoth;Piikkinen Turoth
Spin Blades;Pyöritä terät
Spined larupia;Spined larupia
Spinner;Spinner
Spinolyp;Spinolyp
Spirit Angler;Spirit Angler
Spirit of Scorpius;Skorpionin henki
Spirit of Zadimus;Zadimuksen henki
Spirit tree;Henki puu
Spiritual mage;Henkinen taikuri
Spiritual ranger;Henkinen metsänvartija
Spiritual warrior;Henkinen soturi
Spit goblin;Split goblin
Spitting Wyvern;Wyvern sylkeminen
Splatter;Roiskia
Spotted kebbit;Täplikäs kebbit
Spria;Spria
Spring Elemental;Kevät elementaali
Squire;Squire
Squire (Intermediate);Squire (keskitaso)
Squire (Novice);Squire (noviisi)
Squire (Veteran);Squire (veteraani)
Squirrel;Orava
Sraracha;Sraracha
Stag;Stag
Stanford;Stanford
Stankers;Stankers
Star Sprite;Star Sprite
Starflower;Tähtikukka
Starlight;Tähtien valo
Steel dragon;Teräs lohikäärme
Steve;Steve
Stick;Tikku
Stone Guardian;Stone Guardian
Stone mason;Kiven muuraaja
Stonemason;Kivenmuuraja
Storm Cloud;Myrskypilvi
Storm cloud;Myrskypilvi
Strange Old Man;Outo Vanhus
Strange plant;Outo kasvi
Strange watcher;Outo katsoja
Stranger;Muukalainen
Straven;Straven
Stray dog;Kulkukoira
Street urchin;Katusiili
Strong Ronny;Vahva Ronny
Student;Opiskelija
Stuliette;Stuletti
Stumpy;Pullea
Stunned Hoop Snake;Järkyttynyt Hoop Snake
Stunted demonic gorilla;Kitukasvuinen demoninen gorilla
Styrmir;Styrmir
Suit of armour;Panssaripuku
Sulphur Lizard;Rikkilisko
Summer Elemental;Summer Elemental
Summoned Soul;Kutsuttu sielu
Summoned Zombie;Kutsuttu zombie
Sune;Sune
Superior ghostly thrall;Ylivertainen aavemainen jännitys
Superior skeletal thrall;Ylivoimainen luuranko
Superior zombified thrall;Ylivertainen zombitettu jännitys
Supreme Commander;Ylipäällikkö
Suqah;Suqah
Surgeon General Tafani;Yleiskirurgi Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Selviytymisen asiantuntija
Suspect;Epäilty
Suspicious water;Epäilyttävä vesi
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Suon rapu
Swamp Priest;Suon pappi
Swamp frog;Suon sammakko
Swamp lizard;Suon lisko
Swamp snake;Suon käärme
Swamp toad;Suo rupikonna
Swampy log;Soinen tukki
Swan;Joutsen
Swarm;Parvi
Sweeper;Lakaisukone
Swensen the Navigator;Swensen Navigaattori
Swordchick;Swordchick
Sylas;Sylas
Taiman;Taiman
Talia;Talia
Taloned Wyvern;Taloned Wyvern
Tamayu;Tamayu
Tamble;Taulukko
Tanglefoot;Tanglefoot
Tanglefoot (hard);Tanglefoot (kova)
Tangleroot;Tanglroot
Tanner;Nahkuri
Tanya;Tanya
Tar Bubbles;Tervakuplat
Tar Monster;Tervahirviö
Tarfol quo Maten;Tarfol quo Maten
Target;Kohde
Taria;Taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarkvin
Tassie Slipcast;Tassie Slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Taksidermisti
Taylor;Taylor
Tayten;Tayten
Tea seller;Teen myyjä
Teacher;Opettaja
Teacher and pupil;Opettaja ja oppilas
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegid
Tektiny;Tektiny
Tekton;Tekton
Tekton (enraged);Tekton (raivoissaan)
Telekinetic Guardian;Telekinetic Guardian
Temple Spider;Temppelihämähäkki
Temple guardian;Temppelin vartija
Tempoross;Tempoross
Tentacle;Lonkero
Tenzing;Tenzing
Teodor;Teodor
Terror dog;Terrori koira
Terror dog statue;Terror-koiran patsas
Terrorbird;Terrorbird
Terrorbird display;Terrorbird näyttö
Terrorchick gnome;Terrorchick gnome
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';"Kiila"
The Beast;Peto
The Collector;Keräilijä
The Draugen;Draugen
The Everlasting;Ikuinen
The Everlasting (hard);Ikuinen (kova)
The Face;Kasvot
The Fisher King;Kalastajakuningas
The Illusive;Illusive
The Inadequacy;Riittämättömyys
The Inadequacy (hard);Riittämättömyys (kova)
The Jormungand;Jormungand
The Kendal;Kendal
The Kendal (hard);Kendal (kova)
The Lady of the Lake;Lady of the Lake
The Maiden of Sugadinti;Sugadintin neito
The Mimic;Mimic
The Monkey's Aunt;Apinan täti
The Monkey's Uncle;Apinan setä
The Nightmare;Painajainen
The Queen of Thieves;Varkaiden kuningatar
The Shaikahan;Shaikahan
The Untouchable;Koskematon
The Untouchable (hard);Koskematon (kova)
Thermonuclear smoke devil;Termoydinsavun paholainen
Thessalia;Thessalia
Thias Leacke;Thias Leacke
Thief;Varas
Thing under the bed;Asia sängyn alla
Thingol;Thingol
Third Age Mage;Kolmannen iän maagi
Third Age Ranger;Kolmas ikärahti
Third Age Warrior;Kolmannen iän soturi
Thirus;Thirus
Thistle;Ohdake
Thomdril;Thomdril
Thora the Barkeep;Thora Barkeep
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkelin silkkiparta
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald soturi
Thrantax the Mighty;Thrantax the Mighty
Thrower Troll;Heittäjä Trolli
Thrower troll;Heittäjä trolli
Thug;Roisto
Thumpy;Tyhmäinen
Thurgo;Thurgo
Thyria;Thyria
Tiadeche;Tiadeche
Ticket Merchant;Lippukauppias
Ticket dwarf;Lippukääpiö
Ticket goblin;Lippupeikko
Tide;Vuorovesi
Tiles;Laatat
Tilt;Kallistaa
Tim;Tim
Timallus;Timallus
Timble;Timble
Timfraku;Timfraku
Tin ore;Tina malmi
Tina;Tina
Tindar;Tindar
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Tinse Torpe
Tiny Tempor;Pieni Tempor
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tomas Lawry
Tombar;Tombar
Tommy 2-times;Tommy 2 kertaa
Tool Leprechaun;Työkalu Leprechaun
Toothy;Hampainen
Topsy;Topsy
Torag the Corrupted;Torag korruptoituneita
Torbrund;Torbrund
Torcher;Torcher
Torfinn;Torfinn
Tormented Soul;Kiusattu sielu
Torrcs;Torrcs
Torrell;Torrell
Tortoise;Kilpikonna
Tortured gorilla;Kidutettu gorilla
Tortured soul;Kidutettu sielu
Tostig;Tostig
Tough Guy;Kovanaama
Tower Advisor;Tower Advisor
Tower Archer;Tower Archer
Tower Mage;Tower Mage
Tower guard;Tornin vartija
Town Crier;Town Crier
Town Guard;Kaupungin vartija
Toy Doll;Lelu-nukke
Toy Mouse;Leluhiiri
Toy Soldier;Lelu sotilas
Tracker gnome 1;Tracker gnome 1
Tracker gnome 2;Tracker gnome 2
Tracker gnome 3;Tracker gnome 3
Trade Referee;Kaupan erotuomari
Trader;Kauppias
Trader Crewmember;Kauppiaan miehistön jäsen
Trader Stan;Kauppias Stan
Trader Sven;Kauppias Sven
Traiborn;Traiborn
Trainee Guard;Vartijaharjoittelija
Trainer Nacklepen;Valmentaja Nacklepen
Tramp;Kulkuri
Trapped Soul;Loukkuun jäänyt sielu
Trapped Soul (hard);Trapped Soul (kova)
Traxi;Traxi
Treacle;Siirappi
Treasure fairy;Aarrekeiju
Tree;Puu
Tree spirit;Puun henki
Tree spirit (hard);Puun henki (kova)
Trees;puut
Trefaji;Trefaji
Treus Dayth;Treusin päivä
Treus Dayth (hard);Treus Dayth (kova)
Treznor;Treznor
Tribal Weapon Salesman;Heimojen aseiden myyjä
Tribesman;Heimomies
Tristan;Tristan
Trobert;Trobert
Trogen Konungarde;Trogen Konungarde
Troll;Peikko
Troll child;Trollin lapsi
Troll father;Trollin isä
Troll general;Trolli kenraali
Troll mother;Trollin äiti
Troll spectator;Trollin katsoja
Trolley;Kärry
Tropical wagtail;Trooppinen wagtail
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turael
Turbogroomer;Turbogroomer
Turgall;Turgall
Turgok;Turgok
Turgon;Turgon
Turoth;Turoth
Tutab;Tutab
Twig;Oksa
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Twisted Banshee
Two-pints;Kaksi pinttiä
Tyke;Tyke
Tynan;Tynan
Typhor;Typhor
Tyras Guard;Tyras vartija
Tyras guard;Tyras vartija
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Puh
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Ugug Nar
Ugthanki;Ugthanki
Ulfric;Ulfric
Ulifed;Ulifed
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Undead Druid
Undead Lumberjack;Undead metsuri
Undead Zealot;Undead Zealot
Undead chicken;Epäkuollut kana
Undead cow;Epäkuollut lehmä
Undead one;Undead yksi
Undead tree;Epäkuollut puu
Undor;Undor
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Yksisarvinen
Unicorn Foal;Yksisarvinen varsa
Unicow;Unicow
Unnamed troll child;Nimetön trollilapsi
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Ur-pel
Ur-taal;Ur-taal
Ur-tag;Ur-tunniste
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Urium-sävy
Urium Shadow;Urium varjo
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (keskikokoinen)
Valentin Rasputin;Valentin Rasputin
Valentina Diaemus;Valentina Diaemus
Valeria;Valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Nuori vampyyri
Vampyre Juvinate;Vampyyri Juvinate
Vampyressa van Von;Vampyressa van von
Vampyric hound;Vampyyrikoira
Vampyrus Diaemus;Vampyrus Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Vanguard
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanström Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasquen
Veliaf Hurtz;Veliaf Hurtz
Velorina;Velorina
Velrak the explorer;Tutkija Velrak
Venenatis;Venenatis
Venenatis spiderling;Venenatis hämähäkki
Veos;Veos
Vera;Vera
Verac the Defiled;Verac the Defiled
Verak;Verak
Vermundi;Vermundi
Veronica;Veronica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Vespine sotilas
Vespula;Vespula
Vestri;Vestri
Vet'ion;Vet'ion
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion Reborn
Victor;Victor
Vigr;Vigr
Vigroy;Vigroy
Villager;Kyläläinen
Villia;Villia
Violetta Sanguine;Violetta Sanguine
Vitreous Jelly;Lasimainen hyytelö
Vitreous warped Jelly;Lasimainen vääntynyt Jelly
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Yaman ääni
Void Knight;Tyhjä ritari
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcan Orvoros
Vulture;Korppikotka
Vyre Orator;Vyre Puhuja
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Vyrewatch Sentinel
Wagchin;Wagchin
Wall beast;Seinä peto
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Vaeltaja
Wandering impling;Vaeltava impling
Warped Jelly;Vääntynyt Jelly
Warrior;Soturi
Warrior of Murahs;Murahsin soturi
Warrior woman;Soturi nainen
Watchman;Vartija
Watchtower Wizard;Vartiotornin velho
Water elemental;Vesielementti
Water wizard;Vesi velho
Waterfiend;Vesiystävä
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Heikentynyt Delrith
Weaponsmaster;Asemestari
Weird Old Man;Outo Vanhus
Well-armed Foe;Hyvin aseistettu vihollinen
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Ihmissusi
Wesley;Wesley
Weve;Weve
Whirlpool;Whirlpool
White Chisel Director;White Chisel johtaja
White Chisel Secretary;White Chisel sihteeri
White Knight;Valkoinen ritari
White golem;Valkoinen golem
White wolf;Valkoinen susi
Wild dog;Villi koira
Wild kebbit;Villi kebbit
Will o' the wisp;Will o' the wisp
William;William
Willow;Paju
Wilough;Wilough
Wilson;Wilson
Wily cat;Viisas kissa
Wily hellcat;Viisas helvetinkissa
Winelda;Winelda
Wingman Skree;Wingman Skree
Wingstone;Wingstone
Winkin;Silmänisku
Winter Elemental;Winter Elemental
Winter Soldier;Talven sotilas
Wintertoad;Wintertoad
Wise Old Man;Viisas Vanhus
Wise Young Man;Viisas Nuori Mies
Wiskit;Wiskit
Wistan;Wistan
Witch;Noita
Witch's cat;Noidan kissa
Witch's experiment;Noidan kokeilu
Witch's experiment (fourth form);Noidan kokeilu (neljäs muoto)
Witch's experiment (fourth form) (hard);Noidan kokeilu (neljäs muoto) (kova)
Witch's experiment (hard);Noidan kokeilu (kova)
Witch's experiment (second form);Noidan kokeilu (toinen muoto)
Witch's experiment (second form) (hard);Noidan kokeilu (toinen muoto) (kova)
Witch's experiment (third form);Noitakoe (kolmas muoto)
Witch's experiment (third form) (hard);Noidan kokeilu (kolmas muoto) (kova)
Witchaven villager;Witchavenin kyläläinen
Wizard;Ohjattu toiminto
Wizard Akutha;Velho Akutha
Wizard Cromperty;Wizard Cromperty
Wizard Distentor;Wizard Distentor
Wizard Frumscone;Velho Frumscone
Wizard Grayzag;Velho Grayzag
Wizard Mizgog;Velho Mizgog
Wizard Sinina;Velho Sinina
Wolf;Susi
Wolfbone;Wolfbone
Woman;Nainen
Woman-at-arms (hard);Nainen käsivarsissa (kova)
Wood Dryad;Puinen Dryad
Woodsman tutor;Woodsman opettaja
Workman;Työmies
Wormbrain;matoaivot
Wounded soldier;Haavoittunut sotilas
Wurbel;Wurbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson puutarhuri
Wyvern display;Wyvern näyttö
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Jak
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Yellow Fortune -johtaja
Yellow Fortune Secretary;Keltainen Fortune Secretary
Yellow Sheep;Keltainen lammas
Yellow Snow;Keltainen lumi
Yenrab;Yenrab
Yeti;Lumimies
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Nuori 'un
Young impling;Nuori impling
Youngllef;Youngllef
Yrsa;Yrsa
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf Squecks
Yuri;Juri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Zamorak käsityöläinen
Zamorak mage;Zamorak taikuri
Zamorak ranger;Zamorak metsänvartija
Zamorak warrior;Zamorak soturi
Zamorak wizard;Zamorak velho
Zogre;Zogre
Zoja;Zoja
Zombie;Zombie
Zombie pirate;Zombie-merirosvo
Zombie rat;Zombie rotta
Zombie swab;Zombie-puikko
Zombies Champion;Zombien mestari
Zombified Spawn;Zombified Spawn
Zulrah;Zulrah
Zygomite;Tsygomiitti
