A Goblin standard;Goblin-standardi
Old Bookshelf;Vanha kirjahylly
Old log;Vanha tukki
Onion basket;Sipulikori
Ornate trophy pedestal;Koristeellinen palkintojalusta
Ornate wilderness combat dummy;Koristeellinen erämaataistelunukke
Outfit stand space;Vaateteline
Painting stand;Maalausteline
Panel;Paneeli
Ominous Fishing Spot;Harmillinen kalastuspaikka
Open chest;Avaa rintakehä
Open gate;Avaa portti
Orb;Orb
Pagoda Fungus;Pagodin sieni
Old crane;Vanha nosturi
Orchid;Orkidea
Organ;Urut
Old axe;Vanha kirves
Old passageway;Vanha käytävä
Orrery;Orrery
Otherworldly garden;Toisen maailman puutarha
Otherworldly theme;Muunlainen teema
Our lives;Meidän elämämme
Pedestal;Jalusta
Peephole;Ovisilmä
Penance Fighter statue;Penance Fighter -patsas
Pendulum;Heiluri
Pie stall;Piirakkakioski
Pipe machine;Putkikone
Piping;Putket
Passage;Passage
Patched Wall;Pakattu seinä
Penance Ranger statue;Penance Ranger -patsas
Pew;Pew
Phren Roots;Phren juuret
Pigeon;Kyyhkynen
Pile of bricks;Kasa tiiliä
Pillar;Pilari
Pine;Mänty
Pet list;Lemmikkieläinten luettelo
Pile of fish;Kasa kalaa
Pin;Pin
Pirate map;Piraatti kartta
Pit;Pit
Plant;Kasvi
Paper;Paperi
Passageway;Käytävä
Penance Healer statue;Penance Healer -patsas
Picnic bench;Piknik penkki
Plantpot;Kasviruukku
Papaya tree;Papaija puu
Pentamid Pile;Pentamid-kasa
Petrified Mushtree;Kivettynyt Mushtree
Petrified Spine Plant;Kivettynyt selkäranka kasvi
Piano stool;Pianotuoli
Pile of Rock;Pino of Rock
Pile of rubble.;Kasa raunioista.
Platform edge;Alustan reuna
Partial fence;Osittainen aita
Pebbles;Kivet
Perch;Ahven
Pile of Fishbowls;Kasa kalakulhoja
Pile of canes;Kasa keppejä
Pinboard;Pinboard
Pirate Captain;Merirosvo kapteeni
Pile of rubble;Kasa raunioista
Pillar of Light;Valon pilari
Pirate Pete;Piraatti Pete
Papaya tree stump;Papaijan kanto
Penance Queen spawn statue;Penance Queen -patsas
Pet list space;Lemmikkieläinluettelotila
Pirate Flag;Merirosvojen lippu
Partially broken bridge;Osittain rikki silta
Pedestal space;Jalustan tila
Pickaxe;Hakku
Pile of rocks;Kasa kiviä
Pineapple plant;Ananas kasvi
Pitcher plant;Kannu kasvi
Penance Runner statue;Penance Runner -patsas
Pet house space;Lemmikkien talon tila
Platform support;Alustan tuki
Pear tree;Päärynä puu
Pet feeder space;Lemmikkieläinten ruokintatila
Pirate Sign;Merirosvo merkki
Plant door;Kasvien ovi
Plaque;Plakki
Play blocks;Toista lohkot
Petrified Large Mushroom;Kivettynyt iso sieni
Petrified Pufferfish;Kivettynyt pufferfish
Picket fence;Pikettiaita
Pile of skulls;Kasa kalloja
Pipes;Putket
Piscarilius statue;Piscarilius-patsas
Plant Fossil Display;Kasvien fossiilien näyttö
Planter;Planter
Parasol;Päivänvarjo
Pedals;Polkimet
Petrified Pitcher;Kivettynyt syöttäjä
Phren Roots (Depleted);Phren Roots (tyhjentynyt)
Picture;Kuva
Pile of rope;Kasa köyttä
Pineapple Plant;Ananas kasvi
Pink rose bush patch;Vaaleanpunainen ruusupensasmerkki
Pitfall;Sudenkuoppa
Parchment;Pergamentti
Patched wall;Pakattu seinä
Path;Polku
Piano;Piano
Picnic table;Piknik-pöytä
Pineapple plant stump;Ananaskasvin kanto
Pipe;Putki
Platform;Alusta
Party Balloon;Juhlapallo
Pen Door;Kynän ovi
Penance cave;Katumuksen luola
Pet basket;Lemmikkikori
Pet blanket;Lemmikkien peitto
Petrified mushroom;Kivettynyt sieni
Pendant;Riipus
Picture wall;Kuva seinä
Pile of Ancient Books;Kasa vanhoja kirjoja
Pinball Post;Pinball-posti
Plank;Lankku
Pool space;Allastila
Portal Home;Portaalin etusivu
Potatoes;perunat
Preparation Table;Valmistelutaulukko
Private bank booth;Yksityinen pankkiosasto
Protruding rocks;Ulkonevat kivet
Pyramid entrance;Pyramidin sisäänkäynti
Polluted water;Pilaantunut vesi
Pool of Rejuvenation;Nuorennusallas
Pool of Slime;Liman allas
Portrait space;muotokuva-avaruus
Post;Lähettää
Potato;Peruna
Potion of power table;Voimapöydän juoma
Prison Door;Vankilan ovi
Plough;Aura
Portal Nexus space;Portaali Nexus-tilaa
Portrait;Muotokuva
Potion shelf;Juomahylly
Potion shelves;Juomahyllyt
Press support;Paina tuki
Pressure Barrel;Paine tynnyri
Private portal;Yksityinen portaali
Points settings;Pisteasetukset
Pot of dynamite;Pannu dynamiittia
Potato seed;Perunan siemen
Pump;Pumppu
Poison Ivy bush;Poison Ivy pensas
Pokers;Pokerit
Pole;napa
Portal of Heroes;Sankarien portaali
Pot of Gold;Kultaastia
Potato basket;Perunakori
Professor's table;Professorin pöytä
Pylon;Pylväs
Pool of blood;Veriallas
Portal frame;Portaalin kehys
Potential fire;Mahdollinen tulipalo
Pots;Ruukut
Powder Barrel;Jauhetynnyri
Power saw;Sähkösaha
Pool of Dreams;Unelmien allas
Pool of Revitalisation;Elvytysallas
Portcullis;Laskuportti
Potions;juomat
Priest Statue;Papin patsas
Pyre site;Pyren paikka
Poll booth;Äänestyskoppi
Pressure machine;Painekone
Prize chest space;Palkintojen rintatila
Pyre boat;Pyrevene
Rachel (Well);Rachel (No)
Pool of Refreshment;Virkistysallas
Pyromancer;Pyromancer
Quiescent Snow Storm;Hiljainen lumimyrsky
Portal;Portaali
Portal of Champions;Mestarien portaali
Portal of Legends;Legendojen portaali
Posh bell-pull;Tyylikäs kellonveto
Potted plant;Ruukkukasvi
Protest Banners;Protestibannerit
Quest list space;Tehtäväluettelotila
Pool of Restoration;Restaurointiallas
Posts;Viestit
Potato plants;Perunan kasvit
Precarious bridge;Epävarma silta
Pump and drain;Pumppu ja tyhjennys
Plinth;Sokkeli
Portal Nexus;Portaali Nexus
Portal machine;Portaali kone
Pot-boiler;Tusinatuote
Potter's Wheel;Potterin pyörä
Power Grid;Sähköverkko
Prison door;Vankilan ovi
Rabbitless hole;Kaniton reikä
Pond;Lampi
Portal space;Portaalin tila
Potted flower;Ruukkukukka
Potter's wheel;Potterin pyörä
Prison space;Vankilan tilaa
Rabbit hole;Kanin reikä
Pool of Nightmares;Painajaisten allas
Poster;Juliste
Pot;Pot
Potato cactus;Perunakaktus
Potato plant;Peruna kasvi
Pressure Lever;Painevipu
Plunder Storage;Ryöstövarasto
Pole-vault;Seivähyppy
Portal of Death;Kuoleman portaali
Potted fern;Ruukku saniainen
Pottery Oven;Keramiikka uuni
Pressure pad;Painetyyny
Pump and tub;Pumppu ja amme
Quest List;Tehtävälista
Rabbit snare;Kanin ansa
Poison crater;Myrkkykraatteri
Poor Bed;Huono sänky
Protest Poster;Protesti juliste
Rachel (ghastly!);Rachel (kammottavaa!)
Red flowers;Punaiset kukat
Redberry bush;Punamarjan pensas
Reinitialisation Panel;Uudelleenalustuspaneeli
Restraint Table;Kiinnityspöytä
Rickety door;Rikkinäinen ovi
Rock Chair;Rock tuoli
Rock pile;Kivikasa
Rocking unicorn;Keinuva yksisarvinen
Red rose bush patch;Punainen ruusupensasmerkki
Redwood birdhouse;Redwoodin lintumaja
Redwood tree;Punapuu puu
Repaired furnace;Korjattu uuni
Reward Chest;Palkintoarkku
Right side of a fireplace;Takan oikea puoli
Rockslide;Rockslide
Rack of barrels;Tynnyriteline
Ray of Light;Valon säde
Recess;Syvennys
Red chemical;Punainen kemikaali
Reeds;Ruoko
Rock Formation (Glowing);Kiven muodostuminen (hehkuva)
Rack;Teline
Ranging game space;Laaja pelitila
Rat barn;Rotan navetta
Red Flowers;Punaiset kukat
Repaired Roof;Korjattu katto
Red Banana Tree;Punainen banaanipuu
Rachel (sick);Rachel (sairas)
Ranis Drakan;Ranis Drakan
Red fungi;Punaiset sienet
Redwood;Redwood
Repair Locker;Korjaa kaappi
Rewards Chest;Palkintoarkku
Rewards chest;Palkintorinta
River;Joki
Rock debris;Kivijäämiä
Rock of Dalgroth;Dalgrothin kallio
Rocks;Kivet
Rocky ledge;Kivinen reuna
Rat;Rotta
Red Water Sign;Punainen vesimerkki
Refinery;Jalostamo
Repaired leak;Korjattu vuoto
Reset Lever;Nollausvipu
Reward chest;Palkintoarkku
Rinsing pool;Huuhteluallas
Rock Formation;Kiven muodostuminen
Raised coffin;Korotettu arkku
Range chimney;Range savupiippu
Rare Flowers;Harvinaiset kukat
Red Barrier;Punainen este
Redwood fence post;Redwood aitatolppa
Repair space;Korjaustila
Rock Pile;Kivikasa
Rock slide;Kivivyöry
Rocking chair;Keinutuoli
Raft;Lautta
Ramp;Ramppi
Redwood fence;Redwood aita
Repaired wall;Seinä korjattu
Restraining Table;Rajoituspöytä
Retorts;Vastauksia
Reward pool;Palkintopooli
Rail;Rail
Rat barrel;Rotan tynnyri
Recruiting board;Rekrytointilautakunta
Rocky Ledge;Rocky Ledge
Rat Wall;Rotan seinä
Red door;Punainen ovi
Redwood tree patch;Punapuun paikka
Rock;Rock
Rock and string;Rock ja jousi
Rocky handholds;Kiviset kädensijat
Rocky outcrop;Kalliomainen paljastus
Rat wall;Rotan seinä
Reinforced crate;Vahvistettu laatikko
Ranging spot;Kätevä paikka
Range;Alue
Rat hole;Rotan reikä
Red banner;Punainen banneri
Redwood birdhouse (empty);Redwoodin lintumaja (tyhjä)
Repair bench;Korjauspenkki
Rock wall;Kallioseinä
Rockery;Rockery
Rocky shore;Kallioinen ranta
Rachel (very sick);Rachel (erittäin sairas)
Railing;Kaide
Rat trap;Rotan ansa
Rat wheel;Rotan pyörä
Red Star Fungi;Punaisen tähden sienet
Return Orb;Paluu Orb
Ripples;Ripples
Rockfall;Rockfall
Rat lever;Rotan vipu
Rat-hole;Rota-reikä
Red Castlewars armour;Red Castlewarsin panssari
Rift;Rift
Ring of Stones;Ring of Stones
Rock Formation (Depleted);Kivimuodostelma (tyhjentynyt)
Rockpile;Rockpile
Round shield;Pyöreä suoja
Ruined Pillar;Pilari pilari
STASH (master);STASH (mestari)
Sacred Bone Burner;Pyhä luunpoltin
Sacred Forge;Pyhä Forge
Sacrificial boat;Uhrivene
Rope Ladder;Köysitikkaat
Roped tree;Köysitetty puu
Rough hewn steps;Karkeasti hakatut askelmat
Rowboat;Soutuvene
Ruined Stall;Pilaantunut talli
Rocky surface;Kivinen pinta
Rolling pin;Kaulin
Roof Entrance;Katon sisäänkäynti
Rose bush;Ruusupensas
Rotten sapling;Mätä taimi
Rotten stump;Mätä kanto
Ruined stall;Pilaantunut kioski
Rune essence;Rune-esanssi
Ruptured cavern;Rikkoutunut luola
Rocnar;Rocnar
Rotten food;Mätä ruoka
Rotting branch;Mätää oksa
Rubble;Raunioista
Rug;Matto
Ruins Exit;Ruins Exit
Rupert;Rupert
STASH (beginner);STASH (aloittelija)
Sack;Säkki
Sack pile;Säkkipino
Rotten Yommi tree;Mätä Yommi-puu
Rotting log;Mätänevä tukki
Sabertooth Squirrel;Saberhammas-orava
Salve Graveyard Portal;Salven hautausmaaportaali
Roof edge;Katon reuna
Rope ladder;Köysitikkaat
Rope swing;Köysi keinu
Row boat;Soutuvene
Rubber cap mushroom;Kumikorkkisieni
Rune armour;Rune panssari
Rusted anvil;Ruostunut alasin
Rotten carpet;Mätä matto
Rune pouches;Rune pussit
Rocky support;Rocky tuki
Ropes;Köydet
Rotten Yommi;Mätä Yommi
Rowboat space;Soutuvene tilaa
Ruins Entrance;Raunioiden sisäänkäynti
Rune case space;Rune kotelo tilaa
Rune dragon;Rune lohikäärme
Sailfish;Purjekalat
Roots;Juuret
Ropeswing;Ropeswing
Rum Crate;Rommilaatikko
Runner trap(1);Juoksuloukku (1)
Rusty key;Ruosteinen avain
STASH (hard);STASH (kova)
Sack Pile;Säkin kasa
Roof;Katto
Rope bell-pull;Köysikellon veto
Ruins;Rauniot
Sacred water;Pyhä vesi
Rooftop Agility display;Rooftop Agility -näyttö
Rope anchor;Köysi ankkuri
Roses;Ruusut
Rubble Pile;Murskakasa
Runic Altar;Riimualttari
S.T.A.S.H chart;S.T.A.S.H-kaavio
Sacks;Säkit
Roof top beams;Kattopalkit
Rope bridge;Köysilta
Rotten Apple Pile;Mädäntynyt omenakasa
Rune display case;Rune näyttökotelo
STASH (elite);STASH (eliitti)
Sacrificial Pyre;Sacrificial Pyre
Rolled up rug;Kääritty matto
Roof Exit;Katon uloskäynti
Rope;Köysi
Rosebush;Ruusupensas
Rotting tree;Mätänevä puu
Sail;Purjehtia
Rolled up rugs;Rullatut matot
Root;Juuri
Rosemary;Rosmariini
Rune Essence;Rune Essence
Runite Minor;Runite Minor
STASH (medium);STASH (keskikokoinen)
Rope bridge support;Köysillan tuki
Rotten village fence;Mätä kylän aita
Rough wall;Karkea seinä
Rune temple sign;Rune temppeli merkki
Runecrafting altar;Runecrafting alttari
Sails;Purjeet
Rotten Totem pole;Mätä Toteemipaalu
Royal Wedding Invitation;Kuninkaallinen hääkutsu
Rug space;Mattotilaa
Runner trap(2);Juoksuloukku (2)
STASH (easy);STASH (helppo)
Safe;Turvallinen
Saltpetre;Salpietari
Scarecrow;Variksenpelätin
Seating space;Istuintila
Seers weathervane;Näkijä tuuliviiri
Seers' Village Portal;Näkijöiden kylän portaali
Shelves space;Hyllytilaa
Scorched earth;Poltettu maa
Scrapey Tree;Scrapey Tree
Scratching post space;Raaputuspostitilaa
Scroll rack;Rullausteline
Secure chest;Turvallinen rintakehä
Seed vault;Siemenholvi
Shadow root;Varjojuuri
Shaking box;Ravistelulaatikko
Sand;Hiekka
Sarachnis display;Sarachnis näyttö
Saucepan;kattila
Scrying pool;Huutava allas
Secret Door;Salainen ovi
Sewer valve;Viemäriventtiili
Shattered rockface;Murtunut kalliopinta
Sapling;Taimi
Scimitar Stall;Scimitar Stall
Seal of Hefin;Hefinin sinetti
Shape puzzle;Muotopalapeli
Shark Beast;Shark Beast
Shining pool;Kiiltävä allas
Sandpit;Hiekkalaatikko
Saradomin Portal;Saradomin portaali
Sarcophagus;Sarkofagi
Scaffolding;Rakennustelineet
Sculpture;Veistos
Seaweed;Merilevä
Seven;Seitsemän
Shayzien statue;Shayzienin patsas
Shelves;Hyllyt
Shield display;Suojanäyttö
Shimmering field;Hohtava kenttä
Sample table;Esimerkkitaulukko
Sandy's Desk;Sandyn työpöytä
Score board;Tulostaulu
Screen;Näyttö
Seal of Cadarn;Cadarin sinetti
Seal of Crwys;Crwysin sinetti
Seal of Meilyr;Meilyrin sinetti
Seed table;Siemenpöytä
Ship hull;Laivan runko
Sarah (Well);Saara (No)
Sarah (sick!);Saara (sairas!)
Scrolls;Rullaa
Scuttle;Scuttle
Sewing machine;Ompelukone
Shayzien snapped banner;Shayzien napsahti bannerin
Shield Display;Suojanäyttö
Seaweed Pile;Merileväkasa
Secret entrance;Salainen sisäänkäynti
Shantay pass;Shantayn pass
Saradomin Standard;Saradomin standardi
Shadow crystal;Varjo kristalli
Shaving stand;Parranajoteline
Shelf of thread;Lankahylly
Scoreboard;Tulostaulu
Scrawled note;Scrawled muistiinpano
Seaweed patch;Merilevä laastari
Septic tendrils;Septiset lonkerot
Shark head;Hain pää
Sand pile;Hiekkakasa
Saradomin star;Saradomin tähti
Scrapey Bark Sign;Scrapey Bark -kyltti
Scrying orb;Huutava pallo
Seal of Amlodd;Amloddin sinetti
Security Barrier;Turvaeste
Sandy's Coffee Mug;Sandyn kahvimuki
Saradomin staff;Saradomin henkilökunta
Sarah (ghastly!);Sarah (kammottavaa!)
Seal of Ithell;Ithellin sinetti
Sewer pipe;Viemäriputki
Sandworm castings;Hiekkamatovalut
Saradomin altar;Saradomin alttari
Sarah (very sick!);Sarah (erittäin sairas!)
Scaregull;Scaregull
Scroll;Selaa
Seal of Iorwerth;Iorwerthin sinetti
Shayzien banner;Shayzien banneri
Shelf space;Hyllytilaa
Shield;Kilpi
Ship;Laiva
Sand pit;Hiekkalaatikko
Scaffold;Teline
Seal of Trahaearn;Trahaearnin sinetti
Seal of the Forgotten;Unohdettujen sinetti
Seed Stall;Siemenvarasto
Shimmering barrier;Hohtava este
Saradomin Brazier;Saradomin Brazier
Schematic crate;Kaavamainen laatikko
Scroll table;Vieritystaulukko
Senntisten Portal;Senntisten portaali
Servant's moneybag;Palvelijan rahapussi
Shackle table;Sakkelipöytä
Shelf;Hylly
Shell;Kuori
Shop counter;Kaupan laskuri
Silver stall;Hopeinen koppi
Singing Bowl;Laulu Bowl
Sir Lucan;Sir Lucan
Slave;Orja
Small plant;Pieni kasvi
Ship's wheel;Laivan pyörä
Shooting Star Noticeboard;Shooting Star -ilmoitustaulu
Skroom;Skroom
Skull;Kallo
Skullshield;Skullshield
Small Plant space 2;Pieni kasvitila 2
Small orrery;Pieni orrery
Smelly hole;Haiseva reikä
Signpost;Tienviitta
Silverlight;Silverlight
Sinclair family crest;Sinclairin perheen vaakuna
Sinclair family fountain;Sinclairin perheen suihkulähde
Slayer's Respite;Slayer's Respite
Small Oven;Pieni uuni
Small bush;Pieni pensas
Small furnace;Pieni uuni
Small vase;Pieni maljakko
Short fence;Lyhyt aita
Shrivelled plant;Kuihtunut kasvi
Shuttered window;Suljettu ikkuna
Sink space;Altaan tilaa
Small plant 2;Pieni kasvi 2
Ship's ladder;Laivan tikkaat
Shop Counter;Kauppa laskuri
Sir Tristram;Sir Tristram
Short Plant;Lyhyt kasvi
Shot;Laukaus
Shrine;Pyhäkkö
Sign post;Allekirjoita viesti
Simple lockbox;Yksinkertainen lukkolaatikko
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Slab;Laatta
Slashed Bush;Leikattu Bush
Slope end;Rinteen pää
Small fern;Pieni saniainen
Sinclair mansion drain;Sinclairin kartanon viemäri
Skull slope;Kallon kaltevuus
Simple stove;Yksinkertainen liesi
Slashed web;Leikattu verkko
Small storage unit;Pieni säilytysyksikkö
Slayer Helmet display case;Slayer Helmet näyttökotelo
Slightly broken bridge;Hieman rikki silta
Slightly dark crystal;Hieman tumma kristalli
Slimy water;Limaista vettä
Small Table;Pieni pöytä
Small table;Pieni pöytä
Six;Kuusi
Slashed bush;Leikattu pensas
Small Plant space 1;Pieni kasvitila 1
Small crystals;Pienet kristallit
Smashed chair;Rikkoutunut tuoli
Singing bowl;Laulava kulho
Sink;Pesuallas
Sir Lancelot;Sir Lancelot
Sir Palomedes;Sir Palomedes
Skotizo Topiary;Skotizo Topiary
Skotizo display;Skotizo näyttö
Slashed tapestry;Viiloitettu kuvakudos
Slight indentations;Pieniä painaumia
Slope;Kaltevuus
Small chest;Pieni rintakehä
Smelly mushroom;Haiseva sieni
Silver Chest;Hopeinen rintakehä
Single pillar;Yksi pilari
Skrach Uglogwee;Skrach Uglogwee
Slug goo;Slug goo
Small Boulder;Pieni Boulder
Small Geyser;Pieni geysiri
Smashed table;Rikkoutunut pöytä
Smashed window;Rikkoutunut ikkuna
Sleeping bag;Makuupussi
Sliced web;Viipaloitu verkko
Small gravestone;Pieni hautakivi
Small oven;Pieni uuni
Smashed cage;Murtunut häkki
Sickle logo;Sirppi logo
Sinclair family beehive;Sinclairin perheen mehiläispesä
Sinclair family compost heap;Sinclair-perheen kompostikasa
Sithik Ints;Sithik Ints
Skeleton;Luuranko
Shoe box;Kengän laatikko
Short planks;Lyhyet lankut
Shortcut;Pikakuvake
Sign;Merkki
Sinister barrel;Synkkä tynnyri
Skulls;Kallot
Sluice Gate;Sulkuportti
Silk stall;Silkkikioski
Slimy pillars;Limaiset pilarit
Slimy residue;Limainen jäännös
Small Fossil Display;Pieni fossiilinen näyttö
Small fountain;Pieni suihkulähde
Small rock;Pieni kivi
Spinning Wheel;Rukki
Spore;Spore
Snowy bird hide;Luminen lintupiilo
Spiders' nest;Hämähäkkien pesä
Spike defence;Piikkipuolustus
Spirit Angler dock;Spirit Angler telakka
Standard Stand;Vakiojalusta
Smokey well;Savusta hyvin
Smoky cave;Savuinen luola
Snowdrops;Lumikellot
Spinning light;Pyörivä valo
Spirit Tree Patch;Spirit Tree Patch
Spooky picture;Pelottava kuva
Spooky stairs;Pelottavat portaat
Stacked crates;Pinotut laatikot
Stagnant fish display;Pysähtynyt kalanäyttö
Stalagmites;Stalagmiitit
Speartrap;Keihäsloukku
Spin Blades;Pyöritä terät
Spinning pipe;Pyörivä putki
Spinning wheel;Rukki
Spirit tree;Henki puu
Sq'irk tree;Sq'irk puu
Square shield;Neliön muotoinen kilpi
Stand;Seiso
Standard;Vakio
Smoking vent;Tupakointiaukko
Soil;Maaperä
Sparkling pool;Kimalteleva allas
Spikey chain;Piikkiketju
Spine mushroom;Selkäsieni
Spirit Angler stats;Spirit Angler -tilastot
Spit roast;Varraspaisti
Stacked barrels;Pinotut tynnyrit
Stalagmite;Tippukivipylväs
Spade;Lapio
Spirit Tree Stump;Hengen kanto
Spirit tendrils;Hengen lonkeroita
Soil patch;Maaperä
Soul Obelisk;Soul-obeliski
Soul Wars Portal;Soul Wars -portaali
Spiderwebs;Hämähäkinseitit
Spiritual Fairy Tree;Henkinen keijupuu
Staff barrel;Henkilökunnan piippu
Stained-glass window;Lasimaalaus
Staircase;Portaikko
Snape grass seedling;Kalkarosheinän taimi
Snow;Lumi
Snowfall;Lumisade
Spice stall;Maustepakkaus
Spider eggs;Hämähäkkimunat
Spike hidden;Piikki piilossa
Spiked pit;Piikkikuoppa
Spirit Tree;Hengen puu
Solid bronze door;Kiinteä pronssiovi
Spikes;Piikit
Spork;Spork
Spotlight;Valokeila
Spray;Spray
Sofa;Sohva
Solid black door;Kiinteä musta ovi
Spirit pump;Henkipumppu
Stacked Boxes;Pinottu laatikot
Stair Space;Portaiden tila
Smoke;Savu
Snape grass plant;Kalkarosheinäkasvi
Snow jump;Lumihyppy
Solid steel door;Kiinteä teräsovi
Snowdrop patch;Lumikello laastari
Spike trap;Piikkiloukku
Sprouting Roots;Itäneet juuret
Stairs;Portaat
Stalactite;Tippukivipuikko
Soul Altar;sielun alttari
Soul boat;Soul vene
Space;Avaruus
Specimen;Näyte
Spinning Machine;Pyörivä kone
Smoke Crystal;Savukristalli
Soldier;Sotilas
Solid gold door;Kiinteä kultainen ovi
Specimen tray;Näytealusta
Spinning blades;Pyörivät terät
Spinning pole;Pyörivä sauva
Staff of Bob the Cat;Bob the Catin henkilökunta
Solid silver door;Kiinteä hopeinen ovi
Soul Devourer;Soul Devourer
Soul rift;Sielun repeämä
Specimen table;Näytepöytä
Stall;Pilttuu
Snake;Käärme
Snow drift;Lumisadetta
Spear wall;Keihäs seinä
Sphinx;Sfinksi
Spice Rack;Maustehylly
Spiny bush;Piikikäs pensas
Stagnant Lake;Pysyvä järvi
Stairs down;Portaat alas
Stairs up;Portaat ylös
Stairwell;Portaikko
Statue of Saradomin;Saradomin patsas
Steel dragon;Teräs lohikäärme
Stepping Stone;Ponnahduskivi
Stone Ladder;Kivi Tikkaat
Stone pool;Kivi allas
Storage space;Säilytystilaa
Standing Torch;Seisova taskulamppu
Statue of a warrior;Soturin patsas
Stepping stones;Ponnahduskivet
Stone signpost;Kivi opaste
Stepping log;Askelloki
Stone chest;Kivi rintakehä
Stone wall;Kivimuuri
Storage crate;Säilytyslaatikko
Strange looking stone;Outo näköinen kivi
Standing stone;Pysyvä kivi
Statuette Plinth;Patsas sokkeli
Stepping stone;Ponnahduskivi
Stone Pile;Kivikasa
Stone crate;Kivilaatikko
Standing spears;Seisovat keihäät
Statue of a queen;Kuningattaren patsas
Statuette in alcove;Patsas alkovissa
Stick and hoop;Tikku ja vanne
Stinking tendrils;Haisevia lonkeroita
Stone Mechanism;Kivimekanismi
Stone Tablet;Kivi tabletti
Stormram;Stormram
Star chart;Tähtikartta
Statue of Zamorak;Zamorakin patsas
Statue plinth;Patsaan sokkeli
Steel cage;Teräshäkki
Stone Gate;Kivi portti
Stone space;Kivi tilaa
Strange floor;Outo lattia
Strange hole;Outo reikä
Standing torch;Seisova taskulamppu
Statue steps;Patsaan portaat
Stone Staircase;Kivi portaikko
Storeroom Door;Varaston ovi
Stove space;Liesitilaa
Strange grid;Outo ruudukko
Statue;Patsas
Statue Plinth;Patsas sokkeli
Steam_Pump;Steam_Pump
Steep roof;Jyrkkä katto
Stone table;Kivipöytä
Stop!;Stop!
Strange Shell;Outo Shell
Statue of Guthix;Guthixin patsas
Steam generator;Höyrygeneraattori
Stone;Kivi
Stone Pew;Stone Pew
Stone arch;Kivi kaari
Stone crusher;Kivenmurskain
Strange blocks;Outoja lohkoja
Start;Aloita
Steam Generator;Höyrygeneraattori
Steeple;Torni
Steps;Vaiheet
Stone stand;Kivijalka
Stove;Liesi
Statue Space;Patsastila
Statue of a king;Kuninkaan patsas
Steel Chest;Teräsarkku
Stool;Jakkara
Stool hotspot;Jakkara hotspot
Strange Bells;Outoja kelloja
Sticks;Tikut
Stile;Tyyli
Storage unit;Varastointiyksikkö
Strange Banana Tree;Outo banaanipuu
Strange Tile;Outo laatta
Statue of Baxtorian;Baxtorianin patsas
Steam press;Höyrypuristin
Stone Plinth;Kivijalka
Stone ladder;Kivi tikkaat
Strange Egg;Outo Muna
Statue of Glarial;Glarialin patsas
Steam Pump;Höyrypumppu
Steam Vent;Höyryventtiili
Steel range;Teräsvalikoima
Stepladder;Tikkaat
Stone Door;Kivi Ovi
Stone Relief;Stone Relief
Stone block;Kivikappale
Statue space;Patsastila
Stick;Tikku
Stone bridge;Kivi silta
Stone pedestal;Kivijalka
Stones;Kivet
Strange Machine;Outo kone
Strange altar;Outo alttari
Strange machine;Outo kone
Statue with key;Patsas avaimella
Stocks;Osakkeet
Stone circle wall;Kivi ympyrä seinä
Stone door;Kivi ovi
Stone tablet;Kivitaulu
Storage shelves;Säilytyshyllyt
Sulliuscep sprout;Sulliuscep itää
Tanning line;Rusketuslinja
Tar Barrel;Terva tynnyri
Tar buckets;Terva-ämpärit
Strange pool;Outo allas
Strawberry seed;Mansikan siemen
Sweetcorn;Sokerimaissi
Sword space;Miekan tila
Symbol;Symboli
Symbol of Saradomin;Saradominin symboli
Symbol of Zamorak;Zamorakin symboli
Table hotspot;Pöydän hotspot
Suit of Armour;Puku Armor
Sulliuscep;Sulliuscep
Supply chest;Tarjoiluarkku
Swampy lamp;Soinen lamppu
Sweetgrub Sign;Sweetgrub merkki
Tanning Barrel;Parkitustynnyri
Tar barrel;Terva tynnyri
Tchiki Monkey Nut Bush;Tchiki Monkey Nut Bush
Te salt;Suolaa
Strange plant;Outo kasvi
Streak info;Viivan tiedot
Sturdy door;Tukeva ovi
Sulphur;Rikki
Swings;Keinut
Sword in stone;Miekka kivessä
Symbol of Guthix;Guthixin symboli
Table space;Pöytätilaa
Tailor's materials;Räätälin materiaalit
Tall mirror;Korkea peili
Sulphur Vent;Rikkipoistoaukko
Sunflower;Auringonkukka
Table;Taulukko
Tall vine;Korkea viiniköynnös
Target;Kohde
Strange wall;Outo seinä
Stump;Kanto
Sturdy wooden gate;Tukeva puinen portti
Sweets;Makeiset
Table and till;Pöytä ja kassa
Tap;Napauta
Studded Leather;Nastallinen nahka
Stuffed swordfish;Täytetty miekkakala
Tangle vine;Tangle viiniköynnös
Sunflowers;Auringonkukat
Supermajority marker;Superenemmistön merkki
Swamp;Suo
Swamp tree branch;Suopuun oksa
Switch;Kytkin
Swordshop Sign;Swordshop kyltti
Tangle hidden;Sotku piilossa
Tar Thing;Terva juttu
Strange stone;Outo kivi
Stronghold;Linnake
Study desk;Opiskelupöytä
Sword case;Miekkakotelo
Stretcher;Paarit
Support;Tukea
Swamp bubbles;Suon kuplia
Sweetcorn plant;Sokerimaissi kasvi
Tall tree;Korkea puu
Strategy table;Strategiataulukko
Strawberry;Mansikka
Strawberry plant;Mansikka kasvi
Students' art;Opiskelijoiden taidetta
Stump chair;Stump tuoli
