A Clam Shell;Eine Muschelschale
Partially broken bridge;Teilweise kaputte Brücke
Party Balloon;Partyballon
Passage;Passage
Passageway;Durchgang
Patched Wall;Geflickte Wand
Patched wall;Geflickte Wand
Path;Weg
Pear tree;Birnbaum
Pebbles;Kieselsteine
Pedals;Pedale
Pedestal;Sockel
Pedestal space;Sockelraum
Peephole;Guckloch
Pen Door;Stifttür
Penance Fighter statue;Buße-Kämpfer-Statue
Penance Healer statue;Buße-Heiler-Statue
Penance Queen spawn statue;Spawn-Statue der Buße-Königin
Penance Ranger statue;Buße-Ranger-Statue
Penance Runner statue;Buße-Läufer-Statue
Penance cave;Buße-Höhle
Pendant;Anhänger
Pendulum;Pendel
Pentamid Pile;Pentamid-Stapel
Perch;Barsch
Pet basket;Haustierkorb
Pet blanket;Haustierdecke
Pet feeder space;Futterplatz für Haustiere
Pet house space;Platz für ein Haustierhaus
Pet list;Haustierliste
Pet list space;Platz für die Haustierliste
Petrified Large Mushroom;Versteinerter großer Pilz
Petrified Mushtree;Versteinerter Mushtree
Petrified Pitcher;Versteinerter Krug
Petrified Pufferfish;Versteinerter Kugelfisch
Petrified Spine Plant;Versteinerte Wirbelsäulenpflanze
Petrified mushroom;Versteinerter Pilz
Pew;Bank
Phren Roots;Phren-Wurzeln
Phren Roots (Depleted);Phren-Wurzeln (erschöpft)
Piano;Klavier
Piano stool;Klavierhocker
Pickaxe;Spitzhacke
Picket fence;Lattenzaun
Picnic bench;Picknickbank
Picnic table;Picknicktisch
Picture;Bild
Picture wall;Bilderwand
Pie stall;Kuchenstand
Pigeon;Taube
Pile of Ancient Books;Stapel alter Bücher
Pile of Fishbowls;Stapel von Goldfischgläsern
Pile of Rock;Steinhaufen
Pile of bricks;Haufen Ziegel
Pile of canes;Haufen Stöcke
Pile of fish;Haufen Fische
Pile of rocks;Steinhaufen
Pile of rope;Haufen Seil
Pile of rubble;Schutthaufen
Pile of rubble.;Schutthaufen.
Pile of skulls;Haufen Schädel
Pillar;Säule
Pillar of Light;Säule des Lichts
Pin;Stift
Pinball Post;Flipper-Beitrag
Pinboard;Pinnwand
Pine;Kiefer
Pineapple Plant;Ananaspflanze
Pineapple plant;Ananaspflanze
Pineapple plant stump;Ananas-Pflanzenstumpf
Pink rose bush patch;Rosa Rosenstrauchbeet
Pipe;Rohr
Pipe machine;Rohrmaschine
Pipes;Rohre
Piping;Rohrleitungen
Pirate Captain;Piratenkapitän
Pirate Flag;Piratenflagge
Pirate Pete;Pirat Pete
Pirate Sign;Piratenzeichen
Pirate map;Piratenkarte
Piscarilius statue;Piscarilius-Statue
Pit;Grube
Pitcher plant;Kannenpflanze
Pitfall;Falle
Plank;Planke
Plant;Anlage
Plant Fossil Display;Ausstellung von Pflanzenfossilien
Plant door;Pflanzentür
Planter;Pflanzer
Plantpot;Pflanzentopf
Plaque;Plakette
Platform;Plattform
Platform edge;Plattformkante
Platform support;Plattformunterstützung
Play blocks;Spielblöcke
Plinth;Sockel
Plough;Pflug
Plunder Storage;Plünderungslager
Points settings;Punkteeinstellungen
Poison Ivy bush;Giftefeu-Busch
Poison crater;Giftkrater
Pokers;Poker
Pole;Pole
Pole-vault;Stabhochsprung
Poll booth;Wahlkabine
Polluted water;Verschmutztes Wasser
Pond;Teich
Pool of Dreams;Pool der Träume
Pool of Nightmares;Pool der Albträume
Pool of Refreshment;Erfrischungspool
Pool of Rejuvenation;Pool der Verjüngung
Pool of Restoration;Pool der Wiederherstellung
Pool of Revitalisation;Pool der Revitalisierung
Pool of Slime;Schleimpool
Pool of blood;Blutlache
Pool space;Poolbereich
Poor Bed;Schlechtes Bett
Portal;Portal
Portal Home;Portal-Startseite
Portal Nexus;Portal-Nexus
Portal Nexus space;Portal-Nexus-Raum
Portal frame;Portalrahmen
Portal machine;Portalmaschine
Portal of Champions;Portal der Champions
Portal of Death;Portal des Todes
Portal of Heroes;Portal der Helden
Portal of Legends;Portal der Legenden
Portal space;Portalraum
Portcullis;Fallgatter
Portrait;Porträt
Portrait space;Porträtraum
Posh bell-pull;Schicker Klingelzug
Post;Post
Poster;Poster
Posts;Beiträge
Pot;Pot
Pot of Gold;Topf voll Gold
Pot of dynamite;Topf voll Dynamit
Pot-boiler;Topfkessel
Potato;Kartoffel
Potato basket;Kartoffelkorb
Potato cactus;Kartoffelkaktus
Potato plant;Kartoffelpflanze
Potato plants;Kartoffelpflanzen
Potato seed;Kartoffelsamen
Potatoes;Kartoffeln
Potential fire;Möglicher Brand
Potion of power table;Tabelle „Trank der Macht“.
Potion shelf;Trankregal
Potion shelves;Zaubertrankregale
Potions;Zaubertränke
Pots;Töpfe
Potted fern;Topffarn
Potted flower;Topfblume
Potted plant;Topfpflanze
Potter's Wheel;Töpferscheibe
Potter's wheel;Töpferscheibe
Pottery Oven;Töpferofen
Powder Barrel;Pulverfass
Power Grid;Stromnetz
Power saw;Motorsäge
Precarious bridge;Prekäre Brücke
Preparation Table;Vorbereitungstisch
Press support;Presseunterstützung
Pressure Barrel;Druckfass
Pressure Lever;Druckhebel
Pressure machine;Druckmaschine
Pressure pad;Druckpolster
Priest Statue;Priesterstatue
Prison Door;Gefängnistür
Prison door;Gefängnistür
Prison space;Gefängnisraum
Private bank booth;Privatbankstand
Private portal;Privates Portal
Prize chest space;Preislicher Platz in der Truhe
Professor's table;Professorentisch
Protest Banners;Protestbanner
Protest Poster;Protestplakat
Protruding rocks;Vorstehende Steine
Pump;Pumpe
Pump and drain;Pumpen und ablassen
Pump and tub;Pumpe und Wanne
Pylon;Pylon
Pyramid entrance;Eingang zur Pyramide
Pyre boat;Scheiterhaufenboot
Pyre site;Scheiterhaufen
Pyromancer;Pyromant
Quest List;Questliste
Quest list space;Platz auf der Questliste
Quiescent Snow Storm;Ruhiger Schneesturm
Rabbit hole;Kaninchenbau
Rabbit snare;Kaninchenschlinge
Rabbitless hole;Kaninchenloses Loch
Rachel (Well);Rachel (Nun)
Rachel (ghastly!);Rachel (schrecklich!)
Rachel (sick);Rachel (krank)
Rachel (very sick);Rachel (sehr krank)
Rack;Gestell
Rack of barrels;Regal mit Fässern
Raft;Floß
Rail;Schiene
Railing;Geländer
Raised coffin;Erhöhter Sarg
Ramp;Rampe
Range;Reichweite
Range chimney;Range-Schornstein
Ranging game space;Umfangreicher Spielraum
Ranging spot;Rangierplatz
Ranis Drakan;Ranis Drakan
Rare Flowers;Seltene Blumen
Rat;Ratte
Rat Wall;Rattenwand
Rat barn;Rattenstall
Rat barrel;Rattenfass
Rat hole;Rattenloch
Rat lever;Rattenhebel
Rat trap;Rattenfalle
Rat wall;Rattenwand
Rat wheel;Rattenrad
Rat-hole;Rattenloch
Ray of Light;Lichtstrahl
Recess;Aussparung
Recruiting board;Rekrutierungsausschuss
Red Banana Tree;Roter Bananenbaum
Red Barrier;Rote Barriere
Red Castlewars armour;Rote Castlewars-Rüstung
Red Flowers;Rote Blumen
Red Star Fungi;Rote Sternpilze
Red Water Sign;Rotes Wasserzeichen
Red banner;Rotes Banner
Red chemical;Rote Chemikalie
Red door;Rote Tür
Red flowers;Rote Blumen
Red fungi;Rote Pilze
Red rose bush patch;Roter Rosenbuschbeet
Redberry bush;Rotbeerstrauch
Redwood;Redwood
Redwood birdhouse;Redwood-Vogelhaus
Redwood birdhouse (empty);Redwood-Vogelhaus (leer)
Redwood fence;Redwood-Zaun
Redwood fence post;Redwood-Zaunpfosten
Redwood tree;Redwood-Baum
Redwood tree patch;Redwood-Baumbeet
Reeds;Schilf
Refinery;Raffinerie
Reinforced crate;Verstärkte Kiste
Reinitialisation Panel;Reinitialisierungspanel
Repair Locker;Schließfach reparieren
Repair bench;Reparaturbank
Repair space;Platz reparieren
Repaired Roof;Repariertes Dach
Repaired furnace;Reparierter Ofen
Repaired leak;Leck repariert
Repaired wall;Reparierte Wand
Reset Lever;Rückstellhebel
Restraining Table;Rückhaltetisch
Restraint Table;Rückhaltetabelle
Retorts;Erwidert
Return Orb;Rückkehrkugel
Reward Chest;Belohnungstruhe
Reward chest;Belohnungstruhe
Reward pool;Belohnungspool
Rewards Chest;Belohnungstruhe
Rewards chest;Belohnungstruhe
Rickety door;Klapprige Tür
Rift;Riss
Right side of a fireplace;Rechte Seite eines Kamins
Ring of Stones;Ring aus Steinen
Rinsing pool;Spülbecken
Ripples;Wellen
River;Fluss
Rock;Felsen
Rock Chair;Rock-Stuhl
Rock Formation;Felsformation
Rock Formation (Depleted);Felsformation (erschöpft)
Rock Formation (Glowing);Felsformation (leuchtend)
Rock Pile;Steinhaufen
Rock and string;Rock und Streicher
Rock debris;Felsschutt
Rock of Dalgroth;Felsen von Dalgroth
Rock pile;Steinhaufen
Rock slide;Steinschlag
Rock wall;Felswand
Rockery;Steingarten
Rockfall;Steinschlag
Rocking chair;Schaukelstuhl
Rocking unicorn;Schaukelndes Einhorn
Rockpile;Steinhaufen
Rocks;Felsen
Rockslide;Steinschlag
Rocky Ledge;Felsvorsprung
Rocky handholds;Felsige Haltegriffe
Rocky ledge;Felsvorsprung
Rocky outcrop;Felsvorsprung
Rocky shore;Felsiges Ufer
Rocky support;Rockiger Support
Rocky surface;Felsige Oberfläche
Rocnar;Rocnar
Rolled up rug;Zusammengerollter Teppich
Rolled up rugs;Aufgerollte Teppiche
Rolling pin;Nudelholz
Roof;Dach
Roof Entrance;Dacheingang
Roof Exit;Dachausgang
Roof edge;Dachkante
Roof top beams;Dachbalken
Rooftop Agility display;Agility-Display auf dem Dach
Root;Wurzel
Roots;Wurzeln
Rope;Seil
Rope Ladder;Strickleiter
Rope anchor;Seilanker
Rope bell-pull;Seilglockenzug
Rope bridge;Seilbrücke
Rope bridge support;Unterstützung der Seilbrücke
Rope ladder;Strickleiter
Rope swing;Seilschaukel
Roped tree;Mit Seil bespannter Baum
Ropes;Seile
Ropeswing;Seilschaukel
Rose bush;Rosenstrauch
Rosebush;Rosenstrauch
Rosemary;Rosmarin
Roses;Rosen
Rotten Apple Pile;Fauler Apfelhaufen
Rotten Totem pole;Verrotteter Totempfahl
Rotten Yommi;Fauler Yommi
Rotten Yommi tree;Fauler Yommi-Baum
Rotten carpet;Fauler Teppich
Rotten food;Verdorbenes Essen
Rotten sapling;Fauler Schössling
Rotten stump;Fauler Baumstumpf
Rotten village fence;Verrotteter Dorfzaun
Rotting branch;Verrottender Ast
Rotting log;Verrottender Baumstamm
Rotting tree;Verrottender Baum
Rough hewn steps;Grob behauene Stufen
Rough wall;Raue Wand
Round shield;Runder Schild
Row boat;Ruderboot
Rowboat;Ruderboot
Rowboat space;Platz für Ruderboote
Royal Wedding Invitation;Königliche Hochzeitseinladung
Rubber cap mushroom;Pilz mit Gummikappe
Rubble;Schutt
Rubble Pile;Schutthaufen
Rug;Teppich
Rug space;Teppichplatz
Ruined Pillar;Zerstörte Säule
Ruined Stall;Zerstörter Stall
Ruined stall;Ruinierter Stand
Ruins;Ruinen
Ruins Entrance;Eingang zur Ruine
Ruins Exit;Ruinenausgang
Rum Crate;Rumkiste
Rune Essence;Runenessenz
Rune armour;Runenrüstung
Rune case space;Platz für Runenkoffer
Rune display case;Runenvitrine
Rune dragon;Runendrache
Rune essence;Runenessenz
Rune pouches;Runenbeutel
Rune temple sign;Runen-Tempelzeichen
Runecrafting altar;Runenherstellungsaltar
Runic Altar;Runenaltar
Runite Minor;Runit Minor
Runner trap(1);Läuferfalle(1)
Runner trap(2);Läuferfalle(2)
Rupert;Rupert
Ruptured cavern;Geborstene Höhle
Rusted anvil;Verrosteter Amboss
Rusty key;Rostiger Schlüssel
S.T.A.S.H chart;S.T.A.S.H-Diagramm
STASH (beginner);STASH (Anfänger)
STASH (easy);STASH (einfach)
STASH (elite);STASH (Elite)
STASH (hard);STASH (hart)
STASH (master);STASH (Meister)
STASH (medium);VORRAT (mittel)
Sabertooth Squirrel;Säbelzahntiger-Eichhörnchen
Sack;Sack
Sack Pile;Sackhaufen
Sack pile;Sackhaufen
Sacks;Säcke
Sacred Bone Burner;Heiliger Knochenbrenner
Sacred Forge;Heilige Schmiede
Sacred water;Heiliges Wasser
Sacrificial Pyre;Opferscheiterhaufen
Sacrificial boat;Opferboot
Safe;Sicher
Sail;Segel
Sailfish;Segelfisch
Sails;Segel
Saltpetre;Salpeter
Salve Graveyard Portal;Salve-Friedhofsportal
Sample table;Beispieltisch
Sand;Sand
Sand pile;Sandhaufen
Sand pit;Sandkasten
Sandpit;Sandkasten
Sandworm castings;Gussteile von Sandwürmern
Sandy's Coffee Mug;Sandys Kaffeetasse
Sandy's Desk;Sandys Schreibtisch
Sapling;Schössling
Sarachnis display;Sarachnis-Ausstellung
Saradomin Brazier;Saradomin Kohlenbecken
Saradomin Portal;Saradomin-Portal
Saradomin Standard;Saradomin-Standard
Saradomin altar;Saradomin-Altar
Saradomin staff;Saradomin-Mitarbeiter
Saradomin star;Saradomin-Stern
Sarah (Well);Sarah (Nun)
Sarah (ghastly!);Sarah (schrecklich!)
Sarah (sick!);Sarah (krank!)
Sarah (very sick!);Sarah (sehr krank!)
Sarcophagus;Sarkophag
Saucepan;Topf
Scaffold;Gerüst
Scaffolding;Gerüst
Scarecrow;Vogelscheuche
Scaregull;Vogelmöwe
Schematic crate;Schematische Kiste
Scimitar Stall;Scimitar-Stand
Scorched earth;Verbrannte Erde
Score board;Anzeigetafel
Scoreboard;Anzeigetafel
Scrapey Bark Sign;Scrapey Bark Schild
Scrapey Tree;Scrapey-Baum
Scratching post space;Platz für Kratzbäume
Scrawled note;Gekritzelte Notiz
Screen;Bildschirm
Scroll;Scrollen
Scroll rack;Scroll-Rack
Scroll table;Scrolltabelle
Scrolls;Schriftrollen
Scrying orb;Wahrsagungskugel
Scrying pool;Wahrsagebecken
Sculpture;Skulptur
Scuttle;Scuttle
Seal of Amlodd;Siegel von Amlodd
Seal of Cadarn;Siegel von Cadarn
Seal of Crwys;Siegel von Crwys
Seal of Hefin;Siegel von Hefin
Seal of Iorwerth;Siegel von Iorwerth
Seal of Ithell;Siegel der Ithell
Seal of Meilyr;Siegel von Meilyr
Seal of Trahaearn;Siegel von Trahaearn
Seal of the Forgotten;Siegel des Vergessenen
Seating space;Sitzplatz
Seaweed;Algen
Seaweed Pile;Algenhaufen
Seaweed patch;Algenbeet
Secret Door;Geheimtür
Secret entrance;Geheimer Eingang
Secure chest;Sichere Truhe
Security Barrier;Sicherheitsbarriere
Seed Stall;Saatstand
Seed table;Saattabelle
Seed vault;Samentresor
Seers weathervane;Seher-Wetterfahne
Seers' Village Portal;Dorfportal der Seher
Senntisten Portal;Senntisten-Portal
Septic tendrils;Septische Ranken
Servant's moneybag;Geldbeutel eines Dieners
Seven;Sieben
Sewer pipe;Abwasserrohr
Sewer valve;Abwasserventil
Sewing machine;Nähmaschine
Shackle table;Schäkeltisch
Shadow crystal;Schattenkristall
Shadow root;Schattenwurzel
Shaking box;Schüttelbox
Shantay pass;Shantay-Pass
Shape puzzle;Formpuzzle
Shark Beast;Hai-Biest
Shark head;Haikopf
Shattered rockface;Zerschmetterte Felswand
Shaving stand;Rasierständer
Shayzien banner;Shayzien-Banner
Shayzien snapped banner;Shayzien schnappte das Banner
Shayzien statue;Shayzien-Statue
Shelf;Regal
Shelf of thread;Regal aus Faden
Shelf space;Regalfläche
Shell;Hülse
Shelves;Regale
Shelves space;Platz im Regal
Shield;Schild
Shield Display;Schildanzeige
Shield display;Schildanzeige
Shimmering barrier;Schimmernde Barriere
Shimmering field;Schimmerndes Feld
Shining pool;Glänzender Pool
Ship;Schiff
Ship hull;Schiffsrumpf
Ship's ladder;Schiffsleiter
Ship's wheel;Schiffsrad
Shoe box;Schuhkarton
Shooting Star Noticeboard;Shooting Star-Informationstafel
Shop Counter;Ladentheke
Shop counter;Ladentheke
Short Plant;Kurze Pflanze
Short fence;Kurzer Zaun
Short planks;Kurze Bretter
Shortcut;Abkürzung
Shot;Schuss
Shrine;Schrein
Shrivelled plant;Geschrumpfte Pflanze
Shuttered window;Fenster mit Fensterläden
Sickle logo;Sichel-Logo
Sign;Zeichen
Sign post;Wegweiser
Signpost;Wegweiser
Silk stall;Seidenstand
Silver Chest;Silberne Truhe
Silver stall;Silberner Stand
Silverlight;Silverlight
Simple lockbox;Einfaches Schließfach
Simple stove;Einfacher Herd
Sinclair family beehive;Bienenstock der Familie Sinclair
Sinclair family compost heap;Komposthaufen der Familie Sinclair
Sinclair family crest;Wappen der Sinclair-Familie
Sinclair family fountain;Sinclair-Familienbrunnen
Sinclair mansion drain;Abfluss des Sinclair-Herrenhauses
Singing Bowl;Klangschale
Singing bowl;Klangschale
Single pillar;Einzelne Säule
Sinister barrel;Unheimliches Fass
Sink;Waschbecken
Sink space;Platz zum Spülen
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Lancelot;Sir Lancelot
Sir Lucan;Sir Lucan
Sir Palomedes;Herr Palomedes
Sir Tristram;Sir Tristram
Sithik Ints;Sithik Ints
Six;Sechs
Skeleton;Skeleton
Skotizo Topiary;Skotizo-Formschnitt
Skotizo display;Skotizo-Anzeige
Skrach Uglogwee;Skrach Uglogwee
Skroom;Skroom
Skull;Schädel
Skull slope;Schädelneigung
Skulls;Schädel
Skullshield;Schädelschild
Slab;Platte
Slashed Bush;Aufgeschlitzter Busch
Slashed bush;Aufgeschlitzter Busch
Slashed tapestry;Aufgeschlitzter Wandteppich
Slashed web;Durchgeschlitztes Netz
Slave;Sklave
Slayer Helmet display case;Slayer-Helm-Vitrine
Slayer's Respite;Atempause des Jägers
Sleeping bag;Schlafsack
Sliced web;Geschnittenes Netz
Slight indentations;Leichte Einkerbungen
Slightly broken bridge;Leicht kaputte Brücke
Slightly dark crystal;Leicht dunkler Kristall
Slimy pillars;Schleimige Säulen
Slimy residue;Schleimiger Rückstand
Slimy water;Schleimiges Wasser
Slope;Neigung
Slope end;Hangende
Slug goo;Schneckenschlamm
Sluice Gate;Schleusentor
Small Boulder;Kleiner Felsbrocken
Small Fossil Display;Kleine Fossilienausstellung
Small Geyser;Kleiner Geysir
Small Oven;Kleiner Ofen
Small Plant space 1;Kleiner Pflanzenraum 1
Small Plant space 2;Kleiner Pflanzenraum 2
Small Table;Kleiner Tisch
Small bush;Kleiner Busch
Small chest;Kleine Brust
Small crystals;Kleine Kristalle
Small fern;Kleiner Farn
Small fountain;Kleiner Brunnen
Small furnace;Kleiner Ofen
Small gravestone;Kleiner Grabstein
Small orrery;Kleines Orrery
Small oven;Kleiner Ofen
Small plant;Kleine Pflanze
Small plant 2;Kleine Pflanze 2
Small rock;Kleiner Stein
Small storage unit;Kleine Lagereinheit
Small table;Kleiner Tisch
Small vase;Kleine Vase
Smashed cage;Zertrümmerter Käfig
Smashed chair;Zertrümmerter Stuhl
Smashed table;Zertrümmerter Tisch
Smashed window;Zertrümmertes Fenster
Smelly hole;Stinkendes Loch
Smelly mushroom;Stinkender Pilz
Smoke;Rauch
Smoke Crystal;Rauchkristall
Smokey well;Rauchig gut
Smoking vent;Rauchabzug
Smoky cave;Rauchige Höhle
Snake;Schlange
Snape grass plant;Snape-Graspflanze
Snape grass seedling;Snape-Gras-Sämling
Snow;Schnee
Snow drift;Schneeverwehung
Snow jump;Schneesprung
Snowdrop patch;Schneeglöckchen-Patch
Snowdrops;Schneeglöckchen
Snowfall;Schneefall
Snowy bird hide;Verschneites Vogelversteck
Sofa;Sofa
Soil;Boden
Soil patch;Bodenfleck
Soldier;Soldat
Solid black door;Solide schwarze Tür
Solid bronze door;Massive Bronzetür
Solid gold door;Tür aus massivem Gold
Solid silver door;Massive silberne Tür
Solid steel door;Massive Stahltür
Soul Altar;Seelenaltar
Soul Devourer;Seelenfresser
Soul Obelisk;Seelenobelisk
Soul Wars Portal;Soul Wars-Portal
Soul boat;Seelenboot
Soul rift;Seelenriss
Space;Raum
Spade;Spaten
Sparkling pool;Glitzernder Pool
Spear wall;Speerwand
Speartrap;Speerfalle
Specimen;Probe
Specimen table;Probentisch
Specimen tray;Probentablett
Sphinx;Sphinx
Spice Rack;Gewürzregal
Spice stall;Gewürzstand
Spider eggs;Spinneneier
Spiders' nest;Spinnennest
Spiderwebs;Spinnennetze
Spike defence;Spike-Verteidigung
Spike hidden;Spike versteckt
Spike trap;Spike-Falle
Spiked pit;Stachelgrube
Spikes;Spikes
Spikey chain;Stachelige Kette
Spin Blades;Spin Blades
Spine mushroom;Wirbelsäulenpilz
Spinning Machine;Spinnmaschine
Spinning Wheel;Spinnrad
Spinning blades;Sich drehende Klingen
Spinning light;Spinnendes Licht
Spinning pipe;Spinnrohr
Spinning pole;Spinnstange
Spinning wheel;Spinnrad
Spiny bush;Stacheliger Busch
Spirit Angler dock;Spirit Angler-Dock
Spirit Angler stats;Spirit Angler-Statistiken
Spirit Tree;Geisterbaum
Spirit Tree Patch;Geisterbaum-Patch
Spirit Tree Stump;Geisterbaumstumpf
Spirit pump;Spirituspumpe
Spirit tendrils;Geisterranken
Spirit tree;Geisterbaum
Spiritual Fairy Tree;Spiritueller Feenbaum
Spit roast;Spießbraten
Spooky picture;Gruseliges Bild
Spooky stairs;Gruselige Treppe
Spore;Spore
Spork;Göffel
Spotlight;Scheinwerfer
Spray;Spray
Sprouting Roots;Sprießende Wurzeln
Sq'irk tree;Sq'irk-Baum
Square shield;Quadratischer Schild
Stacked Boxes;Gestapelte Kisten
Stacked barrels;Gestapelte Fässer
Stacked crates;Gestapelte Kisten
Staff barrel;Stabfass
Staff of Bob the Cat;Stab von Bob the Cat
Stagnant Lake;Stehender See
Stagnant fish display;Stehende Fischpräsentation
Stained-glass window;Buntglasfenster
Stair Space;Treppenraum
Staircase;Treppe
Stairs;Treppe
Stairs down;Treppe runter
Stairs up;Treppe hoch
Stairwell;Treppenhaus
Stalactite;Stalaktit
Stalagmite;Stalagmit
Stalagmites;Stalagmiten
Stall;Stall
Stand;Stand
Standard;Standard
Standard Stand;Standardständer
Standing Torch;Stehende Fackel
Standing spears;Stehende Speere
Standing stone;Stehender Stein
Standing torch;Stehende Fackel
Star chart;Sternenkarte
Start;Start
Statue;Statue
Statue Plinth;Sockel der Statue
Statue Space;Statuenraum
Statue of Baxtorian;Statue von Baxtorian
Statue of Glarial;Glalarial-Statue
Statue of Guthix;Statue von Guthix
Statue of Saradomin;Statue von Saradomin
Statue of Zamorak;Statue von Zamorak
Statue of a king;Statue eines Königs
Statue of a queen;Statue einer Königin
Statue of a warrior;Statue eines Kriegers
Statue plinth;Statuensockel
Statue space;Statuenraum
Statue steps;Statuenstufen
Statue with key;Statue mit Schlüssel
Statuette Plinth;Statuettensockel
Statuette in alcove;Statuette in Nische
Steam Generator;Dampfgenerator
Steam Pump;Dampfpumpe
Steam Vent;Dampfentlüftung
Steam generator;Dampfgenerator
Steam press;Dampfpresse
Steam_Pump;Steam_Pump
Steel Chest;Stahltruhe
Steel cage;Stahlkäfig
Steel dragon;Stahldrache
Steel range;Stahlsortiment
Steep roof;Steiles Dach
Steeple;Kirchturm
Stepladder;Stehleiter
Stepping Stone;Sprungbrett
Stepping log;Schrittprotokoll
Stepping stone;Sprungbrett
Stepping stones;Trittsteine
Steps;Schritte
Stick;Stock
Stick and hoop;Stock und Reifen
Sticks;Stöcke
Stile;Stil
Stinking tendrils;Stinkende Ranken
Stocks;Aktien
Stone;Stein
Stone Door;Steintür
Stone Gate;Steintor
Stone Ladder;Steinleiter
Stone Mechanism;Steinmechanismus
Stone Pew;Steinbank
Stone Pile;Steinhaufen
Stone Plinth;Steinsockel
Stone Relief;Steinrelief
Stone Staircase;Steintreppe
Stone Tablet;Steintafel
Stone arch;Steinbogen
Stone block;Steinblock
Stone bridge;Steinbrücke
Stone chest;Steintruhe
Stone circle wall;Steinkreiswand
Stone crate;Steinkiste
Stone crusher;Steinbrecher
Stone door;Steintür
Stone ladder;Steinleiter
Stone pedestal;Steinsockel
Stone pool;Steinbecken
Stone signpost;Wegweiser aus Stein
Stone space;Steinraum
Stone stand;Steinständer
Stone table;Steintisch
Stone tablet;Steintafel
Stone wall;Steinmauer
Stones;Steine
Stool;Hocker
Stool hotspot;Stuhl-Hotspot
Stop!;Stoppen!
Storage crate;Aufbewahrungskiste
Storage shelves;Lagerregale
Storage space;Stauraum
Storage unit;Lagereinheit
Storeroom Door;Lagerraumtür
Stormram;Stormram
Stove;Herd
Stove space;Platz für den Herd
Strange Banana Tree;Seltsamer Bananenbaum
Strange Bells;Seltsame Glocken
Strange Egg;Seltsames Ei
Strange Machine;Seltsame Maschine
Strange Shell;Seltsame Muschel
Strange Tile;Seltsame Kachel
Strange altar;Seltsamer Altar
Strange blocks;Seltsame Blöcke
Strange floor;Seltsamer Boden
Strange grid;Seltsames Gitter
Strange hole;Seltsames Loch
Strange looking stone;Seltsam aussehender Stein
Strange machine;Seltsame Maschine
Strange passage;Seltsame Passage
Strange plant;Seltsame Pflanze
Strange pool;Seltsamer Pool
Strange shrine;Seltsamer Schrein
Strange stone;Seltsamer Stein
Strange wall;Seltsame Wand
Strategy table;Strategietisch
Strawberry;Erdbeere
Strawberry plant;Erdbeerpflanze
Strawberry seed;Erdbeersamen
Streak info;Streak-Info
Stretcher;Bahre
Strong Tree;Starker Baum
Strong Yew;Starke Eibe
Stronghold;Hochburg
Structural pillar;Strukturelle Säule
Strut;Strebe
Studded Leather;Nietenbesetztes Leder
Students' art;Kunst der Studierenden
Study Desk;Schreibtisch
Study desk;Schreibtisch
Stuffed swordfish;Gefüllter Schwertfisch
Stump;Stumpf
Stump chair;Stumpfstuhl
Sturdy door;Stabile Tür
Sturdy wooden gate;Stabiles Holztor
Suit of Armour;Rüstung
Suit of armour;Rüstung
Sulliuscep;Sulliuscep
Sulliuscep sprout;Sulliuscep-Spross
Sulphur;Schwefel
Sulphur Vent;Schwefelentlüftung
Sulphur vent;Schwefelentlüftung
Sunflower;Sonnenblume
Sunflowers;Sonnenblumen
Sunken rowboat;Versunkenes Ruderboot
Super magic potion;Super Zaubertrank
Super ranging potion;Superreichhaltiger Trank
Supermajority marker;Supermajoritätsmarker
Supplies;Lieferungen
Supply chest;Vorratskiste
Support;Unterstützung
Supporting Pillar;Stützsäule
Suspicious footprints;Verdächtige Fußabdrücke
Swamp;Sumpf
Swamp Boaty;Sumpfboot
Swamp bubbles;Sumpfblasen
Swamp paste;Sumpfpaste
Swamp tree;Sumpfbaum
Swamp tree branch;Sumpfbaumzweig
Swampy lamp;Sumpfige Lampe
Swampy sink;Sumpfiges Waschbecken
Swaying tree;Schwankender Baum
Sweet;Süß
Sweetcorn;Zuckermais
Sweetcorn plant;Zuckermaispflanze
Sweetcorn seed;Zuckermaissamen
Sweetgrub Mound;Sweetgrub-Hügel
Sweetgrub Sign;Sweetgrub-Schild
Sweets;Süßigkeiten
Swings;Schaukeln
Switch;Schalten
Sword cabinet;Schwertschrank
Sword case;Schwertetui
Sword in stone;Schwert aus Stein
Sword space;Schwertraum
Swords;Schwerter
Swordshop Sign;Schwertladenschild
Symbol;Symbol
Symbol of Guthix;Symbol von Guthix
Symbol of Saradomin;Symbol von Saradomin
Symbol of Zamorak;Symbol von Zamorak
Symbol of life;Symbol des Lebens
Table;Tisch
Table and till;Tisch und Kasse
Table blockade;Tischblockade
Table hotspot;Tisch-Hotspot
Table parts;Tischteile
Table saw;Tischkreissäge
Table space;Tischfläche
Tactical map frame;Taktischer Kartenrahmen
Tailor's materials;Schneidermaterialien
Tall Plant;Hohe Pflanze
Tall Reeds;Hohes Schilf
Tall mirror;Hoher Spiegel
Tall tree;Hoher Baum
Tall vine;Hoher Weinstock
Tangle hidden;Gewirr versteckt
Tangle vine;Gewirrrebe
Tanning Barrel;Bräunungsfass
Tanning line;Bräunungslinie
Tap;Klopfen
Tapestry;Tapisserie
Tar Barrel;Teerfass
Tar Thing;Teer-Sache
Tar barrel;Teerfass
