 Sneaky undead fowl;Heimtückisches untotes Geflügel
Runvastr;Runvastr
Rupert the Beard;Rupert der Bart
Rusty;Rostig
Saba;Saba
Sabeil;Sabeil
Saboteur;Saboteur
Sabre-toothed kebbit;Säbelzahn-Kebbit
Sabre-toothed kyatt;Säbelzahn-Kyatt
Sabreen;Sabreen
Sacrifice;Opfern
Sadwrn;Traurig
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Safalaan Hallow
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Seemann
Salarin the twisted;Salarin der Verdrehte
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalon
Sand Crab;Sandkrabbe
Sand Snake;Sandschlange
Sand Snake (hard);Sandschlange (hart)
Sand storm;Sandsturm
Sandicrahb;Sandicrahb
Sandwich lady;Sandwich-Lady
Sandy;Sandig
Sandy Boulder;Sandiger Felsbrocken
Sandy rocks;Sandige Felsen
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Saphir glazialis
Sarachnis;Sarachnis
Saradomin priest;Saradominischer Priester
Saradomin wizard;Saradomin-Zauberer
Saradominist recruiter;Saradoministischer Rekrutierer
Sarah;Sarah
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;Saro
Sassilik;Sassilik
Savant;Gelehrter
Sawmill Operator;Sägewerksbetreiber
Sawmill operator;Sägewerksbetreiber
Sbott;Sbott
Scabaras;Scabaras
Scarab mage;Skarabäus-Magier
Scarab swarm;Skarabäusschwarm
Scarabs;Skarabäen
Scared skavid;Verängstigter Skavid
Scarg;Scarg
Scavenger beast;Aasfressertier
Scavvo;Scavvo
Schoolboy;Schüler
Schoolgirl;Schulmädchen
Scion;Spross
Scorpia;Skorpion
Scorpia's guardian;Scorpias Vormund
Scorpia's offspring;Scorpias Nachwuchs
Scorpion;Skorpion
Scout;Erkunden
Screaming banshee;Schreiende Todesfee
Screaming twisted banshee;Schreiende, verdrehte Todesfee
Scrubfoot;Scrubfoot
Sea Snake Hatchling;Seeschlangenjunges
Sea Snake Young;Junge Seeschlange
Sea Troll General;Meertroll-General
Sea Troll Queen;Meerestrollkönigin
Sea slug;Meeresschnecke
Sea slugs display;Ausstellung von Meeresschnecken
Sea troll;Meerestroll
Seagull;Möwe
Seaman Lorris;Seemann Lorris
Seaman Morris;Seemann Morris
Seaman Thresnor;Seemann Thresnor
Secretary;Sekretär
Security Guard;Sicherheitsbeamter
Seddu;Seddu
Sedridor;Sedridor
Seer;Seher
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Seren
Sergeant;Sergeant
Sergeant Damien;Sergeant Damien
Sergeant Grimspike;Sergeant Grimspike
Sergeant Mossfists;Sergeant Mossfists
Sergeant Ricardo;Sergeant Ricardo
Sergeant Sambur;Sergeant Sambur
Sergeant Slimetoes;Sergeant Slimetoes
Sergeant Steelwill;Sergeant Steelwill
Sergeant Strongstack;Sergeant Strongstack
Sergiu;Sergiu
Servant;Diener
Servery assistant;Servery-Assistent
Seth;Seth
Seth Groats;Seth Groats
Shade;Schatten
Shade Spirit;Schattengeist
Shadow;Schatten
Shadow Hound;Schattenhund
Shadow Wyrm;Schattenwyrm
Shadow spider;Schattenspinne
Shadow warrior;Schattenkrieger
Shadowy figure;Schattenhafte Gestalt
Shady figure;Schattige Figur
Shaeded Beast;Schattiertes Biest
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Shantay-Wache
Sharimika;Sharimika
Shark;Hai
Shayda;Shayda
Shayzien Infiltrator;Shayzien-Eindringling
Sheep;Schaf
Sheepdog;Schäferhund
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Schildmeister
Shifter;Schalthebel
Shilop;Shilop
Shipyard worker;Werftarbeiter
Shiratti the Custodian;Shiratti der Hüter
Shop assistant;Verkäufer
Shop keeper;Ladenbesitzer
Shura;Schura
Siamun;Siamun
Sian;Sian
Sid;Sid
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Sigbert der Abenteurer
Sigismund;Sigismund
Sigli the Huntsman;Sigli der Jäger
Sigmund;Sigmund
Sigmund The Merchant;Sigmund der Kaufmann
Sigmund and Zanik;Sigmund und Zanik
Signy;Signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Seidenhändler
Silk trader;Seidenhändler
Silver Cog Director;Silver Cog-Direktor
Silver Cog Secretary;Silver Cog-Sekretär
Silver merchant;Silberhändler
Silver ore;Silbererz
Simon;Simon
Simon Templeton;Simon Templeton
Simona;Simona
Sin Seer;Sündenseher
Sinclair;Sinclair
Sinclair Guard dog;Sinclair Wachhund
Sinco Doar;Sinco Doar
Sinister Stranger;Unheimlicher Fremder
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Carl;Sir Carl
Sir Gawain;Sir Gawain
Sir Harry;Sir Harry
Sir Jerro;Sir Jerro
Sir Kay;Sir Kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Sir Lancelot
Sir Leye;Herr Leye
Sir Lucan;Sir Lucan
Sir Mordred;Sir Mordred
Sir Palomedes;Herr Palomedes
Sir Pelleas;Sir Pelleas
Sir Percival;Sir Percival
Sir Prysin;Herr Prysin
Sir Rebral;Sir Rebral
Sir Ren Itchood;Sir Ren Itchood
Sir Renitee;Sir Renitee
Sir Spishyus;Sir Spishyus
Sir Tiffy Cashien;Sir Tiffy Cashien
Sir Tinley;Sir Tinley
Sir Tristram;Sir Tristram
Sir Vyvin;Sir Vyvin
Sirsal Banker;Sirsal Banker
Sister Aseret;Schwester Aseret
Sister Naoj;Schwester Naoj
Sister Salohcin;Schwester Salohcin
Sister Scarophia;Schwester Scarophia
Sister Senga;Schwester Senga
Sister Sevi;Schwester Sevi
Sister Soul Jar;Schwester Seelenglas
Sister Toen;Schwester Toen
Sister Yram;Schwester Yram
Sithik Ints;Sithik Ints
Skavid;Skavid
Skeletal Mystic;Skelettmystiker
Skeletal Wyvern;Skelettwyvern
Skeletal miner;Skelettbergmann
Skeleton;Skeleton
Skeleton Champion;Skeleton-Champion
Skeleton Hellhound;Skelett-Höllenhund
Skeleton Hellhound (hard);Skelett-Höllenhund (schwer)
Skeleton Mage;Skelettmagier
Skeleton brute;Skelettbrut
Skeleton fremennik;Skelettfremennik
Skeleton heavy;Skelett schwer
Skeleton hero;Skelettheld
Skeleton mage;Skelettmagier
Skeleton thug;Skelett-Schläger
Skeleton warlord;Skelett-Kriegsherr
Skippy;Skippy
Skogre;Skogre
Skotizo;Skotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Schädelball
Skullball Boss;Skullball-Boss
Skullball Trainer;Skullball-Trainer
Slagilith;Slagilith
Slagilith (hard);Slagilith (hart)
Slash Bash;Slash Bash
Slave;Sklave
Sleeping Monkey;Schlafender Affe
Sleeping guard;Schlafender Wächter
Sleepwalker;Schlafwandler
Slieve;Slieve
Slim Louie;Slim Louie
Slippers;Hausschuhe
Sloane;Sloane
Slug Hemligssen;Schnecke Hemligssen
Slug Prince;Schneckenprinz
Small Lizard;Kleine Eidechse
Small ninja monkey;Kleiner Ninja-Affe
Small zombie monkey;Kleiner Zombie-Affe
Smellytoes;Stinkende Zehen
Smiddi Ryak (hard);Smiddi Ryak (hart)
Smith;Schmied
Smithing apprentice;Schmiedelehrling
Smoggy;Smogig
Smoke Devil;Rauchteufel
Smoke devil;Rauchteufel
Smokin' Joe;Smokin' Joe
Smolcano;Smolcano
Snail display;Schneckendisplay
Snake;Schlange
Snakeling;Schlangenling
Snow;Schnee
Snowflake;Schneeflocke
Snowy knight;Verschneiter Ritter
Sofiya;Sofia
Soldier;Soldat
Soldier (tier 1);Soldat (Stufe 1)
Soldier (tier 2);Soldat (Stufe 2)
Soldier (tier 3);Soldat (Stufe 3)
Soldier (tier 4);Soldat (Stufe 4)
Soldier (tier 5);Soldat (Stufe 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Sophanem-Wache
Sophia Hughes;Sophia Hughes
Sorceress;Zauberin
Sorebones;Knochenschmerzen
Sorin;Sorin
Sorrn;Tut mir leid
Sotetseg;Sotetseg
Soulless;Seelenlos
Spang;Spang
Spawn;Laichen
Spawn of Sarachnis;Brut von Sarachnis
Spectator;Zuschauer
Speedy Keith;Schneller Keith
Sphinx;Sphinx
Spice seller;Gewürzverkäufer
Spider;Spinne
Spidine;Spidine
Spiked Turoth;Stacheliger Turoth
Spin Blades;Spin Blades
Spined larupia;Stachelige Larupie
Spinner;Spinner
Spinolyp;Spinolyp
Spirit Angler;Geisterangler
Spirit of Scorpius;Geist von Scorpius
Spirit of Zadimus;Geist von Zadimus
Spirit tree;Geisterbaum
Spiritual mage;Spiritueller Magier
Spiritual warrior;Spiritueller Krieger
Spit goblin;Kobold spucken
Spitting Wyvern;Spuckender Wyvern
Splatter;Spritzer
Spotted kebbit;Gefleckter Kebbit
Spria;Spria
Spring Elemental;Frühlingselementar
Squire;Knappe
Squire (Intermediate);Knappe (Mittelstufe)
Squire (Novice);Knappe (Anfänger)
Squire (Veteran);Knappe (Veteran)
Squirrel;Eichhörnchen
Sraracha;Sraracha
Stag;Hirsch
Stanford;Stanford
Stankers;Stanker
Starflower;Sternblume
Starlight;Sternenlicht
Steel dragon;Stahldrache
Steve;Steve
Stick;Stock
Stone Guardian;Steinwächter
Stone mason;Steinmetz
Stonemason;Steinmetz
Storm Cloud;Sturmwolke
Storm cloud;Sturmwolke
Strange Old Man;Seltsamer alter Mann
Strange plant;Seltsame Pflanze
Strange watcher;Seltsamer Beobachter
Stranger;Fremder
Straven;Straven
Stray dog;Streunender Hund
Street urchin;Straßenjunge
Strong Ronny;Starker Ronny
Student;Student
Stuliette;Stuliette
Stumpy;Stumpfig
Stunned Hoop Snake;Betäubte Ringschlange
Stunted demonic gorilla;Verkümmerter dämonischer Gorilla
Styrmir;Styrmir
Suit of armour;Rüstung
Sulphur Lizard;Schwefeleidechse
Summer Elemental;Sommerelementar
Summoned Soul;Beschworene Seele
Summoned Zombie;Beschworener Zombie
Sune;Sune
Superior ghostly thrall;Überlegener Geisterknecht
Superior skeletal thrall;Überlegener Skelettknecht
Superior zombified thrall;Überlegener zombifizierter Sklave
Supreme Commander;Oberbefehlshaber
Suqah;Suqah
Surgeon General Tafani;Generalchirurg Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Überlebensexperte
Suspect;Verdächtig
Suspicious water;Verdächtiges Wasser
Svetlana;Swetlana
Svidi;Svidi
Swamp Crab;Sumpfkrabbe
Swamp Priest;Sumpfpriester
Swamp frog;Sumpffrosch
Swamp lizard;Sumpfeidechse
Swamp snake;Sumpfschlange
Swamp toad;Sumpfkröte
Swampy log;Sumpfiger Baumstamm
Swan;Schwan
Swarm;Schwarm
Sweeper;Kehrmaschine
Swensen the Navigator;Swensen der Navigator
Swordchick;Schwertküken
Sylas;Sylas
Taiman;Taiman
Talia;Talia
Taloned Wyvern;Krallenwyvern
Tamayu;Tamayu
Tamble;Tamble
Tanglefoot;Tanglefoot
Tanglefoot (hard);Tanglefoot (hart)
Tangleroot;Tangleroot
Tanner;Gerber
Tanya;Tanja
Tar Bubbles;Teerblasen
Tar Monster;Teermonster
Tarfol quo Maten;Tarfol quo Maten
Target;Ziel
Taria;Taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarquin
Tassie Slipcast;Tassie Slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Präparator
Taylor;Taylor
Tayten;Tayten
Tea seller;Teeverkäufer
Teacher;Lehrer
Teacher and pupil;Lehrer und Schüler
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegid
Tektiny;Tektiny
Tekton;Tekton
Tekton (enraged);Tekton (wütend)
Telekinetic Guardian;Telekinetischer Wächter
Temple Spider;Tempelspinne
Temple guardian;Tempelwächter
Tempoross;Tempoross
Tentacle;Tentakel
Tenzing;Tenzing
Teodor;Teodor
Terror dog;Terrorhund
Terror dog statue;Terror-Hundestatue
Terrorbird;Terrorvogel
Terrorbird display;Terrorbird-Ausstellung
Terrorchick gnome;Terrorchick-Zwerg
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';Der „Keil“
The Beast;Das Biest
The Collector;Der Sammler
The Draugen;Die Draugen
The Everlasting;Das Ewige
The Everlasting (hard);Das Ewige (hart)
The Face;Das Gesicht
The Fisher King;Der Fischerkönig
The Illusive;Das Illusive
The Inadequacy;Die Unzulänglichkeit
The Inadequacy (hard);Die Unzulänglichkeit (hart)
The Jormungand;Der Jormungand
The Kendal;Der Kendal
The Kendal (hard);Der Kendal (hart)
The Lady of the Lake;Die Dame vom See
The Maiden of Sugadinti;Die Jungfrau von Sugadinti
The Mimic;Der Nachahmer
The Monkey's Uncle;Der Onkel des Affen
The Nightmare;Der Albtraum
The Queen of Thieves;Die Königin der Diebe
The Shaikahan;Der Shaikahan
The Untouchable;Der Unberührbare
The Untouchable (hard);Der Unberührbare (schwer)
Thermonuclear smoke devil;Thermonuklearer Rauchteufel
Thessalia;Thessalien
Thias Leacke;Thias Leake
Thief;Dieb
Thing under the bed;Ding unter dem Bett
Thingol;Thingol
Third Age Mage;Magier des dritten Zeitalters
Third Age Ranger;Ranger des dritten Zeitalters
Third Age Warrior;Krieger des dritten Zeitalters
Thirus;Thirus
Thistle;Distel
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Thora die Barkeeperin
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Seidenbart
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald der Krieger
Thrantax the Mighty;Thrantax der Mächtige
Thrower Troll;Werfer-Troll
Thrower troll;Werfer-Troll
Thug;Schurke
Thumpy;Thumpy
Thurgo;Thurgo
Thyria;Thyria
Tiadeche;Tiadeche
Ticket Merchant;Tickethändler
Ticket dwarf;Ticketzwerg
Ticket goblin;Ticketkobold
Tide;Tide
Tiles;Fliesen
Tilt;Neigung
Tim;Tim
Timallus;Timallus
Timble;Timble
Timfraku;Timfraku
Tin ore;Zinnerz
Tina;Tina
Tindar;Tindar
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Tinse Torpe
Tiny Tempor;Winziger Tempor
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tomas Lawry
Tombar;Tombar
Tommy 2-times;Tommy 2-mal
Tool Leprechaun;Werkzeug Kobold
Toothy;Zahnig
Topsy;Topsy
Torag the Corrupted;Torag der Verderbte
Torbrund;Torbrand
Torcher;Fackel
Torfinn;Torfinn
Tormented Soul;Gequälte Seele
Torrcs;Torrcs
Torrell;Torrell
Tortoise;Schildkröte
Tortured gorilla;Gefolterter Gorilla
Tortured soul;Gequälte Seele
Tostig;Tostig
Tough Guy;Harter Kerl
Tower Advisor;Turmberater
Tower Archer;Turmbogenschütze
Tower Mage;Turmmagier
Tower guard;Turmwächter
Town Crier;Stadtausrufer
Town Guard;Stadtwache
Toy Doll;Spielzeugpuppe
Toy Mouse;Spielzeugmaus
Toy Soldier;Spielzeugsoldat
Tracker gnome 1;Tracker-Zwerg 1
Tracker gnome 2;Trackergnom 2
Tracker gnome 3;Tracker-Gnom 3
Trade Referee;Handelsschiedsrichter
Trader;Händler
Trader Crewmember;Mitglied der Händlercrew
Trader Stan;Händler Stan
Trader Sven;Händler Sven
Traiborn;Traiborn
Trainee Guard;Azubi-Wache
Trainer Nacklepen;Trainer Nacklepen
Tramp;Tramp
Trapped Soul;Gefangene Seele
Trapped Soul (hard);Gefangene Seele (schwer)
Traxi;Traxi
Treacle;Sirup
Treasure fairy;Schatzfee
Tree;Baum
Tree spirit;Baumgeist
Tree spirit (hard);Baumgeist (hart)
Trees;Bäume
Trefaji;Trefaji
Treus Dayth;Treus Dayth
Treus Dayth (hard);Treus Dayth (hart)
Treznor;Treznor
Tribal Weapon Salesman;Stammeswaffenverkäufer
Tribesman;Stammesangehörige
Tristan;Tristan
Trobert;Trobert
Trogen Konungarde;Trogen Konungarde
Troll;Troll
Troll child;Trollkind
Troll father;Troll-Vater
Troll general;Troll-General
Troll mother;Trollmutter
Troll spectator;Troll-Zuschauer
Trolley;Wagen
Tropical wagtail;Tropische Bachstelze
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turael
Turbogroomer;Turbogroomer
Turgall;Turgall
Turgok;Turgok
Turgon;Turgon
Turoth;Turoth
Tutab;Tutab
Twig;Zweig
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Verdrehte Todesfee
Two-pints;Zwei Pints
Tyke;Tyke
Tynan;Tynan
Typhor;Typhor
Tyras Guard;Tyras-Wache
Tyras guard;Tyras Wache
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Ugthanki
Ulfric;Ulfric
Ulifed;Ulifed
Ulizius;Ulizius
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Untoter Druide
Undead Lumberjack;Untoter Holzfäller
Undead Zealot;Untoter Eiferer
Undead chicken;Untotes Huhn
Undead cow;Untote Kuh
Undead one;Untoter
Undead tree;Untoter Baum
Undor;Undor
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Einhorn
Unicorn Foal;Einhornfohlen
Unicow;Unicow
Unnamed troll child;Unbenanntes Trollkind
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Ur-Pel
Ur-taal;Ur-Taal
Ur-tag;Ur-Tag
Ur-vass;Ur-Vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Urium-Schatten
Urium Shadow;Urium-Schatten
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (mittel)
Valentin Rasputin;Walentin Rasputin
Valentina Diaemus;Valentina Diaemus
Valeria;Valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Vampir-Jugendlicher
Vampyre Juvinate;Vampir-Juvinat
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Vampirhund
Vampyrus Diaemus;Vampyrus Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Vorhut
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanstrom Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasken
Veliaf Hurtz;Veliaf Hurtz
Velorina;Velorina
Velrak the explorer;Velrak der Entdecker
Venenatis;Venenatis
Venenatis spiderling;Venenatis-Spinne
Veos;Veos
Vera;Vera
Verac the Defiled;Verac der Befleckte
Verak;Verak
Vermundi;Vermundi
Veronica;Veronika
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Vespinischer Soldat
Vespula;Vespula
Vestri;Vestri
Vet'ion;Vet'ion
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion wiedergeboren
Victor;Sieger
Vigr;Vigr
Vigroy;Vigroy
Villager;Dorfbewohner
Villia;Villia
Violetta Sanguine;Violetta Sanguine
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Wladimir
Voice of Yama;Stimme von Yama
Void Knight;Leerenritter
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulkanischer Orvoros
Vulture;Geier
Vyre Orator;Vyre-Redner
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Vyrewatch-Wächter
Wagchin;Wagchin
Wall beast;Wandbestie
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Wanderer
Wandering impling;Umherwandernder Imple
Warped Jelly;Verzerrtes Gelee
Warrior;Krieger
Warrior of Murahs;Krieger von Murahs
Warrior woman;Kriegerin
Watchman;Wächter
Watchtower Wizard;Wachtturm-Zauberer
Water elemental;Wasserelementar
Water wizard;Wasserzauberer
Waterfiend;Wasserfeind
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Delrith geschwächt
Weaponsmaster;Waffenmeister
Weird Old Man;Seltsamer alter Mann
Well-armed Foe;Gut bewaffneter Feind
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Werwolf
Wesley;Wesley
Weve;Weve
Whirlpool;Whirlpool
White Chisel Director;White Chisel-Regisseur
White Chisel Secretary;White Chisel-Sekretär
White Knight;Weißer Ritter
White golem;Weißer Golem
White wolf;Weißer Wolf
Wild dog;Wildhund
Wild kebbit;Wildes Kebbit
Will o' the wisp;Will das Irrlicht
William;Wilhelm
Willow;Weide
Wilough;Wilough
Wilson;Wilson
Wily cat;Listige Katze
Wily hellcat;Listige Höllenkatze
Winelda;Winelda
Wingman Skree;Wingman Skree
Wingstone;Flügelstein
Winkin;Winkin
Winter Elemental;Winterelementar
Winter Soldier;Wintersoldat
Wintertoad;Winterkröte
Wise Old Man;Weiser alter Mann
Wise Young Man;Weiser junger Mann
Wiskit;Wiskit
Wistan;Wistan
Witch;Hexe
Witch's cat;Hexenkatze
Witch's experiment;Hexenexperiment
Witch's experiment (fourth form);Hexenexperiment (vierte Klasse)
Witch's experiment (fourth form) (hard);Hexenexperiment (vierte Klasse) (schwer)
Witch's experiment (hard);Hexenexperiment (schwer)
Witch's experiment (second form);Hexenexperiment (zweite Form)
Witch's experiment (second form) (hard);Hexenexperiment (zweite Form) (schwer)
Witch's experiment (third form);Hexenexperiment (dritte Form)
Witch's experiment (third form) (hard);Hexenexperiment (dritte Form) (schwer)
Witchaven villager;Dorfbewohner von Witchaven
Wizard;Zauberer
Wizard Akutha;Zauberer Akutha
Wizard Cromperty;Zauberer Cromperty
Wizard Distentor;Zauberer-Distentor
Wizard Frumscone;Zauberer Frumscone
Wizard Grayzag;Zauberer Grayzag
Wizard Mizgog;Zauberer Mizgog
Wizard Sinina;Zauberer Sinina
Wolf;Wolf
Wolfbone;Wolfsknochen
Woman;Frau
Woman-at-arms (hard);Woman-at-arms (hart)
Wood Dryad;Holzdryade
Woodsman tutor;Woodsman-Nachhilfelehrer
Workman;Arbeiter
Wormbrain;Wurmhirn
Wounded soldier;Verwundeter Soldat
Wurbel;Würbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson der Gärtner
Wyvern display;Wyvern-Ausstellung
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Yak
Yanni Salika;Yanni Salika
Yarsul;Jarsul
Yellow Fortune Director;Yellow Fortune-Direktor
Yellow Fortune Secretary;Gelber Glückssekretär
Yellow Sheep;Gelbes Schaf
Yellow Snow;Gelber Schnee
Yenrab;Yenrab
Yeti;Yeti
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Junge Leute
Young impling;Junger Flegel
Youngllef;Youngllef
Yrsa;Yrsa
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf Squecks
Yuri;Yuri
