 Sneaky undead fowl;Poule morte-vivante sournoise
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Saphir glacial
Sarachnis;Sarachnis
Saradomin priest;Prêtre Saradomin
Saradomin wizard;Assistant Saradomin
Saradominist recruiter;Recruteur saradoministe
Sarah;Sarah
Sarble;Sarbé
Sarius Guile;Sarius Ruse
Saro;Saro
Sassilik;Sassilik
Savant;Savant
Sawmill Operator;Opérateur de scierie
Sawmill operator;Opérateur de scierie
Sbott;Sbot
Scabaras;Scabaras
Scarab mage;Mage scarabée
Scarab swarm;Essaim de scarabées
Scarabs;Scarabées
Scared skavid;Skavid effrayé
Scarg;Cicatrice
Scavenger beast;Bête charognarde
Scavvo;Scavvo
Schoolboy;Écolier
Schoolgirl;Écolière
Scion;Scion
Scorpia;Scorpie
Scorpia's guardian;Le gardien du Scorpia
Scorpia's offspring;La progéniture du Scorpia
Scorpion;Scorpion
Scout;Scout
Screaming banshee;Banshee hurlante
Screaming twisted banshee;Banshee tordue et hurlante
Scrubfoot;Pied de gommage
Sea Snake Hatchling;Nouveau-né de serpent de mer
Sea Snake Young;Jeune serpent de mer
Sea Troll General;Général des Trolls des Mers
Sea Troll Queen;Reine des Trolls des Mers
Sea slug;Limace de mer
Sea slugs display;Exposition de limaces de mer
Sea troll;Troll de mer
Seagull;Mouette
Seaman Lorris;Matelot Lorris
Seaman Morris;Matelot Morris
Seaman Thresnor;Matelot Thresnor
Secretary;Secrétaire
Security Guard;Agent de sécurité
Seddu;Séddu
Sedridor;Sédridor
Seer;Voyant
Selena;Séléna
Selene;Séléné
Seravel;Seravel
Seren;Serène
Sergeant;Sergent
Sergeant Damien;Sergent Damien
Sergeant Grimspike;Sergent Grimspike
Sergeant Mossfists;Sergent Mossfists
Sergeant Ricardo;Sergent Ricardo
Sergeant Sambur;Sergent Sambur
Sergeant Slimetoes;Sergent Slimetoes
Sergeant Steelwill;Sergent Steelwill
Sergeant Strongstack;Sergent Strongstack
Sergiu;Serge
Servant;Serviteur
Servery assistant;Assistante de serveur
Seth;Seth
Seth Groats;Gruaux Seth
Shade;Ombre
Shade Spirit;Esprit de l'ombre
Shadow;Ombre
Shadow Hound;Chien de l'Ombre
Shadow Wyrm;Wyrm de l'Ombre
Shadow spider;Araignée de l'ombre
Shadow warrior;Guerrier de l'ombre
Shadowy figure;Figure sombre
Shady figure;Chiffre ombragé
Shaeded Beast;Bête ombragée
Shamus;Shamous
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Garde Shantay
Sharimika;Sharimika
Shark;Requin
Shayda;Shayda
Shayzien Infiltrator;Infiltrateur Shayzien
Sheep;Mouton
Sheepdog;Chien de berger
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Maître du bouclier
Shifter;Manette de vitesse
Shilop;Shilop
Shipyard worker;Ouvrier de chantier naval
Shiratti the Custodian;Shiratti le gardien
Shop assistant;Vendeur
Shop keeper;Commerçant
Shura;Choura
Siamun;Siamun
Sian;Sian
Sid;Sidé
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Sigbert l'Aventurier
Sigismund;Sigismond
Sigli the Huntsman;Sigli le chasseur
Sigmund;Sigmond
Sigmund The Merchant;Sigmund le marchand
Sigmund and Zanik;Sigmond et Zanik
Signy;Signé
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Marchand de soie
Silk trader;Négociant en soie
Silver Cog Director;Directeur du Silver Cog
Silver Cog Secretary;Secrétaire Cog d'argent
Silver merchant;Marchand d'argent
Silver ore;Minerai d'argent
Simon;Simon
Simon Templeton;Simon Templeton
Simona;Simone
Sin Seer;Voyant du péché
Sinclair;Sinclair
Sinclair Guard dog;Chien de garde Sinclair
Sinco Doar;Sinco Doar
Sinister Stranger;Sinistre étranger
Sir Amik Varze;Monsieur Amik Varze
Sir Bedivere;Monsieur Bédivère
Sir Carl;Monsieur Carl
Sir Gawain;Monsieur Gauvain
Sir Harry;Monsieur Harry
Sir Jerro;Monsieur Jerro
Sir Kay;Monsieur Kay
Sir Kuam Ferentse;Sir Kuam Ferentsé
Sir Lancelot;Monsieur Lancelot
Sir Leye;Monsieur Leye
Sir Lucan;Monsieur Lucan
Sir Mordred;Monsieur Mordred
Sir Palomedes;Monsieur Palomède
Sir Pelleas;Monsieur Pelléas
Sir Percival;Monsieur Percival
Sir Prysin;Monsieur Prysine
Sir Rebral;Monsieur Rebral
Sir Ren Itchood;Sir Ren Itchhood
Sir Renitee;Monsieur Renitée
Sir Spishyus;Monsieur Spishyus
Sir Tiffy Cashien;Monsieur Tiffy Cashien
Sir Tinley;Monsieur Tinley
Sir Tristram;Monsieur Tristram
Sir Vyvin;Monsieur Vyvin
Sirsal Banker;Sirsal banquier
Sister Aseret;Sœur Aseret
Sister Naoj;Sœur Naoj
Sister Salohcin;Sœur Salohcin
Sister Scarophia;Sœur Scarophia
Sister Senga;Sœur Senga
Sister Sevi;Sœur Sévi
Sister Soul Jar;Pot d'âme sœur
Sister Toen;Sœur Toen
Sister Yram;Sœur Yram
Sithik Ints;Sithik Ints
Skavid;Skavide
Skeletal Mystic;Mystique squelettique
Skeletal Wyvern;Wyverne squelettique
Skeletal miner;Mineur squelettique
Skeleton;Squelette
Skeleton Champion;Champion squelette
Skeleton Hellhound;Chien de l'enfer squelette
Skeleton Hellhound (hard);Chien de l'enfer squelette (difficile)
Skeleton Mage;Mage Squelette
Skeleton brute;Brute squelette
Skeleton fremennik;Fremennik squelette
Skeleton heavy;Squelette lourd
Skeleton hero;Héros squelette
Skeleton mage;Mage squelette
Skeleton thug;Voyou squelette
Skeleton warlord;Seigneur de guerre squelette
Skippy;Skippy
Skogre;Skogre
Skotizo;Skotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraëling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Boule de crâne
Skullball Boss;Patron de la boule de crâne
Skullball Trainer;Entraîneur de Skullball
Slagilith;Slagilithe
Slagilith (hard);Slagilith (dur)
Slash Bash;Coup de barre oblique
Slave;Esclave
Sleeping Monkey;Singe endormi
Sleeping guard;Garde endormi
Sleepwalker;Somnambule
Slieve;Slieve
Slim Louie;Slim Louie
Slippers;Pantoufles
Sloane;Sloan
Slug Hemligssen;Limace Hemligssen
Slug Prince;Prince Limace
Small Lizard;Petit lézard
Small ninja monkey;Petit singe ninja
Small zombie monkey;Petit singe zombie
Smellytoes;Orteils malodorants
Smiddi Ryak (hard);Smiddi Ryak (dur)
Smith;Forgeron
Smithing apprentice;Apprenti forgeron
Smoggy;Smog
Smoke Devil;Diable de fumée
Smoke devil;Diable de fumée
Smokin' Joe;Joe qui fume
Smolcano;Smolcano
Snail display;Présentoir d'escargots
Snake;Serpent
Snakeling;Serpent
Snow;Neige
Snowflake;Flocon de neige
Snowy knight;Chevalier enneigé
Sofiya;Sophie
Soldier;Soldat
Soldier (tier 1);Soldat (niveau 1)
Soldier (tier 2);Soldat (niveau 2)
Soldier (tier 3);Soldat (niveau 3)
Soldier (tier 4);Soldat (niveau 4)
Soldier (tier 5);Soldat (niveau 5)
Solihib;Solhib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Garde Sophanem
Sophia Hughes;Sophie Hughes
Sorceress;Sorcière
Sorebones;Maladies
Sorin;Sorin
Sorrn;Désolé
Sotetseg;Sotetseg
Soulless;Sans âme
Sourhog;Sourhog
Spang;Spang
Spawn;Frayer
Spawn of Sarachnis;Apparition de Sarachnis
Spectator;Spectateur
Speedy Keith;Keith rapide
Sphinx;Sphinx
Spice seller;Vendeur d'épices
Spider;Araignée
Spidine;Spidine
Spiked Turoth;Turoth à pointes
Spin Blades;Lames rotatives
Spined larupia;Larupia à épines
Spinner;Fileur
Spinolyp;Spinolype
Spirit Angler;Pêcheur spirituel
Spirit of Scorpius;Esprit du Scorpius
Spirit of Zadimus;Esprit de Zadimus
Spirit tree;Arbre spirituel
Spiritual mage;Mage spirituel
Spiritual ranger;Ranger spirituel
Spiritual warrior;Guerrier spirituel
Spit goblin;Cracher gobelin
Spitting Wyvern;Wyverne cracheuse
Splatter;Éclabousser
Spotted kebbit;Kebbit tacheté
Spria;Spria
Spring Elemental;Élémentaire de printemps
Squire;Écuyer
Squire (Intermediate);Écuyer (intermédiaire)
Squire (Novice);Écuyer (débutant)
Squire (Veteran);Écuyer (vétéran)
Squirrel;Écureuil
Sraracha;Sraracha
Stag;Cerf
Stanford;Stanford
Stankers;Stankers
Star Sprite;Lutin étoilé
Starflower;Étoile de mer
Starlight;Lumière des étoiles
Steel dragon;Dragon d'acier
Steve;Steve
Stick;Bâton
Stone Guardian;Gardien de pierre
Stone mason;Tailleur de pierre
Stonemason;Tailleur de pierre
Storm Cloud;Nuage d'orage
Storm cloud;Nuage d'orage
Strange Old Man;Étrange vieil homme
Strange plant;Plante étrange
Strange watcher;Étrange observateur
Stranger;Étranger
Straven;Straven
Stray dog;Chien errant
Street urchin;Oursin des rues
Strong Ronny;Ronny fort
Student;Étudiant
Stuliette;Stuliette
Stumpy;Courtaud
Stunned Hoop Snake;Serpent cerceau étourdi
Stunted demonic gorilla;Gorille démoniaque rabougri
Styrmir;Styrmir
Suit of armour;Armure
Sulphur Lizard;Lézard de soufre
Summer Elemental;Élémentaire d'été
Summoned Soul;Âme invoquée
Summoned Zombie;Zombie invoqué
Sune;Soleil
Superior ghostly thrall;Un esclave fantomatique supérieur
Superior skeletal thrall;Thrall squelettique supérieur
Superior zombified thrall;Serviteur zombifié supérieur
Supreme Commander;commandant suprême
Suqah;Souqa
Surgeon General Tafani;Chirurgien Général Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Expert en survie
Suspect;Suspect
Suspicious water;Eau suspecte
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Crabe des marais
Swamp Priest;Prêtre des marais
Swamp frog;Grenouille des marais
Swamp lizard;Lézard des marais
Swamp snake;Serpent des marais
Swamp toad;Crapaud des marais
Swampy log;Journal marécageux
Swan;Cygne
Swarm;Essaim
Sweeper;Balayeuse
Swensen the Navigator;Swensen le navigateur
Swordchick;Poussin d'épée
Sylas;Sylas
Taiman;Taïman
Talia;Talia
Taloned Wyvern;Wyverne à griffes
Tamayu;Tamayu
Tamble;Tambler
Tanglefoot;Pied emmêlé
Tanglefoot (hard);Tanglefoot (dur)
Tangleroot;Racine enchevêtrée
Tanner;Tanneur
Tanya;Tanya
Tar Bubbles;Bulles de goudron
Tar Monster;Monstre de goudron
Tarfol quo Maten;Tarfol quo Maten
Target;Cible
Taria;Taria
Tarik;Tarik
Tarn;Tarn
Tarquin;Tarquin
Tassie Slipcast;Tassie Slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Taxidermiste
Taylor;Taylor
Tayten;Tayten
Tea seller;Vendeur de thé
Teacher;Professeur
Teacher and pupil;Enseignant et élève
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegid
Tektiny;Tectine
Tekton;Tekton
Tekton (enraged);Tekton (enragé)
Telekinetic Guardian;Gardien télékinésique
Temple Spider;Araignée du temple
Temple guardian;Gardien du temple
Tempoross;Tempoross
Tentacle;Tentacule
Tenzing;Tenzing
Teodor;Théodore
Terror dog;Chien de terreur
Terror dog statue;Statue de chien de terreur
Terrorbird;Oiseau terroriste
Terrorbird display;Affichage des oiseaux de terreur
Terrorchick gnome;Gnome Terrorchick
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';Le « Coin »
The Beast;La Bête
The Collector;Le collectionneur
The Draugen;Le Draugen
The Everlasting;L'Éternel
The Everlasting (hard);L'Éternel (dur)
The Face;Le visage
The Fisher King;Le roi pêcheur
The Illusive;L'illusoire
The Inadequacy;L'insuffisance
The Inadequacy (hard);L'insuffisance (difficile)
The Jormungand;Le Jörmungand
The Kendal;Le Kendal
The Kendal (hard);Le Kendal (dur)
The Lady of the Lake;La Dame du Lac
The Maiden of Sugadinti;La jeune fille de Sugadinti
The Mimic;Le Mimique
The Monkey's Aunt;La tante du singe
The Monkey's Uncle;L'oncle du singe
The Nightmare;Le cauchemar
The Queen of Thieves;La reine des voleurs
The Shaikahan;Le Shaikahan
The Untouchable;L'Intouchable
The Untouchable (hard);L'Intouchable (dur)
Thermonuclear smoke devil;Diable de fumée thermonucléaire
Thessalia;Thessalie
Thias Leacke;Thias Leacke
Thief;Voleur
Thing under the bed;Un truc sous le lit
Thingol;Thingol
Third Age Mage;Mage du troisième âge
Third Age Ranger;Ranger du troisième âge
Third Age Warrior;Guerrier du troisième âge
Thirus;Thirus
Thistle;Chardon
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Thora la barman
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Barbe de Soie
Thormac;Thormac
Thorodin;Thorodine
Thorvald the Warrior;Thorvald le guerrier
Thrantax the Mighty;Thrantax le Puissant
Thrower Troll;Troll lanceur
Thrower troll;Troll lanceur
Thug;Voyou
Thumpy;Bruyant
Thurgo;Thurgo
Thyria;Thyrie
Tiadeche;Tiadèche
Ticket Merchant;Marchand de billets
Ticket dwarf;Nain de billet
Ticket goblin;Billet gobelin
Tide;Marée
Tiles;Carrelage
Tilt;Inclinaison
Tim;Tim
Timallus;Timallus
Timble;Horaires
Timfraku;Timfraku
Tin ore;Minerai d'étain
Tina;Tina
Tindar;Tindar
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Tinse Torpe
Tiny Tempor;Petit Tempor
Tirrie;Tirrie
Tjorvi;Tjörvi
Toban;Tobán
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Thomas Lawry
Tombar;Tomber
Tommy 2-times;Tommy 2 fois
Tool Leprechaun;Outil Lutin
Toothy;Dents
Topsy;À l'envers
Torag the Corrupted;Torag le Corrompu
Torbrund;Torbrund
Torcher;Torcher
Torfinn;Torfinn
Tormented Soul;Âme tourmentée
Torrcs;Torques
Torrell;Torrell
Tortoise;Tortue
Tortured gorilla;Gorille torturé
Tortured soul;Âme torturée
Tostig;Tostig
Tough Guy;Un dur à cuire
Tower Advisor;Conseiller de la tour
Tower Archer;Archer de la tour
Tower Mage;Mage de la tour
Tower guard;Garde de tour
Town Crier;Crieur public
Town Guard;Garde de la ville
Toy Doll;Poupée jouet
Toy Mouse;Souris jouet
Toy Soldier;Soldat de plomb
Tracker gnome 1;Gnome traqueur 1
Tracker gnome 2;Gnome traqueur 2
Tracker gnome 3;Gnome traqueur 3
Trade Referee;Arbitre commercial
Trader;Commerçant
Trader Crewmember;Membre d'équipage commerçant
Trader Stan;Le commerçant Stan
Trader Sven;Le commerçant Sven
Traiborn;Traiborn
Trainee Guard;Garde stagiaire
Trainer Nacklepen;Stylo à main d'entraînement
Tramp;Tramp
Trapped Soul;Âme piégée
Trapped Soul (hard);Âme piégée (dur)
Traxi;Traxi
Treacle;Mélasse
Treasure fairy;Fée au trésor
Tree;Arbre
Tree spirit;Esprit de l'arbre
Tree spirit (hard);Esprit de l'arbre (dur)
Trees;Arbres
Trefaji;Tréfaji
Treus Dayth;Treus Dayth
Treus Dayth (hard);Treus Dayth (dur)
Treznor;Treznor
Tribal Weapon Salesman;Vendeur d'armes tribales
Tribesman;Homme de tribu
Tristan;Tristan
Trobert;Trobert
Trogen Konungarde;Trogen Konungarde
Troll;Troll
Troll child;Enfant troll
Troll father;Père troll
Troll general;Général troll
Troll mother;Mère troll
Troll spectator;Spectateur troll
Trolley;Chariot
Tropical wagtail;Bergeronnette tropicale
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turaël
Turbogroomer;Turbotoiletteur
Turgall;Turgall
Turgok;Tourgok
Turgon;Tourgon
Turoth;Turoth
Tutab;Tutab
Twig;Brindille
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Banshee tordue
Two-pints;Deux pintes
Tyke;Chien bâtard
Tynan;Tynan
Typhor;Typhor
Tyras Guard;Garde Tyras
Tyras guard;Garde Tyras
Tyss;Tysse
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Merci
Ulfric;Ulfric
Ulifed;Ulifed
Ulizius;Ulizius
Ulsquire Shauncy;Écuyer Shauncy
Undead Druid;Druide mort-vivant
Undead Lumberjack;Bûcheron mort-vivant
Undead Zealot;Zélote mort-vivant
Undead chicken;Poulet mort-vivant
Undead cow;Vache morte-vivante
Undead one;Mort-vivant
Undead tree;Arbre mort-vivant
Undor;Undor
Unferth;Découvrir
Ungadulu;Ungadulu
Unicorn;Licorne
Unicorn Foal;Poulain Licorne
Unicow;Licorne
Unnamed troll child;Enfant troll sans nom
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Ur-pel
Ur-taal;Ur-taal
Ur-tag;Ur-tag
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Ombre d'Urium
Urium Shadow;Ombre d'Urium
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Väeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (moyen)
Valentin Rasputin;Valentin Raspoutine
Valentina Diaemus;Valentina Diaemus
Valeria;Valérie
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Vampire juvénile
Vampyre Juvinate;Juvinat de vampire
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Chien vampyrique
Vampyrus Diaemus;Vampyrus Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Avant-garde
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanström Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistírio
Vasile;Vasile
Vasquen;Vasquen
Veliaf Hurtz;Véliaf Hurtz
Velorina;Vélorine
Velrak the explorer;Velrak l'explorateur
Venenatis;Vénénatis
Venenatis spiderling;Araignée Venenatis
Veos;Véos
Vera;Véra
Verac the Defiled;Vérac le souillé
Verak;Vérak
Vermundi;Vermundi
Veronica;Véronique
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespine
Vespine soldier;Soldat Vespine
Vespula;Vespula
Vestri;Vestri
Vet'ion;Vétérinaire
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion renaît
Victor;Vainqueur
Vigr;Vigr
Vigroy;Vigroy
Villager;Villageois
Villia;Villa
Violetta Sanguine;Violetta Sanguine
Vitreous Jelly;Gelée vitreuse
Vitreous warped Jelly;Gelée déformée vitreuse
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Voix de Yama
Void Knight;Chevalier du Vide
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Orvoros vulcain
Vulture;Vautour
Vyre Orator;Orateur de Vyre
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyregarde
Vyrewatch Sentinel;Sentinelle de Vyrewatch
Wagchin;Wagchin
Wall beast;Bête murale
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Vagabond
Wandering impling;Implant errant
Warped Jelly;Gelée déformée
Warrior;Guerrier
Warrior of Murahs;Guerrier des Murahs
Warrior woman;Femme guerrière
Watchman;Gardien
Watchtower Wizard;Assistant de la Tour de Garde
Water elemental;Élémentaire d'eau
Water wizard;Assistant de l'eau
Waterfiend;Démon de l'eau
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Delrith affaibli
Weaponsmaster;Maître d'armes
Weird Old Man;Bizarre vieil homme
Well-armed Foe;Ennemi bien armé
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Loup-garou
Wesley;Wesley
Weve;Nous avons
Whirlpool;Tourbillon
White Chisel Director;Directeur du ciseau blanc
White Chisel Secretary;Secrétaire au ciseau blanc
White Knight;Chevalier Blanc
White golem;Golem blanc
White wolf;Loup blanc
Wild dog;Chien sauvage
Wild kebbit;Kebbit sauvage
Will o' the wisp;Will o' le feu follet
William;Guillaume
Willow;Saule
Wilough;Wilough
Wilson;Wilson
Wily cat;Chat rusé
Wily hellcat;Chat de l'enfer rusé
Winelda;Vinelda
Wingman Skree;Ailier Skree
Wingstone;Pierre d'aile
Winkin;Clin d'œil
Winter Elemental;Élémentaire d'hiver
Winter Soldier;Soldat de l'Hiver
Wintertoad;Crapaud d'hiver
Wise Old Man;Vieil homme sage
Wise Young Man;Jeune homme sage
Wiskit;Wiskit
Wistan;Wistan
Witch;Sorcière
Witch's cat;Le chat de la sorcière
Witch's experiment;Expérience de sorcière
Witch's experiment (fourth form);Expérience de sorcière (quatrième forme)
Witch's experiment (fourth form) (hard);Expérience de sorcière (quatrième forme) (difficile)
Witch's experiment (hard);Expérience de sorcière (difficile)
Witch's experiment (second form);Expérience de sorcière (deuxième forme)
Witch's experiment (second form) (hard);Expérience de sorcière (deuxième forme) (difficile)
Witch's experiment (third form);Expérience de sorcière (troisième forme)
Witch's experiment (third form) (hard);Expérience de sorcière (troisième forme) (difficile)
Witchaven villager;Villageois du Havre des Sorcières
Wizard;Magicien
Wizard Akutha;Sorcier Akutha
Wizard Cromperty;Assistant Cromperty
Wizard Distentor;Distendeur sorcier
Wizard Frumscone;Sorcier Frumscone
Wizard Grayzag;Assistant Grayzag
Wizard Mizgog;Magicien Mizgog
Wizard Sinina;Sorcier Sinina
Wolf;Loup
Wolfbone;Os de loup
Woman;Femme
Woman-at-arms (hard);Femme d'armes (dur)
Wood Dryad;Dryade des bois
Woodsman tutor;Professeur de bûcheron
Workman;Ouvrier
Wormbrain;Cerveau de ver
Wounded soldier;Soldat blessé
Wurbel;Würbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson le jardinier
Wyvern display;Exposition de wyverne
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Yak
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Directeur de Fortune Jaune
Yellow Fortune Secretary;Secrétaire de la Fortune Jaune
Yellow Sheep;Mouton jaune
Yellow Snow;Neige jaune
Yenrab;Yenrab
Yeti;Yéti
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Jeune
Young impling;Jeune putain
Youngllef;Jeune fille
Yrsa;Yrsa
Ysbeid;Ysbéid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf couine
Yuri;Youri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Artisan Zamorak
Zamorak mage;Mage Zamorak
Zamorak ranger;Ranger Zamorak
Zamorak warrior;Guerrier Zamorak
Zamorak wizard;Sorcier Zamorak
Zogre;Zogre
Zoja;Zoja
Zombie;Zombi
Zombie pirate;Pirate zombie
Zombie rat;Rat zombie
Zombie swab;Écouvillon zombie
Zombies Champion;Champion des zombies
Zombified Spawn;Apparition zombifiée
Zulrah;Zoulrah
Zygomite;Zygomite
