Follow;Suivre
Cut-foot;Pied coupé
Default quantity: 378;Quantité par défaut : 378
Withdraw-911;Retrait-911
Deposit-911;Dépôt-911
Deposit-200000;Dépôt-200000
Sand;Sable
Staves;Portées
S'occuper de;S'occuper de
Se reposer;Se reposer
Leurre;Leurre
Voir;Voir
Vider;Vider
Sell: 27 x Logs;Vendre : 27 x bûches
Verrouiller;Verrouiller
Add ignore TangledHob;Ajouter ignorer TangledHob
Add ignore TSwangin;Ajouter ignorer TSwangin
Default quantity: 200,000;Quantité par défaut : 200 000
Add friend TofuFlies;Ajouter un ami
Add friend TSwangin;Ajouter un ami
Add friend Thegravywavy;Ajouter un ami
Add friend Warmtalon56;Ajouter un ami
Add ignore Warmtalon56;Ajouter ignorer Warmtalon56
Add ignore T0x4;Ajouter ignorer T0x4
Add friend Vixivine;Ajouter un ami
Leave <col=ff8040>Pest Control</col> channel;Quitter le canal <col=ff8040>Contrôle antiparasitaire</col>
Add ignore SuGIMa Donk;Ajouter ignorer SuGIMa Donk
Add ignore SynPol;Ajouter ignorer SynPol
Add friend SynPol;Ajouter un ami
Add ignore SW4GN4R0K;Ajouter ignorer SW4GN4R0K
Add ignore Vixivine;Ajouter ignorer Vixivine
Add ignore Tora Cipha;Ajouter ignorer Tora Cipha
Add friend T0x4;Ajouter un ami T0x4
Add friend SW4GN4R0K;Ajouter un ami SW4GN4R0K
Add friend Tora Cipha;Ajouter un ami Tora Cipha
Add friend TangledHob;Ajouter un ami
Add friend SuGIMa Donk;Ajouter un ami
Add ignore Thegravywavy;Ajouter ignorer Thegravywavy
Add ignore TofuFlies;Ajouter ignorer TofuFlies
Ranged XP: 10 points;XP à distance : 10 points
Hitpoints XP: 10 points;Points de vie XP : 10 points
Hitpoints XP: 1 point;Points de vie XP : 1 point
Prayer XP: 100 points;XP de prière : 100 points
Ranged XP: 1 point;XP à distance : 1 point
Last-destination (BKR);Dernière destination (BKR)
Construire;Construire
Lancer;Lancier
Caresser;Caresseur
Voler à;Voler à
Chasser;Chasseur
Acheter;Acheter
No, don't leave.;Non, ne pars pas.
Expel members;Expulser des membres
Recruitment;Recrutement
Sell: 1 x Bronze axe;Vendre : 1 x hache en bronze
Check-keys;Clés de contrôle
Withdraw-59;Retrait-59
Deposit-59;Dépôt-59
Withdraw-82;Retrait-82
Deposit-49;Dépôt-49
Withdraw-34;Retrait-34
Withdraw-37;Retrait-37
Withdraw-49;Retrait-49
Default quantity: 49;Quantité par défaut : 49
Attraper;Attrapeur
Cueillir;Cueillir
Interagir;Interagir
Se faufiler;Se faufiler
Sell: 1 x Raw trout;Vendre : 1 x Truite crue
Supply;Fournir
Escort;Escorte
Objets de fêtes;Objets de fêtes
Utiliser le code;Utiliser le code
Exclaim;Exclamer
Unmorph;Démorpher
Question;Question
Survey;Enquête
Rejoindre;Rejoindre
Escalader;Escalader
Leave Tomb;Quitter le tombeau
Start-minigame;Démarrer le mini-jeu
Check for Snakes;Rechercher des serpents
Quick-leave;Départ rapide
Push-through;Passage direct
Quick-withdraw;Retrait rapide
Toggle-view;Basculer la vue
Recharge-prayer;Prière de recharge
Last-destination (DIS);Dernière destination (DIS)
Last-destination (BKP);Dernière destination (BKP)
Withdraw-51;Retrait-51
Deposit-60;Dépôt-60
Deposit-51;Dépôt-51
Withdraw-732;Retrait-732
Withdraw-636;Retrait-636
Withdraw-64;Retrait-64
Withdraw-60;Retrait-60
Deposit-732;Dépôt-732
À l'extérieur;À l'extérieur
Couper;Couper
Default quantity: 60;Quantité par défaut : 60
Deposit-236;Dépôt-236
DJR;DJR
Favourites;Favoris
AJR;AJR
CIR;CIR
CIS;CEI
Default quantity: 236;Quantité par défaut : 236
View List;Voir la liste
DIP;TREMPER
Last-destination (BKS);Dernière destination (BKS)
BKS;BKS
Buy: 1 x Tuna;Acheter: 1 x Thon
Deposit-2787;Dépôt-2787
Withdraw-2787;Retrait-2787
Default quantity: 2,787;Quantité par défaut : 2 787
Tirer;Tirer
