A Clam Shell;Une coquille de palourde
Potion shelves;Étagères à potions
Potions;Potions
Pots;Pots
Potted fern;Fougère en pot
Potted flower;Fleur en pot
Potted plant;Plante en pot
Potter's Wheel;Tour de potier
Potter's wheel;Tour de potier
Pottery Oven;Four à poterie
Powder Barrel;Baril de poudre
Power Grid;Réseau électrique
Power saw;Scie électrique
Precarious bridge;Pont précaire
Preparation Table;Tableau de préparation
Press support;Assistance presse
Pressure Barrel;Baril de pression
Pressure Lever;Levier de pression
Pressure machine;Machine à pression
Pressure pad;Coussin de pression
Priest Statue;Statue de prêtre
Prison Door;Porte de prison
Prison door;Porte de prison
Prison space;Espace carcéral
Private bank booth;Stand de banque privée
Private portal;Portail privé
Prize chest space;Espace de coffre
Professor's table;La table du professeur
Protest Banners;Bannières de protestation
Protest Poster;Affiche de protestation
Protruding rocks;Rochers saillants
Pump;Pompe
Pump and drain;Pompe et vidange
Pump and tub;Pompe et baignoire
Pylon;Pylône
Pyramid entrance;Entrée de la pyramide
Pyre boat;Bateau de bûcher
Pyre site;Site du bûcher
Pyromancer;Pyromancien
Quest List;Liste des quêtes
Quest list space;Espace liste de quêtes
Quiescent Snow Storm;Tempête de neige tranquille
Rabbit hole;Trou de lapin
Rabbit snare;piège à lapin
Rabbitless hole;Trou sans lapin
Rachel (Well);Rachel (Eh bien)
Rachel (ghastly!);Rachel (horrible !)
Rachel (sick);Rachel (malade)
Rachel (very sick);Rachel (très malade)
Rack;Étagère
Rack of barrels;Casier de barils
Raft;Radeau
Rail;Rail
Railing;Balustrade
Raised coffin;Cercueil surélevé
Ramp;Rampe
Range;Gamme
Range chimney;Cheminée de cuisinière
Ranging game space;Espace de jeu à distance
Ranging spot;Point de télémétrie
Ranis Drakan;Ranis Drakan
Rare Flowers;Fleurs rares
Rat;Rat
Rat Wall;Mur de rats
Rat barn;Étable à rats
Rat barrel;Baril de rat
Rat hole;Trou à rats
Rat lever;Levier à rats
Rat trap;Piège à rats
Rat wall;Mur de rats
Rat wheel;Roue à rats
Rat-hole;Trou à rat
Ray of Light;Rayon de Lumière
Recess;Récréation
Recruiting board;Tableau de recrutement
Red Banana Tree;Bananier rouge
Red Barrier;Barrière rouge
Red Castlewars armour;Armure rouge Castlewars
Red Flowers;Fleurs rouges
Red Star Fungi;Champignons étoile rouge
Red Water Sign;Signe d'eau rouge
Red banner;Bannière rouge
Red chemical;Produit chimique rouge
Red door;Porte rouge
Red flowers;Fleurs rouges
Red fungi;Champignons rouges
Red rose bush patch;Patch de rosier rouge
Redberry bush;Buisson de rouges
Redwood;Séquoia
Redwood birdhouse;Nichoir en séquoia
Redwood birdhouse (empty);Nichoir en séquoia (vide)
Redwood fence;Clôture en séquoia
Redwood fence post;Poteau de clôture en séquoia
Redwood tree;Séquoia
Redwood tree patch;Patch de séquoia
Reeds;Roseaux
Refinery;Raffinerie
Reinforced crate;Caisse renforcée
Reinitialisation Panel;Panneau de réinitialisation
Repair Locker;Casier de réparation
Repair bench;Banc de réparation
Repair space;Espace de réparation
Repaired Roof;Toit réparé
Repaired furnace;Four réparé
Repaired leak;Fuite réparée
Repaired wall;Mur réparé
Reset Lever;Levier de réinitialisation
Restraining Table;Table de retenue
Restraint Table;Tableau de retenue
Retorts;Cornues
Return Orb;Orbe de retour
Reward Chest;Coffre de récompense
Reward chest;Coffre de récompense
Reward pool;Pool de récompenses
Rewards Chest;Coffre de récompenses
Rewards chest;Coffre de récompenses
Rickety door;Porte branlante
Rift;Crevasse
Right side of a fireplace;Côté droit d'une cheminée
Ring of Stones;Anneau de pierres
Rinsing pool;Piscine de rinçage
Ripples;Ondulations
River;Rivière
Rock;Rocher
Rock Chair;Chaise rocheuse
Rock Formation;Formation rocheuse
Rock Formation (Depleted);Formation rocheuse (épuisée)
Rock Formation (Glowing);Formation rocheuse (brillante)
Rock Pile;Tas de roche
Rock and string;Rock et ficelle
Rock debris;Débris de roche
Rock of Dalgroth;Rocher de Dalgroth
Rock pile;Tas de pierres
Rock slide;Glissade rocheuse
Rock wall;Paroi rocheuse
Rockery;Rocaille
Rockfall;Chutes de pierres
Rocking chair;Fauteuil à bascule
Rocking unicorn;Licorne à bascule
Rockpile;Tas de roches
Rocks;Roches
Rockslide;Éboulement
Rocky Ledge;Rebord rocheux
Rocky handholds;Prises rocheuses
Rocky ledge;Rebord rocheux
Rocky outcrop;Éperon rocheux
Rocky shore;Rivage rocheux
Rocky support;Un soutien rocheux
Rocky surface;Surface rocheuse
Rocnar;Rocnar
Rolled up rug;Tapis enroulé
Rolled up rugs;Tapis enroulés
Rolling pin;Rouleau à pâtisserie
Roof;Toit
Roof Entrance;Entrée sur le toit
Roof Exit;Sortie de toit
Roof edge;Bordure de toit
Roof top beams;Poutres de toit
Rooftop Agility display;Affichage Agilité sur le toit
Root;Racine
Roots;Racines
Rope;Corde
Rope Ladder;Échelle de corde
Rope anchor;Ancre de corde
Rope bell-pull;Tire-cloche en corde
Rope bridge;Pont de corde
Rope bridge support;Support de pont de corde
Rope ladder;Échelle de corde
Rope swing;Balançoire à corde
Roped tree;Arbre en corde
Ropes;Cordes
Ropeswing;Balançoire à corde
Rose bush;Rosier
Rosebush;Rosier
Rosemary;Romarin
Roses;Roses
Rotten Apple Pile;Tas de pommes pourries
Rotten Totem pole;Totem pourri
Rotten Yommi;Yommi pourri
Rotten Yommi tree;Arbre Yommi pourri
Rotten carpet;Tapis pourri
Rotten food;Nourriture pourrie
Rotten sapling;Jeune arbre pourri
Rotten stump;Souche pourrie
Rotten village fence;Clôture de village pourrie
Rotting branch;Branche pourrie
Rotting log;Bûche pourrie
Rotting tree;Arbre pourri
Rough hewn steps;Des marches grossièrement taillées
Rough wall;Mur rugueux
Round shield;Bouclier rond
Row boat;Bateau à rames
Rowboat;Chaloupe
Rowboat space;Espace barque
Royal Wedding Invitation;Faire-part de mariage royal
Rubber cap mushroom;Champignon à capuchon en caoutchouc
Rubble;Décombres
Rubble Pile;Tas de décombres
Rug;Tapis
Rug space;Espace tapis
Ruined Pillar;Pilier en ruine
Ruined Stall;Étal en ruine
Ruined stall;Étal en ruine
Ruins;Ruines
Ruins Entrance;Entrée des ruines
Ruins Exit;Sortie des ruines
Rum Crate;Caisse de rhum
Rune Essence;Essence runique
Rune armour;Armure runique
Rune case space;Espace de cas de runes
Rune display case;Vitrine de runes
Rune dragon;Dragon runique
Rune essence;Essence runique
Rune pouches;Pochettes runiques
Rune temple sign;Signe du temple runique
Runecrafting altar;Autel de création de runes
Runic Altar;Autel runique
Runite Minor;Runite mineure
Runner trap(1);Piège à coureur(1)
Runner trap(2);Piège à coureur(2)
Rupert;Rupert
Ruptured cavern;Caverne brisée
Rusted anvil;Enclume rouillée
Rusty key;Clé rouillée
S.T.A.S.H chart;Graphique S.T.A.S.H
STASH (beginner);STASH (débutant)
STASH (easy);STASH (facile)
STASH (elite);STASH (élite)
STASH (hard);STASH (dur)
STASH (master);STASH (maître)
STASH (medium);STASH (moyen)
Sabertooth Squirrel;Écureuil à dents de sabre
Sack;Sac
Sack Pile;Pile de sacs
Sack pile;Pile de sacs
Sacks;Sacs
Sacred Bone Burner;Brûleur d'os sacré
Sacred Forge;Forge sacrée
Sacred water;Eau sacrée
Sacrificial Pyre;Bûcher sacrificiel
Sacrificial boat;Bateau sacrificiel
Safe;Sûr
Sail;Naviguer
Sailfish;Voilier
Sails;Voiles
Saltpetre;Salpêtre
Salve Graveyard Portal;Portail du cimetière de Salve
Sample table;Exemple de tableau
Sand;Sable
Sand pile;Tas de sable
Sand pit;Bac à sable
Sandpit;Bac à sable
Sandworm castings;Moulages de vers des sables
Sandy's Coffee Mug;Tasse à café de Sandy
Sandy's Desk;Le bureau de Sandy
Sapling;Jeune arbre
Sarachnis display;Exposition Sarachnis
Saradomin Brazier;Brasero Saradomin
Saradomin Portal;Portail Saradomin
Saradomin Standard;Norme Saradomin
Saradomin altar;Autel de Saradomin
Saradomin staff;Personnel de Saradomin
Saradomin star;Étoile de Saradomin
Sarah (Well);Sarah (Eh bien)
Sarah (ghastly!);Sarah (horrible !)
Sarah (sick!);Sarah (malade !)
Sarah (very sick!);Sarah (très malade !)
Sarcophagus;Sarcophage
Saucepan;Casserole
Scaffold;Échafaud
Scaffolding;Échafaudage
Scarecrow;Épouvantail
Scaregull;Épouvantail
Schematic crate;Caisse schématique
Scimitar Stall;Étal de cimeterre
Scorched earth;Terre brûlée
Score board;Tableau de scores
Scoreboard;Tableau de bord
Scrapey Bark Sign;Signe d’écorce grattante
Scrapey Tree;Arbre grattant
Scratching post space;Espace griffoir
Scrawled note;Note griffonnée
Screen;Écran
Scroll;Rouleau
Scroll rack;Support de défilement
Scroll table;Tableau déroulant
Scrolls;Parchemins
Scrying orb;Orbe de divination
Scrying pool;Bassin de divination
Sculpture;Sculpture
Scuttle;Saborder
Seal of Amlodd;Sceau d'Amlodd
Seal of Cadarn;Sceau de Cadarn
Seal of Crwys;Sceau de Crwys
Seal of Hefin;Sceau d'Héfin
Seal of Iorwerth;Sceau d'Iorwerth
Seal of Ithell;Sceau d'Ithell
Seal of Meilyr;Sceau de Meilyr
Seal of Trahaearn;Sceau de Trahaearn
Seal of the Forgotten;Sceau des Oubliés
Seating space;Espace salon
Seaweed;Algue
Seaweed Pile;Tas d'algues
Seaweed patch;Patch d'algues
Secret Door;Porte secrète
Secret entrance;Entrée secrète
Secure chest;Coffre sécurisé
Security Barrier;Barrière de sécurité
Seed Stall;Étal de semences
Seed table;Tableau des semences
Seed vault;Chambre forte à semences
Seers weathervane;Girouette de voyant
Seers' Village Portal;Portail du Village des Voyants
Senntisten Portal;Portail Senntisten
Septic tendrils;Vrilles septiques
Servant's moneybag;Sac d'argent du serviteur
Seven;Sept
Sewer pipe;Tuyau d'égout
Sewer valve;Vanne d'égout
Sewing machine;Machine à coudre
Shackle table;Table à manilles
Shadow crystal;Cristal d'ombre
Shadow root;Racine d'ombre
Shaking box;Boîte à secousses
Shantay pass;Col Shantay
Shape puzzle;Casse-tête de forme
Shark Beast;Bête Requin
Shark head;Tête de requin
Shattered rockface;Paroi rocheuse brisée
Shaving stand;Support de rasage
Shayzien banner;Bannière Shayzien
Shayzien snapped banner;Shayzien a cassé la bannière
Shayzien statue;Statue Shayzien
Shelf;Étagère
Shelf of thread;Étagère de fil
Shelf space;Espace d'étagère
Shell;Coquille
Shelves;Étagères
Shelves space;Espace étagères
Shield;Bouclier
Shield Display;Affichage du bouclier
Shield display;Affichage du bouclier
Shimmering barrier;Barrière scintillante
Shimmering field;Champ chatoyant
Shining pool;Piscine brillante
Ship;Bateau
Ship hull;Coque de navire
Ship's ladder;Échelle de navire
Ship's wheel;Gouvernail de navire
Shoe box;Boîte à chaussures
Shooting Star Noticeboard;Tableau d'affichage des étoiles filantes
Shop Counter;Comptoir de magasin
Shop counter;Comptoir de magasin
Short Plant;Plante courte
Short fence;Clôture courte
Short planks;Planches courtes
Shortcut;Raccourci
Shot;Tir
Shrine;Tombeau
Shrivelled plant;Plante ratatinée
Shuttered window;Fenêtre à volets
Sickle logo;Logo faucille
Sign;Signe
Sign post;Poteau de signalisation
Signpost;Poteau indicateur
Silk stall;Étal de soie
Silver Chest;Coffre d'argent
Silver stall;Étal d'argent
Silverlight;Lumière argentée
Simple lockbox;Coffret simple
Simple stove;Poêle simple
Sinclair family beehive;Ruche de la famille Sinclair
Sinclair family compost heap;Tas de compost de la famille Sinclair
Sinclair family crest;Blason de la famille Sinclair
Sinclair family fountain;Fontaine de la famille Sinclair
Sinclair mansion drain;Drain du manoir Sinclair
Singing Bowl;Bol chantant
Singing bowl;Bol chantant
Single pillar;Pilier unique
Sinister barrel;Baril sinistre
Sink;Couler
Sink space;Espace évier
Sir Amik Varze;Monsieur Amik Varze
Sir Bedivere;Monsieur Bédivère
Sir Lancelot;Monsieur Lancelot
Sir Lucan;Monsieur Lucan
Sir Palomedes;Monsieur Palomède
Sir Tristram;Monsieur Tristram
Sithik Ints;Sithik Ints
Six;Six
Skeleton;Squelette
Skotizo Topiary;Topiaire Skotizo
Skotizo display;Présentoir Skotizo
Skrach Uglogwee;Skrach Uglogwee
Skroom;Skroom
Skull;Crâne
Skull slope;Pente du crâne
Skulls;Crânes
Skullshield;Bouclier crânien
Slab;Dalle
Slashed Bush;Buisson coupé
Slashed bush;Buisson coupé
Slashed tapestry;Tapisserie lacérée
Slashed web;Toile coupée
Slave;Esclave
Slayer Helmet display case;Vitrine de casque Slayer
Slayer's Respite;Le répit du tueur
Sleeping bag;Sac de couchage
Sliced web;Toile tranchée
Slight indentations;Légères empreintes
Slightly broken bridge;Pont légèrement cassé
Slightly dark crystal;Cristal légèrement foncé
Slimy pillars;Piliers visqueux
Slimy residue;Résidu visqueux
Slimy water;Eau visqueuse
Slope;Pente
Slope end;Fin de pente
Slug goo;Limace gluante
Sluice Gate;Écluse
Small Boulder;Petit rocher
Small Fossil Display;Petit présentoir de fossiles
Small Geyser;Petit geyser
Small Oven;Petit four
Small Plant space 1;Espace petite plante 1
Small Plant space 2;Espace petite plante 2
Small Table;Petite table
Small bush;Petit buisson
Small chest;Petit coffre
Small crystals;Petits cristaux
Small fern;Petite fougère
Small fountain;Petite fontaine
Small furnace;Petit four
Small gravestone;Petite pierre tombale
Small orrery;Petit planétaire
Small oven;Petit four
Small plant;Petite plante
Small plant 2;Petite plante 2
Small rock;Petit rocher
Small storage unit;Petit meuble de rangement
Small table;Petite table
Small vase;Petit vase
Smashed cage;Cage brisée
Smashed chair;Chaise brisée
Smashed table;Table brisée
Smashed window;Fenêtre brisée
Smelly hole;Trou malodorant
Smelly mushroom;Champignon malodorant
Smoke;Fumée
Smoke Crystal;Cristal de fumée
Smokey well;Bien fumé
Smoking vent;Évent pour fumer
Smoky cave;Grotte enfumée
Snake;Serpent
Snape grass plant;Plante d'herbe Snape
Snape grass seedling;Semis d'herbe Snape
Snow;Neige
Snow drift;Congère
Snow jump;Saut de neige
Snowdrop patch;Patch perce-neige
Snowdrops;Perce-neige
Snowfall;Chute de neige
Snowy bird hide;Peau d'oiseau enneigé
Sofa;Canapé
Soil;Sol
Soil patch;Terrain de sol
Soldier;Soldat
Solid black door;Porte noire solide
Solid bronze door;Porte en bronze massif
Solid gold door;Porte en or massif
Solid silver door;Porte en argent massif
Solid steel door;Porte en acier massif
Soul Altar;Autel de l'âme
Soul Devourer;Dévoreur d'âme
Soul Obelisk;Obélisque de l'âme
Soul Wars Portal;Portail Soul Wars
Soul boat;Bateau d'âme
Soul rift;Faille de l'âme
Space;Espace
Spade;Bêche
Sparkling pool;Piscine étincelante
Spear wall;Mur de lance
Speartrap;Lance-lance
Specimen;Spécimen
Specimen table;Tableau des spécimens
Specimen tray;Plateau à échantillons
Sphinx;Sphinx
Spice Rack;Étagère à épices
Spice stall;Étal d'épices
Spider eggs;Oeufs d'araignée
Spiders' nest;Nid d'araignées
Spiderwebs;Toiles d'araignées
Spike defence;Défense de pointe
Spike hidden;Spike caché
Spike trap;Piège à pointes
Spiked pit;Fosse à pointes
Spikes;Pointes
Spikey chain;Chaîne à pointes
Spin Blades;Lames rotatives
Spine mushroom;Champignon de la colonne vertébrale
Spinning Machine;Machine à filer
Spinning Wheel;Rouet
Spinning blades;Lames tournantes
Spinning light;Lumière tournante
Spinning pipe;Tuyau tournant
Spinning pole;Canne à filer
Spinning wheel;Rouet
Spiny bush;Buisson épineux
Spirit Angler dock;Quai Spirit Angler
Spirit Angler stats;Statistiques de Spirit Angler
Spirit Tree;Arbre spirituel
Spirit Tree Patch;Patch d'arbre spirituel
Spirit Tree Stump;Souche d'arbre spirituel
Spirit pump;Pompe à alcool
Spirit tendrils;Vrilles spirituelles
Spirit tree;Arbre spirituel
Spiritual Fairy Tree;Arbre de fée spirituel
Spit roast;Rôti à la broche
Spooky picture;Image effrayante
Spooky stairs;Escaliers effrayants
Spore;Spore
Spork;Cuillère
Spotlight;Mettre en lumière
Spray;Pulvérisation
Sprouting Roots;Racines germées
Sq'irk tree;Arbre Squ'irk
Square shield;Bouclier carré
Stacked Boxes;Boîtes empilées
Stacked barrels;Barils empilés
Stacked crates;Caisses empilées
Staff barrel;Canon de bâton
Staff of Bob the Cat;Bâton de Bob le chat
Stagnant Lake;Lac stagnant
Stagnant fish display;Exposition de poissons stagnants
Stained-glass window;Vitrail
Stair Space;Espace d'escalier
Staircase;Escalier
Stairs;Escaliers
Stairs down;Descendez les escaliers
Stairs up;Monter les escaliers
Stairwell;Cage d'escalier
Stalactite;Stalactite
Stalagmite;Stalagmite
Stalagmites;Stalagmites
Stall;Décrochage
Stand;Rester
Standard;Standard
Standard Stand;Support standard
Standing Torch;Torche debout
Standing spears;Lances debout
Standing stone;Pierre dressée
Standing torch;Torche debout
Star chart;Carte du ciel
Start;Commencer
Statue;Statue
Statue Plinth;Socle de statue
Statue Space;Espace des statues
Statue of Baxtorian;Statue de Baxtorien
Statue of Glarial;Statue de Glarial
Statue of Guthix;Statue de Guthix
Statue of Saradomin;Statue de Saradomin
Statue of Zamorak;Statue de Zamorak
Statue of a king;Statue d'un roi
Statue of a queen;Statue d'une reine
Statue of a warrior;Statue d'un guerrier
Statue plinth;Socle de statue
Statue space;Espace statues
Statue steps;Marches de la statue
Statue with key;Statue avec clé
Statuette Plinth;Socle de statuette
Statuette in alcove;Statuette en alcôve
Steam Generator;Générateur de vapeur
Steam Pump;Pompe à vapeur
Steam Vent;Évent de vapeur
Steam generator;Générateur de vapeur
Steam press;Presse à vapeur
Steam_Pump;Pompe_vapeur
Steel Chest;Coffre en acier
Steel cage;Cage en acier
Steel dragon;Dragon d'acier
Steel range;Gamme acier
Steep roof;Toit raide
Steeple;Clocher
Stepladder;Escabeau
Stepping Stone;Tremplin
Stepping log;Journal de pas
Stepping stone;Tremplin
Stepping stones;Tremplins
Steps;Mesures
Stick;Bâton
Stick and hoop;Bâton et cerceau
Sticks;Bâtons
Stile;Montant
Stinking tendrils;Vrilles puantes
Stocks;Actions
Stone;Pierre
Stone Door;Porte en pierre
Stone Gate;Porte en pierre
Stone Ladder;Échelle de pierre
Stone Mechanism;Mécanisme de pierre
Stone Pew;Banc de pierre
Stone Pile;Tas de pierre
Stone Plinth;Socle en pierre
Stone Relief;Soulagement de pierre
Stone Staircase;Escalier en pierre
Stone Tablet;Tablette de pierre
Stone arch;Arche en pierre
Stone block;Bloc de pierre
Stone bridge;Pont de pierre
Stone chest;Coffre en pierre
Stone circle wall;Mur de cercle de pierre
Stone crate;Caisse en pierre
Stone crusher;Concasseur de pierre
Stone door;Porte en pierre
Stone ladder;Échelle de pierre
Stone pedestal;Piédestal en pierre
Stone pool;Piscine en pierre
Stone signpost;Panneau en pierre
Stone space;Espace pierre
Stone stand;Support en pierre
Stone table;Table en pierre
Stone tablet;Tablette de pierre
Stone wall;Mur de pierre
Stones;Pierres
Stool;Tabouret
Stool hotspot;Point chaud des selles
Stop!;Arrêt!
Storage crate;Caisse de stockage
Storage shelves;Étagères de rangement
Storage space;Espace de stockage
Storage unit;Unité de stockage
Storeroom Door;Porte du cellier
Stormram;Stormram
Stove;Poêle
Stove space;Espace poêle
Strange Banana Tree;Étrange bananier
Strange Bells;Cloches étranges
Strange Egg;Oeuf étrange
Strange Machine;Étrange machine
Strange Shell;Coquille étrange
Strange Tile;Tuile étrange
Strange altar;Étrange autel
Strange blocks;Des blocs étranges
Strange floor;Sol étrange
Strange grid;Étrange grille
Strange hole;Trou étrange
Strange looking stone;Pierre d'apparence étrange
Strange machine;Étrange machine
Strange passage;Passage étrange
Strange plant;Plante étrange
Strange pool;Piscine étrange
Strange shrine;Étrange sanctuaire
Strange stone;Pierre étrange
Strange wall;Mur étrange
Strategy table;Tableau de stratégie
Strawberry;Fraise
Strawberry plant;Fraisier
Strawberry seed;Graine de fraise
Streak info;Informations sur la séquence
Stretcher;Tendeur
Strong Tree;Arbre fort
Strong Yew;If fort
Stronghold;Bastion
Structural pillar;Pilier structurel
Strut;Se pavaner
Studded Leather;Cuir clouté
Students' art;L'art des étudiants
Study Desk;Bureau d'étude
Study desk;Bureau d'étude
Stuffed swordfish;Espadon farci
Stump;Souche
Stump chair;Chaise de souche
Sturdy door;Porte robuste
Sturdy wooden gate;Portail en bois robuste
Suit of Armour;Armure
Suit of armour;Armure
Sulliuscep;Sulliuscep
Sulliuscep sprout;Germe de Sulliuscep
Sulphur;Soufre
Sulphur Vent;Évent de soufre
Sulphur vent;Évent de soufre
Sunflower;Tournesol
Sunflowers;Tournesols
Sunken rowboat;Chaloupe coulée
Super magic potion;Potion super magique
Super ranging potion;Potion super variée
Supermajority marker;Marqueur de majorité qualifiée
Supplies;Fournitures
Supply chest;Coffre de ravitaillement
Support;Soutien
Supporting Pillar;Pilier de soutien
Suspicious footprints;Empreintes suspectes
Swamp;Marais
Swamp Boaty;Bateau des marais
Swamp bubbles;Bulles de marais
Swamp paste;Pâte de marais
Swamp tree;Arbre des marais
Swamp tree branch;Branche d'arbre des marais
Swampy lamp;Lampe marécageuse
Swampy sink;Évier marécageux
Swaying tree;Arbre qui se balance
Sweet;Doux
Sweetcorn;Maïs doux
Sweetcorn plant;Usine de maïs doux
Sweetcorn seed;Graine de maïs doux
Sweetgrub Mound;Monticule de larves sucrées
Sweetgrub Sign;Panneau Sweetgrub
Sweets;Bonbons
Swings;Oscillations
Switch;Changer
Sword cabinet;Armoire à épées
Sword case;Étui à épée
Sword in stone;Épée en pierre
Sword space;Espace épée
Swords;Épées
Swordshop Sign;Enseigne de l'atelier d'épée
Symbol;Symbole
Symbol of Guthix;Symbole de Guthix
Symbol of Saradomin;Symbole de Saradomin
Symbol of Zamorak;Symbole de Zamorak
Symbol of life;Symbole de vie
Table;Tableau
Table and till;Table et caisse
Table blockade;Blocus des tables
Table hotspot;Point chaud du tableau
Table parts;Pièces de tableau
Table saw;Scie à table
Table space;Espace table
Tactical map frame;Cadre de carte tactique
Tailor's materials;Matériel de tailleur
Tall Plant;Plante haute
Tall Reeds;Grands roseaux
Tall mirror;Grand miroir
Tall tree;Grand arbre
Tall vine;Vigne haute
Tangle hidden;Enchevêtrement caché
Tangle vine;Vigne enchevêtrée
Tanning Barrel;Tonneau de bronzage
Tanning line;Ligne de bronzage
Tap;Robinet
Tapestry;Tapisserie
Tar Barrel;Baril de goudron
Tar Thing;Chose de goudron
Tar barrel;Baril de goudron
Tar buckets;Seaux à goudron
Target;Cible
Tchiki Monkey Nut Bush;Buisson de noix de singe Tchiki
Te salt;Le sel
Tea stall;Stand de thé
Teak;Teck
Teak Tree;Arbre en teck
Teak bench;Banc en teck
Teak birdhouse;Nichoir en teck
Teak birdhouse (empty);Nichoir en teck (vide)
Teak cape rack;Porte-cape en teck
Teak chest;Coffre en teck
Teak drawers;Tiroirs en teck
Teak feeder;Mangeoire en teck
Teak house;Maison en teck
Teak prize chest;Coffre en teck
Teak scratching post;Arbre à chat en teck
Teak table;Table en teck
Teak wall decoration;Décoration murale en teck
Teak wardrobe;Armoire en teck
Telekinetic Teleport;Téléportation télékinésique
Teleport Platform;Plateforme de téléportation
Teleport crystal;Cristal de téléportation
Teleport hidden;Téléportation cachée
Teleport space;Espace de téléportation
Teleport trap;Piège de téléportation
Teleportation Device;Appareil de téléportation
Teleportation focus;Objectif de téléportation
Telescope;Télescope
Telescope space;Espace télescope
Temp Stone 4 Zip;Temp Stone 4 Zip
Temperature gauge;Jauge de température
Temple Door;Porte du Temple
Temple door;Porte du temple
Temple wall;Mur du temple
Ten;Dix
Tendrils;Vrilles
Tent;Tente
Tent door;Porte de tente
Tent flap;Rabat de tente
Tent pole;Poteau de tente
Tent roof;Toit de tente
Tent wall;Mur de tente
Terminal;Terminal
Terror Snail;Escargot de terreur
Thana;Thana
The Cloister Bell;La cloche du cloître
The Font of Consumption;La source de la consommation
The Gauntlet;Le gantelet
The Great Expedition;La grande expédition
The Grotesque Guardians' display;L'exposition des Gardiens Grotesques
The Inferno;L'enfer
The Jormungand;Le Jörmungand
The Maiden of Sugadinti;La jeune fille de Sugadinti
The Sheared Ram;Le bélier tondu
The jury;Le jury
The middle of a fireplace;Au milieu d'une cheminée
Theatre of Blood;Théâtre du Sang
Theme space;Espace thématique
Thermonuclear Smoke Devil Display;Affichage du diable de fumée thermonucléaire
Thick Web;Toile épaisse
Thick vine;Vigne épaisse
Thick vines;Vignes épaisses
Thingymajig;Chosemajig
Thistle;Chardon
Thorns;Épines
Thorny bushes;Buissons épineux
Three;Trois
Throne;Trône
Throne Room Door;Porte de la salle du trône
Throne of Weiss;Trône de Weiss
Throne space;Espace du trône
Ticket Dispenser;Distributeur de billets
Tight Gap;Écart serré
Tight-gap;Écart serré
Tightrope;Corde raide
Tile;Tuile
Till;Jusqu'à
Timber;Bois
Timber defence;Défense du bois
Timeline;Chronologie
Tin bath;Bain d'étain
Tiny storage unit;Petit meuble de rangement
Tip jar;Pot à pourboires
Tip jar space;Espace pour les pots à pourboires
Tithe patch;Patch de dîme
Toadstool;Champignon vénéneux
Toadstools;Champignons vénéneux
Tok-Xil;Tok-Xil
Tomato;Tomate
Tomato plant;Plant de tomate
Tomb;Tombeau
Tomb Door;Porte du tombeau
Tomb dolmen;Dolmen funéraire
Tomb doors;Portes des tombes
Tomb exit;Sortie du tombeau
Tombstone;Pierre tombale
Tool Storage;Rangement des outils
Tool space;Espace outil
Tools;Outils
Topiary bush;Buisson topiaire
Topiary space;Espace topiaire
Torch;Torche
Torture Rack;Support de torture
Totem;Totem
Totem Pole;Mât totémique
Totem pole;Mât totémique
Tower;Tour
Tower door;Porte de la tour
Tower ladder;Échelle de tour
Toy Stall;Étal de jouets
Toy box;Coffre à jouets
Toy box space;Espace coffre à jouets
Toy bricks;Briques jouets
Toy corner;Coin jouets
Toy range;Gamme de jouets
Toy sink;Évier jouet
Toy table;Table à jouets
Toy weapons;Armes jouets
Track;Piste
Track support;Suivre l'assistance
Tracks;Pistes
Trahaearn Banner;Bannière Trahaearn
Trailblazer globe;Globe pionnier
Trailblazer rug;Tapis pionnier
Train cart;Chariot de train
Training dummy;Mannequin de formation
Transport platform;Plateforme de transport
Trap;Piège
Trap Door;Trappe
Trap bypass;Contournement du piège
Trap space;Espace piège
Trapdoor;Trappe
Trapdoor space;Espace trappe
Trapdoor table;Table à trappe
Trapdoor tunnel;Tunnel à trappe
Trashed Patch;Patch détruit
Travel cart;Chariot de voyage
Trawler net;Filet de chalutier
Treadmill;Tapis roulant
Treasure Hunt Fairy House;Maison de fée de chasse au trésor
Treasure Trail Statistics;Statistiques de la piste au trésor
Treasure chest;Coffre au trésor
Treasure chest space;Espace coffre au trésor
Treasure room;Salle du trésor
Treasure space;Espace trésor
Treated patch;Patch traité
Trebuchet;Trébuchet
Tree;Arbre
Tree Door;Porte d'arbre
Tree Stump;Souche d'arbre
Tree branch;Branche d'arbre
Tree patch;Carré d'arbre
Tree space;Espace arbre
Tree stump;Souche d'arbre
Tree trunk;Tronc d'arbre
Trellis;Treillis
Trellis top;Dessus en treillis
Tribal Statue;Statue tribale
Tribal statue;Statue tribale
Trimmed Yommi;Yommi paré
Tripwire;Fil-piège
Troll;Troll
Troll Stew;Ragoût de troll
Troll Stronghold Portal;Portail de la Forteresse des Trolls
Troll ladder;Échelle de troll
Trolley;Chariot
Trophy case space;Espace pour la mallette à trophées
Trophy pedestal;Piédestal de trophée
Tropical Leaves;Feuilles tropicales
Tropical leaves;Feuilles tropicales
Tropical tree;Arbre tropical
Trough;Creux
Trumpet;Trompette
Trunk;Tronc
Tube;Tube
Tulips;Tulipes
Tunnel;Tunnel
Tunnel entrance;Entrée du tunnel
Tunnel roof;Toit du tunnel
Tunnel wall;Paroi du tunnel
Twigs;Brindilles
Twisted Bow;Arc torsadé
Twisted Crate;Caisse tordue
Twisted bush;Buisson tordu
Two;Deux
