'perfect' gold bar;"perfekt" guldtacka
Steel hasta(p);Stål hasta(p)
Steel heraldic helm;Heraldiskt rod i stål
Steel halberd;Stål hellebard
Steel hasta(kp);Stål hasta(kp)
Steel hasta;Stål hasta
Steel javelin;Spjut i stål
Steel gold-trimmed set (sk);Stål guldkantad set (sk)
Steel hasta(p+);Stål hasta(p+)
Steel hasta(p++);Stål hasta(p++)
Steel javelin heads;Spjuthuvud i stål
Steel javelin(p);Stålspjut(p)
Steel key black;Stålnyckel svart
Steel key purple;Stålnyckel lila
Steel key brown;Stålnyckel brun
Steel key ring;Nyckelring i stål
Steel javelin(p+);Stålspjut(p+)
Steel javelin(p++);Stålspjut(p++)
Steel key;Nyckel i stål
Steel key red;Stålnyckel röd
Steel key crimson;Stålnyckel crimson
Steel kiteshield;Draksköld i stål
Steel knife(p);Stålkniv (p)
Steel locks;Stållås
Steel longsword;Långsvärd av stål
Steel knife(p++);Stålkniv (p++)
Steel limbs;Stållemmar
Steel kiteshield (t);Draksköld i stål (t)
Steel knife(p+);Stålkniv (p+)
Steel kiteshield (g);Draksköld i stål (g)
Steel knife;Stålkniv
Steel mace;Stålblomma
Steel platebody (t);Stålplåt (t)
Steel pick head;Plockhuvud i stål
Steel pickaxe;Plocka i stål
Steel nails;Stålspik
Steel platelegs;Plattben av stål
Steel med helm;Stål med rodret
Steel platebody;Plåtkropp av stål
Steel platebody (g);Stålplatta (g)
Steel platelegs (g);Stålplåtben (g)
Steel range;Stålsortiment
Steel plateskirt;Plåtkjol i stål
Steel scimitar;Scimitar i stål
Steel plateskirt (g);Stålplåtskjol (g)
Steel plateskirt (t);Stålplåtskjol (t)
Steel spear;Stålspjut
Steel set (sk);Stålsats (sk)
Steel set (lg);Stålsats (lg)
Steel spear(kp);Stålspjut (kp)
Steel platelegs (t);Stålplåtben (t)
Steel spear(p);Stålspjut(p)
Steel spear(p+);Stålspjut(p+)
Steel thrownaxe;Kastax i stål
Steel spear(p++);Stålspjut(p++)
Steel torches;Facklor i stål
Steel studs;Dubbar i stål
Steel sword;Stålsvärd
Steel sq shield;Stål sq sköld
Steel trimmed set (sk);Ståltrimmat set (sk)
Steel trimmed set (lg);Ståltrimmat set (lg)
Sticky red goop;Klibbig röd goop
Stolen circlet;Stulen cirkel
Steel warhammer;Warhammer i stål
Stick;Stick
Stodgy mattress;Stodgy madrass
Stew;Gryta
Steel-plated door;Stålpläterad dörr
Stethoscope;Stetoskop
Stinkhorn mushroom;Stinkhornssvamp
Stolen family heirloom;Stulen familjens arvegods
Stone ball;Stenkula
Stolen jewelry box;Stulen smyckeskrin
Stone right arm;Sten höger arm
Stolen pendant;Stulet hänge
Stolen garnet ring;Stulen granatring
Stone left arm;Sten vänster arm
Stone head;Stenhuvud
Stone left leg;Sten vänster ben
Stone bowl;Sten skål
Stone fireplace;Sten spis
Stony basalt;Stenig basalt
Stone scarab;Sten skarabé
Stone right leg;Sten höger ben
Stone-plaque;Sten-plakett
Storeroom key;Förrådsnyckel
Stone wall;Stenmur
Stone seal;Sten sigill
Stone tablet;Stentavla
Stool;Pall
Stone statuette;Sten statyett
Strange box;Konstig låda
Strange book;Konstig bok
Strange potion;Konstig dryck
Strange old lockpick (full);Konstig gammal lockpick (full)
Strange hallowed tome;Konstigt helgad tome
Strange object;Konstigt föremål
Strange device;Konstig apparat
Strange implement;Konstigt redskap
Strange old lockpick;Konstig gammal lockpick
Strange fruit;Konstig frukt
Strawberries(5);Jordgubbar (5)
Strawberry seed;Jordgubbsfrö
Strawberries(2);Jordgubbar (2)
Strawberry;Jordgubbe
Strength amulet (t);Styrkeamulett (t)
Strange skull;Konstig skalle
Strawberries(3);Jordgubbar(3)
Strawberries(1);Jordgubbar (1)
Strength cape;Styrka cape
Strawberries(4);Jordgubbar (4)
Strength potion(1);Styrkedryck(1)
Strength mix(1);Styrkemix(1)
Strength potion(3);Styrkedryck(3)
Strength cape(t);Styrka cape(t)
Strength mix(2);Styrkemix(2)
Strength potion(4);Styrkedryck(4)
Strip of cloth;Remsa av tyg
Stretched hide;Sträckt skinn
Strength hood;Styrka huva
Strength potion(2);Styrkedryck(2)
Studded chaps;Dubbade käkar
Stripy pirate shirt;Randig piratskjorta
Strung rabbit foot;Strängd kaninfot
Studded body (g);Dubbad kropp (g)
Stronghold notes;Högsta anteckningar
Stripy feather;Randig fjäder
Studded body;Dubbad kropp
Studded chaps (g);Dubbade käkar (g)
Studded chaps (t);Dubbade käkar (t)
Studded body (t);Dubbad kropp (t)
Stuffed hydra heads;Fyllda hydrahuvuden
Stuffed abyssal head;Uppstoppat avgrundshuvud
Stuffed big swordfish;Uppstoppad stor svärdfisk
Stuffed basilisk head;Fyllt basiliskhuvud
Stuffed big shark;Uppstoppad storhaj
Study;Studera
Stuffed big harpoonfish;Uppstoppad stor harpunfisk
Stuffed cockatrice head;Fyllt cockatrice-huvud
Stuffed big bass;Fylld stor bas
Stuffed crawling hand;Uppstoppad krypande hand
Stuffed snake;Uppstoppad orm
Sturdy boots;Rejäla stövlar
Stuffed kbd heads;Fyllda kbd-huvuden
Stuffed kq head;Fyllt kq-huvud
Suit of armour;rustning
Stuffed kq head (tattered);Fyllt kq-huvud (skavt)
Stuffed monkey;Uppstoppad apa
Stuffed kurask head;Fyllt kuraskhuvud
Sulliuscep cap;Sulliuscep keps
Sulphur;Svavel
Summer pie;Sommarpaj
Sulphurous fertiliser;Svavelhaltigt gödselmedel
Summer sq'irkjuice;Sommar sq'irkjuice
Super antifire mix(1);Super brandskyddsblandning (1)
Sulphur lizard;Svavelödla
Sulphuric broline;Svavelhaltig brolin
Summer sq'irk;Sommar sq'irk
Summer garden;Sommar trädgård
Sunflower;Solros
Super antifire mix(2);Super brandskyddsblandning (2)
Super antifire potion(3);Super brandskyddsdryck(3)
Super attack(1);Superattack(1)
Super antifire potion(1);Superbranddämpande dryck(1)
Super attack(4);Superattack(4)
Super combat potion(1);Super stridsdryck(1)
Super antifire potion(4);Super brandskyddsdryck(4)
Super antifire potion(2);Super brandskyddsdryck(2)
Super attack(3);Superattack(3)
Super combat potion(2);Superstridsdryck(2)
Super attack(2);Superattack(2)
Super combat potion(4);Super stridsdryck(4)
Super def. mix(2);Super def. blanda(2)
Super combat potion(3);Super stridsdryck(3)
Super energy mix(2);Super energimix(2)
Super defence(1);Superförsvar (1)
Super defence(4);Superförsvar (4)
Super energy mix(1);Super energimix(1)
Super def. mix(1);Super def. blanda(1)
Super defence(2);Superförsvar (2)
Super defence(3);Superförsvar (3)
Super energy(2);Superenergi(2)
Super magic potion (4);Super trolldryck (4)
Super energy(3);Superenergi(3)
Super magic potion (1);Super trolldryck (1)
Super potion set;Superdrycksset
Super magic potion (3);Super trolldryck (3)
Super magic potion (2);Super trolldryck (2)
Super energy(4);Superenergi(4)
Super energy(1);Superenergi(1)
Super kebab;Super kebab
Super ranging (2);Superspännande (2)
Super restore(2);Superrestore(2)
Super restore mix(2);Superrestore mix(2)
Super restore mix(1);Superrestore mix(1)
Super restore(4);Superrestore(4)
Super ranging (4);Superavstånd (4)
Super ranging (3);Superspännande (3)
Super restore(1);Superrestore(1)
Super restore(3);Superrestore(3)
Super ranging (1);Superspännande (1)
Super str. mix(2);Super str. blanda(2)
Superantipoison(2);Superantigift(2)
Super strength(4);Superstyrka(4)
Super strength(1);Superstyrka(1)
Super strength(3);Superstyrka(3)
Super strength(2);Superstyrka(2)
Superantipoison(1);Superantigift(1)
Super str. mix(1);Super str. blanda(1)
Superantipoison(3);Superantigift(3)
Superantipoison(4);Superantigift(4)
Superattack mix(1);Superattack mix(1)
Superior garden;Överlägsen trädgård
Suqah hide;Suqah gömma sig
Supercompost;Superkompost
Superattack mix(2);Superattack mix(2)
Superior dragon bonemeal;Överlägsen drakbenmjöl
Supply crate;Tillförsellåda
Suphi fish (1);Suphi fisk (1)
Superior dragon bones;Överlägsna drakben
Superior mining gloves;Överlägsna gruvhandskar
Swamp cave bug;Träskgrottan bugg
Swamp cave slime;Träskgrottsslem
Suqah monster;Suqah monster
Swamp paste;Träskpasta
Sven's last map;Svens sista karta
Swamp lizard;Träsködla
Survival token;Överlevnadstoken
Surok's letter;Suroks brev
Suqah leather;Suqah läder
Suqah tooth;Suqah tand
Swampbark gauntlets;Swampbark-handskar
Swamp weed;träsk ogräs
Swamp toad;Träskpadda
Swarm;Svärm
Swampbark body;Swampbark kropp
Swampbark helm;Swampbark rodret
Swamp tar;Träsktjära
Swampbark legs;Swampbark ben
Swamp wallbeast;Träskväggbeast
Swampbark boots;Swampbark stövlar
Sword pommel;Svärdslag
Tackle box;Tackellåda
Sweetcorn;Sockermajs
Swordfish;Svärdfisk
Symptoms list;Symtomlista
Sweetcorn seed;Sockermajsfrö
Sword fragment;Svärdfragment
Symbol;Symbol
Sweetgrubs;Sweetgrubs
Swift blade;Snabbt blad
Tai bwo wannai teleport;Tai bwo wannai teleportera
Tangled toads' legs;Trassliga paddben
Tall fancy hedge;Hög snygg häck
Tacks;Tackar
Tangle vine;Tangle vinstockar
Tangled toad's legs;Trassliga paddans ben
Tangleroot;Tangleroot
Tall box hedge;Hög lådhäck
Tall plant;Hög växt
Tan cavalier;Tan cavalier
Tanzanite helm;Tanzanit rodret
Tanzanite mutagen;Tanzanit mutagen
Tarn's diary;Tarns dagbok
Target teleport scroll;Target teleport scroll
Tanzanite helm (uncharged);Tanzanit rodret (oladdat)
Target teleport;Mål teleportera
Tarromin;Tarromin
Tanzanite fang;Tanzanit huggtand
Tarnished key;Skamfilad nyckel
Tankard;Sejdel
Tarromin potion (unf);Tarromindryck (unf)
Tattered book;Sliten bok
Tattered scroll;Sliten rulla
Tattered eye patch;Sliten ögonlapp
Tarromin seed;Tarromin frö
Tarromin tar;Tarromin tjära
Tatty graahk fur;Tatty graahk päls
Tattered temple page;Sliten tempelsida
Tattered sun page;Sliten solsida
Tattered moon page;Sliten månsida
Tatty larupia fur;Tät larupia päls
Te salt;Te salt
Taverley teleport;Taverley teleporterar
Tchiki monkey nuts;Tchiki monkey nötter
Tea flask;Teflaska
Tatty kyatt fur;Tät kyatt-päls
Tchiki nut paste;Tchiki nötpasta
Tea leaves;Teblad
Tatty note;Tät anteckning
Teacher wand;Lärartrollstav
Teak cabinet;Skåp i teak
Teak bookcase;Bokhylla i teak
Teak altar;Altare i teak
Teak chest;Teak bröst
Teak chair;Stol i teak
Teak armchair;Fåtölj i teak
Teak armour case;Pansarfodral i teak
Teak bird house;Fågelhus i teak
Teak bed;Säng i teak
Teak cape rack;Kappställ i teak
Teak clock;Teak klocka
Teak demon lectern;Demonkapel i teak
Teak dresser;Kommod i teak
Teak costume box;Kostymask i teak
Teak drawers;Teak lådor
Teak eagle lectern;Talstol för örn i teak
Teak decoration;Teak dekoration
Teak drawer;Teaklåda
Teak cupboard;Skåp i teak
Teak dining bench;Matsalsbänk i teak
Teak lever;Spak i teak
Teak logs;Teakstockar
Teak ladder;Stege i teak
Teak feeder;Teakmatare
Teak larder;Teak skafferi
Teak garden bench;Trädgårdsbänk i teak
Teak magic wardrobe;Magisk garderob i teak
Teak house;Teakhus
Teak fancy dress box;Klädlåda i teak
Teak kitchen table;Köksbord i teak
Teak pyre logs;Bålstockar av teak
Teak scratching post;Skrapstolpe i teak
Teak seed;Teakfrö
Teak seedling (w);Teakplanta (w)
Teak seedling;Teakplanta
Teak plank;Teak planka
Teak portal;Teak portal
Teak prize chest;Priskista i teak
Teak shelves;Teak hyllor
Teak sapling;Teakplanta
Teak shelves 1;Teakhyllor 1
Teak throne;Teak tron
Teak staircase;Teaktrappa
Teak table;Bord i teak
Teak shelves 2;Teakhyllor 2
Teak toy box;Leksakslåda i teak
Teak wardrobe;Garderob i teak
Teak stock;Teakstock
Teak treasure chest;Skattkista i teak
Teak telescope;Teleskop i teak
Team cape x;Team cape x
Team cape zero;Team cape noll
Team cape i;Team cape i
Teal robe top;Blågrön dräkt topp
Teal boots;Blågröna stövlar
Teal robe bottoms;Blågröna dräktbottnar
Teal hat;Blågrön hatt
Teal gloves;Blågröna handskar
Team-10 cape;Team-10 cape
Team-1 cape;Lag-1 cape
Team-17 cape;Team-17 cape
Team-18 cape;Team-18 cape
Team-19 cape;Team-19 cape
Team-13 cape;Lag-13 cape
Team-16 cape;Lag-16 cape
Team-15 cape;Lag-15 cape
Team-11 cape;Team-11 cape
Team-14 cape;Team-14 cape
Team-12 cape;Team-12 cape
Team-2 cape;Team-2 cape
Team-28 cape;Team-28 cape
Team-23 cape;Team-23 cape
Team-22 cape;Team-22 cape
Team-24 cape;Team-24 cape
Team-25 cape;Team-25 cape
Team-26 cape;Team-26 cape
Team-27 cape;Team-27 cape
Team-29 cape;Team-29 cape
Team-20 cape;Team-20 cape
Team-21 cape;Team-21 cape
Team-33 cape;Team-33 cape
Team-36 cape;Team-36 cape
Team-31 cape;Team-31 cape
Team-32 cape;Team-32 cape
Team-30 cape;Team-30 cape
Team-35 cape;Team-35 cape
Team-37 cape;Team-37 cape
Team-3 cape;Lag-3 cape
Team-34 cape;Team-34 cape
Team-38 cape;Team-38 cape
Team-39 cape;Team-39 cape
Team-41 cape;Team-41 cape
Team-46 cape;Team-46 cape
Team-42 cape;Team-42 cape
Team-40 cape;Team-40 cape
Team-43 cape;Team-43 cape
Team-47 cape;Team-47 cape
Team-4 cape;Team-4 cape
Team-44 cape;Team-44 cape
Team-45 cape;Team-45 cape
Team-6 cape;Team-6 cape
Team-5 cape;Team-5 cape
Teapot;Tekanna
Team-9 cape;Team-9 cape
Team-7 cape;Team-7 cape
Team-50 cape;Team-50 cape
Team-49 cape;Team-49 cape
Team-48 cape;Team-48 cape
Team-8 cape;Team-8 cape
Teapot with leaves;Tekanna med löv
Teasing stick;Retande pinne
Teddy;Teddy
Teleport crystal (1);Teleportera kristall (1)
Technical plans;Tekniska planer
Teleport card;Teleportera kort
Tektiny;Tektiny
Teleport crystal;Teleportera kristall
Tegid's soap;Tegids tvål
Tekton's journal;Tektons journal
Telekinetic grab;Telekinetisk grepp
Teleport trap;Teleportera fälla
Temple coin;Tempelmynt
Teleport crystal (4);Teleportera kristall (4)
Temple library key;Temple biblioteksnyckel
Teleport crystal (3);Teleportera kristall (3)
Temple key;Tempelnyckel
Teleport crystal (5);Teleportera kristall (5)
Teleport crystal (2);Teleportera kristall (2)
Teleport focus;Teleporteringsfokus
Teleport to house;Teleportera till huset
Terrorbird wing;Terrorbird vinge
Thatch spar dense;Halmtak tät
Thammaron's sceptre (u);Thammarons spira (u)
Tenti pineapple;Tenti ananas
Tephra;Tephra
Tetra;Tetra
Terror dog;Terror hund
Tentacle pool;Tentakel pool
Thammaron's sceptre;Thammarons spira
Thanksgiving dinner;Thanksgiving middag
The desert;Öknen
The great divide;Den stora klyftan
Thatch spar light;Thatch spar ljus
The fisher's flute;Fiskarens flöjt
Thatch spar med;Thatch spar med
The desert trout - ship's log;Ökenöringen - skeppslogg
The living statues;De levande statyerna
The shadow realm;Skuggriket
The eight clans;De åtta klanerna
The butcher;Slaktaren
The spurned demon;Den föraktade demonen
The turncloak;Vändmanteln
Thieves' armband;Tjuvarnas armbindel
The truth behind the myth (excerpt);Sanningen bakom myten (utdrag)
Thieving bag;Tjuvväska
The weeping;Gråten
Thick dye;Tjock färgämne
The sleeping seven;De sovande sju
The wild hunt;Den vilda jakten
The stuff;Sakerna
Thieving cape(t);Tjuvkape(t)
Thieving hood;Tjuvhuva
Thistle;Tistel
Thin snail;Tunn snigel
Thread;Tråd
Thin snail meat;Tunt snigelkött
Thieving tome;Thjuving tome
Thorny hedge;Taggig häck
Thieving cape;Tjuvkåpa
Three barrels;Tre tunnor
Tiger toy;Tigerleksak
Tiles;Kakel
Throwing rope;Kastrep
Tiara;Tiara
Time bubble;Tidsbubbla
Tile;Bricka
Tin;Tenn
Tiara mould;Tiaraform
Throne room;Tronsal
Timber beam;Träbalk
Tin ore;Tennmalm
To-do list;Att göra-lista
Tiny net;Litet nät
Toad's legs;Paddans ben
Tiny tempor;Liten tempor
Tip jar;Spetsburk
Tin ore powder;Tennmalmspulver
Tinderbox;Elddon
Toad crunchies;Padda crunchies
Toad batta;Padda batta
Toktz-mej-tal;Toktz-mej-tal
Toadflax;Gulsporre
Tok-xil;Tok-xil
Tofu;Tofu
Toadflax seed;Paddlinfrö
Toban's key;Tobans nyckel
Tokkul;Tokkul
Toktz-ket-xil;Toktz-ket-xil
Toban's gold;Tobans guld
Toadflax potion (unf);Paddlindryck (unf)
Tomato;Tomat
Tomatoes(5);Tomater (5)
Toktz-xil-ul;Toktz-xil-ul
Toktz-xil-ek;Toktz-xil-ek
Tomatoes(3);Tomater (3)
Toktz-xil-ak;Toktz-xil-ak
Tomatoes(4);Tomater (4)
Tomato seed;Tomatfrö
Tomatoes(1);Tomater (1)
Tomatoes(2);Tomater (2)
Tome of experience (1);Erfarenhet (1)
Tome of fire;Tome of fire
Tome of the sun;Tome of the sun
Tomberries;Tomberries
Tome of the temple;Tome av templet
Tome of experience (3);Erfarenhet (3)
Tome of experience;Tome av erfarenhet
Tome of fire (empty);Tome of fire (tom)
Tome of the moon;Tome of the moon
Tome of experience (2);Upplevelse (2)
Tool store 5;Verktygsbutik 5
Top hat;Hög hatt
Tool store 4;Verktygsbutik 4
Tome of water (empty);Tome av vatten (tom)
Tool store 3;Verktygsbutik 3
Toolkit;Verktygslåda
Tome of water;Tome av vatten
Tool store 2;Verktygsbutik 2
Tool store 1;Verktygsbutik 1
Tooth half of key;Tandhalvan av nyckeln
Topaz bolts;Topaz bultar
Topaz amulet (u);Topaz amulett (u)
Top hat & monocle;Hög hatt & monokel
Topaz bolt tips;Topaz bultspetsar
Topaz bracelet;Topaz armband
Top of sceptre;Toppen av spiran
Topaz amulet;Topaz amulett
Topaz bolts (e);Topazbultar (e)
Topaz dragon bolts (e);Topaz drake bultar (e)
Topaz dragon bolts;Topaz drake bultar
Topaz ring;Topaz ring
Topiary bush;Topiary buske
Torag's hammers 50;Torags hammare 50
Torag's hammers 25;Torags hammare 25
Topaz necklace;Topaz halsband
Topiary hedge;Topiary häck
Torag's hammers;Torags hammare
Torag's hammers 100;Torags hammare 100
Torag's armour set;Torags pansarset
Torag's hammers 0;Torags hammare 0
Torag's helm 75;Torags roder 75
Torag's platebody 0;Torags plattkropp 0
Torag's platebody;Torags tallrik
Torag's helm 25;Torags roder 25
Torag's platebody 100;Torag's platebody 100
Torag's helm;Torags rodret
Torag's helm 50;Torags roder 50
Torag's helm 0;Torags roder 0
Torag's hammers 75;Torags hammare 75
Torag's helm 100;Torags roder 100
Torag's platelegs 100;Torags plattben 100
Torag's platelegs 25;Torags plattben 25
Torag's platelegs 50;Torags plattben 50
Torag's platebody 25;Torags tallrik 25
Torag's platelegs 75;Torags plattben 75
Torag's platebody 50;Torag's platebody 50
Torag's platebody 75;Torags tallrik 75
Torag's platelegs 0;Torags plattben 0
Torch;Fackla
Torag's platelegs;Torags plattben
Torn page;Sliten sida
Torn clue scroll (part 2);Sliten ledtrådsrulle (del 2)
Torches;Facklor
Torn clue scroll (part 3);Sliten ledtrådsrulle (del 3)
Torn prayer scroll;Sliten bönerulle
Tormented ornament kit;Plågad prydnadssats
Torn curtains;Slitna gardiner
Tormented bracelet;Plågat armband
Tormented bracelet (or);Plågat armband (eller)
Torn clue scroll (part 1);Sliten ledtrådsrulle (del 1)
Torso;Torso
Torstol seed;Torstolfrö
Tower key;Tornnyckel
Touch paper;Peka papper
Torstol;Torstol
Tortoise shell;Sköldpaddsskal
Torstol potion (unf);Torstoldryck (unf)
Totem;Totem
Torn robe;Sliten mantel
Torture ornament kit;Tortyrprydnadssats
Toxic blowpipe (beta - dragon);Giftigt blåsrör (beta - drake)
Toxic blowpipe (beta - rune);Giftigt blåsrör (beta - runa)
Toxic blowpipe (empty);Giftigt blåsrör (tomt)
Toxic blowpipe;Giftigt blåsrör
Toxic blowpipe (beta - mithril);Giftigt blåsrör (beta - mithril)
Toxic blowpipe (beta - steel);Giftigt blåsrör (beta - stål)
Toxic blowpipe (beta - iron);Giftigt blåsrör (beta - järn)
Toxic blowpipe (beta - black);Giftigt blåsrör (beta - svart)
Toxic blowpipe (beta - bronze);Giftigt blåsrör (beta - brons)
Toxic blowpipe (beta - adamant);Giftigt blåsrör (beta - stenhårt)
Toy mouse;Leksaksmus
Toxic staff of the dead;Giftig personal av de döda
Toy ship;Leksaksfartyg
Toxic naphtha;Giftig nafta
Toxic staff (uncharged);Giftig personal (oladdad)
Toy cat;Leksakskatt
Toxic powder;Giftigt pulver
Toy doll;Leksaksdocka
Toy mouse (wound);Leksaksmus (sår)
Toy doll (wound);Leksaksdocka (sår)
Trailblazer axe;Banbrytare yxa
Trailblazer banner;Baner för banbrytare
Toy soldier;Leksakssoldat
Trading sticks;Handel med pinnar
Tracking map;Spårningskarta
Traiborn note;Traiborn anteckning
Trailblazer adamant trophy;Banbrytare stenhård trofé
Trailblazer boots (t2);Trailblazer stövlar (t2)
Toy soldier (wound);Leksakssoldat (sår)
Trailblazer boots (t1);Trailblazer stövlar (t1)
Trailblazer harpoon;Banbrytare harpun
Trailblazer hood (t3);Trailblazer huva (t3)
Trailblazer bronze trophy;Trailblazer brons trofé
Trailblazer hood (t2);Trailblazer huva (t2)
Trailblazer graceful ornament kit;Trailblazer graciösa prydnadsföremål
Trailblazer globe;Banbrytare klot
Trailblazer boots (t3);Trailblazer stövlar (t3)
Trailblazer hood (t1);Trailblazer huva (t1)
Trailblazer cane;Banbrytare käpp
Trailblazer dragon trophy;Banbrytare draketrofé
Trailblazer mithril trophy;Trailblazer mithril trofé
Trailblazer relic hunter (t2) armour set;Trailblazer relic hunter (t2) pansarset
Trailblazer rug;Banbrytande matta
Trailblazer rune trophy;Trailblazer runetrofé
Trailblazer relic hunter (t1) armour set;Trailblazer relic hunter (t1) pansarset
Trailblazer relic hunter (t3) armour set;Trailblazer relic hunter (t3) pansarset
Trailblazer steel trophy;Trailblazer ståltrofé
Trailblazer pickaxe;Banbrytare hacka
Trailblazer teleport scroll;Trailblazer teleport scroll
Trailblazer iron trophy;Banbrytande järntrofé
Trailblazer top (t3);Trailblazer topp (t3)
Training bow;Träningsbåge
Trailblazer top (t1);Trailblazer topp (t1)
Trailblazer tool ornament kit;Trailblazer verktyg prydnadssats
Training arrows;Utbildningspilar
Trailblazer trousers (t3);Trailblazer byxor (t3)
Training manual;Träningsmanual
Trailblazer top (t2);Trailblazer topp (t2)
Trailblazer trousers (t1);Trailblazer byxor (t1)
Trailblazer trousers (t2);Trailblazer byxor (t2)
Translation book;Översättningsbok
Transportation incantations;Transportbesvärjelser
Transdimensional notes;Transdimensionella anteckningar
Training shield;Träningssköld
Training sword;Träningssvärd
Translation;Översättning
Translated notes;Översatta anteckningar
Translation manual;Översättningsmanual
Translated note;Översatt anteckning
Transvergence theory;Transvergensteori
Treasure hunt;Skattjakt
Treasure scroll;Treasure scroll
Treasure flag;Skattflagga
Treasure stone;Skattsten
Treasonous ring (i);Förrädisk ring (i)
Treachery of royalty;Förräderi av kungligheter
Treasonous ring;Förrädisk ring
Trapdoor;Fallucka
Treasure room;Skattrum
Treasure map;Skattkarta
Tree;Träd
Tri-jester scarf;Tri-jester halsduk
Tree top;Trädtopp
Tribal mask;Stammask
Tree skirt;Trädkjol
Treaty;Fördrag
Tri-jester hat;Tri-jester hatt
Triangle sandwich;Triangelsmörgås
Tree bauble;Trädkula
Tree wizards' journal;Trädtrollkarlarnas dagbok
Tristessa's tragedy;Tristessas tragedi
Trident of the seas (e);Havets treudd (e)
Tribal top;Stamtopp
Trident of the seas;Trident av haven
Trident of the swamp;Trident av träsket
Trident of the swamp (e);Träskets treudd (e)
Trident of the seas (full);Trident of the Seas (full)
Troll bone;Trollben
Tristan bust;Tristan byst
Troll guard;Trollvakt
Trollheim teleport;Trollheim teleportera
Trout;Forell
Trophy pedestal;Trofé piedestal
Troll potion;Trolldryck
Trolley;Vagn
Trouver parchment;Trouver pergament
Trollweiss;Trollweiss
Troll thistle;Trolltistel
Trousers;Byxor
Tropical wagtail;Tropisk vipstjärt
Tuna;Tonfisk
Tuna potato;Tonfisk potatis
Truth serum;Sanningsserum
Trowel;Murslev
Tuna and corn;Tonfisk och majs
Turquoise robe bottoms;Turkos dräktbottnar
Turquoise boots;Turkos stövlar
Turquoise hat;Turkos hatt
Turquoise robe top;Topp med turkos dräkt
Turoth;Turoth
Twisted (+)(2);Vriden (+)(2)
Twisted (+)(4);Vriden (+)(4)
Turquoise slayer helmet (i);Turkos slayerhjälm (i)
Twisted (-)(2);Vridet (-)(2)
Twisted (+)(1);Vriden (+)(1)
Turquoise slayer helmet;Turkos slayerhjälm
Twigs;Kvistar
Twill accord;Twill-överenskommelsen
Twisted (-)(1);Vridet (-)(1)
Twisted (+)(3);Vriden (+)(3)
Twisted (-)(4);Vridet (-)(4)
Twisted adamant trophy;Vriden stenhård trofé
Twisted ancestral robe top;Vriden förfäders dräkt topp
Twisted boots (t1);Vridna stövlar (t1)
Twisted ancestral robe bottom;Vriden förfäders dräktbotten
Twisted banner;Vriden banner
Twisted blueprints;Vridna ritningar
Twisted (-)(3);Vridet (-)(3)
Twisted ancestral hat;Vriden förfäders hatt
Twisted ancestral colour kit;Twisted ancestral färgsats
Twisted boots (t2);Vridna stövlar (t2)
Twisted coat (t3);Tvinnad kappa (t3)
Twisted dragon trophy;Vriden draketrofé
Twisted bow;Vriden båge
Twisted cane;Vriden käpp
Twisted coat (t1);Vriden kappa (t1)
Twisted boots (t3);Vridna stövlar (t3)
Twisted bronze trophy;Vriden bronspokal
Twisted buckler;Vriden spänne
Twisted coat (t2);Vriden kappa (t2)
Twisted horns;Vridna horn
Twisted hat (t1);Vriden hatt (t1)
Twisted hat (t3);Tvinnad hatt (t3)
Twisted potion (1);Twisted potion (1)
Twisted potion (2);Twisted potion (2)
Twisted hat (t2);Vriden hatt (t2)
Twisted mithril trophy;Vriden mithril-trofé
Twisted potion (3);Twisted potion (3)
Twisted potion (4);Twisted potion (4)
Twisted iron trophy;Vriden järntrofé
Twisted rune trophy;Vriden runtrofé
Twisted slayer helmet (i);Twisted Slayer-hjälm (i)
Twisted relic hunter (t2) armour set;Twisted relic hunter (t2) pansarset
Twisted steel trophy;Trofé av vriden stål
Twisted trousers (t1);Vridna byxor (t1)
Twisted relic hunter (t1) armour set;Vridna relikjägare (t1) pansarset
Twisted trousers (t2);Vridna byxor (t2)
Twisted relic hunter (t3) armour set;Twisted relic hunter (t3) pansarset
Twisted teleport scroll;Twisted teleport scroll
Twisted slayer helmet;Twisted slayer hjälm
Tyras helm;Tyras rodret
Tzhaar air rune pack;Tzhaar luftrunepack
Two barrels;Två tunnor
Tzhaar fire rune pack;Tzhaar eldrunepack
Tzhaar water rune pack;Tzhaar vattenruna pack
Twisted trousers (t3);Vridna byxor (t3)
Tzhaar earth rune pack;Tzhaar jorden run pack
Tyrannical ring (i);Tyrannisk ring (i)
Tzhaar-hur;Tzhaar-hur
Tyrannical ring;Tyrannisk ring
Ugthanki & tomato;Ugthanki & tomat
Tzrek-jad;Tzrek-jad
Tzhaar-ket-om (t);Tzhaar-ket-om (t)
Tzrek-zuk;Tzrek-zuk
Tzhaar-ket-em;Tzhaar-ket-em
Tzhaar-ket-om;Tzhaar-ket-om
Tzhaar-ket-om ornament kit;Tzhaar-ket-om prydnadssats
Ugthanki dung;Ugthanki dynga
Ugthanki & onion;Ugthanki & lök
Ugthanki kebab;Ugthanki kebab
Ultimate ironman platelegs;Ultimata ironman platelegs
Unblessed symbol;Ovälsignad symbol
Ultimate ironman platebody;Ultimate ironman platebody
Ugthanki meat;Ugthanki kött
Ultracompost;Ultrakompost
Ultimate ironman helm;Ultimat ironman-rodret
Uncharged toxic trident;Oladdad giftig treudd
