 Sneaky undead fowl;Smygande odöda höns
Sergeant Grimspike;Sergeant Grimspike
Sergeant Mossfists;Sergeant Mossfists
Sergeant Ricardo;Sergeant Ricardo
Sergeant Sambur;Sergeant Sambur
Sergeant Slimetoes;Sergeant Slimetoes
Sergeant Steelwill;Sergeant Steelwill
Sergeant Strongstack;Sergeant Strongstack
Sergiu;Sergiu
Servant;Tjänare
Servery assistant;Serveringsassistent
Seth;Seth
Seth Groats;Seth Groats
Shade;Skugga
Shade Spirit;Shade Spirit
Shadow;Skugga
Shadow Hound;Skugghund
Shadow Wyrm;Shadow Wyrm
Shadow spider;Skuggspindel
Shadow warrior;Skuggkrigare
Shadowy figure;Skuggig figur
Shady figure;Skuggig figur
Shaeded Beast;Shaeded Beast
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Shantay Guard
Sharimika;Sharimika
Shark;Haj
Shayda;Shayda
Shayzien Infiltrator;Shayzien Infiltrator
Sheep;Får
Sheepdog;Fårhund
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Sköldmästare
Shifter;Växlare
Shilop;Shilop
Shipyard worker;Varvsarbetare
Shiratti the Custodian;Shiratti vårdnadshavaren
Shop assistant;Butiksbiträde
Shop keeper;Butiksinnehavare
Shura;Shura
Siamun;Siamun
Sian;Sian
Sid;Sid
Siegfried Erkle;Siegfried Erkle
Sigbert the Adventurer;Äventyraren Sigbert
Sigismund;Sigismund
Sigli the Huntsman;Jägaren Sigli
Sigmund;Sigmund
Sigmund The Merchant;Köpmannen Sigmund
Sigmund and Zanik;Sigmund och Zanik
Signy;Signy
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Sidenhandlare
Silk trader;Sidenhandlare
Silver Cog Director;Silver Cog Director
Silver Cog Secretary;Silver Cog Sekreterare
Silver merchant;Silverhandlare
Silver ore;Silvermalm
Simon;Simon
Simon Templeton;Simon Templeton
Simona;Simona
Sin Seer;Synd Seer
Sinclair;Sinclair
Sinclair Guard dog;Sinclair vakthund
Sinco Doar;Sinco Doar
Sinister Stranger;Sinister Stranger
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Carl;Sir Carl
Sir Gawain;Sir Gawain
Sir Harry;Sir Harry
Sir Jerro;Sir Jerro
Sir Kay;Sir Kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Sir Lancelot
Sir Leye;Sir Leye
Sir Lucan;Sir Lucan
Sir Mordred;Sir Mordred
Sir Palomedes;Sir Palomedes
Sir Pelleas;Sir Pelleas
Sir Percival;Sir Percival
Sir Prysin;Sir Prysin
Sir Rebral;Sir Rebral
Sir Ren Itchood;Sir Ren Itchood
Sir Renitee;Sir Renitee
Sir Spishyus;Sir Spishyus
Sir Tiffy Cashien;Sir Tiffy Cashien
Sir Tinley;Sir Tinley
Sir Tristram;Sir Tristram
Sir Vyvin;Sir Vyvin
Sirsal Banker;Sirsal Bankir
Sister Aseret;Syster Aseret
Sister Naoj;Syster Naoj
Sister Salohcin;Syster Salohcin
Sister Scarophia;Syster Scarophia
Sister Senga;Syster Senga
Sister Sevi;Syster Sevi
Sister Soul Jar;Syster Soul Jar
Sister Toen;Syster Toen
Sister Yram;Syster Yram
Sithik Ints;Sithik Ints
Skavid;Skavid
Skeletal Mystic;Skelettmystiker
Skeletal Wyvern;Skelett Wyvern
Skeletal miner;Skelettgruvarbetare
Skeleton;Skelett
Skeleton Champion;Skelettmästare
Skeleton Hellhound;Skeleton Hellhound
Skeleton Hellhound (hard);Skeleton Hellhound (hård)
Skeleton Mage;Skelettmage
Skeleton brute;Skelett brute
Skeleton fremennik;Skelett fremennik
Skeleton heavy;Skelett tungt
Skeleton hero;Skeletthjälte
Skeleton mage;Skelettmage
Skeleton thug;Skelettligist
Skeleton warlord;Skelett krigsherre
Skippy;Skippy
Skogre;Skogre
Skotizo;Skotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Myrka
Skullball;Skalleboll
Skullball Boss;Skullball Boss
Skullball Trainer;Skullball tränare
Slagilith;Slagilith
Slagilith (hard);Slagilith (hård)
Slash Bash;Slash Bash
Slave;Slav
Sleeping Monkey;Sovande apa
Sleeping guard;Sovvakt
Sleepwalker;Sömngångare
Slieve;Sieve
Slim Louie;Smal Louie
Slippers;Tofflor
Sloane;Sloane
Slug Hemligssen;Slug Hemligssen
Slug Prince;Slug Prince
Small Lizard;Liten ödla
Small ninja monkey;Liten ninjaapa
Small zombie monkey;Liten zombieapa
Smellytoes;Illaluktande tår
Smiddi Ryak (hard);Smiddi Ryak (hård)
Smith;Smed
Smithing apprentice;Smideslärling
Smoggy;Smoggy
Smoke Devil;Rök djävulen
Smoke devil;Rök djävulen
Smokin' Joe;Röker Joe
Smolcano;Smolcano
Snail display;Snigel display
Snake;Orm
Snakeling;Snakeling
Snow;Snö
Snowflake;Snöflinga
Snowy knight;Snöig riddare
Sofiya;Sofia
Soldier;Soldat
Soldier (tier 1);Soldat (nivå 1)
Soldier (tier 2);Soldat (nivå 2)
Soldier (tier 3);Soldat (nivå 3)
Soldier (tier 4);Soldat (nivå 4)
Soldier (tier 5);Soldat (nivå 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Sophanem vakt
Sophia Hughes;Sophia Hughes
Sorceress;Häxa
Sorebones;Sorebones
Sorin;Sorin
Sorrn;Sorrn
Sotetseg;Sotetseg
Soulless;Själlös
Sourhog;Sourhog
Spang;Spang
Spawn;Rom
Spawn of Sarachnis;Spawn av Sarachnis
Spectator;Åskådare
Speedy Keith;Snabba Keith
Sphinx;Sfinx
Spice seller;Kryddförsäljare
Spider;Spindel
Spidine;Spidin
Spiked Turoth;Spikade Turoth
Spin Blades;Snurra blad
Spined larupia;Spined larupia
Spinner;Spinnare
Spinolyp;Spinolyp
Spirit Angler;Spirit Angler
Spirit of Scorpius;Scorpius ande
Spirit of Zadimus;Ande av Zadimus
Spirit tree;Andeträd
Spiritual mage;Andlig mage
Spiritual ranger;Andlig ranger
Spiritual warrior;Andlig krigare
Spit goblin;Spotta troll
Spitting Wyvern;Spottade Wyvern
Splatter;Stänka ner
Spotted kebbit;Fläckig kebbit
Spria;Spria
Spring Elemental;Spring Elemental
Squire;Väpnare
Squire (Intermediate);Squire (mellanliggande)
Squire (Novice);Squire (nybörjare)
Squire (Veteran);Squire (veteran)
Squirrel;Ekorre
Sraracha;Sraracha
Stag;Stag
Stanford;Stanford
Stankers;Stankers
Star Sprite;Star Sprite
Starflower;Stjärnblomma
Starlight;Starlight
Steel dragon;Drake av stål
Steve;Steve
Stick;Stick
Stone Guardian;Stenväktare
Stone mason;Stenhuggare
Stonemason;Stenhuggare
Storm Cloud;Orosmoln
Storm cloud;Orosmoln
Strange Old Man;Konstig gammal man
Strange plant;Konstig växt
Strange watcher;Konstig tittare
Stranger;Främling
Straven;Straven
Stray dog;Herrelös hund
Street urchin;Gatuborre
Strong Ronny;Starke Ronny
Student;Student
Stuliette;Stuliette
Stumpy;Stumpy
Stunned Hoop Snake;Bedövad Hoop Snake
Stunted demonic gorilla;Stuntad demonisk gorilla
Styrmir;Styrmir
Suit of armour;rustning
Sulphur Lizard;Svavelödla
Summer Elemental;Sommar Elemental
Summoned Soul;Tillkallad själ
Summoned Zombie;Kallade Zombie
Sune;Sune
Superior ghostly thrall;Överlägsen spöklik träl
Superior skeletal thrall;Överlägsen skelettträl
Superior zombified thrall;Överlägsen zombifierad träl
Supreme Commander;Högsta befälhavaren
Suqah;Suqah
Surgeon General Tafani;Generalkirurg Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Överlevnadsexpert
Suspect;Misstänka
Suspicious water;Misstänkt vatten
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Träskkrabba
Swamp Priest;Träskpräst
Swamp frog;Träskgroda
Swamp lizard;Träsködla
Swamp snake;Träsk orm
Swamp toad;Träskpadda
Swampy log;Sumpig stock
Swan;Svan
Swarm;Svärm
Sweeper;Sopmaskin
Swensen the Navigator;Navigatören Swensen
Swordchick;Swordchick
Sylas;Sylas
Taiman;Taiman
Talia;Talia
Taloned Wyvern;Taloned Wyvern
Tamayu;Tamayu
Tamble;Tamble
Tanglefoot;Tanglefoot
Tanglefoot (hard);Tanglefoot (hård)
Tangleroot;Tangleroot
Tanner;Garvare
Tanya;Tanya
Tar Bubbles;Tar Bubbles
Tar Monster;Tjärmonster
Tarfol quo Maten;Tarfol quo Maten
Target;Mål
Taria;Taria
Tarik;Tarik
Tarn;Tjärn
Tarquin;Tarquin
Tassie Slipcast;Tassie Slipcast
Tati;Tati
Tatie;Tatie
Tau;Tau
Taxidermist;Konservator
Taylor;Taylor
Tayten;Tayten
Tea seller;Teförsäljare
Teacher;Lärare
Teacher and pupil;Lärare och elev
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tegid
Tektiny;Tektiny
Tekton;Tekton
Tekton (enraged);Tekton (rasande)
Telekinetic Guardian;Telekinetic Guardian
Temple Spider;Tempelspindel
Temple guardian;Tempelväktare
Tempoross;Tempoross
Tentacle;Tentakel
Tenzing;Tenzing
Teodor;Teodor
Terror dog;Terror hund
Terror dog statue;Terror hund staty
Terrorbird;Terrorbird
Terrorbird display;Terrorbird display
Terrorchick gnome;Terrorchick tomte
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';"Kilen"
The Beast;Odjuret
The Collector;Samlaren
The Draugen;Draugen
The Everlasting;Den eviga
The Everlasting (hard);Den eviga (hårda)
The Face;Ansiktet
The Fisher King;Fisher King
The Illusive;The Illusive
The Inadequacy;Otillräckligheten
The Inadequacy (hard);Otillräckligheten (svår)
The Jormungand;Jormungand
The Kendal;Kendal
The Kendal (hard);The Kendal (hårt)
The Lady of the Lake;Damen vid sjön
The Maiden of Sugadinti;Jungfrun av Sugadinti
The Mimic;Mimiken
The Monkey's Aunt;Apans faster
The Monkey's Uncle;Apans farbror
The Nightmare;Mardrömmen
The Queen of Thieves;Drottningen av tjuvar
The Shaikahan;Shaikahan
The Untouchable;Det oberörbara
The Untouchable (hard);The Untouchable (hårt)
Thermonuclear smoke devil;Termonukleär rökdjävul
Thessalia;Thessalia
Thias Leacke;Thias Leacke
Thief;Tjuv
Thing under the bed;Sak under sängen
Thingol;Thingol
Third Age Mage;Mage från tredje åldern
Third Age Ranger;Third Age Ranger
Third Age Warrior;Third Age Warrior
Thirus;Thirus
Thistle;Tistel
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Barkeisten Thora
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Silkesskägg
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald krigaren
Thrantax the Mighty;Thrantax den mäktige
Thrower Troll;Kastartroll
Thrower troll;Kastartroll
Thug;Gangster
Thumpy;Thumpy
Thurgo;Thurgo
Thyria;Thyria
Tiadeche;Tiadeche
Ticket Merchant;Biljettförsäljare
Ticket dwarf;Biljettdvärg
Ticket goblin;Ticket goblin
Tide;Tidvatten
Tiles;Kakel
Tilt;Luta
Tim;Tim
Timallus;Timallus
Timble;Timble
Timfraku;Timfraku
Tin ore;Tennmalm
Tina;Tina
Tindar;Tindar
Tindel Marchant;Tindel Marchant
Tinsay;Tinsay
Tinse Torpe;Tinse Torpe
Tiny Tempor;Tiny Tempor
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tomas Lawry
Tombar;Tombar
Tommy 2-times;Tommy 2 gånger
Tool Leprechaun;Verktyg Leprechaun
Toothy;Tandigt
Topsy;Topsy
Torag the Corrupted;Torag den korrupta
Torbrund;Torbrund
Torcher;Torcher
Torfinn;Torfinn
Tormented Soul;Plågad själ
Torrcs;Torrcs
Torrell;Torrell
Tortoise;Sköldpadda
Tortured gorilla;Torterad gorilla
Tortured soul;Torterad själ
Tostig;Tostig
Tough Guy;Tuffing
Tower Advisor;Tornrådgivare
Tower Archer;Tower Archer
Tower Mage;Tower Mage
Tower guard;Tornvakt
Town Crier;Town Crier
Town Guard;Stadsvakten
Toy Doll;Leksaksdocka
Toy Mouse;Leksaksmus
Toy Soldier;Leksakssoldat
Tracker gnome 1;Tracker gnome 1
Tracker gnome 2;Tracker gnome 2
Tracker gnome 3;Tracker gnome 3
Trade Referee;Handelsdomare
Trader;Handlare
Trader Crewmember;Trader besättningsmedlem
Trader Stan;Handlare Stan
Trader Sven;Handlare Sven
Traiborn;Traiborn
Trainee Guard;Praktikantvakt
Trainer Nacklepen;Tränare Nackelpen
Tramp;Luffare
Trapped Soul;Instängd själ
Trapped Soul (hard);Instängd själ (hård)
Traxi;Traxi
Treacle;Sirap
Treasure fairy;Treasure fairy
Tree;Träd
Tree spirit;Trädanda
Tree spirit (hard);Trädanda (hård)
Trees;Träd
Trefaji;Trefaji
Treus Dayth;Treus Dayth
Treus Dayth (hard);Treus Dayth (hårt)
Treznor;Treznor
Tribal Weapon Salesman;Stamvapenförsäljare
Tribesman;Stamman
Tristan;Tristan
Trobert;Trobert
Trogen Konungarde;Trogen Konungarde
Troll;Troll
Troll child;Trollbarn
Troll father;Troll pappa
Troll general;Trollgeneral
Troll mother;Troll mamma
Troll spectator;Troll åskådare
Trolley;Vagn
Tropical wagtail;Tropisk vipstjärt
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turael
Turbogroomer;Turbogroomer
Turgall;Turgall
Turgok;Turgok
Turgon;Turgon
Turoth;Turoth
Tutab;Tutab
Twig;Kvist
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Twisted Banshee
Two-pints;Två pints
Tyke;Tyke
Tynan;Tynan
Typhor;Tyfor
Tyras Guard;Tyras vakt
Tyras guard;Tyras vakt
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Ugttack
Ulfric;Ulfric
Ulifed;Ulifed
Ulizius;Ulizius
Undead Druid;Undead Druid
Undead Lumberjack;Odöda skogshuggare
Undead Zealot;Undead Zelot
Undead chicken;Odöd kyckling
Undead cow;Odöd ko
Undead one;Odöd en
Undead tree;Odöda träd
Undor;Ångra
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Enhörning
Unicorn Foal;Enhörningsföl
Unicow;Unicow
Unnamed troll child;Namnlöst trollbarn
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-taal;Ur-taal
Ur-tag;Ur-tagg
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Urium skugga
Urium Shadow;Urium skugga
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Din väg
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaine
Valantay Eppel (medium);Valantay Eppel (medium)
Valentin Rasputin;Valentin Rasputin
Valentina Diaemus;Valentina Diaemus
Valeria;Valeria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Vallessia von Pitt
Vampyre Juvenile;Vampyr Juvenile
Vampyre Juvinate;Vampyr juvinat
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Vampyrhund
Vampyrus Diaemus;Vampyrus Diaemus
Vanescula Drakan;Vanescula Drakan
Vanessa;Vanessa
Vanguard;Förtrupp
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanström Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasile
Vasquen;Vasquen
Veliaf Hurtz;Veliaf Hurtz
Velorina;Velorina
Velrak the explorer;Velrak utforskaren
Venenatis;Venenatis
Veos;Veos
Vera;Vera
Verac the Defiled;Verac den smutsiga
Verak;Verak
Vermundi;Vermundi
Veronica;Veronica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Vespinsoldat
Vespula;Vespula
Vestri;Vestri
Vet'ion;Vet'ion
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion Reborn
Victor;Segrare
Vigr;Vigr
Vigroy;Vigroy
Villager;Bybo
Villia;Villia
Violetta Sanguine;Violetta Sanguine
Vitreous Jelly;Glasaktig gelé
Vitreous warped Jelly;Glasaktig skev gelé
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Röst av Yama
Void Knight;Void Knight
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonnetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcan Orvoros
Vulture;Gam
Vyre Orator;Vyre Orator
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Vyrewatch
Vyrewatch Sentinel;Vyrewatch Sentinel
Wagchin;Wagchin
Wall beast;Väggdjur
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Vandrare
Wandering impling;Vandrande impling
Warped Jelly;Skev gelé
Warrior;Krigare
Warrior of Murahs;Warrior of Murahs
Warrior woman;Krigarekvinna
Watchman;Väktare
Watchtower Wizard;Vakttornstrollkarlen
Water elemental;Vatten elementärt
Water wizard;Vattentrollkarlen
Waterfiend;Waterfiend
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Försvagade Delrith
Weaponsmaster;Vapenmästare
Weird Old Man;Konstig gammal man
Well-armed Foe;Välbeväpnad fiende
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Varulv
Wesley;Wesley
Weve;Vi har
Whirlpool;Bubbelpool
White Chisel Director;Vitmejseldirektör
White Chisel Secretary;White Chisel-sekreterare
White Knight;White Knight
White golem;Vit golem
White wolf;Vit varg
Wild dog;Vild hund
Wild kebbit;Vild kebbit
Will o' the wisp;Will o' the wisp
William;William
Willow;Vide
Wilough;Wilough
Wilson;Wilson
Wily cat;Slug katt
Wily hellcat;Wily hellcat
Winelda;Winelda
Wingman Skree;Wingman Skree
Wingstone;Wingstone
Winkin;Winkin
Winter Elemental;Vinter Elemental
Winter Soldier;Vintersoldat
Wintertoad;Vinterpadda
Wise Old Man;Vise gammal man
Wise Young Man;Vis ung man
Wiskit;Wiskit
Wistan;Wistan
Witch;Häxa
Witch's cat;Häxans katt
Witch's experiment;Häxans experiment
Witch's experiment (fourth form);Häxans experiment (fjärde formen)
Witch's experiment (fourth form) (hard);Häxans experiment (fjärde formen) (hårt)
Witch's experiment (hard);Häxexperiment (hårt)
Witch's experiment (second form);Häxexperiment (andra formen)
Witch's experiment (second form) (hard);Häxexperiment (andra formen) (hårt)
Witch's experiment (third form);Häxexperiment (tredje formen)
Witch's experiment (third form) (hard);Häxexperiment (tredje formen) (hårt)
Witchaven villager;Witchaven bybo
Wizard;Trollkarl
Wizard Akutha;Trollkarlen Akutha
Wizard Cromperty;Trollkarlen Cromperty
Wizard Distentor;Wizard Distentor
Wizard Frumscone;Trollkarlen Frumscone
Wizard Grayzag;Trollkarlen Grayzag
Wizard Mizgog;Trollkarlen Mizgog
Wizard Sinina;Trollkarlen Sinina
Wolf;Varg
Wolfbone;Wolfbone
Woman;Kvinna
Woman-at-arms (hard);Kvinna i vapen (hårt)
Wood Dryad;Trätorkad
Woodsman tutor;Woodsman handledare
Workman;Arbetare
Wormbrain;Maskhjärna
Wounded soldier;Sårad soldat
Wurbel;Wurbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Trädgårdsmästaren Wyson
Wyvern display;Wyvern display
Xamphur;Xamphur
Xarpus;Xarpus
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Jak
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Yellow Fortune Director
Yellow Fortune Secretary;Yellow Fortune sekreterare
Yellow Sheep;Gula får
Yellow Snow;Gul snö
Yenrab;Yenrab
Yeti;Yeti
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Ung 'un
Young impling;Ung impling
Youngllef;Youngllef
Yrsa;Yrsa
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-HurKot
Yt-MejKot;Yt-MejKot
Yulf Squecks;Yulf Squecks
Yuri;Yuri
Zakl'n Gritch;Zakl'n Gritch
Zalcano;Zalcano
Zamorak crafter;Zamorak hantverkare
Zamorak mage;Zamorak magiker
Zamorak ranger;Zamorak ranger
Zamorak warrior;Zamorak krigare
Zamorak wizard;Zamorak trollkarl
Zogre;Zogre
Zoja;Zoja
Zombie;Zombie
Zombie pirate;Zombie pirat
Zombie rat;Zombieråtta
Zombie swab;Zombiesvabb
Zombies Champion;Zombies Champion
Zombified Spawn;Zombifierad Spawn
Zulrah;Zulrah
Zygomite;Zygomit
