 Sneaky undead fowl;Galinha morta-viva sorrateira
Roy jr.;Roy Jr.
Royal Guard;Guarda Real
Ruantun;Ruantun
Ruby harvest;Colheita de rubi
Rufus;Rufo
Rug Merchant;Comerciante de tapetes
Runa;Runa
Rune dragon;Dragão rúnico
Runite Golem;Golem Runita
Runite Minor;Runita Menor
Runite ore;Minério runita
Runolf;Runolfo
Runvastr;Runvastr
Rupert the Beard;Ruperto, o Barba
Rusty;Oxidado
Saba;Sabá
Sabeil;Sabeil
Saboteur;Sabotador
Sabre-toothed kebbit;Kebbit dente de sabre
Sabre-toothed kyatt;Kyatt dente de sabre
Sabreen;Sabreen
Sacrifice;Sacrifício
Sadwrn;Triste
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Safalaan Hallow
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Marinheiro
Salarin the twisted;Salarin, o distorcido
Salenab;Salenabe
Salgant;Salgante
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalón
Sand Crab;Caranguejo de Areia
Sand Snake;Cobra de Areia
Sand Snake (hard);Cobra de Areia (difícil)
Sand storm;Tempestade de areia
Sandicrahb;Sandicrahb
Sandwich lady;Senhora sanduíche
Sandy;Sandy
Sandy Boulder;Pedregulho arenoso
Sandy rocks;Rochas arenosas
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Safira glacial
Sarachnis;Sarachnis
Saradomin priest;Padre Saradomin
Saradomin wizard;Mago Saradomin
Saradominist recruiter;Recrutador saradominista
Sarah;Sara
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;Sarô
Sassilik;Sassilik
Savant;Sábio
Sawmill Operator;Operador de serraria
Sawmill operator;Operador de serraria
Sbott;Sbott
Scabaras;Escabaras
Scarab mage;Mago escaravelho
Scarab swarm;Enxame de escaravelhos
Scarabs;Escaravelhos
Scared skavid;Skavid assustado
Scarg;Cicatriz
Scavenger beast;Besta necrófaga
Scavvo;Scavvo
Schoolboy;estudante
Schoolgirl;Estudante
Scion;Descendente
Scorpia;Escorpião
Scorpia's guardian;Guardião de Escorpião
Scorpia's offspring;Filhos de Escorpião
Scorpion;Escorpião
Scout;Escoteiro
Screaming banshee;Banshee gritando
Screaming twisted banshee;Banshee torcida gritando
Scrubfoot;Pé esfregado
Sea Snake Hatchling;Filhote de cobra marinha
Sea Snake Young;Serpente Marinha Jovem
Sea Troll General;Troll Marinho Geral
Sea Troll Queen;Rainha Troll do Mar
Sea slug;Lesma do mar
Sea slugs display;Exposição de lesmas do mar
Sea troll;Troll marinho
Seagull;Gaivota
Seaman Lorris;Marinheiro Lorris
Seaman Morris;Marinheiro Morris
Seaman Thresnor;Marinheiro Thresnor
Secretary;Secretário
Security Guard;Guarda de segurança
Seddu;Seddu
Sedridor;Sedridor
Seer;Vidente
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Seren
Sergeant;Sargento
Sergeant Damien;Sargento Damien
Sergeant Grimspike;Sargento Grimspike
Sergeant Mossfists;Sargento Punhos de Moss
Sergeant Ricardo;Sargento Ricardo
Sergeant Sambur;Sargento Sambur
Sergeant Slimetoes;Sargento Slimetoes
Sergeant Steelwill;Sargento Steelwill
Sergeant Strongstack;Sargento Strongstack
Sergiu;Sérgio
Servant;Servo
Servery assistant;Assistente de servidor
Seth;Sete
Seth Groats;Seth Grumos
Shade;Sombra
Shade Spirit;Espírito da Sombra
Shadow;Sombra
Shadow Hound;Cão das Sombras
Shadow Wyrm;Serpente das Sombras
Shadow spider;Aranha sombra
Shadow warrior;Guerreiro das sombras
Shadowy figure;Figura sombria
Shady figure;Figura sombria
Shaeded Beast;Besta Sombreada
Shamus;Shamus
Shanomi;Shanomi
Shantay;Shantay
Shantay Guard;Guarda Shantay
Sharimika;Sharimika
Shark;Tubarão
Shayda;Shayda
Shayzien Infiltrator;Infiltrador Shayzien
Sheep;Ovelha
Sheepdog;Cão pastor
Sherlock;Sherlock
Sheryl;Sheryl
Shield master;Mestre do escudo
Shifter;Deslocador
Shilop;Shilope
Shipyard worker;Trabalhador do estaleiro
Shiratti the Custodian;Shiratti, o Guardião
Shop assistant;Assistente de loja
Shop keeper;Lojista
Shura;Shura
Siamun;Sião
Sian;Sião
Sid;Sid
Siegfried Erkle;Siegfried Erkel
Sigbert the Adventurer;Sigberto, o Aventureiro
Sigismund;Sigismundo
Sigli the Huntsman;Sigli, o Caçador
Sigmund;Sigmund
Sigmund The Merchant;Sigmund, o comerciante
Sigmund and Zanik;Sigmund e Zanik
Signy;Sinal
Sigurd;Sigurd
Sil'as Dahcsnu;Sil'as Dahcsnu
Silk merchant;Comerciante de seda
Silk trader;Comerciante de seda
Silver Cog Director;Diretor da Silver Cog
Silver Cog Secretary;Secretário Cog de Prata
Silver merchant;Comerciante de prata
Silver ore;Minério de prata
Simon;Simão
Simon Templeton;Simon Templeton
Simona;Simone
Sin Seer;Vidente do Pecado
Sinclair;Sinclair
Sinclair Guard dog;Cão de guarda Sinclair
Sinco Doar;Sinco Doar
Sinister Stranger;Estranho Sinistro
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Senhor Bedivere
Sir Carl;Senhor Carlos
Sir Gawain;Senhor Gawain
Sir Harry;Senhor Harry
Sir Jerro;Senhor Jerro
Sir Kay;Senhor Kay
Sir Kuam Ferentse;Sir Kuam Ferentse
Sir Lancelot;Senhor Lancelote
Sir Leye;Senhor Leye
Sir Lucan;Senhor Lucano
Sir Mordred;Senhor Mordred
Sir Palomedes;Senhor Palomedes
Sir Pelleas;Senhor Pelleas
Sir Percival;Senhor Percival
Sir Prysin;Senhor Prysin
Sir Rebral;Senhor Rebral
Sir Ren Itchood;Sir Ren Itchhood
Sir Renitee;Senhor Renitee
Sir Spishyus;Senhor Spishyus
Sir Tiffy Cashien;Senhor Tiffy Cashien
Sir Tinley;Senhor Tinley
Sir Tristram;Senhor Tristram
Sir Vyvin;Senhor Vyvin
Sirsal Banker;Banqueiro Sirsal
Sister Aseret;Irmã Aseret
Sister Naoj;Irmã Naoj
Sister Salohcin;Irmã Salohcin
Sister Scarophia;Irmã Scarófia
Sister Senga;Irmã Senga
Sister Sevi;Irmã Sevi
Sister Soul Jar;Frasco de Alma Irmã
Sister Toen;Irmã Toen
Sister Yram;Irmã Yram
Sithik Ints;Sithik Ints
Skavid;Skavid
Skeletal Mystic;Místico Esquelético
Skeletal Wyvern;Wyvern Esquelético
Skeletal miner;Mineiro esquelético
Skeleton;Esqueleto
Skeleton Champion;Campeão Esqueleto
Skeleton Hellhound;Esqueleto Cão Infernal
Skeleton Hellhound (hard);Esqueleto Hellhound (difícil)
Skeleton Mage;Mago Esqueleto
Skeleton brute;Esqueleto bruto
Skeleton fremennik;Fremennik esqueleto
Skeleton heavy;Esqueleto pesado
Skeleton hero;Herói esqueleto
Skeleton mage;Mago esqueleto
Skeleton thug;Esqueleto bandido
Skeleton warlord;Senhor da guerra esqueleto
Skippy;Skippy
Skogre;Skogre
Skotizo;Escotizo
Skotos;Skotos
Skrach Uglogwee;Skrach Uglogwee
Skraeling;Skraeling
Skulgrimen;Skulgrimen
Skuli Myrka;Skuli Mirka
Skullball;Bola de caveira
Skullball Boss;Chefe da Bola Crânio
Skullball Trainer;Treinador de Bola Crânio
Slagilith;Slagilite
Slagilith (hard);Slagilith (difícil)
Slash Bash;Golpe de barra
Slave;Escravo
Sleeping Monkey;Macaco Adormecido
Sleeping guard;Guarda adormecido
Sleepwalker;Sonâmbulo
Slieve;Slieve
Slim Louie;Slim Louie
Slippers;Chinelos
Sloane;Sloane
Slug Hemligssen;Lesma Hemligssen
Slug Prince;Príncipe Lesma
Small Lizard;Lagarto Pequeno
Small ninja monkey;Pequeno macaco ninja
Small zombie monkey;Pequeno macaco zumbi
Smellytoes;Dedos fedorentos
Smiddi Ryak (hard);Smiddi Ryak (difícil)
Smith;Smith
Smithing apprentice;Aprendiz de ferreiro
Smoggy;Poluição
Smoke Devil;Diabo de fumaça
Smoke devil;Diabo de fumaça
Smokin' Joe;Fumando Joe
Smolcano;Smolcano
Snail display;Exibição de caracol
Snake;Cobra
Snakeling;Cobra
Snow;Neve
Snowflake;Floco de neve
Snowy knight;Cavaleiro nevado
Sofiya;Sofia
Soldier;Soldado
Soldier (tier 1);Soldado (nível 1)
Soldier (tier 2);Soldado (nível 2)
Soldier (tier 3);Soldado (nível 3)
Soldier (tier 4);Soldado (nível 4)
Soldier (tier 5);Soldado (nível 5)
Solihib;Solihib
Solus Dellagar;Solus Dellagar
Solztun;Solztun
Sophanem guard;Guarda Sophanem
Sophia Hughes;Sofia Hughes
Sorceress;Feiticeira
Sorebones;Dores
Sorin;Sorin
Sorrn;Desculpe
Sotetseg;Sotetseg
Soulless;Sem alma
Sourhog;Marmota
Spang;Spang
Spawn;Gerar
Spawn of Sarachnis;Cria de Sarachnis
Spectator;Espectador
Speedy Keith;Keith veloz
Sphinx;Esfinge
Spice seller;Vendedor de especiarias
Spider;Aranha
Spidine;Espidina
Spiked Turoth;Turoth com pontas
Spin Blades;Lâminas giratórias
Spined larupia;Larupia espinhosa
Spinner;girador
Spinolyp;Spinólipo
Spirit Angler;Espírito Pescador
Spirit of Scorpius;Espírito de Escorpião
Spirit of Zadimus;Espírito de Zadimo
Spirit tree;Árvore espiritual
Spiritual mage;Mago espiritual
Spiritual ranger;Ranger espiritual
Spiritual warrior;Guerreiro espiritual
Spit goblin;Cuspido duende
Spitting Wyvern;Cuspindo Wyvern
Splatter;Respingos
Spotted kebbit;Kebbit manchado
Spria;Spria
Spring Elemental;Elemental da Primavera
Squire;Escudeiro
Squire (Intermediate);Escudeiro (Intermediário)
Squire (Novice);Escudeiro (Novato)
Squire (Veteran);Escudeiro (veterano)
Squirrel;Esquilo
Sraracha;Sraracha
Stag;Veado
Stanford;Stanford
Stankers;Stankers
Star Sprite;Sprite Estrela
Starflower;Flor estelar
Starlight;Luz das estrelas
Steel dragon;Dragão de aço
Steve;Steve
Stick;Grudar
Stone Guardian;Guardião de Pedra
Stone mason;Pedreiro
Stonemason;Pedreiro
Storm Cloud;Nuvem de Tempestade
Storm cloud;Nuvem de tempestade
Strange Old Man;Velho Estranho
Strange plant;Planta estranha
Strange watcher;Observador estranho
Stranger;Estranho
Straven;Straven
Stray dog;Cachorro vadio
Street urchin;Menino de rua
Strong Ronny;Forte Ronny
Student;Estudante
Stuliette;Stulieta
Stumpy;Atarracado
Stunned Hoop Snake;Cobra Atordoada
Stunted demonic gorilla;Gorila demoníaco atrofiado
Styrmir;Styrmir
Suit of armour;Armadura
Sulphur Lizard;Lagarto Enxofre
Summer Elemental;Elemental de verão
Summoned Soul;Alma Convocada
Summoned Zombie;Zumbi Convocado
Sune;Sol
Superior ghostly thrall;Escravo fantasmagórico superior
Superior skeletal thrall;Escravo esquelético superior
Superior zombified thrall;Escravo zumbificado superior
Supreme Commander;Comandante Supremo
Suqah;Suqah
Surgeon General Tafani;Cirurgião Geral Tafani
Surma;Surma
Surok Magis;Surok Magis
Survival Expert;Especialista em Sobrevivência
Suspect;Suspeito
Suspicious water;Água suspeita
Svetlana;Svetlana
Svidi;Svidi
Swamp Crab;Caranguejo do pântano
Swamp Priest;Sacerdote do Pântano
Swamp frog;Sapo do pântano
Swamp lizard;Lagarto do pântano
Swamp snake;Cobra do pântano
Swamp toad;Sapo do pântano
Swampy log;Registro pantanoso
Swan;Cisne
Swarm;Enxame
Sweeper;Varredor
Swensen the Navigator;Swensen, o Navegador
Swordchick;Espadachim
Sylas;Silas
Taiman;Taiman
Talia;Tália
Taloned Wyvern;Wyvern com garras
Tamayu;Tamayu
Tamble;Tambor
Tanglefoot;Pé emaranhado
Tanglefoot (hard);Tanglefoot (difícil)
Tangleroot;raiz emaranhada
Tanner;Curtidor
Tanya;Tânia
Tar Bubbles;Bolhas de alcatrão
Tar Monster;Monstro de alcatrão
Tarfol quo Maten;Tarfol quo Maten
Target;Alvo
Taria;Taria
Tarik;Tárik
Tarn;Tarn
Tarquin;Tarquínio
Tassie Slipcast;Slipcast de Tassie
Tati;Tati
Tatie;Tati
Tau;Tau
Taxidermist;Taxidermista
Taylor;Taylor
Tayten;Tayten
Tea seller;Vendedor de chá
Teacher;Professor
Teacher and pupil;Professor e aluno
Ted Rehnison;Ted Rehnison
Tegdak;Tegdak
Tegid;Tégido
Tektiny;Tektiny
Tekton;Tekton
Tekton (enraged);Tekton (enfurecido)
Telekinetic Guardian;Guardião Telecinético
Temple Spider;Aranha do Templo
Temple guardian;Guardião do templo
Tempoross;Tempoross
Tentacle;Tentáculo
Tenzing;Tensão
Teodor;Teodoro
Terror dog;Cachorro terrorista
Terror dog statue;Estátua de cachorro terrorista
Terrorbird;Pássaro Terror
Terrorbird display;Exibição do Terrorbird
Terrorchick gnome;Gnomo Terrorchick
Thakkrad Sigmundson;Thakkrad Sigmundson
The 'Wedge';A 'cunha'
The Beast;A Besta
The Collector;O Colecionador
The Draugen;O Draugen
The Everlasting;O Eterno
The Everlasting (hard);O Eterno (difícil)
The Face;O rosto
The Fisher King;O Rei Pescador
The Illusive;O Ilusivo
The Inadequacy;A Inadequação
The Inadequacy (hard);A inadequação (difícil)
The Jormungand;O Jormungand
The Kendal;O Kendal
The Kendal (hard);O Kendal (difícil)
The Lady of the Lake;A Dama do Lago
The Maiden of Sugadinti;A Donzela de Sugadinti
The Mimic;O mímico
The Monkey's Aunt;A Tia do Macaco
The Monkey's Uncle;O Tio do Macaco
The Nightmare;O pesadelo
The Queen of Thieves;A Rainha dos Ladrões
The Shaikahan;O Shaikahan
The Untouchable;O Intocável
The Untouchable (hard);O Intocável (difícil)
Thermonuclear smoke devil;Diabo de fumaça termonuclear
Thessalia;Tessália
Thias Leacke;Thias Leacke
Thief;Ladrão
Thing under the bed;Coisa debaixo da cama
Thingol;Thingol
Third Age Mage;Mago da Terceira Era
Third Age Ranger;Ranger da Terceira Idade
Third Age Warrior;Guerreiro da Terceira Era
Thirus;Thirus
Thistle;Cardo
Thomdril;Thomdril
Thora;Thora
Thora the Barkeep;Thora, a Barman
Thordur;Thordur
Thorgel;Thorgel
Thorhild;Thorhild
Thorkel Silkbeard;Thorkel Barba Seda
Thormac;Thormac
Thorodin;Thorodin
Thorvald the Warrior;Thorvald, o Guerreiro
Thrantax the Mighty;Thrantax, o Poderoso
Thrower Troll;Troll Atirador
Thrower troll;Troll lançador
Thug;Bandido
Thumpy;Barulhento
Thurgo;Thurgo
Thyria;Tíria
Tiadeche;Tiadeché
Ticket Merchant;Comerciante de ingressos
Ticket dwarf;Anão do ingresso
Ticket goblin;Duende do ingresso
Tide;Maré
Tiles;Azulejos
Tilt;Inclinar
Tim;Tim
Timallus;Timalus
Timble;Timble
Timfraku;Timfraku
Tin ore;Minério de estanho
Tina;Tina
Tindar;Tindar
Tindel Marchant;Tindel Marchante
Tinsay;Tinsay
Tinse Torpe;Tinse Torpe
Tiny Tempor;Pequeno Tempo
Tirrie;Tirrie
Tjorvi;Tjorvi
Toban;Toban
Toby;Toby
Tok-Xil;Tok-Xil
Tolna;Tolna
Tomas Lawry;Tomas Lawry
Tombar;Tombar
Tommy 2-times;Tommy 2 vezes
Tool Leprechaun;Duende Ferramenta
Toothy;Dentinho
Topsy;Topsy
Torag the Corrupted;Torag, o Corrompido
Torbrund;Torbrund
Torcher;Tocha
Torfinn;Torfinn
Tormented Soul;Alma Atormentada
Torrcs;Torres
Torrell;Torrell
Tortoise;Tartaruga
Tortured gorilla;Gorila torturado
Tortured soul;Alma torturada
Tostig;Tostig
Tough Guy;Cara durão
Tower Advisor;Conselheiro da Torre
Tower Archer;Arqueiro da Torre
Tower Mage;Mago da Torre
Tower guard;Guarda da torre
Town Crier;Pregoeiro da Cidade
Town Guard;Guarda Municipal
Toy Doll;Boneca de brinquedo
Toy Mouse;Rato de brinquedo
Toy Soldier;Soldado de Brinquedo
Tracker gnome 1;Gnomo rastreador 1
Tracker gnome 2;Gnomo rastreador 2
Tracker gnome 3;Gnomo rastreador 3
Trade Referee;Árbitro Comercial
Trader;Comerciante
Trader Crewmember;Tripulante Comerciante
Trader Stan;Comerciante Stan
Trader Sven;Comerciante Sven
Traiborn;Traiborn
Trainee Guard;Guarda Estagiário
Trainer Nacklepen;Treinador Nacklepen
Tramp;Vagabundo
Trapped Soul;Alma Presa
Trapped Soul (hard);Alma Presa (difícil)
Traxi;Traxi
Treacle;Melaço
Treasure fairy;Fada do tesouro
Tree;Árvore
Tree spirit;Espírito da árvore
Tree spirit (hard);Espírito da árvore (difícil)
Trees;Árvores
Trefaji;Trefaji
Treus Dayth;Dia de Treus
Treus Dayth (hard);Treus Dayth (difícil)
Treznor;Treznor
Tribal Weapon Salesman;Vendedor de armas tribais
Tribesman;Homem da tribo
Tristan;Tristão
Trobert;Troberto
Trogen Konungarde;Trogen Konungarde
Troll;troll
Troll child;Filho troll
Troll father;Pai troll
Troll general;Troll geral
Troll mother;Mãe troll
Troll spectator;Espectador troll
Trolley;Carrinho
Tropical wagtail;Alvéola tropical
Trossa;Trossa
Trufitus;Trufitus
Tstanon Karlak;Tstanon Karlak
Turael;Turael
Turbogroomer;Turbogroomer
Turgall;Turgall
Turgok;Turgok
Turgon;Turgon
Turoth;Turoth
Tutab;Tutab
Twig;Galho
Twiggy O'Korn;Twiggy O'Korn
Twisted Banshee;Banshee Torcida
Two-pints;Dois litros
Tyke;Tyke
Tynan;Tynan
Typhor;Tifor
Tyras Guard;Guarda Tyras
Tyras guard;Guarda Tyra
Tyss;Tyss
Tz-Kek;Tz-Kek
Tz-Kih;Tz-Kih
TzHaar-Hur;TzHaar-Hur
TzHaar-Hur-Lek;TzHaar-Hur-Lek
TzHaar-Hur-Rin;TzHaar-Hur-Rin
TzHaar-Hur-Tel;TzHaar-Hur-Tel
TzHaar-Hur-Zal;TzHaar-Hur-Zal
TzHaar-Ket;TzHaar-Ket
TzHaar-Ket-Keh;TzHaar-Ket-Keh
TzHaar-Ket-Rak;TzHaar-Ket-Rak
TzHaar-Ket-Yil;TzHaar-Ket-Yil
TzHaar-Ket-Zuh;TzHaar-Ket-Zuh
TzHaar-Mej;TzHaar-Mej
TzHaar-Mej-Bal;TzHaar-Mej-Bal
TzHaar-Mej-Dir;TzHaar-Mej-Dir
TzHaar-Mej-Jal;TzHaar-Mej-Jal
TzHaar-Mej-Kah;TzHaar-Mej-Kah
TzHaar-Mej-Roh;TzHaar-Mej-Roh
TzHaar-Xil;TzHaar-Xil
TzKal-Zuk;TzKal-Zuk
TzRek-Jad;TzRek-Jad
TzRek-Zuk;TzRek-Zuk
TzTok-Jad;TzTok-Jad
Ug;Ug
Uglug Nar;Uglug Nar
Ugthanki;Ugthanki
Ulfric;Ulfric
Ulifed;Ulifed
Ulizius;Ulizius
Ulsquire Shauncy;Ulsquire Shauncy
Undead Druid;Druida Morto-Vivo
Undead Lumberjack;Lenhador Morto-Vivo
Undead Zealot;Zelote Morto-Vivo
Undead chicken;Galinha morta-viva
Undead cow;Vaca morta-viva
Undead one;Morto-vivo
Undead tree;Árvore morta-viva
Undor;Desfazer
Unferth;Unferth
Ungadulu;Ungadulu
Unicorn;Unicórnio
Unicorn Foal;Potro Unicórnio
Unicow;Unicórnio
Unnamed troll child;Filho troll sem nome
Uodai;Uodai
Ur-lun;Ur-lun
Ur-meg;Ur-meg
Ur-pel;Urpel
Ur-taal;Ur-taal
Ur-tag;Ur-tag
Ur-vass;Ur-vass
Ur-zek;Ur-zek
Urbi;Urbi
Uri;Uri
Urium Shade;Sombra de úrio
Urium Shadow;Sombra de úrio
Usi;Usi
Utrec;Utrec
Uurrak quo Narga;Uurrak quo Narga
Uwogo;Uwogo
Uyoro;Uyoro
Vaeringk;Vaeringk
Vaire;Vaire
Valaine;Valaína
Valantay Eppel (medium);Valantay Eppel (médio)
Valentin Rasputin;Valentin Rasputin
Valentina Diaemus;Valentina Diaemus
Valeria;Valéria
Valgerd;Valgerd
Vallessia Dracyula;Vallessia Dracyula
Vallessia von Pitt;Valléssia von Pitt
Vampyre Juvenile;Vampiro Juvenil
Vampyre Juvinate;Juvinato de Vampiro
Vampyressa van Von;Vampyressa van Von
Vampyric hound;Cão vampiro
Vampyrus Diaemus;Vampiro Diaemus
Vanescula Drakan;Vanéscula Drakan
Vanessa;Vanessa
Vanguard;Vanguarda
Vanligga Gastfrihet;Vanligga Gastfrihet
Vannah;Vannah
Vannaka;Vannaka
Vanstrom Klause;Vanstrom Klause
Varrian Sobak;Varrian Sobak
Vasa Minirio;Vasa Minirio
Vasa Nistirio;Vasa Nistirio
Vasile;Vasilha
Vasquen;Vasquen
Veliaf Hurtz;Veliaf Hurtz
Velorina;Velorina
Velrak the explorer;Velrak, o explorador
Venenatis;Venenatis
Venenatis spiderling;Aranhinha Venenatis
Veos;Veos
Vera;Vera
Verac the Defiled;Verac, o Corrompido
Verak;Verak
Vermundi;Vermundi
Veronica;Verônica
Vertida Sefalatis;Vertida Sefalatis
Verzik Vitur;Verzik Vitur
Vespina;Vespina
Vespine soldier;Soldado Vespina
Vespula;Véspula
Vestri;Vestri
Vet'ion;Veterinário
Vet'ion Jr.;Vet'ion Jr.
Vet'ion Reborn;Vet'ion Reborn
Victor;Vencedor
Vigr;Vigr
Vigroy;Vigróy
Villager;Aldeão
Villia;Vila
Violetta Sanguine;Violetta Sanguínea
Vitreous Jelly;Geléia Vítrea
Vitreous warped Jelly;Geléia vítrea deformada
Viyeldi;Viyeldi
Vlad Bechstein;Vlad Bechstein
Vlad Diaemus;Vlad Diaemus
Vladimir;Vladimir
Voice of Yama;Voz de Yama
Void Knight;Cavaleiro do Vazio
Volf Olafson;Volf Olafson
Von van Von;Von van Von
Vonnetta Varnis;Vonetta Varnis
Vorkath;Vorkath
Vorki;Vorki
Vormar Vakan;Vormar Vakan
Vornas quo Maten;Vornas quo Maten
Vortas quo Keran;Vortas quo Keran
Vritra;Vritra
Vulcan Orvoros;Vulcano Órvoros
Vulture;Abutre
Vyre Orator;Orador Vyre
Vyrelady;Vyrelady
Vyrelord;Vyrelord
Vyrewatch;Virewatch
Vyrewatch Sentinel;Sentinela Vyrewatch
Wagchin;Wagchin
Wall beast;Besta de parede
Wallasalki;Wallasalki
Wally;Wally
Wanderer;Andarilho
Wandering impling;Imply errante
Warped Jelly;Geléia Deformada
Warrior;Guerreiro
Warrior of Murahs;Guerreiro dos Murahs
Warrior woman;Mulher guerreira
Watchman;Vigia
Watchtower Wizard;Mago da Torre de Vigia
Water elemental;Elemental da água
Water wizard;Mago da água
Waterfiend;Demônio da água
Watson;Watson
Waydar;Waydar
Waymottin;Waymottin
Wayne;Wayne
Weakened Delrith;Delrith enfraquecida
Weaponsmaster;Mestre de armas
Weird Old Man;Velho estranho
Well-armed Foe;Inimigo bem armado
Wemund;Wemund
Wengra quo Sihar;Wengra quo Sihar
Werewolf;Lobisomem
Wesley;Wesley
Weve;Nós
Whirlpool;Hidromassagem
White Chisel Director;Diretor do Cinzel Branco
White Chisel Secretary;Secretária Cinzel Branco
White Knight;Cavaleiro Branco
White golem;Golem branco
White wolf;Lobo branco
Wild dog;cachorro selvagem
Wild kebbit;Kebbit selvagem
Will o' the wisp;Será o fogo-fátuo
William;Guilherme
Willow;Salgueiro
Wilough;Wilough
Wilson;Wilson
Wily cat;Gato astuto
Wily hellcat;Gato infernal astuto
Winelda;Winelda
Wingman Skree;Ala Skree
Wingstone;Pedra-asa
Winkin;Piscando
Winter Elemental;Elemental de Inverno
Winter Soldier;Soldado Invernal
Wintertoad;Sapo Invernal
Wise Old Man;Velho Sábio
Wise Young Man;Jovem Sábio
Wiskit;Wikit
Wistan;Wistan
Witch;Bruxa
Witch's cat;Gato da bruxa
Witch's experiment;Experimento de bruxa
Witch's experiment (fourth form);Experimento da bruxa (quarta forma)
Witch's experiment (fourth form) (hard);Experimento da Bruxa (quarta forma) (difícil)
Witch's experiment (hard);Experimento da bruxa (difícil)
Witch's experiment (second form);Experimento da Bruxa (segunda forma)
Witch's experiment (second form) (hard);Experimento da Bruxa (segunda forma) (difícil)
Witch's experiment (third form);Experimento da Bruxa (terceira forma)
Witch's experiment (third form) (hard);Experimento da Bruxa (terceira forma) (difícil)
Witchaven villager;Aldeão do Witchaven
Wizard;Mago
Wizard Akutha;Mago Akutha
Wizard Cromperty;Mago Cromperty
Wizard Distentor;Distentor Assistente
Wizard Frumscone;Feiticeiro Frumscone
Wizard Grayzag;Mago Grayzag
Wizard Mizgog;Mago Mizgog
Wizard Sinina;Mago Sinina
Wolf;Lobo
Wolfbone;Osso de lobo
Woman;Mulher
Woman-at-arms (hard);Mulher de armas (difícil)
Wood Dryad;Dríade de Madeira
Woodsman tutor;Tutor de lenhador
Workman;Trabalhador
Wormbrain;cérebro de minhoca
Wounded soldier;Soldado ferido
Wurbel;Wurbel
Wydin;Wydin
Wyrm;Wyrm
Wyson the gardener;Wyson, o jardineiro
Wyvern display;Exibição de Wyvern
Xamphur;Xamphur
Xarpus;Xarpo
Xorrah quo Sihar;Xorrah quo Sihar
Yadviga;Yadviga
Yak;Iaque
Yanni Salika;Yanni Salika
Yarsul;Yarsul
Yellow Fortune Director;Diretor da Fortuna Amarela
Yellow Fortune Secretary;Secretário da Fortuna Amarela
Yellow Sheep;Ovelha Amarela
Yellow Snow;Neve Amarela
Yenrab;Yenrab
Yeti;Yeti
Ymladd;Ymladd
Yohnus;Yohnus
Young 'un;Jovem
Young impling;Jovem impling
Youngllef;Youngllef
Yrsa;Yrsa
Ysbeid;Ysbeid
Ysgawyn;Ysgawyn
Ystwyth;Ystwyth
Yt-HurKot;Yt-Hur Kot
Yt-MejKot;Yt-Mej Kot
Yulf Squecks;Yulf Squecks
Yuri;Iuri
Zakl'n Gritch;Zakl’n Gritch
Zalcano;Zalcano
Zamorak crafter;Artesão Zamorak
Zamorak mage;Mago Zamorak
Zamorak ranger;Guarda florestal de Zamorak
Zamorak warrior;Guerreiro Zamorak
Zamorak wizard;Mago Zamorak
Zogre;Zogre
Zoja;Zoja
Zombie;Zumbi
Zombie pirate;Pirata zumbi
Zombie rat;Rato zumbi
Zombie swab;Cotonete de zumbi
Zombies Champion;Campeão Zumbis
Zombified Spawn;Spawn Zombificado
Zulrah;Zulrah
Zygomite;Zigomita
